date,absolute_value
2017-05-17,297999.0842705177
2017-05-18,298853.24406638084
2017-05-19,298596.2565922272
2017-05-20,298596.2565922272
2017-05-21,298587.37904099014
2017-05-22,297990.10388426454
2017-05-23,298481.4892794893
2017-05-24,298211.98886976484
2017-05-25,297971.9371647747
2017-05-26,298163.84412009636
2017-05-27,298165.08242468117
2017-05-28,298151.0454306133
2017-05-29,298395.2429498735
2017-05-30,298240.35110508744
2017-05-31,298278.1235021421
2017-06-01,297852.2470941984
2017-06-02,297118.4506594641
2017-06-03,297118.4506594641
2017-06-04,297115.13858919404
2017-06-05,296994.99110767577
2017-06-06,297111.1538883045
2017-06-07,297184.8765641168
2017-06-08,297794.1921907009
2017-06-09,297675.8221162041
2017-06-10,297673.9688253233
2017-06-11,297631.05570494314
2017-06-12,297773.02680879616
2017-06-13,297877.21738527936
2017-06-14,297811.3919628202
2017-06-15,297572.9630742922
2017-06-16,297540.3917530192
2017-06-17,297539.7338814393
2017-06-18,297545.8189896077
2017-06-19,298407.8690338582
2017-06-20,298674.9308640839
2017-06-21,298907.35578737984
2017-06-22,299046.50355817017
2017-06-23,298415.7574097673
2017-06-24,298415.7574097673
2017-06-25,298406.8528142374
2017-06-26,298189.71477824857
2017-06-27,298129.8509815513
2017-06-28,297847.84737986914
2017-07-04,300906.6206669991
2017-07-05,300981.58914050355
2017-07-06,301597.5011725924
2017-07-07,301518.1076119784
2017-07-08,301518.1076119784
2017-07-09,301508.18019402935
2017-07-10,301257.00116359215
2017-07-11,301008.0533978154
2017-07-12,300948.4087896896
2017-07-13,300858.4271839605
2017-07-14,299909.3809943978
2017-07-15,299904.2066719421
2017-07-16,299856.8826517494
2017-07-17,299913.1059142744
2017-07-18,296855.1861550119
2017-07-19,296956.46558903373
2017-07-20,296220.3019742439
2017-07-21,296107.5260856709
2017-07-22,296090.47550130956
2017-07-23,296087.65213238564
2017-07-24,296923.1794381564
2017-07-25,297317.2499799161
2017-07-26,296532.8652608835
2017-07-27,296764.54438014736
