Валюта,Степень,Центральность_степени,Посредничество,Близость
USD,150,0.9868421052631579,0.9840204816677456,0.987012987012987
EUR,17,0.11184210526315788,0.004147786685256187,0.5259515570934256
GBP,11,0.07236842105263158,0.0009672359707215058,0.5152542372881356
RUB,11,0.07236842105263158,0.020975451874719907,0.5187713310580204
CHF,8,0.05263157894736842,5.2283025444405725e-05,0.5100671140939598
CAD,8,0.05263157894736842,0.00026141512722202857,0.5100671140939598
AUD,8,0.05263157894736842,5.2283025444405725e-05,0.5100671140939598
JPY,8,0.05263157894736842,0.00041909409284801406,0.5117845117845118
NZD,7,0.046052631578947366,0.0,0.5083612040133779
ILS,6,0.039473684210526314,0.000435691878703381,0.5066666666666667
IDR,5,0.03289473684210526,0.0,0.5049833887043189
UAH,5,0.03289473684210526,0.00034129197165098176,0.5066666666666667
TRY,4,0.02631578947368421,0.006342428919982074,0.5049833887043189
KWD,4,0.02631578947368421,0.00013070756361101428,0.5033112582781457
CNY,3,0.019736842105263157,4.35691878703381e-05,0.5016501650165016
COP,3,0.019736842105263157,4.35691878703381e-05,0.5016501650165016
INR,3,0.019736842105263157,4.35691878703381e-05,0.5016501650165016
AMD,3,0.019736842105263157,4.730368968779565e-05,0.5049833887043189
GEL,3,0.019736842105263157,4.730368968779565e-05,0.5049833887043189
PLN,3,0.019736842105263157,4.35691878703381e-05,0.5016501650165016
AZN,3,0.019736842105263157,4.730368968779565e-05,0.5049833887043189
BGN,3,0.019736842105263157,0.00010892296967584525,0.5049833887043189
BRL,3,0.019736842105263157,0.00011618450098756825,0.5049833887043189
TJS,3,0.019736842105263157,4.730368968779565e-05,0.5049833887043189
JOD,3,0.019736842105263157,0.0,0.5016501650165016
MDL,2,0.013157894736842105,0.0,0.5033112582781457
MYR,2,0.013157894736842105,0.0,0.5
SGD,2,0.013157894736842105,0.0,0.5
UYU,2,0.013157894736842105,0.0,0.5
THB,2,0.013157894736842105,0.0,0.5
KZT,2,0.013157894736842105,0.0,0.5
VND,2,0.013157894736842105,0.0,0.5033112582781457
CNH,2,0.013157894736842105,0.0,0.5
BHD,2,0.013157894736842105,0.0,0.5
MNT,2,0.013157894736842105,0.0,0.5
HUF,2,0.013157894736842105,0.0,0.5
PEN,2,0.013157894736842105,0.0,0.5
AOA,2,0.013157894736842105,0.0,0.5
MZN,2,0.013157894736842105,0.0,0.5
NPR,2,0.013157894736842105,0.0,0.5
CZK,2,0.013157894736842105,0.0,0.5
SDR,2,0.013157894736842105,8.71383757406762e-05,0.34545454545454546
CLP,1,0.006578947368421052,0.0,0.49836065573770494
BOB,1,0.006578947368421052,0.0,0.49836065573770494
BYN,1,0.006578947368421052,0.0,0.49836065573770494
ARS,1,0.006578947368421052,0.0,0.49836065573770494
AED,1,0.006578947368421052,0.0,0.49836065573770494
AFN,1,0.006578947368421052,0.0,0.49836065573770494
BMD,1,0.006578947368421052,0.0,0.49836065573770494
HKD,1,0.006578947368421052,0.0,0.49836065573770494
GIP,1,0.006578947368421052,0.0,0.49836065573770494
GHS,1,0.006578947368421052,0.0,0.49836065573770494
IQD,1,0.006578947368421052,0.0,0.49836065573770494
FJD,1,0.006578947368421052,0.0,0.49836065573770494
DKK,1,0.006578947368421052,0.0,0.49836065573770494
EGP,1,0.006578947368421052,0.0,0.49836065573770494
FKP,1,0.006578947368421052,0.0,0.49836065573770494
KYD,1,0.006578947368421052,0.0,0.49836065573770494
KRW,1,0.006578947368421052,0.0,0.49836065573770494
KGS,1,0.006578947368421052,0.0,0.34234234234234234
IRR,1,0.006578947368421052,0.0,0.49836065573770494
PHP,1,0.006578947368421052,0.0,0.49836065573770494
NOK,1,0.006578947368421052,0.0,0.49836065573770494
MXN,1,0.006578947368421052,0.0,0.49836065573770494
NIO,1,0.006578947368421052,0.0,0.49836065573770494
SAR,1,0.006578947368421052,0.0,0.49836065573770494
PYG,1,0.006578947368421052,0.0,0.49836065573770494
SYP,1,0.006578947368421052,0.0,0.49836065573770494
SHP,1,0.006578947368421052,0.0,0.49836065573770494
TWD,1,0.006578947368421052,0.0,0.49836065573770494
ALL,1,0.006578947368421052,0.0,0.49836065573770494
AWG,1,0.006578947368421052,0.0,0.49836065573770494
BAM,1,0.006578947368421052,0.0,0.49836065573770494
BBD,1,0.006578947368421052,0.0,0.49836065573770494
BDT,1,0.006578947368421052,0.0,0.49836065573770494
BIF,1,0.006578947368421052,0.0,0.49836065573770494
BND,1,0.006578947368421052,0.0,0.49836065573770494
BSD,1,0.006578947368421052,0.0,0.49836065573770494
BTN,1,0.006578947368421052,0.0,0.49836065573770494
BWP,1,0.006578947368421052,0.0,0.49836065573770494
BZD,1,0.006578947368421052,0.0,0.49836065573770494
CDF,1,0.006578947368421052,0.0,0.49836065573770494
CRC,1,0.006578947368421052,0.0,0.49836065573770494
CUP,1,0.006578947368421052,0.0,0.49836065573770494
CVE,1,0.006578947368421052,0.0,0.49836065573770494
DJF,1,0.006578947368421052,0.0,0.49836065573770494
DOP,1,0.006578947368421052,0.0,0.49836065573770494
DZD,1,0.006578947368421052,0.0,0.49836065573770494
ETB,1,0.006578947368421052,0.0,0.49836065573770494
GMD,1,0.006578947368421052,0.0,0.49836065573770494
GNF,1,0.006578947368421052,0.0,0.49836065573770494
GTQ,1,0.006578947368421052,0.0,0.49836065573770494
GYD,1,0.006578947368421052,0.0,0.49836065573770494
HNL,1,0.006578947368421052,0.0,0.49836065573770494
HTG,1,0.006578947368421052,0.0,0.49836065573770494
ISK,1,0.006578947368421052,0.0,0.49836065573770494
JMD,1,0.006578947368421052,0.0,0.49836065573770494
KES,1,0.006578947368421052,0.0,0.49836065573770494
KHR,1,0.006578947368421052,0.0,0.49836065573770494
KMF,1,0.006578947368421052,0.0,0.49836065573770494
LAK,1,0.006578947368421052,0.0,0.49836065573770494
LBP,1,0.006578947368421052,0.0,0.49836065573770494
LKR,1,0.006578947368421052,0.0,0.49836065573770494
