datetime,open,high,low,close
1979-12-24,1.76260,1.76260,1.76260,1.76260
1979-12-27,1.75330,1.75330,1.75330,1.75330
1979-12-28,1.76220,1.76220,1.76220,1.76220
1979-12-31,1.76610,1.76610,1.76610,1.76610
1980-01-02,1.75140,1.75140,1.75140,1.75140
1980-01-03,1.74510,1.74510,1.74510,1.74510
1980-01-04,1.75420,1.75420,1.75420,1.75420
1980-01-07,1.75260,1.75260,1.75260,1.75260
1980-01-08,1.75610,1.75610,1.75610,1.75610
1980-01-09,1.75430,1.75430,1.75430,1.75430
1980-01-10,1.75410,1.75410,1.75410,1.75410
1980-01-11,1.75520,1.75520,1.75520,1.75520
1980-01-14,1.75760,1.75760,1.75760,1.75760
1980-01-15,1.77350,1.77350,1.77350,1.77350
1980-01-16,1.76360,1.76360,1.76360,1.76360
1980-01-17,1.76530,1.76530,1.76530,1.76530
1980-01-18,1.76430,1.76430,1.76430,1.76430
1980-01-21,1.77190,1.77190,1.77190,1.77190
1980-01-22,1.78220,1.78220,1.78220,1.78220
1980-01-23,1.78390,1.78390,1.78390,1.78390
1980-01-24,1.78200,1.78200,1.78200,1.78200
1980-01-25,1.78810,1.78810,1.78810,1.78810
1980-01-28,1.78780,1.78780,1.78780,1.78780
1980-01-29,1.78710,1.78710,1.78710,1.78710
1980-01-30,1.79310,1.79310,1.79310,1.79310
1980-01-31,1.80450,1.80450,1.80450,1.80450
1980-02-01,1.80410,1.80410,1.80410,1.80410
1980-02-04,1.80620,1.80620,1.80620,1.80620
1980-02-05,1.79600,1.79600,1.79600,1.79600
1980-02-06,1.78620,1.78620,1.78620,1.78620
1980-02-07,1.78990,1.78990,1.78990,1.78990
1980-02-08,1.79620,1.79620,1.79620,1.79620
1980-02-11,1.79000,1.79000,1.79000,1.79000
1980-02-12,1.79440,1.79440,1.79440,1.79440
1980-02-13,1.78380,1.78380,1.78380,1.78380
1980-02-14,1.78750,1.78750,1.78750,1.78750
1980-02-15,1.80520,1.80520,1.80520,1.80520
1980-02-18,1.80410,1.80410,1.80410,1.80410
1980-02-19,1.81090,1.81090,1.81090,1.81090
1980-02-20,1.80660,1.80660,1.80660,1.80660
1980-02-21,1.80960,1.80960,1.80960,1.80960
1980-02-22,1.82690,1.82690,1.82690,1.82690
1980-02-25,1.83920,1.83920,1.83920,1.83920
1980-02-26,1.83380,1.83380,1.83380,1.83380
1980-02-27,1.83420,1.83420,1.83420,1.83420
1980-02-28,1.83510,1.83510,1.83510,1.83510
1980-02-29,1.86800,1.86800,1.86800,1.86800
1980-03-03,1.87990,1.87990,1.87990,1.87990
1980-03-04,1.88480,1.88480,1.88480,1.88480
1980-03-05,1.87510,1.87510,1.87510,1.87510
1980-03-06,1.87920,1.87920,1.87920,1.87920
1980-03-07,1.88210,1.88210,1.88210,1.88210
1980-03-10,1.89290,1.89290,1.89290,1.89290
1980-03-11,1.89770,1.89770,1.89770,1.89770
1980-03-12,1.89460,1.89460,1.89460,1.89460
1980-03-13,1.90630,1.90630,1.90630,1.90630
1980-03-14,1.92470,1.92470,1.92470,1.92470
1980-03-17,1.94790,1.94790,1.94790,1.94790
1980-03-18,1.92900,1.92900,1.92900,1.92900
1980-03-19,1.92390,1.92390,1.92390,1.92390
1980-03-20,1.91560,1.91560,1.91560,1.91560
1980-03-21,1.93240,1.93240,1.93240,1.93240
1980-03-24,1.93940,1.93940,1.93940,1.93940
1980-03-25,1.94560,1.94560,1.94560,1.94560
1980-03-26,1.94730,1.94730,1.94730,1.94730
1980-03-27,1.99230,1.99230,1.99230,1.99230
1980-03-28,1.97540,1.97540,1.97540,1.97540
1980-03-31,1.99970,1.99970,1.99970,1.99970
1980-04-01,2.014800,2.014800,2.014800,2.014800
1980-04-02,1.98310,1.98310,1.98310,1.98310
1980-04-03,1.99650,1.99650,1.99650,1.99650
1980-04-08,1.98510,1.98510,1.98510,1.98510
1980-04-09,1.93250,1.93250,1.93250,1.93250
1980-04-10,1.93530,1.93530,1.93530,1.93530
1980-04-11,1.90890,1.90890,1.90890,1.90890
1980-04-14,1.90580,1.90580,1.90580,1.90580
1980-04-15,1.94050,1.94050,1.94050,1.94050
1980-04-16,1.89490,1.89490,1.89490,1.89490
1980-04-17,1.90460,1.90460,1.90460,1.90460
1980-04-18,1.89180,1.89180,1.89180,1.89180
1980-04-21,1.89240,1.89240,1.89240,1.89240
1980-04-22,1.90730,1.90730,1.90730,1.90730
1980-04-23,1.88460,1.88460,1.88460,1.88460
1980-04-24,1.87670,1.87670,1.87670,1.87670
1980-04-25,1.87370,1.87370,1.87370,1.87370
1980-04-28,1.85710,1.85710,1.85710,1.85710
1980-04-29,1.86320,1.86320,1.86320,1.86320
1980-04-30,1.85790,1.85790,1.85790,1.85790
1980-05-01,1.85510,1.85510,1.85510,1.85510
1980-05-02,1.87850,1.87850,1.87850,1.87850
1980-05-06,1.85540,1.85540,1.85540,1.85540
1980-05-07,1.85610,1.85610,1.85610,1.85610
1980-05-08,1.86630,1.86630,1.86630,1.86630
1980-05-09,1.88670,1.88670,1.88670,1.88670
1980-05-12,1.87920,1.87920,1.87920,1.87920
1980-05-13,1.88010,1.88010,1.88010,1.88010
1980-05-14,1.87940,1.87940,1.87940,1.87940
1980-05-15,1.88150,1.88150,1.88150,1.88150
1980-05-16,1.87850,1.87850,1.87850,1.87850
1980-05-19,1.88750,1.88750,1.88750,1.88750
1980-05-20,1.90290,1.90290,1.90290,1.90290
1980-05-21,1.88580,1.88580,1.88580,1.88580
1980-05-22,1.89210,1.89210,1.89210,1.89210
1980-05-23,1.89050,1.89050,1.89050,1.89050
1980-05-27,1.88420,1.88420,1.88420,1.88420
1980-05-28,1.88970,1.88970,1.88970,1.88970
1980-05-29,1.89240,1.89240,1.89240,1.89240
1980-05-30,1.89560,1.89560,1.89560,1.89560
1980-06-02,1.89900,1.89900,1.89900,1.89900
1980-06-03,1.89050,1.89050,1.89050,1.89050
1980-06-04,1.88610,1.88610,1.88610,1.88610
1980-06-05,1.89020,1.89020,1.89020,1.89020
1980-06-06,1.88820,1.88820,1.88820,1.88820
1980-06-09,1.87290,1.87290,1.87290,1.87290
1980-06-10,1.87580,1.87580,1.87580,1.87580
