datetime,open,high,low,close
2015-01-08,79.97000,80.28000,75.56000,76.46000
2015-01-09,75.99000,79.62000,75.80000,78.57000
2015-01-14,82.90000,85.19000,81.69000,82.17000
2015-01-15,81.86000,84.56000,80.16000,83.29000
2015-01-16,82.89000,83.80000,82.15000,83.16000
2015-01-19,82.65000,83.89000,81.5,83.010002
2015-01-22,82.99000,83.84000,81.49000,81.96000
2015-01-23,81.65000,83.75,80.080002,81.93000
2015-01-26,81.20000,88.58000,81.20000,87.37000
2015-01-27,86.88000,87.38000,84.32000,86.37000
2015-02-02,88.33000,90.23000,86.49000,87.25
2015-02-04,82.88000,87.70000,81.95000,86.75
2015-02-05,86.57000,88.050003,83.72000,85.029999
2015-02-06,84.68000,86.40000,83.34000,85.77000
2015-02-09,84.75,85.75,82.80000,84.15000
2015-02-10,83.84000,85.59000,82.64000,83.63000
2015-02-11,83.33000,85.47000,82.64000,83.37000
2015-02-12,83.070000,85.11000,82.54000,83.39000
2015-02-13,83.070000,83.70000,80.070000,81.13000
2015-02-16,80.84000,81.21000,78.75,80.68000
2015-02-17,80.39000,81.040001,78.75,79.76000
2015-02-18,79.47000,79.91000,77.60000,78.56000
2015-02-19,78.28000,79.90000,77.48000,78.95000
2015-02-20,78.66000,79.45000,77.74000,78.79000
2015-02-23,78.87000,79.080002,58.77000,61.69000
2015-02-24,61.48000,61.68000,59.14000,60.32000
2015-02-25,60.14000,60.5,58.21000,58.57000
2015-02-26,58.44000,58.79000,57.40000,58.37000
2015-02-27,58.19000,59.46000,57.55000,58.92000
2015-03-02,58.60000,60.13000,57.96000,59.75
2015-03-03,59.67000,59.97000,58.64000,59.099998
2015-03-04,58.94000,59.64000,58.28000,59.19000
2015-03-05,59.020000,59.29000,57.64000,58.14000
2015-03-06,57.95000,58.34000,56.18000,57.76000
2015-03-09,57.56000,58.40000,57.20000,58.099998
2015-03-10,57.93000,60.060001,57,59.68000
2015-03-11,59.38000,60.11000,58.33000,58.87000
2015-03-12,58.70000,59.049999,57.12000,58.45000
2015-03-13,58.18000,60.040001,57.73000,59.48000
2015-03-16,59.19000,60.17000,58.39000,59.46000
2015-03-17,59.11000,59.62000,58.26000,58.78000
2015-03-18,58.5,58.81000,56.30000,57.23000
2015-03-19,56.56000,57.68000,55.82000,57.5
2015-03-20,57,58.020000,56.17000,56.68000
2015-03-23,56.45000,56.65000,55.81000,56.19000
2015-03-24,56,56.40000,54.87000,55.14000
2015-03-25,55,55.58000,53.72000,54.92000
2015-03-26,54.65000,55.14000,54.18000,54.81000
2015-03-27,54.65000,55.58000,54.31000,55.47000
2015-03-30,55.15000,55.80000,54.63000,55.080002
2015-03-31,54.93000,55.67000,54.25,55.64000
2015-04-01,55.49000,55.67000,54.63000,55.070000
2015-04-02,54.95000,55.14000,53.51000,53.81000
2015-04-03,53.68000,54.59000,52.91000,54.040001
2015-04-06,53.83000,54.060001,52.47000,52.93000
2015-04-07,52.84000,53.040001,52.070000,52.55000
2015-04-08,52.41000,52.55000,50.78000,51.12000
2015-04-09,50.98000,51.13000,48.97000,49.43000
2015-04-10,49.28000,51.14000,47.47000,51.070000
2015-04-13,51.099998,51.23000,48.87000,49.5
2015-04-14,49.35000,49.92000,48.11000,48.52000
2015-04-15,48.39000,48.59000,47.060001,47.44000
2015-04-16,47.37000,47.86000,46.37000,47.51000
2015-04-17,47.37000,50.37000,47.040001,49.54000
2015-04-20,49.40000,51.090000,48.45000,50.90000
2015-04-21,50.76000,51.51000,50.090000,51.33000
2015-04-22,51.099998,51.33000,49.29000,49.79000
2015-04-23,49.66000,50.040001,48.17000,48.48000
2015-04-24,48.30000,49.24000,47.36000,48.59000
2015-04-27,48.36000,49.79000,47.51000,49.45000
2015-04-28,49.60000,50.070000,48.58000,49.24000
2015-04-29,48.75,49.48000,48.22000,48.64000
2015-04-30,48.56000,49.92000,47.88000,49.43000
2015-05-01,49.22000,49.69000,48.69000,49.53000
2015-05-04,49.38000,49.97000,48.56000,49.83000
2015-05-05,49.64000,49.91000,47.89000,48.37000
2015-05-06,48.14000,48.81000,46.98000,48.29000
2015-05-07,48.49000,48.68000,47.64000,47.91000
2015-05-08,47.76000,49.28000,47.56000,48.87000
2015-05-11,48.090000,49.52000,48.090000,49
2015-05-12,48.82000,49.31000,47.34000,47.79000
2015-05-13,47.74000,48.090000,46.54000,47.049999
2015-05-14,46.92000,48.040001,46.61000,47.87000
2015-05-15,47.72000,48.049999,46.93000,47.42000
2015-05-18,47.19000,47.36000,46.45000,47.11000
2015-05-19,46.97000,47.62000,46.49000,47.41000
2015-05-20,47.44000,47.99000,46.82000,47.53000
2015-05-21,47.39000,47.94000,47,47.78000
2015-05-22,47.65000,47.97000,46.90000,47.78000
2015-05-25,47.61000,47.98000,46.61000,47.76000
2015-05-26,47.61000,48.70000,47.040001,48.55000
2015-05-27,48.53000,49.72000,48.0099983,49.34000
2015-05-28,49.5,50.64000,49.16000,50.22000
2015-05-29,50.0099983,50.47000,49.65000,50.040001
2015-06-01,49.84000,51.28000,49.31000,51.22000
2015-06-02,50.96000,51.25,49.90000,50.40000
2015-06-03,50.22000,52,49.66000,51.92000
2015-06-04,51.72000,54.42000,51.34000,53.99000
2015-06-05,53.45000,54.70000,53.24000,53.76000
2015-06-08,53.41000,53.94000,52.78000,53.52000
2015-06-09,53.37000,53.71000,52.72000,53.26000
2015-06-10,53.099998,53.25,51.23000,51.97000
2015-06-11,51.83000,52.57000,50.93000,52.44000
2015-06-12,52.29000,52.91000,51.78000,52.42000
2015-06-15,52.57000,52.76000,51.77000,52.14000
2015-06-16,51.99000,52.77000,50.97000,51.72000
2015-06-17,51.21000,51.95000,50.81000,51.31000
2015-06-18,51.14000,51.39000,50.62000,51.18000
2015-06-19,51.020000,52.029999,50.66000,51.68000
2015-06-22,51.53000,51.85000,50.41000,51.63000
2015-06-23,51.48000,52.35000,50.99000,51.48000
2015-06-24,51.31000,52.34000,50.68000,51.90000
2015-06-25,51.75,52.39000,51.12000,52.33000
2015-06-26,52.17000,52.91000,51.91000,52.40000
2015-06-29,52.24000,53.33000,51.81000,53.24000
2015-06-30,53.099998,53.42000,52.24000,52.88000
2015-07-01,52.73000,53.42000,52.29000,53.36000
2015-07-02,53.24000,53.44000,52.51000,53.040001
2015-07-03,52.84000,53.53000,52.35000,53.47000
2015-07-06,53.42000,54.41000,52.88000,54.34000
2015-07-07,54.18000,55.13000,53.71000,54.16000
2015-07-08,54.080002,55.070000,53.5,54.74000
2015-07-09,54.60000,54.97000,53.99000,54.42000
2015-07-10,54.32000,54.61000,53.33000,53.85000
2015-07-13,53.56000,54.33000,53.13000,54.049999
2015-07-14,53.87000,54.39000,53.37000,53.89000
2015-07-15,53.70000,54.45000,53.19000,54.33000
2015-07-16,54.16000,54.43000,53.60000,54.38000
2015-07-17,54.24000,54.55000,53.73000,54.38000
2015-07-20,54.18000,54.67000,53.76000,54.65000
2015-07-21,54.23000,54.69000,53.67000,54.36000
2015-07-22,54.20000,55.049999,53.65000,54.43000
2015-07-23,54.44000,55.66000,53.99000,54.91000
2015-07-24,54.71000,56.12000,54.58000,55.85000
2015-07-27,55.69000,57.32000,55.22000,57.32000
2015-07-28,57.15000,58.20000,56.24000,57.24000
2015-07-29,57.040001,57.68000,55.19000,55.62000
2015-07-30,55.28000,57.25,55.28000,57.080002
2015-07-31,56.93000,59.0099983,56.41000,58.98000
2015-08-03,58.80000,60.79000,57.95000,60.73000
2015-08-04,60.51000,60.86000,58.96000,60.020000
2015-08-05,59.82000,61.23000,59.23000,60.45000
2015-08-06,60.040001,61.66000,59.58000,60.93000
2015-08-07,60.82000,61.78000,60.37000,60.98000
2015-08-10,60.79000,61.78000,59.66000,60.20000
2015-08-11,60.020000,61.81000,59.39000,61.0099983
2015-08-12,60.66000,61.84000,60.66000,61.58000
2015-08-13,61.40000,62.16000,61.14000,61.84000
2015-08-14,61.65000,62.18000,61.32000,61.96000
2015-08-17,62.16000,62.56000,61.31000,62.36000
2015-08-18,62.18000,63.040001,61.65000,62.91000
2015-08-19,62.73000,63.67000,61.89000,63.65000
2015-08-20,63.46000,65.26000,63.40000,64.68000
2015-08-21,64.28000,66.23000,64.28000,66
2015-08-24,65.77000,68.059998,65.77000,67.76000
2015-08-25,67.53000,68.11000,64.93000,65.91000
2015-08-26,66.040001,66.70000,65.5,65.89000
2015-08-27,65.69000,66.070000,62.65000,63.23000
2015-08-28,63.0099983,64.30000,61.72000,62.32000
2015-08-31,62.16000,64.42000,60.67000,61.040001
2015-09-01,60.86000,63.93000,60.86000,63.22000
2015-09-02,63.029999,65.070000,63.020000,64.010002
2015-09-03,63.84000,64.71000,63.029999,63.52000
2015-09-04,63.34000,65.52000,63.34000,65.46000
2015-09-07,65.26000,66.24000,64.49000,66.050003
2015-09-08,65.82000,66.33000,64.23000,64.69000
2015-09-09,64.32000,65.53000,64.32000,65.42000
2015-09-10,64.82000,65.84000,63.44000,63.82000
2015-09-11,63.64000,65.33000,63.26000,64.83000
2015-09-14,64.61000,65.5,63.24000,64.059998
2015-09-15,63.35000,65.88000,62.21000,63.20000
2015-09-16,62.43000,63.93000,60.66000,62.63000
2015-09-17,62.42000,63.42000,61.090000,62.56000
2015-09-18,62.39000,63.73000,61.58000,63.5
2015-09-21,63.31000,63.56000,61.66000,63.15000
2015-09-22,62.96000,63.84000,62.83000,63.11000
2015-09-23,62.90000,63.95000,62.36000,63.62000
2015-09-24,63.56000,63.95000,62.68000,63.21000
2015-09-25,62.99000,63.27000,62.25,62.59000
2015-09-28,62.42000,63.61000,61.34000,63.31000
2015-09-29,63.25,63.52000,62.13000,63.29000
2015-09-30,63.090000,63.34000,62.099998,62.44000
2015-10-01,62.22000,63.25,61.86000,62.93000
2015-10-02,62.43000,63.74000,62.31000,63.19000
2015-10-05,63.020000,63.20000,61.38000,61.63000
2015-10-06,61.41000,62.13000,60,60.5
2015-10-07,60.28000,61.12000,58.76000,59.41000
2015-10-08,58.95000,59.87000,58.40000,58.67000
2015-10-09,58.5,59.15000,57.85000,59.080002
2015-10-12,58.92000,59.79000,58.14000,58.92000
2015-10-13,58.77000,60.41000,58.75,60.29000
2015-10-14,60.020000,60.42000,59.53000,59.91000
2015-10-15,59.70000,59.94000,58.40000,58.71000
2015-10-16,58.44000,59.45000,57.91000,58.45000
2015-10-19,58.80000,59.96000,58.80000,59.71000
2015-10-20,59.5,60,58.72000,59.24000
2015-10-21,59.020000,60.36000,58.96000,59.75
2015-10-22,59.57000,60.61000,59.42000,59.60000
2015-10-23,59.66000,59.98000,58.93000,59.43000
2015-10-26,59.25,60.28000,58.28000,60.22000
2015-10-27,60.0099983,62.54000,60.0099983,62.54000
2015-10-28,62.33000,62.68000,59.40000,61.16000
2015-10-29,60.94000,61.75,60.090000,61.53000
2015-10-30,61.18000,61.55000,59.94000,61.22000
2015-11-02,60.88000,61.40000,59.53000,60.85000
2015-11-03,60.61000,60.99000,59.28000,59.63000
2015-11-04,59.44000,60.55000,59.14000,60.41000
2015-11-05,60.19000,60.76000,59.87000,60.51000
2015-11-06,60.29000,62.029999,59.92000,61.49000
2015-11-09,61.23000,61.89000,61.23000,61.77000
2015-11-10,61.52000,61.92000,61.020000,61.60000
2015-11-11,61.5,62.79000,61.28000,62.45000
2015-11-12,62.32000,63.95000,62.029999,63.70000
2015-11-13,63.38000,64.050003,62.85000,63.90000
2015-11-16,63.58000,64.040001,61.98000,62.43000
2015-11-17,62.11000,63.20000,61.5,62.53000
2015-11-18,62.0099983,62.64000,61.5,61.99000
2015-11-19,61.67000,62.16000,61.30000,61.63000
2015-11-20,61.42000,62.22000,61.28000,61.81000
2015-11-23,61.70000,63.20000,61.41000,62.95000
2015-11-24,62.74000,63.48000,62.11000,62.59000
2015-11-25,62.38000,63.18000,61.88000,62.71000
2015-11-26,62.5,63.12000,62.28000,62.93000
2015-11-27,62.68000,63.57000,62.34000,63.48000
2015-11-30,63.25,63.58000,62.35000,63.40000
2015-12-01,63.19000,63.96000,63.090000,63.73000
2015-12-02,63.53000,64.95000,63.40000,64.80000
2015-12-03,64.25,65.51000,64.059998,64.77000
2015-12-04,64.26000,65.29000,64.26000,65.029999
2015-12-07,64.84000,66.62000,64.84000,66.11000
2015-12-08,65.90000,66.88000,65.83000,66.43000
2015-12-09,66.21000,66.72000,65.45000,66.58000
2015-12-10,66.38000,66.95000,64.96000,65.52000
2015-12-11,65.49000,67.54000,65.45000,67.30000
2015-12-14,66.73000,68.21000,66.73000,67.49000
2015-12-15,66.84000,68.16000,66.32000,67.25
2015-12-16,66.51000,67.48000,66.23000,67.18000
2015-12-17,66.92000,68.46000,66.73000,68.18000
2015-12-18,67.95000,68.18000,67.19000,67.88000
2015-12-21,67.69000,68.42000,45.56000,46.14000
2015-12-22,45.80000,46.040001,45.63000,45.86000
2015-12-23,45.74000,45.88000,44.67000,44.94000
2015-12-24,44.84000,45.39000,44.43000,45.16000
2015-12-25,45.060001,45.49000,44.99000,45.45000
2015-12-28,45.090000,46.44000,44.88000,46.41000
2015-12-29,46.30000,46.59000,45.92000,46.34000
2015-12-30,46.24000,47.16000,46.18000,46.89000
2015-12-31,46.80000,47.61000,46.49000,46.73000
2016-01-04,46.57000,47.13000,46.38000,46.56000
2016-01-05,46.45000,47.060001,46.22000,46.94000
2016-01-06,46.82000,48.020000,46.73000,47.66000
2016-01-07,47.58000,48.33000,44.099998,47.98000
2016-01-08,47.71000,48.12000,46.88000,47.75
2016-01-11,47.77000,49.27000,46.13000,48.75
2016-01-12,48.65000,49.18000,48.20000,48.97000
2016-01-13,48.83000,49.11000,46.68000,48.78000
2016-01-14,48.68000,49.22000,46.61000,48.71000
2016-01-15,48.56000,49.80000,46.77000,49.68000
2016-01-18,49.52000,50.60000,47.47000,50.20000
2016-01-19,50.090000,50.31000,46.83000,49.35000
2016-01-20,49.25,51.46000,49.049999,50.70000
2016-01-21,50.60000,53.14000,49.35000,51.59000
2016-01-22,51.45000,51.89000,47.19000,48.94000
2016-01-25,48.81000,50.74000,45.97000,50.049999
2016-01-26,49.95000,50.97000,47.24000,49.30000
2016-01-27,49.19000,50.47000,46.75,49.94000
2016-01-28,49.85000,50.0099983,45.5,47.79000
2016-01-29,47.65000,48.25,46.070000,47.11000
2016-02-01,46.97000,48.61000,46.89000,48.27000
2016-02-02,48.11000,50.029999,48.029999,49.99000
2016-02-03,49.90000,50.22000,46.43000,48.62000
2016-02-04,48.54000,48.78000,45.95000,48.55000
2016-02-05,48.46000,49.23000,46.30000,49.070000
2016-02-08,48.87000,49.91000,47.11000,49.12000
2016-02-09,49,50.57000,48.25,50.44000
2016-02-10,50.24000,50.58000,47.64000,50.58000
2016-02-11,50.48000,51.39000,48.32000,51.12000
2016-02-12,51.0099983,51.11000,47.94000,50.30000
2016-02-15,50.21000,50.46000,48.73000,48.90000
2016-02-16,48.76000,49.76000,47.040001,49.57000
2016-02-17,49.41000,49.79000,46.31000,47.79000
2016-02-18,47.56000,48.93000,45.64000,48.93000
2016-02-19,48.88000,49.90000,46.87000,49.33000
2016-02-22,49.22000,50.62000,46.72000,47.84000
2016-02-23,47.65000,50.14000,46.26000,48.77000
2016-02-24,48.68000,49.67000,47.13000,48.53000
2016-02-25,48.43000,49.12000,47.75,48.11000
2016-02-26,48.0099983,48.91000,47.49000,48.73000
2016-02-29,48.40000,48.84000,47.62000,48.040001
2016-03-01,47.91000,48.020000,44.32000,47.15000
2016-03-02,47.060001,47.53000,44.95000,46.91000
2016-03-03,46.82000,47.16000,44.5,46.41000
2016-03-04,46.20000,46.59000,43.51000,45.24000
2016-03-07,45.31000,45.53000,42.77000,44.74000
2016-03-08,44.66000,45.28000,44.19000,45.27000
2016-03-09,45.070000,45.5,42.23000,44.13000
2016-03-10,43.99000,44.44000,41.19000,44.20000
2016-03-11,44.049999,44.27000,40.62000,43.14000
2016-03-14,42.98000,43.84000,40.84000,43.23000
2016-03-15,43.020000,44.35000,41.23000,44.020000
2016-03-16,43.94000,44.55000,41.72000,42.73000
2016-03-17,42.56000,43.30000,40.63000,42.27000
2016-03-18,42.080002,42.91000,40.53000,42.82000
2016-03-21,42.84000,43.23000,40.76000,42.40000
2016-03-22,42.33000,42.68000,41.90000,42.060001
2016-03-23,42.020000,43.070000,41.17000,42.93000
2016-03-24,42.84000,43.57000,41.24000,43.080002
2016-03-25,42.99000,43.12000,42.31000,42.71000
2016-03-28,42.74000,42.89000,40.70000,42.46000
2016-03-29,44.92000,45.98000,40.91000,42.040001
2016-03-30,41.14000,43.83000,40.42000,43.77000
2016-03-31,43.64000,43.93000,43.16000,43.43000
2016-04-01,43.23000,45.060001,42.29000,44.59000
2016-04-04,43.45000,45.53000,43.38000,45.38000
2016-04-05,45.27000,45.77000,43.72000,45.13000
2016-04-06,44.99000,45.34000,44.35000,44.60000
2016-04-07,44.45000,45.099998,44.32000,44.89000
2016-04-08,44.80000,44.97000,43.93000,44.20000
2016-04-11,44.14000,44.33000,41.85000,43.66000
2016-04-12,43.55000,43.87000,42.060001,42.94000
2016-04-13,42.79000,43.44000,41.27000,43.34000
2016-04-14,43.18000,43.58000,41.95000,43.30000
2016-04-15,43.20000,43.81000,42.57000,43.66000
2016-04-18,43.54000,45.35000,42.090000,42.92000
2016-04-19,43.5,43.83000,42.020000,43.36000
2016-04-20,43.25,43.76000,41.62000,43.020000
2016-04-21,42.97000,44.24000,41.42000,44.12000
2016-04-22,44.029999,44.28000,42.38000,43.98000
2016-04-25,43.95000,44.26000,42.55000,44.099998
2016-04-26,44,44.16000,42.82000,43.24000
2016-04-27,43.040001,43.74000,41.93000,43.22000
2016-04-28,43.020000,43.27000,41.68000,42.91000
2016-04-29,42.78000,43.19000,41.28000,42.76000
2016-05-02,42.79000,43.28000,41.57000,43.17000
2016-05-03,43.090000,44.26000,41.75,44.020000
2016-05-04,43.91000,44.29000,42.44000,44.18000
2016-05-05,44.16000,44.84000,42.30000,43.14000
2016-05-06,42.46000,44.88000,42.20000,43.020000
2016-05-09,43.61000,44.12000,41.92000,44.040001
2016-05-10,43.96000,44.51000,42.35000,43.42000
2016-05-11,42.92000,45.040001,42.13000,42.84000
2016-05-12,42.59000,43.45000,41.89000,42.87000
2016-05-13,42.83000,43.37000,41.70000,43.35000
2016-05-16,43.27000,43.44000,41.72000,42.96000
2016-05-17,42.86000,43.47000,41.82000,42.80000
2016-05-18,42.47000,43.96000,42.0099983,43.87000
2016-05-19,43.78000,44.70000,42.96000,44.27000
2016-05-20,44.17000,44.55000,42.97000,44.29000
2016-05-23,44.18000,44.59000,43.37000,44.33000
2016-05-24,44.18000,44.99000,42.98000,43.43000
2016-05-25,43.68000,43.94000,42.63000,43.39000
2016-05-26,43.31000,44.25,41.34000,44.19000
2016-05-27,44.080002,44.54000,42.81000,44.13000
2016-05-30,44.020000,44.30000,43.87000,44.080002
2016-05-31,44,44.92000,42.93000,44.77000
2016-06-01,44.66000,45.38000,43.34000,44.75
2016-06-02,44.45000,45.44000,43.29000,44.88000
2016-06-03,44.78000,44.90000,43.25,43.80000
2016-06-06,43.71000,44.71000,42.34000,43.51000
2016-06-07,43.43000,43.73000,41.87000,42.99000
2016-06-08,42.89000,43.090000,41.22000,42.25
2016-06-09,42.15000,43,40.60000,42.37000
2016-06-10,42.020000,43.32000,41.31000,43.22000
2016-06-13,42.99000,44.25,41.43000,42.96000
2016-06-14,42.30000,44.24000,41.73000,43.60000
2016-06-15,43.020000,43.73000,41.79000,43.27000
2016-06-16,43.19000,44.18000,41.73000,42.81000
2016-06-17,42.099998,43.39000,41.34000,42.66000
2016-06-20,42.58000,43.090000,40.57000,42.19000
2016-06-21,42.13000,42.27000,40.61000,41.88000
2016-06-22,41.76000,42.65000,40.26000,42.30000
2016-06-23,42.19000,42.42000,40.44000,41.55000
2016-06-24,41.43000,44.080002,41.22000,42.34000
2016-06-27,42.24000,43.77000,40.87000,41.97000
2016-06-28,41.080002,42.33000,40.12000,41.85000
2016-06-29,41.75,41.92000,39.95000,41.48000
2016-06-30,41.39000,42.029999,39.85000,41.48000
2016-07-01,41.29000,41.65000,39.75,41.32000
2016-07-04,41.22000,41.5,39.56000,41.40000
2016-07-05,41.24000,41.88000,39.94000,41.68000
2016-07-06,41.60000,42.80000,39.94000,41.12000
2016-07-07,40.14000,42.84000,40.099998,41.080002
2016-07-08,40.20000,42.45000,39.79000,40.82000
2016-07-11,41.19000,41.95000,39.74000,40.94000
2016-07-12,40.36000,41.48000,39.46000,41.049999
2016-07-13,40.95000,41.28000,40.71000,41.090000
