datetime,open,high,low,close
2016-03-16,0.5,0.5,0.5,0.5
2016-03-17,0.5,0.5,0.5,0.5
2016-03-18,0.5,0.5,0.5,0.5
2016-03-21,0.5,0.5,0.5,0.5
2016-03-22,0.5,0.5,0.5,0.5
2016-03-23,0.5,0.5,0.5,0.5
2016-03-24,0.5,0.5,0.5,0.5
2016-03-25,0.5,0.5,0.5,0.5
2016-03-28,0.5,0.5,0.5,0.5
2016-03-29,0.5,0.5,0.5,0.5
2016-03-30,0.5,0.5,0.5,0.5
2016-03-31,0.5,0.5,0.5,0.5
2016-04-01,0.5,0.5,0.5,0.5
2016-04-04,0.5,0.5,0.5,0.5
2016-04-05,0.5,0.5,0.5,0.5
2016-04-06,0.5,0.5,0.5,0.5
2016-04-07,0.5,0.5,0.5,0.5
2016-04-08,0.5,0.5,0.5,0.5
2016-04-11,0.5,0.5,0.5,0.5
2016-04-12,0.5,0.5,0.5,0.5
2016-04-13,0.5,0.5,0.5,0.5
2016-04-14,0.5,0.5,0.5,0.5
2016-04-15,0.5,0.5,0.5,0.5
2016-04-18,0.5,0.5,0.5,0.5
2016-04-19,0.5,0.5,0.5,0.5
2016-04-20,0.5,0.5,0.5,0.5
2016-04-21,0.5,0.5,0.5,0.5
2016-04-22,0.5,0.5,0.5,0.5
2016-04-25,0.5,0.5,0.5,0.5
2016-04-26,0.5,0.5,0.5,0.5
2016-04-27,0.5,0.5,0.5,0.5
2016-04-28,0.5,0.5,0.5,0.5
2016-04-29,0.5,0.5,0.5,0.5
2016-05-02,0.5,0.5,0.5,0.5
2016-05-03,0.5,0.5,0.5,0.5
2016-05-04,0.5,0.5,0.5,0.5
2016-05-05,0.5,0.5,0.5,0.5
2016-05-06,0.5,0.5,0.5,0.5
2016-05-09,0.5,0.5,0.5,0.5
2016-05-10,0.5,0.5,0.5,0.5
2016-05-11,0.5,0.5,0.5,0.5
2016-05-12,0.5,0.5,0.5,0.5
2016-05-13,0.5,0.5,0.5,0.5
2016-05-16,0.5,0.5,0.5,0.5
2016-05-17,0.5,0.5,0.5,0.5
2016-05-18,0.5,0.5,0.5,0.5
2016-05-19,0.5,0.5,0.5,0.5
2016-05-20,0.5,0.5,0.5,0.5
2016-05-23,0.5,0.5,0.5,0.5
2016-05-24,0.5,0.5,0.5,0.5
2016-05-25,0.5,0.5,0.5,0.5
2016-05-26,0.5,0.5,0.5,0.5
2016-05-27,0.5,0.5,0.5,0.5
2016-05-30,0.5,0.5,0.5,0.5
2016-05-31,0.5,0.5,0.5,0.5
2016-06-01,0.5,0.5,0.5,0.5
2016-06-02,0.5,0.5,0.5,0.5
2016-06-03,0.5,0.5,0.5,0.5
2016-06-06,0.5,0.5,0.5,0.5
2016-06-07,0.5,0.5,0.5,0.5
2016-06-08,0.5,0.5,0.5,0.5
2016-06-09,0.5,0.5,0.5,0.5
2016-06-10,0.5,0.5,0.5,0.5
2016-06-13,0.5,0.5,0.5,0.5
2016-06-14,0.5,0.5,0.5,0.5
2016-06-15,0.5,0.5,0.5,0.5
2016-06-16,0.5,0.5,0.5,0.5
2016-06-17,0.5,0.5,0.5,0.5
2016-06-28,0.5,0.5,0.5,0.5
2016-06-29,0.5,0.5,0.5,0.5
2016-06-30,0.5,0.5,0.5,0.5
2016-07-01,0.49380001,0.49810001,0.48600000,0.49810001
2016-07-04,0.49849999,0.50150001,0.49550000,0.49849999
2016-07-05,0.49950001,0.49980000,0.49489999,0.49829999
2016-07-06,0.49500000,0.49810001,0.49239999,0.49559999
2016-07-07,0.49340001,0.49910000,0.49340001,0.49710000
2016-07-08,0.49750000,0.50139999,0.49290001,0.49700001
2016-07-11,0.49710000,0.49759999,0.49200001,0.49759999
2016-07-12,0.49779999,0.5,0.49239999,0.5
2016-07-13,0.49950001,0.5,0.49390000,0.49930000
2016-07-14,0.49430001,0.50269997,0.49430001,0.50199997
2016-07-15,0.50330001,0.50500000,0.49509999,0.50459999
2016-07-18,0.49919999,0.50520003,0.49790001,0.50470001
2016-07-19,0.50599998,0.50680000,0.49860001,0.50569999
2016-07-20,0.50599998,0.50629997,0.50309998,0.50540000
2016-07-21,0.50300002,0.50680000,0.50300002,0.50610000
2016-07-22,0.50590003,0.50590003,0.49829999,0.50430000
2016-07-25,0.50470001,0.50470001,0.50199997,0.50309998
2016-07-26,0.50199997,0.50250000,0.50080001,0.50099999
2016-07-27,0.50099999,0.50220001,0.5,0.50209999
2016-07-28,0.50099999,0.50300002,0.50099999,0.50250000
2016-07-29,0.50480002,0.50480002,0.49980000,0.50279999
2016-08-01,0.50040001,0.50610000,0.50040001,0.50459999
2016-08-02,0.50510001,0.50510001,0.49880001,0.50379997
2016-08-03,0.50290000,0.50309998,0.50139999,0.50190002
2016-08-04,0.50180000,0.50199997,0.5,0.50180000
2016-08-05,0.50309998,0.50580001,0.50269997,0.50559998
2016-08-08,0.50580001,0.50910002,0.50510001,0.50819999
2016-08-09,0.50819999,0.50970000,0.50819999,0.50910002
2016-08-10,0.51080000,0.51120001,0.50910002,0.51120001
2016-08-11,0.51099998,0.51150000,0.50919998,0.51150000
2016-08-12,0.51130003,0.51270002,0.50950003,0.51270002
2016-08-15,0.51169997,0.51400000,0.49930000,0.51359999
2016-08-16,0.51080000,0.51789999,0.51069999,0.51539999
2016-08-17,0.51010001,0.51679999,0.51010001,0.51630002
2016-08-18,0.51709998,0.51929998,0.51709998,0.51819998
2016-08-19,0.51880002,0.51980001,0.51740003,0.51849997
2016-08-22,0.51090002,0.51800001,0.51090002,0.51480001
2016-08-23,0.51580000,0.51620001,0.51370001,0.51389998
2016-08-24,0.51300001,0.51459998,0.51090002,0.51190001
2016-08-25,0.49300000,0.51169997,0.49300000,0.51130003
2016-08-26,0.50739998,0.51370001,0.50739998,0.51279998
2016-08-29,0.50739998,0.51239997,0.50709999,0.51050001
2016-08-30,0.51090002,0.51169997,0.50700003,0.51090002
2016-08-31,0.50700003,0.51090002,0.50520003,0.51050001
2016-09-01,0.51050001,0.51130003,0.50950003,0.50999999
2016-09-02,0.50470001,0.50950003,0.50470001,0.50880003
2016-09-05,0.50599998,0.51130003,0.50599998,0.51020002
2016-09-06,0.50599998,0.51050001,0.50559998,0.51010001
2016-09-07,0.50559998,0.51249999,0.50559998,0.51209998
2016-09-08,0.50840002,0.51419997,0.50840002,0.51410002
2016-09-09,0.50840002,0.51419997,0.50840002,0.51389998
2016-09-12,0.51130003,0.51510000,0.50970000,0.50970000
2016-09-13,0.50720000,0.51220000,0.50720000,0.51080000
2016-09-14,0.50720000,0.51179999,0.50720000,0.51090002
2016-09-15,0.50900000,0.51279998,0.50900000,0.51239997
2016-09-16,0.51650000,0.51670003,0.51220000,0.51220000
2016-09-19,0.51270002,0.51429999,0.51239997,0.51300001
2016-09-20,0.51310003,0.51410002,0.51249999,0.51340002
2016-09-21,0.51300001,0.51459998,0.51300001,0.51440001
2016-09-22,0.51639998,0.51849997,0.51279998,0.51840001
