datetime,open,high,low,close
1982-01-04,1.50980,1.50980,1.50980,1.50980
1982-01-05,1.52250,1.52250,1.52250,1.52250
1982-01-06,1.52620,1.52620,1.52620,1.52620
1982-01-07,1.53970,1.53970,1.53970,1.53970
1982-01-08,1.54010,1.54010,1.54010,1.54010
1982-01-11,1.55920,1.55920,1.55920,1.55920
1982-01-12,1.55980,1.55980,1.55980,1.55980
1982-01-13,1.56200,1.56200,1.56200,1.56200
1982-01-14,1.55310,1.55310,1.55310,1.55310
1982-01-15,1.55370,1.55370,1.55370,1.55370
1982-01-18,1.54650,1.54650,1.54650,1.54650
1982-01-19,1.54720,1.54720,1.54720,1.54720
1982-01-20,1.55740,1.55740,1.55740,1.55740
1982-01-21,1.54790,1.54790,1.54790,1.54790
1982-01-22,1.55130,1.55130,1.55130,1.55130
1982-01-25,1.56000,1.56000,1.56000,1.56000
1982-01-26,1.54910,1.54910,1.54910,1.54910
1982-01-27,1.55030,1.55030,1.55030,1.55030
1982-01-28,1.55050,1.55050,1.55050,1.55050
1982-01-29,1.55050,1.55050,1.55050,1.55050
1982-02-01,1.56040,1.56040,1.56040,1.56040
1982-02-02,1.56050,1.56050,1.56050,1.56050
1982-02-03,1.57110,1.57110,1.57110,1.57110
1982-02-04,1.55790,1.55790,1.55790,1.55790
1982-02-05,1.56330,1.56330,1.56330,1.56330
1982-02-08,1.56780,1.56780,1.56780,1.56780
1982-02-09,1.57090,1.57090,1.57090,1.57090
1982-02-10,1.56790,1.56790,1.56790,1.56790
1982-02-11,1.56830,1.56830,1.56830,1.56830
1982-02-16,1.56830,1.56830,1.56830,1.56830
1982-02-17,1.57160,1.57160,1.57160,1.57160
1982-02-18,1.56020,1.56020,1.56020,1.56020
1982-02-19,1.54830,1.54830,1.54830,1.54830
1982-02-22,1.53900,1.53900,1.53900,1.53900
1982-02-23,1.53930,1.53930,1.53930,1.53930
1982-02-24,1.53810,1.53810,1.53810,1.53810
1982-02-25,1.53900,1.53900,1.53900,1.53900
1982-02-26,1.54520,1.54520,1.54520,1.54520
1982-03-01,1.54220,1.54220,1.54220,1.54220
1982-03-02,1.53230,1.53230,1.53230,1.53230
1982-03-03,1.53520,1.53520,1.53520,1.53520
1982-03-04,1.53430,1.53430,1.53430,1.53430
1982-03-05,1.52560,1.52560,1.52560,1.52560
1982-03-08,1.51780,1.51780,1.51780,1.51780
1982-03-09,1.53880,1.53880,1.53880,1.53880
1982-03-10,1.53290,1.53290,1.53290,1.53290
1982-03-11,1.54270,1.54270,1.54270,1.54270
1982-03-12,1.54710,1.54710,1.54710,1.54710
1982-03-15,1.54150,1.54150,1.54150,1.54150
1982-03-16,1.54660,1.54660,1.54660,1.54660
1982-03-17,1.54850,1.54850,1.54850,1.54850
1982-03-18,1.55130,1.55130,1.55130,1.55130
1982-03-19,1.55480,1.55480,1.55480,1.55480
1982-03-22,1.56150,1.56150,1.56150,1.56150
1982-03-23,1.55320,1.55320,1.55320,1.55320
1982-03-24,1.55160,1.55160,1.55160,1.55160
1982-03-25,1.55430,1.55430,1.55430,1.55430
1982-03-26,1.55760,1.55760,1.55760,1.55760
1982-03-29,1.57150,1.57150,1.57150,1.57150
1982-03-30,1.57080,1.57080,1.57080,1.57080
1982-03-31,1.57540,1.57540,1.57540,1.57540
1982-04-01,1.58230,1.58230,1.58230,1.58230
1982-04-02,1.58210,1.58210,1.58210,1.58210
1982-04-05,1.59320,1.59320,1.59320,1.59320
1982-04-06,1.60060,1.60060,1.60060,1.60060
1982-04-07,1.59260,1.59260,1.59260,1.59260
1982-04-08,1.61100,1.61100,1.61100,1.61100
1982-04-09,1.61010,1.61010,1.61010,1.61010
1982-04-12,1.60760,1.60760,1.60760,1.60760
1982-04-13,1.59750,1.59750,1.59750,1.59750
1982-04-14,1.60800,1.60800,1.60800,1.60800
1982-04-15,1.62020,1.62020,1.62020,1.62020
1982-04-16,1.62040,1.62040,1.62040,1.62040
1982-04-19,1.60650,1.60650,1.60650,1.60650
1982-04-20,1.59440,1.59440,1.59440,1.59440
1982-04-21,1.59780,1.59780,1.59780,1.59780
1982-04-22,1.60490,1.60490,1.60490,1.60490
1982-04-23,1.61000,1.61000,1.61000,1.61000
1982-04-26,1.60070,1.60070,1.60070,1.60070
1982-04-27,1.59630,1.59630,1.59630,1.59630
1982-04-28,1.59200,1.59200,1.59200,1.59200
1982-04-29,1.60350,1.60350,1.60350,1.60350
1982-04-30,1.60450,1.60450,1.60450,1.60450
