datetime,open,high,low,close
1986-05-07,0.73769999,0.73769999,0.73769999,0.73769999
1986-05-08,0.73769999,0.73769999,0.73769999,0.73769999
1986-05-09,0.73549998,0.73549998,0.73549998,0.73549998
1986-05-12,0.74379998,0.74379998,0.74379998,0.74379998
1986-05-13,0.74140000,0.74140000,0.74140000,0.74140000
1986-05-14,0.74500000,0.74500000,0.74500000,0.74500000
1986-05-15,0.75010002,0.75010002,0.75010002,0.75010002
1986-05-16,0.75389999,0.75389999,0.75389999,0.75389999
1986-05-19,0.76099998,0.76099998,0.76099998,0.76099998
1986-05-20,0.76539999,0.76539999,0.76539999,0.76539999
1986-05-21,0.77719998,0.77719998,0.77719998,0.77719998
1986-05-22,0.77829999,0.77829999,0.77829999,0.77829999
1986-05-23,0.77630001,0.77630001,0.77630001,0.77630001
1986-05-26,0.77160001,0.77160001,0.77160001,0.77160001
1986-05-27,0.77270001,0.77270001,0.77270001,0.77270001
1986-05-28,0.77749997,0.77749997,0.77749997,0.77749997
1986-05-29,0.78420001,0.78420001,0.78420001,0.78420001
1986-05-30,0.78090000,0.78090000,0.78090000,0.78090000
1986-06-02,0.76380002,0.76380002,0.76380002,0.76380002
1986-06-03,0.76080000,0.76080000,0.76080000,0.76080000
1986-06-04,0.75160003,0.75160003,0.75160003,0.75160003
1986-06-05,0.74479997,0.74479997,0.74479997,0.74479997
1986-06-06,0.74940002,0.74940002,0.74940002,0.74940002
1986-06-09,0.74460000,0.74460000,0.74460000,0.74460000
1986-06-10,0.74320000,0.74320000,0.74320000,0.74320000
1986-06-11,0.74229997,0.74229997,0.74229997,0.74229997
1986-06-12,0.74529999,0.74529999,0.74529999,0.74529999
1986-06-13,0.74330002,0.74330002,0.74330002,0.74330002
1986-06-16,0.75,0.75,0.75,0.75
1986-06-17,0.75330001,0.75330001,0.75330001,0.75330001
1986-06-18,0.74900001,0.74900001,0.74900001,0.74900001
1986-06-19,0.75520003,0.75520003,0.75520003,0.75520003
1986-06-20,0.76139998,0.76139998,0.76139998,0.76139998
1986-06-23,0.75050002,0.75050002,0.75050002,0.75050002
1986-06-24,0.74629998,0.74629998,0.74629998,0.74629998
1986-06-25,0.74500000,0.74500000,0.74500000,0.74500000
1986-06-26,0.74119997,0.74119997,0.74119997,0.74119997
1986-06-27,0.74000001,0.74000001,0.74000001,0.74000001
1986-06-30,0.73790002,0.73790002,0.73790002,0.73790002
1986-07-01,0.74080002,0.74080002,0.74080002,0.74080002
1986-07-02,0.73740000,0.73740000,0.73740000,0.73740000
1986-07-03,0.73689997,0.73689997,0.73689997,0.73689997
1986-07-04,0.73799998,0.73799998,0.73799998,0.73799998
1986-07-07,0.73940003,0.73940003,0.73940003,0.73940003
1986-07-08,0.74059999,0.74059999,0.74059999,0.74059999
1986-07-09,0.74129999,0.74129999,0.74129999,0.74129999
1986-07-10,0.74330002,0.74330002,0.74330002,0.74330002
1986-07-11,0.74599999,0.74599999,0.74599999,0.74599999
1986-07-14,0.74280000,0.74280000,0.74280000,0.74280000
1986-07-15,0.73710001,0.73710001,0.73710001,0.73710001
1986-07-16,0.73619998,0.73619998,0.73619998,0.73619998
1986-07-17,0.73689997,0.73689997,0.73689997,0.73689997
1986-07-18,0.72869998,0.72869998,0.72869998,0.72869998
1986-07-21,0.72939998,0.72939998,0.72939998,0.72939998
1986-07-22,0.72640002,0.72640002,0.72640002,0.72640002
1986-07-23,0.72649997,0.72649997,0.72649997,0.72649997
1986-07-24,0.73290002,0.73290002,0.73290002,0.73290002
1986-07-25,0.72490001,0.72490001,0.72490001,0.72490001
1986-07-28,0.72140002,0.72140002,0.72140002,0.72140002
1986-07-29,0.72270000,0.72270000,0.72270000,0.72270000
1986-07-30,0.71980000,0.71980000,0.71980000,0.71980000
1986-07-31,0.71810001,0.71810001,0.71810001,0.71810001
1986-08-01,0.71609998,0.71609998,0.71609998,0.71609998
1986-08-04,0.72070003,0.72070003,0.72070003,0.72070003
1986-08-05,0.71410000,0.71410000,0.71410000,0.71410000
1986-08-06,0.71289998,0.71289998,0.71289998,0.71289998
1986-08-07,0.71179998,0.71179998,0.71179998,0.71179998
1986-08-08,0.70679998,0.70679998,0.70679998,0.70679998
1986-08-11,0.70850003,0.70850003,0.70850003,0.70850003
1986-08-12,0.70940000,0.70940000,0.70940000,0.70940000
1986-08-13,0.70770001,0.70770001,0.70770001,0.70770001
1986-08-14,0.70730001,0.70730001,0.70730001,0.70730001
1986-08-15,0.70649999,0.70649999,0.70649999,0.70649999
1986-08-18,0.70179999,0.70179999,0.70179999,0.70179999
1986-08-19,0.70109999,0.70109999,0.70109999,0.70109999
1986-08-20,0.70230001,0.70230001,0.70230001,0.70230001
1986-08-21,0.70090002,0.70090002,0.70090002,0.70090002
1986-08-22,0.70109999,0.70109999,0.70109999,0.70109999
1986-08-25,0.70120001,0.70120001,0.70120001,0.70120001
1986-08-26,0.69950002,0.69950002,0.69950002,0.69950002
1986-08-27,0.70179999,0.70179999,0.70179999,0.70179999
1986-08-28,0.70099998,0.70099998,0.70099998,0.70099998
1986-08-29,0.69859999,0.69859999,0.69859999,0.69859999
1986-09-01,0.70010000,0.70010000,0.70010000,0.70010000
1986-09-02,0.69739997,0.69739997,0.69739997,0.69739997
1986-09-03,0.69849998,0.69849998,0.69849998,0.69849998
1986-09-04,0.70279998,0.70279998,0.70279998,0.70279998
1986-09-05,0.71200001,0.71200001,0.71200001,0.71200001
1986-09-08,0.71200001,0.71200001,0.71200001,0.71200001
1986-09-09,0.70969999,0.70969999,0.70969999,0.70969999
1986-09-10,0.71700001,0.71700001,0.71700001,0.71700001
1986-09-11,0.71050000,0.71050000,0.71050000,0.71050000
1986-09-12,0.70639998,0.70639998,0.70639998,0.70639998
1986-09-15,0.70639998,0.70639998,0.70639998,0.70639998
1986-09-16,0.69980001,0.69980001,0.69980001,0.69980001
1986-09-17,0.69090003,0.69090003,0.69090003,0.69090003
1986-09-18,0.69019997,0.69019997,0.69019997,0.69019997
1986-09-19,0.70330000,0.70330000,0.70330000,0.70330000
1986-09-22,0.70789999,0.70789999,0.70789999,0.70789999
1986-09-23,0.70819998,0.70819998,0.70819998,0.70819998
1986-09-24,0.70929998,0.70929998,0.70929998,0.70929998
1986-09-25,0.70940000,0.70940000,0.70940000,0.70940000
1986-09-26,0.70359999,0.70359999,0.70359999,0.70359999
1986-09-29,0.70220000,0.70220000,0.70220000,0.70220000
1986-09-30,0.70220000,0.70220000,0.70220000,0.70220000
1986-10-01,0.69830000,0.69830000,0.69830000,0.69830000
1986-10-02,0.69489998,0.69489998,0.69489998,0.69489998
1986-10-03,0.69389999,0.69389999,0.69389999,0.69389999
1986-10-06,0.69700003,0.69700003,0.69700003,0.69700003
1986-10-07,0.69730002,0.69730002,0.69730002,0.69730002
1986-10-08,0.69849998,0.69849998,0.69849998,0.69849998
1986-10-09,0.69300002,0.69300002,0.69300002,0.69300002
1986-10-10,0.69010001,0.69010001,0.69010001,0.69010001
1986-10-13,0.68860000,0.68860000,0.68860000,0.68860000
1986-10-14,0.68669999,0.68669999,0.68669999,0.68669999
1986-10-15,0.68650001,0.68650001,0.68650001,0.68650001
1986-10-16,0.68779999,0.68779999,0.68779999,0.68779999
1986-10-17,0.69059998,0.69059998,0.69059998,0.69059998
1986-10-20,0.69120002,0.69120002,0.69120002,0.69120002
1986-10-21,0.68989998,0.68989998,0.68989998,0.68989998
1986-10-22,0.69370002,0.69370002,0.69370002,0.69370002
1986-10-23,0.70639998,0.70639998,0.70639998,0.70639998
1986-10-24,0.71200001,0.71200001,0.71200001,0.71200001
1986-10-27,0.70719999,0.70719999,0.70719999,0.70719999
1986-10-28,0.70459998,0.70459998,0.70459998,0.70459998
1986-10-29,0.71490002,0.71490002,0.71490002,0.71490002
1986-10-30,0.71509999,0.71509999,0.71509999,0.71509999
1986-10-31,0.71420002,0.71420002,0.71420002,0.71420002
1986-11-03,0.71289998,0.71289998,0.71289998,0.71289998
1986-11-04,0.71579999,0.71579999,0.71579999,0.71579999
1986-11-05,0.71490002,0.71490002,0.71490002,0.71490002
1986-11-06,0.71499997,0.71499997,0.71499997,0.71499997
1986-11-07,0.70840001,0.70840001,0.70840001,0.70840001
1986-11-10,0.70670003,0.70670003,0.70670003,0.70670003
1986-11-11,0.70499998,0.70499998,0.70499998,0.70499998
1986-11-12,0.70480001,0.70480001,0.70480001,0.70480001
1986-11-13,0.69970000,0.69970000,0.69970000,0.69970000
1986-11-14,0.70220000,0.70220000,0.70220000,0.70220000
1986-11-17,0.70310003,0.70310003,0.70310003,0.70310003
1986-11-18,0.70139998,0.70139998,0.70139998,0.70139998
1986-11-19,0.70130002,0.70130002,0.70130002,0.70130002
1986-11-20,0.70380002,0.70380002,0.70380002,0.70380002
1986-11-21,0.70420003,0.70420003,0.70420003,0.70420003
1986-11-24,0.69559997,0.69559997,0.69559997,0.69559997
1986-11-25,0.69430000,0.69430000,0.69430000,0.69430000
1986-11-26,0.69590002,0.69590002,0.69590002,0.69590002
1986-11-27,0.68930000,0.68930000,0.68930000,0.68930000
1986-11-28,0.68760002,0.68760002,0.68760002,0.68760002
1986-12-01,0.69019997,0.69019997,0.69019997,0.69019997
1986-12-02,0.69160002,0.69160002,0.69160002,0.69160002
1986-12-03,0.69660002,0.69660002,0.69660002,0.69660002
1986-12-04,0.70060003,0.70060003,0.70060003,0.70060003
1986-12-05,0.70690000,0.70690000,0.70690000,0.70690000
1986-12-08,0.70990002,0.70990002,0.70990002,0.70990002
1986-12-09,0.70510000,0.70510000,0.70510000,0.70510000
1986-12-10,0.70550001,0.70550001,0.70550001,0.70550001
1986-12-11,0.70950001,0.70950001,0.70950001,0.70950001
1986-12-12,0.70630002,0.70630002,0.70630002,0.70630002
1986-12-15,0.70760000,0.70760000,0.70760000,0.70760000
1986-12-16,0.70670003,0.70670003,0.70670003,0.70670003
1986-12-17,0.70469999,0.70469999,0.70469999,0.70469999
1986-12-18,0.70319998,0.70319998,0.70319998,0.70319998
1986-12-19,0.69540000,0.69540000,0.69540000,0.69540000
1986-12-22,0.69199997,0.69199997,0.69199997,0.69199997
1986-12-23,0.69260001,0.69260001,0.69260001,0.69260001
1986-12-26,0.68320000,0.68320000,0.68320000,0.68320000
1986-12-29,0.68290001,0.68290001,0.68290001,0.68290001
1986-12-30,0.67570001,0.67570001,0.67570001,0.67570001
1987-01-02,0.67129999,0.67129999,0.67129999,0.67129999
1987-01-05,0.67580003,0.67580003,0.67580003,0.67580003
1987-01-06,0.67490000,0.67490000,0.67490000,0.67490000
1987-01-07,0.67900002,0.67900002,0.67900002,0.67900002
1987-01-08,0.67909998,0.67909998,0.67909998,0.67909998
1987-01-09,0.67769998,0.67769998,0.67769998,0.67769998
1987-01-12,0.67079997,0.67079997,0.67079997,0.67079997
1987-01-13,0.66549999,0.66549999,0.66549999,0.66549999
1987-01-14,0.65789998,0.65789998,0.65789998,0.65789998
1987-01-15,0.65410000,0.65410000,0.65410000,0.65410000
1987-01-16,0.65499997,0.65499997,0.65499997,0.65499997
1987-01-19,0.64639997,0.64639997,0.64639997,0.64639997
1987-01-20,0.65660000,0.65660000,0.65660000,0.65660000
1987-01-21,0.65960002,0.65960002,0.65960002,0.65960002
1987-01-22,0.64889997,0.64889997,0.64889997,0.64889997
1987-01-23,0.65050000,0.65050000,0.65050000,0.65050000
1987-01-26,0.65390003,0.65390003,0.65390003,0.65390003
1987-01-27,0.65359998,0.65359998,0.65359998,0.65359998
1987-01-28,0.64569998,0.64569998,0.64569998,0.64569998
1987-01-29,0.64810002,0.64810002,0.64810002,0.64810002
1987-01-30,0.66329998,0.66329998,0.66329998,0.66329998
1987-02-02,0.66109997,0.66109997,0.66109997,0.66109997
1987-02-03,0.65520000,0.65520000,0.65520000,0.65520000
1987-02-04,0.66250002,0.66250002,0.66250002,0.66250002
1987-02-05,0.67079997,0.67079997,0.67079997,0.67079997
1987-02-06,0.67280000,0.67280000,0.67280000,0.67280000
1987-02-09,0.66070002,0.66070002,0.66070002,0.66070002
1987-02-10,0.65369999,0.65369999,0.65369999,0.65369999
1987-02-11,0.65859997,0.65859997,0.65859997,0.65859997
1987-02-12,0.65660000,0.65660000,0.65660000,0.65660000
1987-02-13,0.66079998,0.66079998,0.66079998,0.66079998
1987-02-16,0.65969998,0.65969998,0.65969998,0.65969998
1987-02-17,0.66180003,0.66180003,0.66180003,0.66180003
1987-02-18,0.66640002,0.66640002,0.66640002,0.66640002
1987-02-19,0.66720003,0.66720003,0.66720003,0.66720003
1987-02-20,0.66600001,0.66600001,0.66600001,0.66600001
1987-02-23,0.66619998,0.66619998,0.66619998,0.66619998
1987-02-24,0.66700000,0.66700000,0.66700000,0.66700000
1987-02-25,0.66610003,0.66610003,0.66610003,0.66610003
1987-02-26,0.66259998,0.66259998,0.66259998,0.66259998
1987-02-27,0.66409999,0.66409999,0.66409999,0.66409999
1987-03-02,0.66439998,0.66439998,0.66439998,0.66439998
1987-03-03,0.66540003,0.66540003,0.66540003,0.66540003
1987-03-04,0.66560000,0.66560000,0.66560000,0.66560000
1987-03-05,0.66420001,0.66420001,0.66420001,0.66420001
1987-03-06,0.66460001,0.66460001,0.66460001,0.66460001
1987-03-09,0.66930002,0.66930002,0.66930002,0.66930002
