datetime,open,high,low,close
1982-01-04,1.019000,1.019000,1.019000,1.019000
1982-01-05,1.019300,1.019300,1.019300,1.019300
1982-01-06,1.023000,1.023000,1.023000,1.023000
1982-01-07,1.023100,1.023100,1.023100,1.023100
1982-01-08,1.024500,1.024500,1.024500,1.024500
1982-01-11,1.028200,1.028200,1.028200,1.028200
1982-01-12,1.028800,1.028800,1.028800,1.028800
1982-01-13,1.030100,1.030100,1.030100,1.030100
1982-01-14,1.033300,1.033300,1.033300,1.033300
1982-01-15,1.029600,1.029600,1.029600,1.029600
1982-01-18,1.031300,1.031300,1.031300,1.031300
1982-01-19,1.029700,1.029700,1.029700,1.029700
1982-01-20,1.027100,1.027100,1.027100,1.027100
1982-01-21,1.035700,1.035700,1.035700,1.035700
1982-01-22,1.034200,1.034200,1.034200,1.034200
1982-01-25,1.036600,1.036600,1.036600,1.036600
1982-01-26,1.038600,1.038600,1.038600,1.038600
1982-01-27,1.039200,1.039200,1.039200,1.039200
1982-01-28,1.040800,1.040800,1.040800,1.040800
1982-01-29,1.040800,1.040800,1.040800,1.040800
1982-02-01,1.040300,1.040300,1.040300,1.040300
1982-02-02,1.035500,1.035500,1.035500,1.035500
1982-02-03,1.036600,1.036600,1.036600,1.036600
1982-02-04,1.036900,1.036900,1.036900,1.036900
1982-02-05,1.039300,1.039300,1.039300,1.039300
1982-02-08,1.036200,1.036200,1.036200,1.036200
1982-02-09,1.035700,1.035700,1.035700,1.035700
1982-02-10,1.037100,1.037100,1.037100,1.037100
1982-02-11,1.040900,1.040900,1.040900,1.040900
1982-02-16,1.042100,1.042100,1.042100,1.042100
1982-02-17,1.042400,1.042400,1.042400,1.042400
1982-02-18,1.041500,1.041500,1.041500,1.041500
1982-02-19,1.035000,1.035000,1.035000,1.035000
1982-02-22,1.035900,1.035900,1.035900,1.035900
1982-02-23,1.036300,1.036300,1.036300,1.036300
1982-02-24,1.041900,1.041900,1.041900,1.041900
1982-02-25,1.041900,1.041900,1.041900,1.041900
1982-02-26,1.036500,1.036500,1.036500,1.036500
1982-03-01,1.039500,1.039500,1.039500,1.039500
1982-03-02,1.043000,1.043000,1.043000,1.043000
1982-03-03,1.042600,1.042600,1.042600,1.042600
1982-03-04,1.046800,1.046800,1.046800,1.046800
1982-03-05,1.049900,1.049900,1.049900,1.049900
1982-03-08,1.049700,1.049700,1.049700,1.049700
1982-03-09,1.057500,1.057500,1.057500,1.057500
1982-03-10,1.057200,1.057200,1.057200,1.057200
1982-03-11,1.058900,1.058900,1.058900,1.058900
1982-03-12,1.056800,1.056800,1.056800,1.056800
1982-03-15,1.055300,1.055300,1.055300,1.055300
1982-03-16,1.058300,1.058300,1.058300,1.058300
1982-03-17,1.058900,1.058900,1.058900,1.058900
1982-03-18,1.058900,1.058900,1.058900,1.058900
1982-03-19,1.057300,1.057300,1.057300,1.057300
1982-03-22,1.058200,1.058200,1.058200,1.058200
1982-03-23,1.058400,1.058400,1.058400,1.058400
1982-03-24,1.054300,1.054300,1.054300,1.054300
1982-03-25,1.055400,1.055400,1.055400,1.055400
1982-03-26,1.056700,1.056700,1.056700,1.056700
1982-03-29,1.058000,1.058000,1.058000,1.058000
1982-03-30,1.060900,1.060900,1.060900,1.060900
1982-03-31,1.062300,1.062300,1.062300,1.062300
1982-04-01,1.061700,1.061700,1.061700,1.061700
1982-04-02,1.063300,1.063300,1.063300,1.063300
1982-04-05,1.067900,1.067900,1.067900,1.067900
1982-04-06,1.071400,1.071400,1.071400,1.071400
1982-04-07,1.062600,1.062600,1.062600,1.062600
1982-04-08,1.064800,1.064800,1.064800,1.064800
1982-04-09,1.067000,1.067000,1.067000,1.067000
1982-04-12,1.065400,1.065400,1.065400,1.065400
1982-04-13,1.070400,1.070400,1.070400,1.070400
1982-04-14,1.070800,1.070800,1.070800,1.070800
1982-04-15,1.074100,1.074100,1.074100,1.074100
1982-04-16,1.075800,1.075800,1.075800,1.075800
1982-04-19,1.072800,1.072800,1.072800,1.072800
1982-04-20,1.056900,1.056900,1.056900,1.056900
1982-04-21,1.066400,1.066400,1.066400,1.066400
1982-04-22,1.063600,1.063600,1.063600,1.063600
1982-04-23,1.063900,1.063900,1.063900,1.063900
1982-04-26,1.065800,1.065800,1.065800,1.065800
1982-04-27,1.062700,1.062700,1.062700,1.062700
1982-04-28,1.060300,1.060300,1.060300,1.060300
1982-04-29,1.063600,1.063600,1.063600,1.063600
1982-04-30,1.062000,1.062000,1.062000,1.062000
1982-05-03,1.059900,1.059900,1.059900,1.059900
1982-05-04,1.060700,1.060700,1.060700,1.060700
1982-05-05,1.060400,1.060400,1.060400,1.060400
1982-05-06,1.057200,1.057200,1.057200,1.057200
1982-05-07,1.053600,1.053600,1.053600,1.053600
1982-05-10,1.050300,1.050300,1.050300,1.050300
1982-05-11,1.046400,1.046400,1.046400,1.046400
1982-05-12,1.038900,1.038900,1.038900,1.038900
1982-05-13,1.043600,1.043600,1.043600,1.043600
1982-05-14,1.048800,1.048800,1.048800,1.048800
1982-05-17,1.045300,1.045300,1.045300,1.045300
1982-05-18,1.050700,1.050700,1.050700,1.050700
1982-05-19,1.053000,1.053000,1.053000,1.053000
1982-05-20,1.056300,1.056300,1.056300,1.056300
1982-05-21,1.053900,1.053900,1.053900,1.053900
1982-05-24,1.051900,1.051900,1.051900,1.051900
1982-05-25,1.051400,1.051400,1.051400,1.051400
1982-05-26,1.057100,1.057100,1.057100,1.057100
1982-05-27,1.054300,1.054300,1.054300,1.054300
1982-05-28,1.055600,1.055600,1.055600,1.055600
1982-06-01,1.052000,1.052000,1.052000,1.052000
1982-06-02,1.058500,1.058500,1.058500,1.058500
1982-06-03,1.057500,1.057500,1.057500,1.057500
1982-06-04,1.051300,1.051300,1.051300,1.051300
1982-06-07,1.050700,1.050700,1.050700,1.050700
1982-06-08,1.050400,1.050400,1.050400,1.050400
1982-06-09,1.049300,1.049300,1.049300,1.049300
1982-06-10,1.053000,1.053000,1.053000,1.053000
1982-06-11,1.049600,1.049600,1.049600,1.049600
1982-06-14,1.046300,1.046300,1.046300,1.046300
1982-06-15,1.043600,1.043600,1.043600,1.043600
1982-06-16,1.039800,1.039800,1.039800,1.039800
1982-06-17,1.038400,1.038400,1.038400,1.038400
1982-06-18,1.036800,1.036800,1.036800,1.036800
1982-06-21,1.039300,1.039300,1.039300,1.039300
1982-06-22,1.035400,1.035400,1.035400,1.035400
1982-06-23,1.040700,1.040700,1.040700,1.040700
1982-06-24,1.046200,1.046200,1.046200,1.046200
1982-06-25,1.050800,1.050800,1.050800,1.050800
1982-06-28,1.043600,1.043600,1.043600,1.043600
1982-06-29,1.040700,1.040700,1.040700,1.040700
1982-06-30,1.041700,1.041700,1.041700,1.041700
1982-07-01,1.049100,1.049100,1.049100,1.049100
1982-07-02,1.047300,1.047300,1.047300,1.047300
1982-07-06,1.047400,1.047400,1.047400,1.047400
1982-07-07,1.049600,1.049600,1.049600,1.049600
1982-07-08,1.053300,1.053300,1.053300,1.053300
1982-07-09,1.059300,1.059300,1.059300,1.059300
1982-07-12,1.060100,1.060100,1.060100,1.060100
1982-07-13,1.064600,1.064600,1.064600,1.064600
1982-07-14,1.063100,1.063100,1.063100,1.063100
1982-07-15,1.068700,1.068700,1.068700,1.068700
1982-07-16,1.070800,1.070800,1.070800,1.070800
1982-07-19,1.067600,1.067600,1.067600,1.067600
1982-07-20,1.071900,1.071900,1.071900,1.071900
1982-07-21,1.074100,1.074100,1.074100,1.074100
1982-07-22,1.068300,1.068300,1.068300,1.068300
1982-07-23,1.071600,1.071600,1.071600,1.071600
1982-07-26,1.063600,1.063600,1.063600,1.063600
