datetime,open,high,low,close
1989-10-16,0.79750001,0.79850000,0.79750001,0.79850000
1989-10-17,0.79460001,0.79519999,0.79460001,0.79519999
1989-10-18,0.79619998,0.79689997,0.79619998,0.79689997
1989-10-19,0.79449999,0.79549998,0.79449999,0.79549998
1989-10-20,0.79680002,0.79759997,0.79680002,0.79759997
1989-10-23,0.80129999,0.80229998,0.80129999,0.80229998
1989-10-24,0.81019998,0.81070000,0.81019998,0.81070000
1989-10-25,0.80330002,0.80369997,0.80330002,0.80369997
1989-10-26,0.79579997,0.79640001,0.79579997,0.79640001
1989-10-27,0.80210000,0.80269998,0.80210000,0.80269998
1989-10-30,0.79390001,0.79449999,0.79390001,0.79449999
1989-10-31,0.79280001,0.79339999,0.79280001,0.79339999
1989-11-01,0.78960001,0.79020000,0.78960001,0.79020000
1989-11-02,0.79560000,0.79619998,0.79560000,0.79619998
1989-11-03,0.79070002,0.79130000,0.79070002,0.79130000
1989-11-06,0.78689998,0.78750002,0.78689998,0.78750002
1989-11-07,0.78789997,0.78850001,0.78789997,0.78850001
1989-11-08,0.78740001,0.78799999,0.78740001,0.78799999
1989-11-09,0.78039998,0.78090000,0.78039998,0.78090000
1989-11-10,0.77230000,0.77289999,0.77230000,0.77289999
1989-11-13,0.77149999,0.77200001,0.77149999,0.77200001
1989-11-14,0.78780001,0.78829998,0.78780001,0.78829998
1989-11-15,0.78539997,0.78590000,0.78539997,0.78590000
1989-11-16,0.78430003,0.78490001,0.78430003,0.78490001
1989-11-17,0.78270000,0.78329998,0.78270000,0.78329998
1989-11-20,0.78500003,0.78560001,0.78500003,0.78560001
1989-11-21,0.79570001,0.79629999,0.79570001,0.79629999
1989-11-22,0.79650003,0.79710001,0.79650003,0.79710001
1989-11-23,0.79170001,0.79229999,0.79170001,0.79229999
1989-11-24,0.79229999,0.79280001,0.79229999,0.79280001
1989-11-27,0.79299998,0.79360002,0.79299998,0.79360002
1989-11-28,0.80330002,0.80390000,0.80330002,0.80390000
1989-11-29,0.80629998,0.80690002,0.80629998,0.80690002
1989-11-30,0.80089998,0.80170000,0.80089998,0.80170000
1989-12-01,0.79930001,0.80000001,0.79930001,0.80000001
1989-12-04,0.79780000,0.79839998,0.79780000,0.79839998
1989-12-05,0.80280000,0.80339998,0.80280000,0.80339998
1989-12-06,0.80250001,0.80309999,0.80250001,0.80309999
1989-12-07,0.80430001,0.80489999,0.80430001,0.80489999
1989-12-08,0.80030000,0.80089998,0.80030000,0.80089998
1989-12-11,0.80049998,0.80110002,0.80049998,0.80110002
1989-12-12,0.80699998,0.80760002,0.80699998,0.80760002
1989-12-13,0.81360000,0.81419998,0.81360000,0.81419998
1989-12-14,0.81480002,0.81540000,0.81480002,0.81540000
1989-12-15,0.82459998,0.82520002,0.82459998,0.82520002
1989-12-18,0.82400000,0.82459998,0.82400000,0.82459998
1989-12-19,0.81690001,0.81750000,0.81690001,0.81750000
1989-12-20,0.81849998,0.81910002,0.81849998,0.81910002
1989-12-21,0.81419998,0.81500000,0.81419998,0.81500000
1989-12-22,0.81750000,0.81809998,0.81750000,0.81809998
1989-12-25,0.81669998,0.81849998,0.81669998,0.81849998
1989-12-26,0.81489998,0.81550002,0.81489998,0.81550002
1989-12-27,0.81870002,0.81930000,0.81870002,0.81930000
1989-12-28,0.81809998,0.81879997,0.81809998,0.81879997
1989-12-29,0.82249999,0.82330000,0.82249999,0.82330000
1990-01-02,0.80530000,0.80589998,0.80530000,0.80589998
1990-01-03,0.80980003,0.81029999,0.80980003,0.81029999
1990-01-04,0.82499999,0.82560003,0.82499999,0.82560003
1990-01-05,0.82550001,0.82609999,0.82550001,0.82609999
1990-01-08,0.83469999,0.83539999,0.83469999,0.83539999
1990-01-09,0.83870000,0.83920002,0.83870000,0.83920002
1990-01-10,0.83550000,0.83609998,0.83550000,0.83609998
1990-01-11,0.83829999,0.83890003,0.83829999,0.83890003
1990-01-12,0.84179997,0.84230000,0.84179997,0.84230000
1990-01-15,0.83289999,0.83359998,0.83289999,0.83359998
1990-01-16,0.83730000,0.83780003,0.83730000,0.83780003
1990-01-17,0.83670002,0.83740002,0.83670002,0.83740002
1990-01-18,0.82520002,0.82580000,0.82520002,0.82580000
1990-01-19,0.82660002,0.82730001,0.82660002,0.82730001
1990-01-22,0.81809998,0.81870002,0.81809998,0.81870002
1990-01-23,0.85879999,0.85949999,0.85879999,0.85949999
1990-01-24,0.87529999,0.87599999,0.87529999,0.87599999
1990-01-25,0.88480002,0.88550001,0.88480002,0.88550001
1990-01-26,0.88200003,0.88270003,0.88200003,0.88270003
1990-01-29,0.88239998,0.88309997,0.88239998,0.88309997
1990-01-30,0.86909997,0.87000000,0.86909997,0.87000000
1990-01-31,0.86189997,0.86250001,0.86189997,0.86250001
1990-02-01,0.86690003,0.86760002,0.86690003,0.86760002
1990-02-02,0.86540002,0.86589998,0.86540002,0.86589998
1990-02-05,0.88529998,0.88599998,0.88529998,0.88599998
1990-02-06,0.88679999,0.88749999,0.88679999,0.88749999
