datetime,open,high,low,close
1989-10-16,1.041000,1.042600,1.041000,1.042600
1989-10-17,1.036400,1.038900,1.036400,1.038900
1989-10-18,1.040400,1.041700,1.040400,1.041700
1989-10-19,1.043200,1.044600,1.043200,1.044600
1989-10-20,1.039500,1.040900,1.039500,1.040900
1989-10-23,1.042900,1.043900,1.042900,1.043900
1989-10-24,1.051500,1.052700,1.051500,1.052700
1989-10-25,1.049800,1.051400,1.049800,1.051400
1989-10-26,1.047100,1.048300,1.047100,1.048300
1989-10-27,1.054900,1.056100,1.054900,1.056100
1989-10-30,1.057000,1.058300,1.057000,1.058300
1989-10-31,1.052500,1.053700,1.052500,1.053700
1989-11-01,1.048000,1.049200,1.048000,1.049200
1989-11-02,1.054200,1.055400,1.054200,1.055400
1989-11-03,1.049900,1.051100,1.049900,1.051100
1989-11-06,1.047600,1.048800,1.047600,1.048800
1989-11-07,1.049400,1.050600,1.049400,1.050600
1989-11-08,1.050300,1.051500,1.050300,1.051500
1989-11-09,1.046600,1.047600,1.046600,1.047600
1989-11-10,1.035900,1.037100,1.035900,1.037100
1989-11-13,1.033700,1.034900,1.033700,1.034900
1989-11-14,1.048200,1.049300,1.048200,1.049300
1989-11-15,1.042900,1.044000,1.042900,1.044000
1989-11-16,1.036900,1.038100,1.036900,1.038100
1989-11-17,1.039300,1.040400,1.039300,1.040400
1989-11-20,1.040400,1.041600,1.040400,1.041600
1989-11-21,1.053800,1.055000,1.053800,1.055000
1989-11-22,1.059300,1.060500,1.059300,1.060500
1989-11-23,1.054200,1.055400,1.054200,1.055400
1989-11-24,1.055300,1.056500,1.055300,1.056500
1989-11-27,1.057900,1.059200,1.057900,1.059200
1989-11-28,1.067800,1.069100,1.067800,1.069100
1989-11-29,1.065400,1.066700,1.065400,1.066700
1989-11-30,1.063200,1.064400,1.063200,1.064400
1989-12-01,1.056800,1.058200,1.056800,1.058200
1989-12-04,1.053500,1.054700,1.053500,1.054700
1989-12-05,1.060700,1.061900,1.060700,1.061900
1989-12-06,1.059300,1.060400,1.059300,1.060400
1989-12-07,1.057900,1.059100,1.057900,1.059100
1989-12-08,1.054300,1.055300,1.054300,1.055300
