datetime,open,high,low,close
2001-06-01,0.25723407,0.25856495,0.25591812,0.25723472
2001-06-05,0.25842866,0.25974026,0.25612786,0.25811115
2001-06-06,0.25825912,0.26041669,0.25596395,0.25811115
2001-06-07,0.25854492,0.26007801,0.25596395,0.25811115
2001-06-08,0.25842866,0.25974026,0.25678557,0.25811115
2001-06-11,0.25842866,0.25974026,0.25245512,0.25811115
2001-06-12,0.25830317,0.25974026,0.25624600,0.25756600
2001-06-13,0.25789547,0.26007801,0.25586572,0.25777847
2001-06-14,0.25816178,0.25974026,0.25618035,0.25749967
2001-06-15,0.25789547,0.25974026,0.25612786,0.25744665
2001-06-18,0.25836188,0.26007801,0.25624600,0.25756600
2001-06-19,0.25799128,0.25974026,0.25244877,0.25811115
2001-06-20,0.25792873,0.25974026,0.25244877,0.25811115
2001-06-21,0.25757927,0.25974026,0.25228953,0.25744665
2001-06-22,0.25789547,0.25974026,0.25612786,0.25744665
2001-06-25,0.25790480,0.26041669,0.25547352,0.25744665
2001-06-26,0.25802857,0.25974026,0.25547352,0.25777847
2001-06-27,0.25777781,0.25945050,0.25547352,0.25811115
2001-06-28,0.25872552,0.26075619,0.25228953,0.25777847
2001-06-29,0.25677237,0.25786486,0.25523227,0.25654182
2001-07-02,0.25774923,0.25945050,0.25523227,0.25811115
2001-07-03,0.25485694,0.25945050,0.25080258,0.25206694
2001-07-04,0.25331721,0.25740024,0.25080258,0.25445291
2001-07-05,0.25342119,0.25740024,0.25185746,0.25336981
2001-07-09,0.25641024,0.25773194,0.25166729,0.25336981
2001-07-10,0.25344175,0.25740024,0.25177500,0.25326073
2001-07-13,0.25336981,0.25466028,0.25209236,0.25336981
2001-07-16,0.25326011,0.25690430,0.25169897,0.25326073
2001-07-17,0.25387800,0.25641024,0.24823135,0.25326073
2001-07-19,0.25335312,0.25477707,0.25193357,0.25326073
2001-07-20,0.25326073,0.25455010,0.25198439,0.25326073
2001-07-23,0.25320941,0.25455010,0.25193357,0.25320941
2001-07-27,0.25326073,0.25455010,0.25198439,0.25326073
2001-07-30,0.25326073,0.25455010,0.25198439,0.25326073
2001-08-01,0.25332361,0.25485498,0.24823135,0.25272948
2001-08-02,0.25339678,0.25491995,0.24823135,0.25326073
2001-08-03,0.25326073,0.25455010,0.25198439,0.25326073
2001-08-07,0.23738872,0.23966447,0.23391813,0.23724791
2001-08-08,0.23680298,0.23880596,0.23446660,0.23682654
2001-08-09,0.23827168,0.24143508,0.23528858,0.23752970
2001-08-13,0.23691067,0.23923446,0.21829295,0.23668639
2001-08-14,0.23658784,0.23923446,0.21829295,0.23668639
2001-08-16,0.23674242,0.23923446,0.23311110,0.23752970
2001-08-20,0.23604056,0.23923446,0.21829295,0.23612750
2001-08-21,0.23568229,0.23923446,0.21829295,0.23480792
2001-08-22,0.23532292,0.23923446,0.23338312,0.23502868
2001-08-23,0.23502868,0.23809525,0.23297532,0.23489067
2001-08-27,0.23461512,0.23809525,0.21734406,0.23476934
2001-08-28,0.23453036,0.23809525,0.21734406,0.23461512
2001-08-29,0.23467016,0.23809525,0.23288308,0.23461512
2001-08-30,0.23469992,0.23598818,0.23297532,0.23461512
2001-08-31,0.23461457,0.23572119,0.23351938,0.23461512
2001-09-03,0.23454906,0.23696683,0.23288308,0.23480792
2001-09-04,0.23458758,0.23696683,0.23289394,0.23461512
2001-09-05,0.23461457,0.23668639,0.23286682,0.23434021
2001-09-06,0.23452926,0.23598818,0.23289394,0.23461512
2001-09-07,0.23461457,0.23572119,0.23351938,0.23461512
2001-09-10,0.23467678,0.23683774,0.23243381,0.23461512
2001-09-11,0.23461512,0.23910289,0.22976357,0.23461512
2001-09-12,0.23438415,0.23910289,0.23002782,0.23461512
2001-09-13,0.23484598,0.23640662,0.23286682,0.23529412
2001-09-14,0.23529412,0.23640662,0.23419204,0.23529412
2001-09-17,0.23478256,0.24002114,0.23062731,0.23496240
2001-09-18,0.23461016,0.23661360,0.23017608,0.23406598
2001-09-19,0.23469220,0.23654643,0.23017608,0.23496240
2001-09-20,0.23489287,0.23661360,0.23286682,0.23496240
2001-09-21,0.23496185,0.23607177,0.23386343,0.23496240
2001-09-24,0.23459806,0.23661360,0.23288308,0.23529412
2001-09-25,0.23463880,0.23640662,0.23297532,0.23496240
2001-09-26,0.23451938,0.23640662,0.23289394,0.23529412
2001-09-27,0.23504691,0.23640662,0.23297532,0.23461512
2001-09-28,0.23461512,0.23572119,0.23351938,0.23461512
2001-10-02,0.23463714,0.23640662,0.23295362,0.23496240
2001-10-05,0.23461512,0.23572119,0.23351938,0.23461512
2001-10-09,0.23497346,0.23640662,0.23300247,0.23496240
2001-10-10,0.23466465,0.23640662,0.23326334,0.23529412
2001-10-16,0.23455678,0.23607177,0.23288308,0.23474178
2001-10-17,0.23481345,0.23640662,0.23286682,0.23496240
2001-10-18,0.23496240,0.23640662,0.23292105,0.23475280
2001-10-19,0.23454906,0.23677047,0.23236899,0.23454906
2001-10-22,0.23461512,0.23640662,0.23311110,0.23529412
2001-10-26,0.23529412,0.23640662,0.23419204,0.23529412
2001-10-29,0.23441711,0.23640662,0.23297532,0.23406598
2001-10-30,0.23450619,0.23640662,0.23288852,0.23529412
2001-10-31,0.23442262,0.23657440,0.23218016,0.23457658
2001-11-06,0.23442702,0.23612750,0.23288852,0.23461512
2001-11-07,0.23445010,0.23586018,0.23321985,0.23434021
2001-11-09,0.23461512,0.23572119,0.23351938,0.23461512
2001-11-12,0.23466575,0.23683774,0.23243381,0.23461512
2001-11-13,0.23461512,0.23584907,0.23288308,0.23434021
2001-11-14,0.23461512,0.23572119,0.23285599,0.23454906
2001-11-20,0.23461512,0.23572119,0.23017608,0.23454906
2001-11-21,0.23433802,0.23584907,0.23286682,0.23454906
2001-11-22,0.23460191,0.23584907,0.23297532,0.23434021
2001-11-23,0.23434021,0.23559900,0.23324703,0.23449408
2001-11-26,0.23461512,0.23572119,0.23294820,0.23403858
2001-11-29,0.23406598,0.23565452,0.23017608,0.23454906
2001-12-04,0.23420300,0.23565452,0.23311110,0.23454906
2001-12-05,0.23454906,0.23565452,0.23293732,0.23420300
2001-12-10,0.23454906,0.23572119,0.23288308,0.23454906
2001-12-12,0.23420300,0.23544368,0.23017608,0.23420300
2001-12-14,0.22050717,0.22148395,0.21953897,0.22050717
2001-12-17,0.22050717,0.22222222,0.21953897,0.22050717
2001-12-18,0.21987203,0.22222222,0.21586615,0.22050717
2001-12-19,0.21819767,0.22222222,0.21621622,0.21905805
2001-12-21,0.22026432,0.22222222,0.21929824,0.22026432
