datetime,open,high,low,close
2025-02-10,946.10889,946.10889,941.64008,941.64008
2025-02-11,941.64008,949.12207,941.64008,949.12207
2025-02-12,949.12207,954.66937,949.12207,954.66937
2025-02-13,954.66937,954.66937,947.75049,947.75049
2025-02-14,947.75049,953.58722,947.75049,953.58722
2025-02-15,953.58722,953.58722,953.58722,953.58722
2025-02-17,953.58722,955.046387,953.58722,955.046387
2025-02-18,954.68158,954.68158,954.68158,954.68158
2025-02-19,952.85773,952.85773,952.85773,952.85773
2025-02-20,952.94873,952.94873,952.94873,952.94873
2025-02-21,957.78247,957.78247,957.78247,957.78247
2025-02-24,953.49609,965.84003,953.49609,955.32001
2025-02-25,964.91998,968.78998,963.53998,967.78003
2025-02-26,968.15002,969.47998,965.010010,965.92999
2025-02-27,966.40002,966.53998,958.52002,958.89001
2025-02-28,958.38000,959.53003,954.60999,955.020020
2025-03-01,954.84003,955.66998,953.15997,953.15997
2025-03-03,955.67999,967.22998,955.67999,966.16998
2025-03-04,964.69000,976.47998,964.69000,976.47998
2025-03-05,978,993.94000,976.79999,993.94000
2025-03-06,991.72998,998.26001,991.72998,994.080017
2025-03-07,994.58002,1001.21002,987.28998,998.77002
2025-03-08,999,999.14001,998.53998,998.53998
2025-03-10,999.37000,1001.030029,995.78003,997.34003
2025-03-11,997.81000,1007.84998,997.29999,1006.56000
2025-03-12,1005.82001,1006.28003,1002.039978,1003.15002
2025-03-13,1003.20001,1003.60999,998.039978,999.65002
2025-03-14,999.28003,1004.81000,998.080017,1002.28003
2025-03-15,1002.40997,1002.54999,1002.21997,1002.21997
2025-03-17,999.54999,1006.56000,999.5,1005.96002
2025-03-18,1006.22998,1008.82001,1004.39001,1008.31000
2025-03-19,1008.080017,1008.21002,1000.94000,1003.92999
2025-03-20,1004.15997,1005.45001,996.84003,999.72998
2025-03-21,999.72998,1000.20001,989.48999,989.48999
2025-03-22,989.31000,989.31000,989.039978,989.039978
2025-03-24,993.95001,999.92999,993.65997,995.13000
2025-03-25,995,997.12000,992.83002,994.030029
2025-03-26,994.40002,994.77002,989.73999,990.29999
2025-03-27,990.46997,994.77002,988.79999,994.34998
2025-03-28,994.48999,998.53998,991.90997,997.21002
2025-03-29,997.81000,997.81000,997.81000,997.81000
2025-03-31,993.48999,998.90997,993.29999,996.23999
2025-04-01,996.15002,997.29999,993.10999,993.84998
2025-04-02,993.79999,1001.030029,993.60999,999.41998
2025-04-03,999.73999,1024.15002,996.15002,1015.020020
2025-04-04,1015.76001,1022.90997,1006.88000,1007.97998
2025-04-05,1007.38000,1007.38000,1007.38000,1007.38000
2025-04-07,1009.059998,1015.67999,1004.76001,1004.76001
2025-04-08,1004.94000,1011.21002,1004.53003,1007.89001
2025-04-09,1009.14001,1020.70001,1007.28998,1008.77002
2025-04-10,1008.85999,1035.060059,1007.59003,1030.21997
2025-04-11,1030.92004,1053.55005,1030.92004,1045.38000
2025-04-14,1044.050049,1051.65002,1034.39600,1034.39600
2025-04-15,1033.43896,1033.67102,1031.76001,1031.76001
2025-04-16,1035.047974,1035.56396,1034.59204,1034.80701
2025-04-17,1034.76599,1036.45300,1034.76599,1036.45300
2025-04-21,1051.60596,1052.51294,1051.19495,1052.51294
2025-04-22,1046.23401,1046.48901,1045.82397,1046.25696
2025-04-23,1040.022949,1040.79797,1040.022949,1040.027954
2025-04-24,1036.75806,1037.50598,1036.56201,1037.24597
2025-04-25,1034.86597,1036.80396,1034.86597,1036.010010
2025-04-28,1036.87195,1036.87195,1035.72803,1035.74597
2025-04-29,1038.34497,1040.44702,1038.34497,1040.44702
2025-04-30,1038.10303,1038.18506,1036.83997,1036.85901
2025-05-05,1035.70605,1036.047974,1035.16394,1035.76599
2025-05-06,1033.47400,1034.14795,1033.47400,1034.14795
2025-05-07,1036.18298,1036.20996,1035.74500,1036.20996
2025-05-08,1031.020996,1031.96997,1029.98596,1030.41003
2025-05-09,1026.375,1026.45203,1025.86401,1026.45203
2025-05-12,1014.56897,1014.56897,1013.39697,1014.17297
2025-05-13,1013.70801,1015.28998,1013.70801,1015.28998
2025-05-14,1023.72498,1024.31396,1022.97803,1022.97803
2025-05-15,1021.34497,1022.18903,1020.46503,1021.65503
2025-05-16,1020.85303,1021.20801,1020.82501,1020.82501
2025-05-19,1027.20496,1027.20496,1026.10095,1026.36096
2025-05-20,1023.78003,1024.65100,1023.78003,1024.65100
2025-05-21,1032.64001,1033.82495,1032.64001,1033.25500
2025-05-22,1031.10803,1031.10803,1030.12695,1030.14099
2025-05-23,1033.81201,1034.98303,1033.38306,1033.41003
2025-05-26,1037.51904,1037.51904,1036.99402,1037.26294
2025-05-27,1036.27795,1037.081055,1036.14197,1036.54297
2025-05-28,1032.020020,1032.020020,1031.38098,1031.84595
2025-05-29,1032.54895,1035.32495,1032.54895,1035.32495
2025-05-30,1035.020020,1035.64001,1034.41797,1034.41797
2025-06-02,1041.33997,1042.23401,1041.33997,1041.58606
2025-06-03,1038.15295,1038.15295,1037.82898,1038.015991
2025-06-04,1039.72998,1040.48706,1039.20105,1039.79395
2025-06-05,1043.10498,1043.41895,1041.97400,1042.12000
2025-06-06,1038.80505,1040.41394,1038.80505,1039.69800
2025-06-09,1040.33203,1041.61804,1039.14697,1041.60400
2025-06-10,1042.13000,1043.71106,1042.125,1043.71106
2025-06-11,1042.78101,1047.29504,1042.78101,1045.088013
2025-06-12,1057.69104,1060.38098,1057.69104,1059.21899
2025-06-13,1050.56006,1052.58398,1050.057983,1052.31104
2025-06-16,1055.36096,1055.83997,1055.36096,1055.71204
2025-06-17,1054.45398,1054.45398,1053.49597,1053.85596
2025-06-18,1049.86206,1050.12195,1049.55701,1049.55701
