datetime,open,high,low,close
1986-05-07,1.33510,1.33510,1.33510,1.33510
1986-05-08,1.32170,1.32170,1.32170,1.32170
1986-05-09,1.32400,1.32400,1.32400,1.32400
1986-05-12,1.30610,1.30610,1.30610,1.30610
1986-05-13,1.34040,1.34040,1.34040,1.34040
1986-05-14,1.37360,1.37360,1.37360,1.37360
1986-05-15,1.35630,1.35630,1.35630,1.35630
1986-05-16,1.33780,1.33780,1.33780,1.33780
1986-05-19,1.31930,1.31930,1.31930,1.31930
1986-05-20,1.32290,1.32290,1.32290,1.32290
1986-05-21,1.30970,1.30970,1.30970,1.30970
1986-05-22,1.31700,1.31700,1.31700,1.31700
1986-05-23,1.31270,1.31270,1.31270,1.31270
1986-05-27,1.30710,1.30710,1.30710,1.30710
1986-05-28,1.31290,1.31290,1.31290,1.31290
1986-05-29,1.28470,1.28470,1.28470,1.28470
1986-05-30,1.29340,1.29340,1.29340,1.29340
1986-06-02,1.33240,1.33240,1.33240,1.33240
1986-06-03,1.34800,1.34800,1.34800,1.34800
1986-06-04,1.36540,1.36540,1.36540,1.36540
1986-06-05,1.38960,1.38960,1.38960,1.38960
1986-06-06,1.37070,1.37070,1.37070,1.37070
1986-06-09,1.38880,1.38880,1.38880,1.38880
1986-06-10,1.39570,1.39570,1.39570,1.39570
1986-06-11,1.41990,1.41990,1.41990,1.41990
1986-06-12,1.40520,1.40520,1.40520,1.40520
1986-06-13,1.40230,1.40230,1.40230,1.40230
1986-06-16,1.38110,1.38110,1.38110,1.38110
1986-06-17,1.37760,1.37760,1.37760,1.37760
1986-06-18,1.38450,1.38450,1.38450,1.38450
1986-06-19,1.37810,1.37810,1.37810,1.37810
1986-06-20,1.37160,1.37160,1.37160,1.37160
1986-06-23,1.40940,1.40940,1.40940,1.40940
1986-06-24,1.42500,1.42500,1.42500,1.42500
1986-06-25,1.44360,1.44360,1.44360,1.44360
1986-06-26,1.45570,1.45570,1.45570,1.45570
1986-06-27,1.45410,1.45410,1.45410,1.45410
1986-06-30,1.45910,1.45910,1.45910,1.45910
1986-07-01,1.49630,1.49630,1.49630,1.49630
1986-07-02,1.52140,1.52140,1.52140,1.52140
1986-07-03,1.55260,1.55260,1.55260,1.55260
1986-07-07,1.53970,1.53970,1.53970,1.53970
1986-07-08,1.56760,1.56760,1.56760,1.56760
1986-07-09,1.55130,1.55130,1.55130,1.55130
1986-07-10,1.54530,1.54530,1.54530,1.54530
1986-07-11,1.52670,1.52670,1.52670,1.52670
1986-07-14,1.52730,1.52730,1.52730,1.52730
1986-07-15,1.53840,1.53840,1.53840,1.53840
1986-07-16,1.55220,1.55220,1.55220,1.55220
1986-07-17,1.54850,1.54850,1.54850,1.54850
1986-07-18,1.56440,1.56440,1.56440,1.56440
1986-07-21,1.54580,1.54580,1.54580,1.54580
1986-07-22,1.55570,1.55570,1.55570,1.55570
1986-07-23,1.58280,1.58280,1.58280,1.58280
1986-07-24,1.60720,1.60720,1.60720,1.60720
1986-07-25,1.65270,1.65270,1.65270,1.65270
1986-07-28,1.63850,1.63850,1.63850,1.63850
1986-07-29,1.64170,1.64170,1.64170,1.64170
1986-07-30,1.65190,1.65190,1.65190,1.65190
1986-07-31,1.69370,1.69370,1.69370,1.69370
1986-08-01,1.66920,1.66920,1.66920,1.66920
1986-08-04,1.67340,1.67340,1.67340,1.67340
1986-08-05,1.64530,1.64530,1.64530,1.64530
1986-08-06,1.63940,1.63940,1.63940,1.63940
1986-08-07,1.66210,1.66210,1.66210,1.66210
1986-08-08,1.67920,1.67920,1.67920,1.67920
1986-08-11,1.67340,1.67340,1.67340,1.67340
