datetime,open,high,low,close
2003-12-01,1.56160,1.56670,1.55420,1.55960
2003-12-02,1.55980,1.57080,1.55900,1.56700
2003-12-03,1.56650,1.57620,1.56480,1.57590
2003-12-04,1.57540,1.59090,1.56900,1.58290
2003-12-05,1.58330,1.58860,1.57520,1.58760
2003-12-08,1.58770,1.59390,1.58270,1.58460
2003-12-09,1.58500,1.60360,1.58410,1.60040
2003-12-10,1.60030,1.60440,1.59150,1.59520
2003-12-11,1.59560,1.61500,1.59290,1.60860
2003-12-12,1.60870,1.62070,1.60330,1.61390
2003-12-15,1.61210,1.61880,1.60660,1.61670
2003-12-16,1.61460,1.63740,1.61460,1.63430
2003-12-17,1.63400,1.64710,1.63340,1.64500
2003-12-18,1.64490,1.65490,1.64250,1.65420
2003-12-19,1.65430,1.66150,1.65030,1.65330
2003-12-22,1.65130,1.66380,1.64830,1.64940
2003-12-23,1.64940,1.65340,1.61470,1.63800
2003-12-24,1.63760,1.64080,1.62550,1.62730
2003-12-25,1.62750,1.63650,1.62700,1.62990
2003-12-26,1.63000,1.63280,1.62270,1.62380
2003-12-29,1.62980,1.63820,1.62950,1.63420
2003-12-30,1.63430,1.64000,1.61970,1.62380
2003-12-31,1.62370,1.63480,1.62110,1.63300
2004-01-01,1.63270,1.63280,1.61270,1.62840
2004-01-02,1.62840,1.63220,1.61960,1.62340
2004-01-05,1.62510,1.63250,1.61790,1.62440
2004-01-06,1.62460,1.64180,1.62160,1.63610
2004-01-07,1.63610,1.63900,1.62630,1.62910
2004-01-08,1.62950,1.63450,1.62320,1.63310
2004-01-09,1.63300,1.63690,1.62530,1.62980
2004-01-12,1.63340,1.63770,1.62400,1.62520
2004-01-13,1.62560,1.63090,1.61860,1.62490
2004-01-14,1.62470,1.64030,1.61270,1.63150
2004-01-15,1.63170,1.63680,1.62630,1.63140
2004-01-16,1.63190,1.63290,1.60570,1.60760
2004-01-19,1.60900,1.61500,1.60530,1.60740
2004-01-20,1.60770,1.62650,1.60710,1.62540
2004-01-21,1.625,1.64630,1.62220,1.64520
2004-01-22,1.64510,1.65420,1.64350,1.64680
2004-01-23,1.64670,1.66990,1.64520,1.65230
2004-01-26,1.65270,1.65340,1.63550,1.63890
2004-01-27,1.63810,1.65170,1.63290,1.65030
