datetime,open,high,low,close
1979-12-24,2.39460,2.39460,2.39460,2.39460
1979-12-27,2.39030,2.39030,2.39030,2.39030
1979-12-28,2.40160,2.40160,2.40160,2.40160
1979-12-31,2.40690,2.40690,2.40690,2.40690
1980-01-02,2.39350,2.39350,2.39350,2.39350
1980-01-03,2.38610,2.38610,2.38610,2.38610
1980-01-04,2.39070,2.39070,2.39070,2.39070
1980-01-07,2.38670,2.38670,2.38670,2.38670
1980-01-08,2.38360,2.38360,2.38360,2.38360
1980-01-09,2.38830,2.38830,2.38830,2.38830
1980-01-10,2.38540,2.38540,2.38540,2.38540
1980-01-11,2.38560,2.38560,2.38560,2.38560
1980-01-14,2.38890,2.38890,2.38890,2.38890
1980-01-15,2.39880,2.39880,2.39880,2.39880
1980-01-16,2.39180,2.39180,2.39180,2.39180
1980-01-17,2.39600,2.39600,2.39600,2.39600
1980-01-18,2.39620,2.39620,2.39620,2.39620
1980-01-21,2.40340,2.40340,2.40340,2.40340
1980-01-22,2.41030,2.41030,2.41030,2.41030
1980-01-23,2.41090,2.41090,2.41090,2.41090
1980-01-24,2.41270,2.41270,2.41270,2.41270
1980-01-25,2.41890,2.41890,2.41890,2.41890
1980-01-28,2.41940,2.41940,2.41940,2.41940
1980-01-29,2.41940,2.41940,2.41940,2.41940
1980-01-30,2.42880,2.42880,2.42880,2.42880
1980-01-31,2.43590,2.43590,2.43590,2.43590
1980-02-01,2.43360,2.43360,2.43360,2.43360
1980-02-04,2.43510,2.43510,2.43510,2.43510
1980-02-05,2.42400,2.42400,2.42400,2.42400
1980-02-06,2.41570,2.41570,2.41570,2.41570
1980-02-07,2.41650,2.41650,2.41650,2.41650
1980-02-08,2.42400,2.42400,2.42400,2.42400
1980-02-11,2.42060,2.42060,2.42060,2.42060
1980-02-12,2.42310,2.42310,2.42310,2.42310
1980-02-13,2.41740,2.41740,2.41740,2.41740
1980-02-14,2.42560,2.42560,2.42560,2.42560
1980-02-15,2.43410,2.43410,2.43410,2.43410
1980-02-18,2.43710,2.43710,2.43710,2.43710
1980-02-19,2.44420,2.44420,2.44420,2.44420
1980-02-20,2.44030,2.44030,2.44030,2.44030
1980-02-21,2.44440,2.44440,2.44440,2.44440
1980-02-22,2.45780,2.45780,2.45780,2.45780
1980-02-25,2.47260,2.47260,2.47260,2.47260
1980-02-26,2.46710,2.46710,2.46710,2.46710
1980-02-27,2.46590,2.46590,2.46590,2.46590
1980-02-28,2.47000,2.47000,2.47000,2.47000
1980-02-29,2.50150,2.50150,2.50150,2.50150
1980-03-03,2.50650,2.50650,2.50650,2.50650
1980-03-04,2.50430,2.50430,2.50430,2.50430
1980-03-05,2.49290,2.49290,2.49290,2.49290
1980-03-06,2.48950,2.48950,2.48950,2.48950
1980-03-07,2.49190,2.49190,2.49190,2.49190
1980-03-10,2.49740,2.49740,2.49740,2.49740
1980-03-11,2.49640,2.49640,2.49640,2.49640
1980-03-12,2.49600,2.49600,2.49600,2.49600
1980-03-13,2.49850,2.49850,2.49850,2.49850
1980-03-14,2.50180,2.50180,2.50180,2.50180
1980-03-17,2.49120,2.49120,2.49120,2.49120
1980-03-18,2.47030,2.47030,2.47030,2.47030
1980-03-19,2.47170,2.47170,2.47170,2.47170
1980-03-20,2.46680,2.46680,2.46680,2.46680
1980-03-21,2.47630,2.47630,2.47630,2.47630
1980-03-24,2.47400,2.47400,2.47400,2.47400
1980-03-25,2.47550,2.47550,2.47550,2.47550
1980-03-26,2.48010,2.48010,2.48010,2.48010
1980-03-27,2.50030,2.50030,2.50030,2.50030
1980-03-28,2.48220,2.48220,2.48220,2.48220
1980-03-31,2.49430,2.49430,2.49430,2.49430
1980-04-01,2.49270,2.49270,2.49270,2.49270
1980-04-02,2.48930,2.48930,2.48930,2.48930
1980-04-03,2.49530,2.49530,2.49530,2.49530
1980-04-08,2.49290,2.49290,2.49290,2.49290
1980-04-09,2.47130,2.47130,2.47130,2.47130
1980-04-10,2.46410,2.46410,2.46410,2.46410
1980-04-11,2.43360,2.43360,2.43360,2.43360
1980-04-14,2.43640,2.43640,2.43640,2.43640
1980-04-15,2.45380,2.45380,2.45380,2.45380
1980-04-16,2.42310,2.42310,2.42310,2.42310
1980-04-17,2.43710,2.43710,2.43710,2.43710
1980-04-18,2.42940,2.42940,2.42940,2.42940
1980-04-21,2.43250,2.43250,2.43250,2.43250
1980-04-22,2.43890,2.43890,2.43890,2.43890
1980-04-23,2.43610,2.43610,2.43610,2.43610
1980-04-24,2.43130,2.43130,2.43130,2.43130
1980-04-25,2.42870,2.42870,2.42870,2.42870
1980-04-28,2.41530,2.41530,2.41530,2.41530
1980-04-29,2.41300,2.41300,2.41300,2.41300
1980-04-30,2.40480,2.40480,2.40480,2.40480
1980-05-01,2.40260,2.40260,2.40260,2.40260
1980-05-02,2.41370,2.41370,2.41370,2.41370
1980-05-06,2.39670,2.39670,2.39670,2.39670
1980-05-07,2.40010,2.40010,2.40010,2.40010
1980-05-08,2.40270,2.40270,2.40270,2.40270
1980-05-09,2.40990,2.40990,2.40990,2.40990
1980-05-12,2.40730,2.40730,2.40730,2.40730
1980-05-13,2.40930,2.40930,2.40930,2.40930
1980-05-14,2.40860,2.40860,2.40860,2.40860
1980-05-15,2.41370,2.41370,2.41370,2.41370
1980-05-16,2.41210,2.41210,2.41210,2.41210
1980-05-19,2.41360,2.41360,2.41360,2.41360
1980-05-20,2.42360,2.42360,2.42360,2.42360
1980-05-21,2.41460,2.41460,2.41460,2.41460
1980-05-22,2.41860,2.41860,2.41860,2.41860
1980-05-23,2.41830,2.41830,2.41830,2.41830
1980-05-27,2.41340,2.41340,2.41340,2.41340
1980-05-28,2.42020,2.42020,2.42020,2.42020
1980-05-29,2.42190,2.42190,2.42190,2.42190
1980-05-30,2.42240,2.42240,2.42240,2.42240
1980-06-02,2.42660,2.42660,2.42660,2.42660
1980-06-03,2.42050,2.42050,2.42050,2.42050
1980-06-04,2.41410,2.41410,2.41410,2.41410
1980-06-05,2.41490,2.41490,2.41490,2.41490
1980-06-06,2.41100,2.41100,2.41100,2.41100
1980-06-09,2.39270,2.39270,2.39270,2.39270
1980-06-10,2.39310,2.39310,2.39310,2.39310
1980-06-11,2.39950,2.39950,2.39950,2.39950
1980-06-12,2.39650,2.39650,2.39650,2.39650
1980-06-13,2.38810,2.38810,2.38810,2.38810
1980-06-16,2.39490,2.39490,2.39490,2.39490
1980-06-17,2.39900,2.39900,2.39900,2.39900
1980-06-18,2.39590,2.39590,2.39590,2.39590
1980-06-19,2.39960,2.39960,2.39960,2.39960
1980-06-20,2.39800,2.39800,2.39800,2.39800
1980-06-23,2.40380,2.40380,2.40380,2.40380
1980-06-24,2.40500,2.40500,2.40500,2.40500
1980-06-25,2.40690,2.40690,2.40690,2.40690
1980-06-26,2.39700,2.39700,2.39700,2.39700
1980-06-27,2.39870,2.39870,2.39870,2.39870
1980-06-30,2.40200,2.40200,2.40200,2.40200
1980-07-01,2.39860,2.39860,2.39860,2.39860
1980-07-02,2.38960,2.38960,2.38960,2.38960
1980-07-03,2.39030,2.39030,2.39030,2.39030
1980-07-04,2.38250,2.38250,2.38250,2.38250
1980-07-07,2.36370,2.36370,2.36370,2.36370
1980-07-08,2.37110,2.37110,2.37110,2.37110
1980-07-09,2.37280,2.37280,2.37280,2.37280
1980-07-10,2.38260,2.38260,2.38260,2.38260
1980-07-11,2.38190,2.38190,2.38190,2.38190
1980-07-14,2.38610,2.38610,2.38610,2.38610
1980-07-15,2.38820,2.38820,2.38820,2.38820
1980-07-16,2.38480,2.38480,2.38480,2.38480
1980-07-17,2.38360,2.38360,2.38360,2.38360
1980-07-18,2.39010,2.39010,2.39010,2.39010
1980-07-21,2.38530,2.38530,2.38530,2.38530
1980-07-22,2.38470,2.38470,2.38470,2.38470
1980-07-23,2.38670,2.38670,2.38670,2.38670
1980-07-24,2.38040,2.38040,2.38040,2.38040
1980-07-25,2.38610,2.38610,2.38610,2.38610
1980-07-28,2.39470,2.39470,2.39470,2.39470
1980-07-29,2.39740,2.39740,2.39740,2.39740
1980-07-30,2.40620,2.40620,2.40620,2.40620
1980-07-31,2.40570,2.40570,2.40570,2.40570
1980-08-01,2.41510,2.41510,2.41510,2.41510
1980-08-04,2.40710,2.40710,2.40710,2.40710
1980-08-05,2.40250,2.40250,2.40250,2.40250
1980-08-06,2.39640,2.39640,2.39640,2.39640
1980-08-07,2.40130,2.40130,2.40130,2.40130
1980-08-08,2.40840,2.40840,2.40840,2.40840
1980-08-11,2.40260,2.40260,2.40260,2.40260
1980-08-12,2.39600,2.39600,2.39600,2.39600
1980-08-13,2.39690,2.39690,2.39690,2.39690
1980-08-14,2.39500,2.39500,2.39500,2.39500
1980-08-15,2.39590,2.39590,2.39590,2.39590
1980-08-18,2.40430,2.40430,2.40430,2.40430
1980-08-19,2.40090,2.40090,2.40090,2.40090
1980-08-20,2.40010,2.40010,2.40010,2.40010
1980-08-21,2.39880,2.39880,2.39880,2.39880
1980-08-22,2.40320,2.40320,2.40320,2.40320
1980-08-26,2.39400,2.39400,2.39400,2.39400
1980-08-27,2.39620,2.39620,2.39620,2.39620
1980-08-28,2.38870,2.38870,2.38870,2.38870
1980-08-29,2.38890,2.38890,2.38890,2.38890
1980-09-01,2.38930,2.38930,2.38930,2.38930
1980-09-02,2.38450,2.38450,2.38450,2.38450
