datetime,open,high,low,close
2025-02-08,2.88440,2.88440,2.88440,2.88440
2025-02-10,2.86034,2.87341,2.86006,2.86535
2025-02-11,2.86562,2.88860,2.86479,2.88498
2025-02-12,2.88470,2.94098,2.87900,2.93026
2025-02-13,2.92998,2.94549,2.92660,2.94352
2025-02-14,2.94295,2.98044,2.94295,2.97647
2025-02-15,2.97618,2.97618,2.97363,2.97420
2025-02-17,2.96286,2.96823,2.95693,2.96116
2025-02-18,2.96088,2.96258,2.93886,2.93999
2025-02-19,2.94027,2.94732,2.92816,2.94506
2025-02-20,2.94506,2.96597,2.94245,2.94581
2025-02-21,2.94553,2.94665,2.92628,2.92936
2025-02-22,2.92936,2.93020,2.92852,2.92936
2025-02-24,2.93384,2.95040,2.92712,2.94871
2025-02-25,2.94899,2.95856,2.94365,2.95331
2025-02-26,2.95359,2.96356,2.94510,2.95455
2025-02-27,2.95398,2.95483,2.91124,2.91208
2025-02-28,2.91236,2.91320,2.88526,2.88721
2025-03-01,2.88721,2.88999,2.88637,2.88944
2025-03-03,2.89807,2.91506,2.89215,2.89630
2025-03-04,2.89519,2.95768,2.89353,2.95768
2025-03-05,2.95796,3.0020564,2.95796,3.0017781
2025-03-06,3.0014999,3.018470,2.99510,3.0051165
2025-03-07,3.0045602,3.020865,2.99788,3.0086551
2025-03-08,3.0097649,3.011153,3.0064349,3.0064349
2025-03-10,3.0083776,3.017257,2.99542,3.0058799
2025-03-11,3.0056024,3.49039,2.99941,3.035224
2025-03-12,3.034668,3.034668,3.017002,3.021163
2025-03-13,3.020331,3.022828,3.0023003,3.0095127
2025-03-14,3.0089579,3.024529,2.97398,3.016768
2025-03-15,3.017045,3.017599,3.015382,3.015659
2025-03-17,3.015659,3.044005,2.98274,3.041498
2025-03-18,3.041498,3.048498,3.013702,3.046550
2025-03-19,3.046272,3.047107,3.014205,3.024472
2025-03-20,3.024750,3.029468,2.99847,3.0087287
2025-03-21,3.0087287,3.010392,2.99376,2.99847
2025-03-22,2.99847,2.99847,2.99709,2.99764
2025-03-24,3.00096726,3.020054,2.99767,3.0029559
2025-03-25,3.0029559,3.0074911,2.99277,2.99777
2025-03-26,2.99805,2.99833,2.97824,2.98018
2025-03-27,2.98018,2.99498,2.97546,2.98806
2025-03-28,2.98806,2.99837,2.97680,2.99339
2025-03-29,2.99339,2.99615,2.99339,2.99477
2025-03-31,2.99118,2.99947,2.97638,2.98466
2025-04-01,2.98466,2.98908,2.97500,2.97749
2025-04-02,2.97776,3.00067210,2.97583,2.99460
2025-04-03,2.99460,3.066866,2.98273,3.037663
2025-04-04,3.036836,3.059978,3.0073855,3.012117
2025-04-05,3.011842,3.017897,3.0093648,3.017622
2025-04-07,3.022246,3.040960,3.00023031,3.0013311
2025-04-08,3.0013311,3.024723,3.00074601,3.018929
2025-04-09,3.018929,3.056397,3.0070825,3.016449
2025-04-10,3.016174,3.096895,3.015623,3.086151
2025-04-11,3.086151,3.16026,3.083672,3.12463
2025-04-14,3.13770,3.14420,3.13178,3.13398
2025-04-15,3.12390,3.12660,3.12390,3.12660
2025-04-16,3.12300,3.12300,3.12100,3.12140
2025-04-17,3.12680,3.12780,3.12680,3.12780
2025-04-18,3.12610,3.12660,3.12610,3.12660
2025-04-23,3.12750,3.12900,3.12600,3.12900
2025-04-24,3.11490,3.11730,3.11490,3.11630
2025-04-25,3.11190,3.11450,3.11190,3.11450
2025-04-28,3.12700,3.12740,3.12680,3.12710
2025-04-29,3.13090,3.13120,3.13040,3.13040
2025-04-30,3.12710,3.12880,3.12640,3.12870
2025-05-01,3.10890,3.10890,3.10770,3.10780
2025-05-02,3.10820,3.10820,3.10660,3.10720
2025-05-05,3.11560,3.11650,3.11370,3.11470
2025-05-06,3.10830,3.10990,3.10830,3.10930
2025-05-07,3.11530,3.11720,3.11530,3.11700
2025-05-08,3.11060,3.11060,3.10950,3.11040
2025-05-09,3.081300,3.081300,3.080500,3.080500
2025-05-14,3.070300,3.070500,3.067900,3.068800
2025-05-15,3.071300,3.071300,3.070200,3.070900
2025-05-16,3.070000,3.070300,3.069400,3.069900
2025-05-19,3.065100,3.065800,3.064800,3.065300
2025-05-20,3.081100,3.081100,3.079900,3.080100
2025-05-21,3.10450,3.10450,3.10270,3.10270
2025-05-22,3.10370,3.10370,3.10220,3.10220
2025-05-23,3.096700,3.096800,3.095900,3.096300
2025-05-27,3.11100,3.11360,3.11100,3.11340
2025-05-28,3.092500,3.092500,3.091300,3.091300
2025-05-29,3.074600,3.076400,3.074600,3.076400
2025-05-30,3.10270,3.10270,3.10190,3.10250
2025-05-31,3.10050,3.10050,3.10050,3.10050
2025-06-02,3.10560,3.10710,3.10560,3.10710
2025-06-03,3.11950,3.12030,3.11930,3.11970
2025-06-04,3.10460,3.10700,3.10460,3.10670
2025-06-05,3.11600,3.11690,3.11600,3.11660
2025-06-06,3.12380,3.12440,3.12370,3.12420
2025-06-09,3.11720,3.11920,3.11720,3.11780
2025-06-10,3.11320,3.11320,3.11120,3.11120
2025-06-11,3.11590,3.11650,3.11540,3.11650
2025-06-12,3.14380,3.14380,3.14260,3.14370
2025-06-13,3.14920,3.14920,3.14210,3.14210
2025-06-16,3.15050,3.15480,3.15050,3.15480
2025-06-17,3.15380,3.15640,3.15020,3.15520
2025-06-18,3.13590,3.14530,3.13550,3.14040
2025-06-19,3.12600,3.12980,3.12600,3.12750
2025-06-20,3.14280,3.14340,3.11870,3.13800
2025-06-23,3.13540,3.13810,3.13540,3.13810
2025-06-24,3.16270,3.16280,3.11540,3.16000
2025-06-25,3.16390,3.16490,3.14990,3.15980
2025-06-26,3.18440,3.18870,3.15190,3.1875
2025-06-27,3.18500,3.19180,3.18250,3.19180
2025-06-30,3.19510,3.19540,3.19470,3.19470
2025-07-01,3.20840,3.21600,3.18100,3.21430
2025-07-02,3.21000,3.21040,3.19770,3.20400
2025-07-03,3.20600,3.20650,3.19290,3.20570
2025-07-04,3.19990,3.20160,3.19840,3.19850
2025-07-07,3.19810,3.19940,3.19790,3.19940
2025-07-08,3.19140,3.19220,3.17710,3.18330
2025-07-09,3.18010,3.18090,3.17750,3.18050
2025-07-10,3.18730,3.18730,3.17050,3.18020
2025-07-11,3.17290,3.17750,3.17030,3.17420
2025-07-14,3.16750,3.16750,3.16500,3.16500
2025-07-15,3.16910,3.16920,3.16370,3.16600
2025-07-16,3.14960,3.16030,3.14520,3.14520
2025-07-17,3.15050,3.15050,3.13870,3.14040
2025-07-18,3.15050,3.16000,3.13250,3.15790
2025-07-21,3.15250,3.15360,3.15240,3.15360
2025-07-22,3.16770,3.17150,3.14650,3.16840
2025-07-23,3.18010,3.18050,3.16250,3.17690
2025-07-24,3.18970,3.19030,3.16990,3.17760
2025-07-25,3.18090,3.18120,3.17250,3.17560
2025-07-28,3.18050,3.18050,3.17890,3.17890
2025-07-29,3.13460,3.14830,3.12170,3.12210
