datetime,open,high,low,close
1979-12-24,358.040009,358.040009,358.040009,358.040009
1979-12-27,360.98001,360.98001,360.98001,360.98001
1979-12-28,362,362,362,362
1979-12-31,361.42001,361.42001,361.42001,361.42001
1980-01-02,361.14001,361.14001,361.14001,361.14001
1980-01-03,361.029999,361.029999,361.029999,361.029999
1980-01-04,356.44000,356.44000,356.44000,356.44000
1980-01-07,351.87000,351.87000,351.87000,351.87000
1980-01-08,354.47000,354.47000,354.47000,354.47000
1980-01-09,355.82001,355.82001,355.82001,355.82001
1980-01-10,356.57999,356.57999,356.57999,356.57999
1980-01-11,356.38000,356.38000,356.38000,356.38000
1980-01-14,356.64999,356.64999,356.64999,356.64999
1980-01-15,360.53000,360.53000,360.53000,360.53000
1980-01-16,357.98999,357.98999,357.98999,357.98999
1980-01-17,361.22000,361.22000,361.22000,361.22000
1980-01-18,361.39001,361.39001,361.39001,361.39001
1980-01-21,362.95001,362.95001,362.95001,362.95001
1980-01-22,359.79999,359.79999,359.79999,359.79999
1980-01-23,355.70001,355.70001,355.70001,355.70001
1980-01-24,358.91000,358.91000,358.91000,358.91000
1980-01-25,359.39999,359.39999,359.39999,359.39999
1980-01-28,359.89999,359.89999,359.89999,359.89999
1980-01-29,358.32001,358.32001,358.32001,358.32001
1980-01-30,358.54999,358.54999,358.54999,358.54999
1980-01-31,357.66000,357.66000,357.66000,357.66000
1980-02-01,358.70001,358.70001,358.70001,358.70001
1980-02-04,358.51001,358.51001,358.51001,358.51001
1980-02-05,358.42999,358.42999,358.42999,358.42999
1980-02-06,359.57001,359.57001,359.57001,359.57001
1980-02-07,359.22000,359.22000,359.22000,359.22000
1980-02-08,361,361,361,361
1980-02-11,361.48999,361.48999,361.48999,361.48999
1980-02-12,361.41000,361.41000,361.41000,361.41000
1980-02-13,363.17999,363.17999,363.17999,363.17999
1980-02-14,365.29001,365.29001,365.29001,365.29001
1980-02-15,364.67999,364.67999,364.67999,364.67999
1980-02-18,365.84000,365.84000,365.84000,365.84000
1980-02-19,365.85001,365.85001,365.85001,365.85001
1980-02-20,366.54999,366.54999,366.54999,366.54999
1980-02-21,366.57001,366.57001,366.57001,366.57001
1980-02-22,366.63000,366.63000,366.63000,366.63000
1980-02-25,367.42999,367.42999,367.42999,367.42999
1980-02-26,366.60001,366.60001,366.60001,366.60001
1980-02-27,366.91000,366.91000,366.91000,366.91000
1980-02-28,367.26001,367.26001,367.26001,367.26001
1980-02-29,369.26999,369.26999,369.26999,369.26999
1980-03-03,363.35001,363.35001,363.35001,363.35001
1980-03-04,359.23001,359.23001,359.23001,359.23001
1980-03-05,360.45001,360.45001,360.45001,360.45001
1980-03-06,360.91000,360.91000,360.91000,360.91000
1980-03-07,360.070007,360.070007,360.070007,360.070007
1980-03-10,357.25,357.25,357.25,357.25
1980-03-11,355.72000,355.72000,355.72000,355.72000
1980-03-12,356.92999,356.92999,356.92999,356.92999
1980-03-13,355.73001,355.73001,355.73001,355.73001
1980-03-14,353.81000,353.81000,353.81000,353.81000
1980-03-17,347.35001,347.35001,347.35001,347.35001
1980-03-18,346.29001,346.29001,346.29001,346.29001
1980-03-19,346.81000,346.81000,346.81000,346.81000
1980-03-20,347.85001,347.85001,347.85001,347.85001
1980-03-21,346.60001,346.60001,346.60001,346.60001
1980-03-24,345.25,345.25,345.25,345.25
1980-03-25,344.14999,344.14999,344.14999,344.14999
1980-03-26,344.29001,344.29001,344.29001,344.29001
1980-03-27,341.39999,341.39999,341.39999,341.39999
1980-03-28,339.76001,339.76001,339.76001,339.76001
