datetime,open,high,low,close
1986-05-07,1.68800,1.68800,1.68800,1.68800
1986-05-08,1.68130,1.68130,1.68130,1.68130
1986-05-09,1.67360,1.67360,1.67360,1.67360
1986-05-12,1.65570,1.65570,1.65570,1.65570
1986-05-13,1.74580,1.74580,1.74580,1.74580
1986-05-14,1.73460,1.73460,1.73460,1.73460
1986-05-15,1.73280,1.73280,1.73280,1.73280
1986-05-16,1.75170,1.75170,1.75170,1.75170
1986-05-19,1.72320,1.72320,1.72320,1.72320
1986-05-20,1.71450,1.71450,1.71450,1.71450
1986-05-21,1.69980,1.69980,1.69980,1.69980
1986-05-22,1.70000,1.70000,1.70000,1.70000
1986-05-23,1.69960,1.69960,1.69960,1.69960
1986-05-27,1.70270,1.70270,1.70270,1.70270
1986-05-28,1.68450,1.68450,1.68450,1.68450
1986-05-29,1.65030,1.65030,1.65030,1.65030
1986-05-30,1.64210,1.64210,1.64210,1.64210
1986-06-02,1.67470,1.67470,1.67470,1.67470
1986-06-03,1.67450,1.67450,1.67450,1.67450
1986-06-04,1.70900,1.70900,1.70900,1.70900
1986-06-05,1.73320,1.73320,1.73320,1.73320
1986-06-06,1.70940,1.70940,1.70940,1.70940
1986-06-09,1.72790,1.72790,1.72790,1.72790
1986-06-10,1.72140,1.72140,1.72140,1.72140
1986-06-11,1.73490,1.73490,1.73490,1.73490
1986-06-12,1.76360,1.76360,1.76360,1.76360
1986-06-13,1.78570,1.78570,1.78570,1.78570
1986-06-16,1.79270,1.79270,1.79270,1.79270
1986-06-17,1.78470,1.78470,1.78470,1.78470
1986-06-18,1.78420,1.78420,1.78420,1.78420
1986-06-19,1.79550,1.79550,1.79550,1.79550
1986-06-20,1.79050,1.79050,1.79050,1.79050
1986-06-23,1.81320,1.81320,1.81320,1.81320
1986-06-24,1.80690,1.80690,1.80690,1.80690
1986-06-25,1.82630,1.82630,1.82630,1.82630
1986-06-26,1.82530,1.82530,1.82530,1.82530
1986-06-27,1.80330,1.80330,1.80330,1.80330
1986-06-30,1.79000,1.79000,1.79000,1.79000
1986-07-01,1.81800,1.81800,1.81800,1.81800
1986-07-02,1.82600,1.82600,1.82600,1.82600
1986-07-03,1.85690,1.85690,1.85690,1.85690
1986-07-07,1.83330,1.83330,1.83330,1.83330
1986-07-08,1.85160,1.85160,1.85160,1.85160
1986-07-09,1.83600,1.83600,1.83600,1.83600
1986-07-10,1.83060,1.83060,1.83060,1.83060
1986-07-11,1.83810,1.83810,1.83810,1.83810
1986-07-14,1.84110,1.84110,1.84110,1.84110
1986-07-15,1.85360,1.85360,1.85360,1.85360
1986-07-16,1.85530,1.85530,1.85530,1.85530
1986-07-17,1.84660,1.84660,1.84660,1.84660
1986-07-18,1.86970,1.86970,1.86970,1.86970
1986-07-21,1.83400,1.83400,1.83400,1.83400
1986-07-22,1.83400,1.83400,1.83400,1.83400
1986-07-23,1.84670,1.84670,1.84670,1.84670
1986-07-24,1.85600,1.85600,1.85600,1.85600
1986-07-25,1.90810,1.90810,1.90810,1.90810
1986-07-28,1.89810,1.89810,1.89810,1.89810
1986-07-29,1.89090,1.89090,1.89090,1.89090
1986-07-30,1.94650,1.94650,1.94650,1.94650
1986-07-31,1.93910,1.93910,1.93910,1.93910
1986-08-01,1.94640,1.94640,1.94640,1.94640
1986-08-04,1.94660,1.94660,1.94660,1.94660
1986-08-05,1.96220,1.96220,1.96220,1.96220
1986-08-06,1.95730,1.95730,1.95730,1.95730
1986-08-07,1.95740,1.95740,1.95740,1.95740
1986-08-08,2.017000,2.017000,2.017000,2.017000
1986-08-11,2.051300,2.051300,2.051300,2.051300
1986-08-12,2.050300,2.050300,2.050300,2.050300
1986-08-13,2.035100,2.035100,2.035100,2.035100
1986-08-14,2.030500,2.030500,2.030500,2.030500
1986-08-15,2.052300,2.052300,2.052300,2.052300
1986-08-18,2.052200,2.052200,2.052200,2.052200
1986-08-19,2.031300,2.031300,2.031300,2.031300
1986-08-20,2.044700,2.044700,2.044700,2.044700
1986-08-21,2.11390,2.11390,2.11390,2.11390
