datetime,open,high,low,close
2003-12-01,1.20340,1.20401,1.19440,1.19650
2003-12-02,1.19610,1.21090,1.19460,1.20890
2003-12-03,1.20900,1.21300,1.20770,1.21230
2003-12-04,1.21200,1.21440,1.20440,1.20809
2003-12-05,1.20780,1.21910,1.20659,1.21869
2003-12-08,1.21680,1.22401,1.21541,1.22200
2003-12-09,1.22211,1.22770,1.21979,1.22499
2003-12-10,1.22490,1.22660,1.21620,1.21910
2003-12-11,1.21910,1.22350,1.21230,1.22240
2003-12-12,1.22270,1.23060,1.22130,1.22790
2003-12-15,1.21869,1.23250,1.21780,1.23200
2003-12-16,1.23141,1.23590,1.23050,1.23219
2003-12-17,1.23200,1.24200,1.23000,1.24020
2003-12-18,1.24020,1.24420,1.23660,1.24230
2003-12-19,1.24221,1.24350,1.23510,1.23850
2003-12-22,1.23570,1.24460,1.23570,1.23989
2003-12-23,1.23989,1.26720,1.23880,1.24000
2003-12-24,1.24009,1.24719,1.24000,1.24530
2003-12-25,1.24570,1.24701,1.24431,1.24480
2003-12-26,1.24500,1.24710,1.24270,1.24319
2003-12-29,1.24339,1.25080,1.24299,1.24839
2003-12-30,1.24860,1.25630,1.24830,1.25489
2003-12-31,1.25500,1.26489,1.25301,1.25900
2004-01-01,1.25900,1.26080,1.24740,1.25819
2004-01-02,1.25819,1.26280,1.25269,1.25819
2004-01-05,1.26390,1.26941,1.26370,1.26870
2004-01-06,1.26891,1.28080,1.26720,1.27210
2004-01-07,1.27239,1.27400,1.26250,1.26409
2004-01-08,1.26409,1.27871,1.25650,1.27750
2004-01-09,1.27750,1.28670,1.27129,1.28589
2004-01-12,1.28480,1.28971,1.27380,1.27410
2004-01-13,1.27440,1.27971,1.27189,1.27859
2004-01-14,1.27881,1.27881,1.24060,1.26510
2004-01-15,1.26560,1.26711,1.25690,1.26010
2004-01-16,1.26000,1.26100,1.23640,1.23980
2004-01-19,1.23870,1.24241,1.23400,1.23541
2004-01-20,1.23510,1.26021,1.23499,1.25891
2004-01-21,1.25810,1.26699,1.25660,1.26590
2004-01-22,1.26581,1.27489,1.26449,1.27251
2004-01-23,1.27239,1.27760,1.25701,1.25830
2004-01-26,1.25750,1.26110,1.24611,1.24880
2004-01-27,1.24860,1.26600,1.24469,1.26370
2004-01-28,1.26341,1.26440,1.24200,1.24420
2004-01-29,1.24411,1.25269,1.23710,1.24100
2004-01-30,1.24100,1.24850,1.23550,1.24681
2004-02-02,1.24760,1.24821,1.23960,1.24330
2004-02-03,1.25379,1.25611,1.25050,1.25349
2004-02-04,1.25459,1.25611,1.25050,1.25400
2004-02-05,1.25379,1.26360,1.25240,1.25720
2004-02-06,1.25701,1.27260,1.25189,1.27000
2004-02-09,1.26550,1.27571,1.26550,1.26941
2004-02-10,1.26929,1.27871,1.26740,1.26850
2004-02-11,1.26830,1.28470,1.26581,1.28301
2004-02-12,1.28330,1.28470,1.27961,1.28180
2004-02-13,1.28171,1.28899,1.27251,1.27280
2004-02-16,1.27299,1.27900,1.27220,1.27650
2004-02-17,1.27641,1.28780,1.27631,1.28579
2004-02-18,1.28631,1.29221,1.26659,1.27251
2004-02-19,1.27290,1.27670,1.26600,1.27571
2004-02-20,1.27580,1.27610,1.25030,1.25420
2004-02-23,1.25009,1.25940,1.24570,1.25720
2004-02-24,1.25720,1.27110,1.25290,1.26780
2004-02-25,1.26789,1.27041,1.24839,1.24970
2004-02-26,1.25009,1.25180,1.23970,1.24480
2004-02-27,1.24480,1.25070,1.23810,1.24941
2004-03-01,1.25390,1.25411,1.24299,1.24480
2004-03-02,1.24500,1.24500,1.22030,1.22041
2004-03-03,1.22020,1.22200,1.20690,1.21910
2004-03-04,1.21939,1.22410,1.21430,1.22070
2004-03-05,1.22049,1.24270,1.21800,1.23680
2004-03-08,1.23651,1.24261,1.23460,1.24261
2004-03-09,1.24261,1.24640,1.22870,1.23191
2004-03-10,1.24261,1.24640,1.22070,1.22320
2004-03-11,1.22320,1.23801,1.21740,1.23510
2004-03-12,1.23499,1.23541,1.21789,1.22240
2004-03-15,1.22140,1.23141,1.22130,1.22720
2004-03-16,1.22690,1.23720,1.22460,1.22611
2004-03-17,1.22600,1.22920,1.21829,1.22270
2004-03-18,1.22270,1.24190,1.22260,1.23890
2004-03-19,1.23870,1.24069,1.22641,1.22690
2004-03-22,1.22770,1.23960,1.22270,1.23460
2004-03-23,1.23460,1.23700,1.22730,1.23451
2004-03-24,1.23460,1.23700,1.21109,1.21390
2004-03-25,1.21400,1.21971,1.21080,1.21370
2004-03-26,1.21380,1.22100,1.20900,1.21269
2004-03-29,1.21140,1.21700,1.20651,1.21660
2004-03-30,1.21660,1.22260,1.21560,1.21850
2004-03-31,1.21820,1.23219,1.21760,1.23130
2004-04-01,1.23119,1.23850,1.22590,1.23651
2004-04-02,1.23660,1.23720,1.21080,1.21290
2004-04-05,1.21150,1.21261,1.19900,1.20130
2004-04-06,1.20179,1.21459,1.19890,1.21311
2004-04-07,1.21300,1.21979,1.20589,1.21660
2004-04-08,1.21640,1.22170,1.20669,1.20770
2004-04-09,1.20790,1.21130,1.20669,1.20861
2004-04-12,1.20910,1.20960,1.20581,1.20731
2004-04-13,1.20731,1.20830,1.19100,1.19380
2004-04-14,1.19350,1.19730,1.18770,1.19470
2004-04-15,1.19460,1.19900,1.18999,1.19870
2004-04-16,1.19880,1.20480,1.19310,1.20029
2004-04-19,1.20200,1.20780,1.20029,1.20070
2004-04-20,1.19880,1.20200,1.18280,1.18481
2004-04-21,1.18481,1.19120,1.18100,1.18100
2004-04-22,1.18069,1.19310,1.17911,1.19251
2004-04-23,1.19229,1.19390,1.18021,1.18500
2004-04-26,1.18009,1.18869,1.17650,1.18620
2004-04-27,1.18630,1.19460,1.18370,1.19290
2004-04-28,1.19310,1.19440,1.18280,1.18430
2004-04-29,1.18430,1.19849,1.18080,1.19600
2004-04-30,1.19590,1.20049,1.19290,1.19829
2004-05-03,1.19940,1.19980,1.19251,1.19360
2004-05-04,1.19360,1.21170,1.19350,1.21051
2004-05-05,1.21051,1.21780,1.21020,1.21589
2004-05-06,1.21589,1.21749,1.20690,1.20770
2004-05-07,1.20780,1.20869,1.18749,1.18800
2004-05-10,1.18950,1.18950,1.18160,1.18460
2004-05-11,1.18460,1.18910,1.17961,1.18820
2004-05-12,1.18800,1.19410,1.18380,1.19050
2004-05-13,1.19070,1.19310,1.17799,1.18040
2004-05-14,1.18040,1.18940,1.17890,1.18820
2004-05-17,1.18950,1.20589,1.18820,1.20250
2004-05-18,1.20240,1.20380,1.19360,1.19450
2004-05-19,1.19440,1.20391,1.19440,1.20039
2004-05-20,1.20039,1.20140,1.19009,1.19570
2004-05-21,1.19590,1.20680,1.19570,1.20280
2004-05-24,1.20011,1.20250,1.19390,1.19990
2004-05-25,1.19980,1.21261,1.19880,1.21010
2004-05-26,1.21010,1.21400,1.20880,1.21109
2004-05-27,1.21101,1.22861,1.20931,1.22760
2004-05-28,1.22730,1.22941,1.22070,1.22181
2004-05-31,1.22401,1.22450,1.21820,1.21990
2004-06-01,1.21990,1.22650,1.21600,1.22450
2004-06-02,1.22460,1.23050,1.22100,1.22190
2004-06-03,1.22190,1.22520,1.21760,1.22211
2004-06-04,1.22190,1.23000,1.21861,1.22751
2004-06-07,1.23180,1.23400,1.23091,1.23180
2004-06-08,1.23241,1.23499,1.22499,1.22611
2004-06-09,1.22620,1.22751,1.20280,1.20430
2004-06-10,1.20450,1.21161,1.20330,1.21090
2004-06-11,1.21051,1.21109,1.19710,1.20150
2004-06-14,1.19680,1.20880,1.19570,1.20620
2004-06-15,1.20581,1.21709,1.20340,1.21660
2004-06-16,1.21660,1.21680,1.19870,1.20070
2004-06-17,1.20049,1.20760,1.19970,1.20340
2004-06-18,1.20330,1.21490,1.19781,1.21451
2004-06-21,1.21380,1.21459,1.20809,1.21261
2004-06-22,1.21250,1.21319,1.20700,1.21219
2004-06-23,1.21211,1.21901,1.20731,1.20861
2004-06-24,1.20880,1.21901,1.20460,1.21740
2004-06-25,1.21709,1.22030,1.21130,1.22030
2004-06-28,1.21749,1.22270,1.21280,1.21869
2004-06-29,1.21869,1.21910,1.20750,1.20980
2004-06-30,1.20950,1.22030,1.20680,1.21840
2004-07-01,1.21829,1.22081,1.21390,1.21620
2004-07-02,1.21620,1.23300,1.21490,1.23110
2004-07-05,1.23300,1.23320,1.22751,1.23000
2004-07-06,1.23000,1.23289,1.22710,1.22850
2004-07-07,1.22840,1.23880,1.22781,1.23710
2004-07-08,1.23700,1.24029,1.23429,1.23950
2004-07-09,1.23970,1.24241,1.23739,1.24190
2004-07-12,1.24120,1.24360,1.23870,1.24080
2004-07-13,1.24040,1.24120,1.23041,1.23330
2004-07-14,1.23330,1.24200,1.23250,1.23850
2004-07-15,1.23850,1.23920,1.23350,1.23561
2004-07-16,1.23580,1.24600,1.23330,1.24559
2004-07-19,1.24550,1.24640,1.24049,1.24400
2004-07-20,1.24380,1.24559,1.23100,1.23340
2004-07-21,1.23350,1.23490,1.22149,1.22630
2004-07-22,1.22611,1.22900,1.22390,1.22560
2004-07-23,1.22581,1.22669,1.20920,1.20960
2004-07-26,1.21080,1.21700,1.20931,1.21390
2004-07-27,1.21420,1.21901,1.20401,1.20640
2004-07-28,1.20630,1.20790,1.20100,1.20440
2004-07-29,1.20460,1.20950,1.19980,1.20380
2004-07-30,1.20380,1.21161,1.20049,1.20161
2004-08-02,1.20420,1.20939,1.20200,1.20220
2004-08-03,1.20220,1.20780,1.20021,1.20530
2004-08-04,1.20530,1.20659,1.19750,1.20600
2004-08-05,1.20589,1.20750,1.20299,1.20520
2004-08-06,1.20571,1.23080,1.20491,1.23080
2004-08-09,1.22699,1.22911,1.22510,1.22730
2004-08-10,1.22781,1.23200,1.22240,1.22360
2004-08-11,1.22380,1.22480,1.21990,1.22220
2004-08-12,1.22220,1.22911,1.22190,1.22390
2004-08-13,1.22401,1.23790,1.21850,1.23759
2004-08-16,1.23810,1.23810,1.23250,1.23590
2004-08-17,1.23580,1.23790,1.23169,1.23451
2004-08-18,1.23480,1.23651,1.22930,1.23400
2004-08-19,1.23410,1.23790,1.23359,1.23720
