datetime,open,high,low,close
2025-12-04,1.33517,1.33835,1.33226,1.33406
2025-12-05,1.33406,1.33613,1.33167,1.33344
2025-12-06,1.33344,1.33375,1.33267,1.33329
2025-12-08,1.3327,1.3346,1.33073,1.33267
2025-12-09,1.33267,1.3355,1.32897,1.33017
2025-12-10,1.33018,1.33671,1.32971,1.33641
2025-12-11,1.33641,1.34369,1.33559,1.33903
2025-12-12,1.33903,1.34001,1.33438,1.3366
2025-12-13,1.33663,1.33751,1.33644,1.33717
2025-12-15,1.33781,1.34012,1.33547,1.33725
2025-12-16,1.33726,1.34523,1.33565,1.34262
2025-12-17,1.34264,1.34356,1.33116,1.33768
2025-12-18,1.3377,1.34436,1.33422,1.33854
2025-12-19,1.33855,1.33913,1.33578,1.33902
2025-12-20,1.33904,1.3394,1.3373,1.33761
2025-12-22,1.33837,1.34784,1.33755,1.34586
2025-12-23,1.34583,1.35192,1.34546,1.34965
2025-12-24,1.34965,1.35345,1.34952,1.35023
2025-12-25,1.35232,1.35347,1.3496,1.35207
2025-12-26,1.35207,1.35293,1.34782,1.34975
2025-12-27,1.3498,1.35065,1.34925,1.3499
2025-12-29,1.34919,1.35122,1.34697,1.35069
2025-12-30,1.3507,1.35301,1.3451,1.34648
2025-12-31,1.34651,1.3472,1.34263,1.34669
2026-01-01,1.34754,1.34825,1.3424,1.34584
2026-01-02,1.3458,1.35017,1.34347,1.34552
