datetime,open,high,low,close
1979-12-24,1.99800,1.99800,1.99800,1.99800
1979-12-27,2.025000,2.025000,2.025000,2.025000
1979-12-28,2.014600,2.014600,2.014600,2.014600
1979-12-31,2.010700,2.010700,2.010700,2.010700
1980-01-02,2.014400,2.014400,2.014400,2.014400
1980-01-03,2.021400,2.021400,2.021400,2.021400
1980-01-04,2.015100,2.015100,2.015100,2.015100
1980-01-07,2.029900,2.029900,2.029900,2.029900
1980-01-08,2.028600,2.028600,2.028600,2.028600
1980-01-09,2.036700,2.036700,2.036700,2.036700
1980-01-10,2.029600,2.029600,2.029600,2.029600
1980-01-11,2.030600,2.030600,2.030600,2.030600
1980-01-14,2.041900,2.041900,2.041900,2.041900
1980-01-15,2.049500,2.049500,2.049500,2.049500
1980-01-16,2.048900,2.048900,2.048900,2.048900
1980-01-17,2.045300,2.045300,2.045300,2.045300
1980-01-18,2.054500,2.054500,2.054500,2.054500
1980-01-21,2.062200,2.062200,2.062200,2.062200
1980-01-22,2.051500,2.051500,2.051500,2.051500
1980-01-23,2.048100,2.048100,2.048100,2.048100
1980-01-24,2.057200,2.057200,2.057200,2.057200
1980-01-25,2.050800,2.050800,2.050800,2.050800
1980-01-28,2.041700,2.041700,2.041700,2.041700
1980-01-29,2.039000,2.039000,2.039000,2.039000
1980-01-30,2.047600,2.047600,2.047600,2.047600
1980-01-31,2.048000,2.048000,2.048000,2.048000
1980-02-01,2.059300,2.059300,2.059300,2.059300
1980-02-04,2.058500,2.058500,2.058500,2.058500
1980-02-05,2.066100,2.066100,2.066100,2.066100
1980-02-06,2.081800,2.081800,2.081800,2.081800
1980-02-07,2.075300,2.075300,2.075300,2.075300
1980-02-08,2.074300,2.074300,2.074300,2.074300
1980-02-11,2.080500,2.080500,2.080500,2.080500
1980-02-12,2.074800,2.074800,2.074800,2.074800
1980-02-13,2.083200,2.083200,2.083200,2.083200
1980-02-14,2.091200,2.091200,2.091200,2.091200
1980-02-15,2.072500,2.072500,2.072500,2.072500
1980-02-18,2.072800,2.072800,2.072800,2.072800
1980-02-19,2.056800,2.056800,2.056800,2.056800
1980-02-20,2.063900,2.063900,2.063900,2.063900
1980-02-21,2.073700,2.073700,2.073700,2.073700
1980-02-22,2.067700,2.067700,2.067700,2.067700
1980-02-25,2.068700,2.068700,2.068700,2.068700
1980-02-26,2.072400,2.072400,2.072400,2.072400
1980-02-27,2.079800,2.079800,2.079800,2.079800
1980-02-28,2.078800,2.078800,2.078800,2.078800
1980-02-29,2.073700,2.073700,2.073700,2.073700
1980-03-03,2.053600,2.053600,2.053600,2.053600
1980-03-04,2.027000,2.027000,2.027000,2.027000
1980-03-05,2.044300,2.044300,2.044300,2.044300
1980-03-06,2.033300,2.033300,2.033300,2.033300
1980-03-07,2.028500,2.028500,2.028500,2.028500
1980-03-10,2.028000,2.028000,2.028000,2.028000
1980-03-11,2.030600,2.030600,2.030600,2.030600
1980-03-12,2.040300,2.040300,2.040300,2.040300
1980-03-13,2.029800,2.029800,2.029800,2.029800
1980-03-14,2.021900,2.021900,2.021900,2.021900
1980-03-17,2.0067999,2.0067999,2.0067999,2.0067999
1980-03-18,2.017000,2.017000,2.017000,2.017000
1980-03-19,2.016600,2.016600,2.016600,2.016600
1980-03-20,2.020300,2.020300,2.020300,2.020300
1980-03-21,2.0070000,2.0070000,2.0070000,2.0070000
1980-03-24,2.0081000,2.0081000,2.0081000,2.0081000
1980-03-25,2.019700,2.019700,2.019700,2.019700
1980-03-26,2.025600,2.025600,2.025600,2.025600
1980-03-27,2.00090003,2.00090003,2.00090003,2.00090003
1980-03-28,2.0067000,2.0067000,2.0067000,2.0067000
1980-03-31,2.00060010,2.00060010,2.00060010,2.00060010
1980-04-01,1.98490,1.98490,1.98490,1.98490
1980-04-02,2.011700,2.011700,2.011700,2.011700
1980-04-03,1.99510,1.99510,1.99510,1.99510
1980-04-08,2.015600,2.015600,2.015600,2.015600
1980-04-09,2.011100,2.011100,2.011100,2.011100
1980-04-10,2.012100,2.012100,2.012100,2.012100
1980-04-11,2.013300,2.013300,2.013300,2.013300
1980-04-14,2.032200,2.032200,2.032200,2.032200
1980-04-15,2.0083001,2.0083001,2.0083001,2.0083001
1980-04-16,2.023400,2.023400,2.023400,2.023400
1980-04-17,2.032000,2.032000,2.032000,2.032000
1980-04-18,2.029000,2.029000,2.029000,2.029000
1980-04-21,2.036900,2.036900,2.036900,2.036900
1980-04-22,2.039000,2.039000,2.039000,2.039000
1980-04-23,2.046900,2.046900,2.046900,2.046900
1980-04-24,2.049400,2.049400,2.049400,2.049400
1980-04-25,2.056600,2.056600,2.056600,2.056600
1980-04-28,2.056900,2.056900,2.056900,2.056900
1980-04-29,2.037700,2.037700,2.037700,2.037700
1980-04-30,2.023400,2.023400,2.023400,2.023400
1980-05-01,2.030100,2.030100,2.030100,2.030100
1980-05-02,2.031900,2.031900,2.031900,2.031900
1980-05-06,2.037300,2.037300,2.037300,2.037300
1980-05-07,2.031200,2.031200,2.031200,2.031200
1980-05-08,2.032600,2.032600,2.032600,2.032600
1980-05-09,2.018900,2.018900,2.018900,2.018900
1980-05-12,2.018700,2.018700,2.018700,2.018700
1980-05-13,2.020600,2.020600,2.020600,2.020600
1980-05-14,2.023600,2.023600,2.023600,2.023600
1980-05-15,2.037700,2.037700,2.037700,2.037700
1980-05-16,2.028200,2.028200,2.028200,2.028200
1980-05-19,2.023800,2.023800,2.023800,2.023800
1980-05-20,2.023700,2.023700,2.023700,2.023700
1980-05-21,2.049400,2.049400,2.049400,2.049400
1980-05-22,2.045600,2.045600,2.045600,2.045600
1980-05-23,2.053800,2.053800,2.053800,2.053800
1980-05-27,2.060400,2.060400,2.060400,2.060400
1980-05-28,2.056300,2.056300,2.056300,2.056300
1980-05-29,2.049900,2.049900,2.049900,2.049900
1980-05-30,2.046000,2.046000,2.046000,2.046000
1980-06-02,2.043100,2.043100,2.043100,2.043100
1980-06-03,2.010900,2.010900,2.010900,2.010900
1980-06-04,2.024600,2.024600,2.024600,2.024600
1980-06-05,2.030100,2.030100,2.030100,2.030100
1980-06-06,2.029200,2.029200,2.029200,2.029200
1980-06-09,2.034900,2.034900,2.034900,2.034900
1980-06-10,2.018000,2.018000,2.018000,2.018000
1980-06-11,2.022700,2.022700,2.022700,2.022700
1980-06-12,2.023100,2.023100,2.023100,2.023100
1980-06-13,2.025800,2.025800,2.025800,2.025800
1980-06-16,2.026500,2.026500,2.026500,2.026500
1980-06-17,2.015600,2.015600,2.015600,2.015600
1980-06-18,2.015300,2.015300,2.015300,2.015300
1980-06-19,2.015000,2.015000,2.015000,2.015000
1980-06-20,2.023300,2.023300,2.023300,2.023300
1980-06-23,2.021200,2.021200,2.021200,2.021200
1980-06-24,2.020200,2.020200,2.020200,2.020200
1980-06-25,2.021200,2.021200,2.021200,2.021200
1980-06-26,2.025600,2.025600,2.025600,2.025600
1980-06-27,2.031100,2.031100,2.031100,2.031100
1980-06-30,2.038600,2.038600,2.038600,2.038600
1980-07-01,2.040700,2.040700,2.040700,2.040700
1980-07-02,2.038100,2.038100,2.038100,2.038100
1980-07-03,2.027500,2.027500,2.027500,2.027500
1980-07-04,2.032400,2.032400,2.032400,2.032400
1980-07-07,2.044800,2.044800,2.044800,2.044800
1980-07-08,2.050000,2.050000,2.050000,2.050000
1980-07-09,2.045300,2.045300,2.045300,2.045300
1980-07-10,2.043200,2.043200,2.043200,2.043200
1980-07-11,2.045600,2.045600,2.045600,2.045600
1980-07-14,2.044800,2.044800,2.044800,2.044800
1980-07-15,2.046900,2.046900,2.046900,2.046900
1980-07-16,2.042200,2.042200,2.042200,2.042200
1980-07-17,2.047100,2.047100,2.047100,2.047100
1980-07-18,2.045600,2.045600,2.045600,2.045600
1980-07-21,2.048800,2.048800,2.048800,2.048800
1980-07-22,2.053300,2.053300,2.053300,2.053300
1980-07-23,2.057900,2.057900,2.057900,2.057900
1980-07-24,2.065000,2.065000,2.065000,2.065000
1980-07-25,2.064700,2.064700,2.064700,2.064700
1980-07-28,2.062400,2.062400,2.062400,2.062400
1980-07-29,2.053500,2.053500,2.053500,2.053500
1980-07-30,2.042000,2.042000,2.042000,2.042000
1980-07-31,2.035300,2.035300,2.035300,2.035300
1980-08-01,2.027300,2.027300,2.027300,2.027300
1980-08-04,2.032700,2.032700,2.032700,2.032700
1980-08-05,2.040500,2.040500,2.040500,2.040500
1980-08-06,2.051900,2.051900,2.051900,2.051900
1980-08-07,2.047400,2.047400,2.047400,2.047400
1980-08-08,2.052600,2.052600,2.052600,2.052600
1980-08-11,2.051600,2.051600,2.051600,2.051600
1980-08-12,2.047500,2.047500,2.047500,2.047500
1980-08-13,2.051200,2.051200,2.051200,2.051200
1980-08-14,2.049500,2.049500,2.049500,2.049500
1980-08-15,2.051800,2.051800,2.051800,2.051800
1980-08-18,2.049200,2.049200,2.049200,2.049200
1980-08-19,2.039400,2.039400,2.039400,2.039400
1980-08-20,2.043900,2.043900,2.043900,2.043900
1980-08-21,2.045800,2.045800,2.045800,2.045800
1980-08-22,2.043200,2.043200,2.043200,2.043200
1980-08-26,2.046000,2.046000,2.046000,2.046000
1980-08-27,2.057100,2.057100,2.057100,2.057100
1980-08-28,2.050900,2.050900,2.050900,2.050900
1980-08-29,2.053800,2.053800,2.053800,2.053800
1980-09-01,2.064400,2.064400,2.064400,2.064400
1980-09-02,2.064800,2.064800,2.064800,2.064800
1980-09-03,2.064700,2.064700,2.064700,2.064700
1980-09-04,2.067400,2.067400,2.067400,2.067400
1980-09-05,2.067400,2.067400,2.067400,2.067400
1980-09-08,2.068200,2.068200,2.068200,2.068200
1980-09-09,2.052600,2.052600,2.052600,2.052600
1980-09-10,2.052500,2.052500,2.052500,2.052500
1980-09-11,2.059800,2.059800,2.059800,2.059800
1980-09-12,2.056900,2.056900,2.056900,2.056900
1980-09-15,2.040300,2.040300,2.040300,2.040300
1980-09-16,2.036500,2.036500,2.036500,2.036500
1980-09-17,2.037000,2.037000,2.037000,2.037000
1980-09-18,2.035300,2.035300,2.035300,2.035300
1980-09-19,2.032900,2.032900,2.032900,2.032900
1980-09-22,2.051500,2.051500,2.051500,2.051500
1980-09-23,2.057200,2.057200,2.057200,2.057200
1980-09-24,2.054700,2.054700,2.054700,2.054700
1980-09-25,2.047700,2.047700,2.047700,2.047700
1980-09-26,2.044900,2.044900,2.044900,2.044900
1980-09-29,2.041100,2.041100,2.041100,2.041100
1980-09-30,2.039600,2.039600,2.039600,2.039600
1980-10-01,2.033600,2.033600,2.033600,2.033600
1980-10-02,2.030200,2.030200,2.030200,2.030200
1980-10-03,2.033200,2.033200,2.033200,2.033200
1980-10-06,2.037500,2.037500,2.037500,2.037500
1980-10-07,2.033200,2.033200,2.033200,2.033200
1980-10-08,2.033600,2.033600,2.033600,2.033600
1980-10-09,2.039000,2.039000,2.039000,2.039000
1980-10-10,2.044600,2.044600,2.044600,2.044600
1980-10-13,2.047800,2.047800,2.047800,2.047800
1980-10-14,2.044900,2.044900,2.044900,2.044900
1980-10-15,2.046700,2.046700,2.046700,2.046700
1980-10-16,2.054500,2.054500,2.054500,2.054500
1980-10-17,2.056100,2.056100,2.056100,2.056100
1980-10-20,2.062800,2.062800,2.062800,2.062800
1980-10-21,2.076000,2.076000,2.076000,2.076000
1980-10-22,2.073800,2.073800,2.073800,2.073800
1980-10-23,2.083600,2.083600,2.083600,2.083600
1980-10-24,2.087000,2.087000,2.087000,2.087000
1980-10-27,2.082800,2.082800,2.082800,2.082800
1980-10-28,2.077000,2.077000,2.077000,2.077000
1980-10-29,2.083600,2.083600,2.083600,2.083600
1980-10-30,2.077900,2.077900,2.077900,2.077900
1980-10-31,2.078500,2.078500,2.078500,2.078500
1980-11-03,2.086100,2.086100,2.086100,2.086100
1980-11-04,2.092300,2.092300,2.092300,2.092300
1980-11-05,2.089200,2.089200,2.089200,2.089200
1980-11-06,2.088800,2.088800,2.088800,2.088800
1980-11-07,2.072100,2.072100,2.072100,2.072100
1980-11-10,2.051000,2.051000,2.051000,2.051000
1980-11-11,2.044900,2.044900,2.044900,2.044900
1980-11-12,2.049700,2.049700,2.049700,2.049700
1980-11-13,2.067600,2.067600,2.067600,2.067600
1980-11-14,2.056900,2.056900,2.056900,2.056900
1980-11-17,2.052200,2.052200,2.052200,2.052200
1980-11-18,2.053700,2.053700,2.053700,2.053700
1980-11-19,2.037300,2.037300,2.037300,2.037300
1980-11-20,2.044100,2.044100,2.044100,2.044100
1980-11-21,2.026400,2.026400,2.026400,2.026400
1980-11-24,2.012000,2.012000,2.012000,2.012000
1980-11-25,2.016100,2.016100,2.016100,2.016100
1980-11-26,2.034600,2.034600,2.034600,2.034600
1980-11-27,2.027500,2.027500,2.027500,2.027500
1980-11-28,2.026000,2.026000,2.026000,2.026000
1980-12-01,2.021200,2.021200,2.021200,2.021200
1980-12-02,2.016900,2.016900,2.016900,2.016900
1980-12-03,2.015200,2.015200,2.015200,2.015200
1980-12-04,2.010700,2.010700,2.010700,2.010700
1980-12-05,2.0042000,2.0042000,2.0042000,2.0042000
1980-12-08,2.00020003,2.00020003,2.00020003,2.00020003
1980-12-09,2.0014999,2.0014999,2.0014999,2.0014999
1980-12-10,2.0032001,2.0032001,2.0032001,2.0032001
1980-12-11,1.99100,1.99100,1.99100,1.99100
1980-12-12,1.99630,1.99630,1.99630,1.99630
1980-12-15,2.0012000,2.0012000,2.0012000,2.0012000
1980-12-16,1.99050,1.99050,1.99050,1.99050
1980-12-17,1.99120,1.99120,1.99120,1.99120
1980-12-18,1.99310,1.99310,1.99310,1.99310
1980-12-19,1.99190,1.99190,1.99190,1.99190
1980-12-22,2.011700,2.011700,2.011700,2.011700
1980-12-23,2.021500,2.021500,2.021500,2.021500
1980-12-24,2.017100,2.017100,2.017100,2.017100
1980-12-29,2.011200,2.011200,2.011200,2.011200
1980-12-30,2.028200,2.028200,2.028200,2.028200
1980-12-31,2.025100,2.025100,2.025100,2.025100
1981-01-02,2.016300,2.016300,2.016300,2.016300
1981-01-05,2.033600,2.033600,2.033600,2.033600
1981-01-06,2.039600,2.039600,2.039600,2.039600
1981-01-07,2.032800,2.032800,2.032800,2.032800
1981-01-08,2.024200,2.024200,2.024200,2.024200
1981-01-09,2.024900,2.024900,2.024900,2.024900
1981-01-12,2.032400,2.032400,2.032400,2.032400
1981-01-13,2.023300,2.023300,2.023300,2.023300
1981-01-14,2.027500,2.027500,2.027500,2.027500
1981-01-15,2.032500,2.032500,2.032500,2.032500
1981-01-16,2.034200,2.034200,2.034200,2.034200
1981-01-19,2.041200,2.041200,2.041200,2.041200
