datetime,open,high,low,close
1979-12-24,3.52180,3.52180,3.52180,3.52180
1979-12-27,3.55040,3.55040,3.55040,3.55040
1979-12-28,3.55000,3.55000,3.55000,3.55000
1979-12-31,3.55110,3.55110,3.55110,3.55110
1980-01-02,3.52810,3.52810,3.52810,3.52810
1980-01-03,3.52770,3.52770,3.52770,3.52770
1980-01-04,3.53490,3.53490,3.53490,3.53490
1980-01-07,3.55770,3.55770,3.55770,3.55770
1980-01-08,3.56240,3.56240,3.56240,3.56240
1980-01-09,3.57280,3.57280,3.57280,3.57280
1980-01-10,3.56020,3.56020,3.56020,3.56020
1980-01-11,3.56410,3.56410,3.56410,3.56410
1980-01-14,3.58890,3.58890,3.58890,3.58890
1980-01-15,3.63480,3.63480,3.63480,3.63480
1980-01-16,3.61340,3.61340,3.61340,3.61340
1980-01-17,3.61050,3.61050,3.61050,3.61050
1980-01-18,3.62460,3.62460,3.62460,3.62460
1980-01-21,3.65380,3.65380,3.65380,3.65380
1980-01-22,3.65640,3.65640,3.65640,3.65640
1980-01-23,3.65360,3.65360,3.65360,3.65360
1980-01-24,3.66580,3.66580,3.66580,3.66580
1980-01-25,3.66710,3.66710,3.66710,3.66710
1980-01-28,3.65020,3.65020,3.65020,3.65020
1980-01-29,3.64390,3.64390,3.64390,3.64390
1980-01-30,3.67170,3.67170,3.67170,3.67170
1980-01-31,3.69530,3.69530,3.69530,3.69530
1980-02-01,3.71510,3.71510,3.71510,3.71510
1980-02-04,3.71820,3.71820,3.71820,3.71820
1980-02-05,3.71060,3.71060,3.71060,3.71060
1980-02-06,3.71860,3.71860,3.71860,3.71860
1980-02-07,3.71430,3.71430,3.71430,3.71430
1980-02-08,3.72580,3.72580,3.72580,3.72580
1980-02-11,3.72410,3.72410,3.72410,3.72410
1980-02-12,3.72310,3.72310,3.72310,3.72310
1980-02-13,3.71570,3.71570,3.71570,3.71570
1980-02-14,3.73810,3.73810,3.73810,3.73810
1980-02-15,3.74140,3.74140,3.74140,3.74140
1980-02-18,3.73950,3.73950,3.73950,3.73950
1980-02-19,3.72480,3.72480,3.72480,3.72480
1980-02-20,3.72840,3.72840,3.72840,3.72840
1980-02-21,3.75240,3.75240,3.75240,3.75240
1980-02-22,3.77750,3.77750,3.77750,3.77750
1980-02-25,3.80480,3.80480,3.80480,3.80480
1980-02-26,3.80040,3.80040,3.80040,3.80040
1980-02-27,3.81470,3.81470,3.81470,3.81470
1980-02-28,3.81480,3.81480,3.81480,3.81480
1980-02-29,3.87350,3.87350,3.87350,3.87350
1980-03-03,3.86050,3.86050,3.86050,3.86050
1980-03-04,3.82050,3.82050,3.82050,3.82050
1980-03-05,3.83340,3.83340,3.83340,3.83340
1980-03-06,3.82090,3.82090,3.82090,3.82090
1980-03-07,3.81760,3.81760,3.81760,3.81760
1980-03-10,3.83860,3.83860,3.83860,3.83860
1980-03-11,3.85320,3.85320,3.85320,3.85320
1980-03-12,3.86550,3.86550,3.86550,3.86550
1980-03-13,3.86940,3.86940,3.86940,3.86940
1980-03-14,3.89150,3.89150,3.89150,3.89150
1980-03-17,3.90880,3.90880,3.90880,3.90880
1980-03-18,3.89080,3.89080,3.89080,3.89080
1980-03-19,3.87960,3.87960,3.87960,3.87960
1980-03-20,3.87000,3.87000,3.87000,3.87000
1980-03-21,3.87810,3.87810,3.87810,3.87810
1980-03-24,3.89470,3.89470,3.89470,3.89470
1980-03-25,3.92950,3.92950,3.92950,3.92950
1980-03-26,3.94440,3.94440,3.94440,3.94440
