datetime,open,high,low,close
1979-12-24,526.60999,526.60999,526.60999,526.60999
1979-12-27,536.13000,536.13000,536.13000,536.13000
1979-12-28,535.10999,535.10999,535.10999,535.10999
1979-12-31,533.21997,533.21997,533.21997,533.21997
1980-01-02,532.34998,532.34998,532.34998,532.34998
1980-01-03,533.76001,533.76001,533.76001,533.76001
1980-01-04,527.039978,527.039978,527.039978,527.039978
1980-01-07,524.54999,524.54999,524.54999,524.54999
1980-01-08,529.77002,529.77002,529.77002,529.77002
1980-01-09,532.34998,532.34998,532.34998,532.34998
1980-01-10,532.13000,532.13000,532.13000,532.13000
1980-01-11,532.46997,532.46997,532.46997,532.46997
1980-01-14,535.83002,535.83002,535.83002,535.83002
1980-01-15,546.33002,546.33002,546.33002,546.33002
1980-01-16,540.85999,540.85999,540.85999,540.85999
1980-01-17,544.25,544.25,544.25,544.25
1980-01-18,546.65002,546.65002,546.65002,546.65002
1980-01-21,551.76001,551.76001,551.76001,551.76001
1980-01-22,545.81000,545.81000,545.81000,545.81000
1980-01-23,539.020020,539.020020,539.020020,539.020020
1980-01-24,545.28998,545.28998,545.28998,545.28998
1980-01-25,544.88000,544.88000,544.88000,544.88000
1980-01-28,542.98999,542.98999,542.98999,542.98999
1980-01-29,539.64001,539.64001,539.64001,539.64001
1980-01-30,542.020020,542.020020,542.020020,542.020020
1980-01-31,542.56000,542.56000,542.56000,542.56000
1980-02-01,547.56000,547.56000,547.56000,547.56000
1980-02-04,547.42999,547.42999,547.42999,547.42999
1980-02-05,548.65002,548.65002,548.65002,548.65002
1980-02-06,553.53003,553.53003,553.53003,553.53003
1980-02-07,552.13000,552.13000,552.13000,552.13000
1980-02-08,554.87000,554.87000,554.87000,554.87000
1980-02-11,556.14001,556.14001,556.14001,556.14001
1980-02-12,555.33002,555.33002,555.33002,555.33002
1980-02-13,558.21997,558.21997,558.21997,558.21997
1980-02-14,562.94000,562.94000,562.94000,562.94000
1980-02-15,560.52002,560.52002,560.52002,560.52002
1980-02-18,561.35999,561.35999,561.35999,561.35999
1980-02-19,557.52002,557.52002,557.52002,557.52002
1980-02-20,560.049988,560.049988,560.049988,560.049988
1980-02-21,562.65997,562.65997,562.65997,562.65997
1980-02-22,563.53003,563.53003,563.53003,563.53003
1980-02-25,565.35999,565.35999,565.35999,565.35999
1980-02-26,564.70001,564.70001,564.70001,564.70001
1980-02-27,567.63000,567.63000,567.63000,567.63000
1980-02-28,567.20001,567.20001,567.20001,567.20001
1980-02-29,571.81000,571.81000,571.81000,571.81000
1980-03-03,559.59998,559.59998,559.59998,559.59998
1980-03-04,548.030029,548.030029,548.030029,548.030029
1980-03-05,554.28003,554.28003,554.28003,554.28003
1980-03-06,553.96997,553.96997,553.96997,553.96997
1980-03-07,551.66998,551.66998,551.66998,551.66998
1980-03-10,549.099976,549.099976,549.099976,549.099976
1980-03-11,549.039978,549.039978,549.039978,549.039978
1980-03-12,552.78003,552.78003,552.78003,552.78003
1980-03-13,550.91998,550.91998,550.91998,550.91998
1980-03-14,550.34003,550.34003,550.34003,550.34003
1980-03-17,545.030029,545.030029,545.030029,545.030029
1980-03-18,545.33002,545.33002,545.33002,545.33002
1980-03-19,544.34998,544.34998,544.34998,544.34998
1980-03-20,545.72998,545.72998,545.72998,545.72998
1980-03-21,542.76001,542.76001,542.76001,542.76001
1980-03-24,543.53998,543.53998,543.53998,543.53998
1980-03-25,546.27002,546.27002,546.27002,546.27002
1980-03-26,547.53003,547.53003,547.53003,547.53003
1980-03-27,544.32001,544.32001,544.32001,544.32001
1980-03-28,542.48999,542.48999,542.48999,542.48999
1980-03-31,540.94000,540.94000,540.94000,540.94000
1980-04-01,544.84003,544.84003,544.84003,544.84003
1980-04-02,554.26001,554.26001,554.26001,554.26001
1980-04-03,549.72998,549.72998,549.72998,549.72998
1980-04-08,560.21997,560.21997,560.21997,560.21997
1980-04-09,549.65997,549.65997,549.65997,549.65997
1980-04-10,549.22998,549.22998,549.22998,549.22998
1980-04-11,557.23999,557.23999,557.23999,557.23999
1980-04-14,557.44000,557.44000,557.44000,557.44000
1980-04-15,551.78998,551.78998,551.78998,551.78998
1980-04-16,550.65002,550.65002,550.65002,550.65002
1980-04-17,553.010010,553.010010,553.010010,553.010010
1980-04-18,552,552,552,552
1980-04-21,558.38000,558.38000,558.38000,558.38000
1980-04-22,559.080017,559.080017,559.080017,559.080017
1980-04-23,553.91998,553.91998,553.91998,553.91998
1980-04-24,553.48999,553.48999,553.48999,553.48999
1980-04-25,558.78998,558.78998,558.78998,558.78998
1980-04-28,550.59998,550.59998,550.59998,550.59998
1980-04-29,542.96002,542.96002,542.96002,542.96002
1980-04-30,539.16998,539.16998,539.16998,539.16998
1980-05-01,543.48999,543.48999,543.48999,543.48999
1980-05-02,543.39001,543.39001,543.39001,543.39001
1980-05-06,529.54999,529.54999,529.54999,529.54999
1980-05-07,529.65002,529.65002,529.65002,529.65002
1980-05-08,533.5,533.5,533.5,533.5
1980-05-09,527.090027,527.090027,527.090027,527.090027
1980-05-12,518.13000,518.13000,518.13000,518.13000
1980-05-13,518.48999,518.48999,518.48999,518.48999
