datetime,open,high,low,close
2003-12-01,1.72381,1.72721,1.71839,1.71860
2003-12-02,1.71901,1.73211,1.71730,1.73031
2003-12-03,1.73049,1.73181,1.72521,1.72810
2003-12-04,1.72741,1.72900,1.71830,1.72070
2003-12-05,1.72061,1.73310,1.71981,1.73310
2003-12-08,1.72951,1.73620,1.72750,1.73421
2003-12-09,1.73370,1.74779,1.73361,1.74541
2003-12-10,1.74529,1.74801,1.73590,1.73980
2003-12-11,1.74001,1.74770,1.73789,1.74621
2003-12-12,1.74630,1.75110,1.74429,1.74730
2003-12-15,1.73940,1.74859,1.73889,1.74730
2003-12-16,1.74721,1.75611,1.74401,1.75420
2003-12-17,1.75420,1.76910,1.75039,1.76551
2003-12-18,1.76541,1.77481,1.76379,1.77101
2003-12-19,1.77120,1.77280,1.76261,1.76519
2003-12-22,1.76280,1.76719,1.76059,1.76429
2003-12-23,1.76379,1.83439,1.76302,1.76420
2003-12-24,1.76379,1.77661,1.76351,1.77560
2003-12-25,1.77500,1.77629,1.77230,1.77541
2003-12-26,1.77528,1.77629,1.77019,1.77201
2003-12-29,1.77239,1.77730,1.77060,1.77450
2003-12-30,1.77409,1.78152,1.77289,1.77800
2003-12-31,1.77800,1.79440,1.77781,1.78881
2004-01-01,1.78881,1.78881,1.78171,1.78520
2004-01-02,1.78559,1.79501,1.77920,1.79369
2004-01-05,1.79549,1.81032,1.79511,1.80721
2004-01-06,1.80740,1.82779,1.80551,1.82129
2004-01-07,1.82090,1.82558,1.81271,1.81779
2004-01-08,1.81670,1.83560,1.81110,1.83389
2004-01-09,1.83399,1.85069,1.82909,1.84809
2004-01-12,1.84730,1.85780,1.84539,1.84560
2004-01-13,1.84570,1.85371,1.84060,1.84880
2004-01-14,1.84891,1.84891,1.76410,1.83170
2004-01-15,1.83301,1.83530,1.81851,1.82518
2004-01-16,1.82538,1.82688,1.79449,1.79901
2004-01-19,1.79989,1.80219,1.78279,1.78329
2004-01-20,1.78301,1.82219,1.78291,1.81881
2004-01-21,1.81891,1.83672,1.81551,1.83281
2004-01-22,1.83271,1.84751,1.83271,1.84369
2004-01-23,1.84339,1.85189,1.81788,1.82779
2004-01-26,1.82498,1.83029,1.81130,1.81501
2004-01-27,1.81501,1.82919,1.80281,1.82668
2004-01-28,1.82688,1.83851,1.81281,1.81511
2004-01-29,1.81511,1.82668,1.80969,1.81709
2004-01-30,1.81630,1.82628,1.80659,1.82528
2004-02-02,1.82478,1.82739,1.81419,1.82159
2004-02-03,1.83241,1.84010,1.82909,1.83790
2004-02-04,1.83759,1.84010,1.82909,1.83221
2004-02-05,1.83241,1.84240,1.83090,1.83621
2004-02-06,1.83631,1.85041,1.83241,1.84751
2004-02-09,1.84519,1.86268,1.84519,1.85970
2004-02-10,1.85981,1.87340,1.85839,1.86731
2004-02-11,1.86731,1.89380,1.86581,1.89251
2004-02-12,1.89261,1.89530,1.88861,1.89301
2004-02-13,1.89268,1.89789,1.88009,1.88530
2004-02-16,1.88469,1.89179,1.88200,1.88879
2004-02-17,1.88900,1.90800,1.88740,1.90560
2004-02-18,1.90811,1.91410,1.88501,1.89261
2004-02-19,1.89240,1.89991,1.88740,1.89919
2004-02-20,1.89908,1.90009,1.85860,1.86199
2004-02-23,1.85912,1.87080,1.84710,1.86839
2004-02-24,1.86839,1.89340,1.86300,1.89000
2004-02-25,1.89000,1.89459,1.87000,1.87231
2004-02-26,1.87241,1.87800,1.85601,1.86331
2004-02-27,1.86341,1.86951,1.84771,1.86951
2004-03-01,1.87420,1.87501,1.86529,1.86790
2004-03-02,1.86839,1.86940,1.83570,1.83820
2004-03-03,1.83851,1.84050,1.81699,1.82759
2004-03-04,1.82779,1.83719,1.82060,1.82299
2004-03-05,1.82309,1.84928,1.81821,1.84539
2004-03-08,1.84648,1.85470,1.84281,1.85271
2004-03-09,1.85298,1.85849,1.82339,1.82608
2004-03-10,1.85298,1.85849,1.79811,1.80339
2004-03-11,1.80349,1.81429,1.79430,1.81018
2004-03-12,1.81018,1.81100,1.79141,1.80411
2004-03-15,1.79931,1.81179,1.79540,1.80489
2004-03-16,1.80460,1.81980,1.80119,1.81320
2004-03-17,1.81291,1.81821,1.80750,1.81679
2004-03-18,1.81689,1.83901,1.81620,1.83540
2004-03-19,1.83520,1.83688,1.82668,1.83419
2004-03-22,1.83379,1.84990,1.82708,1.84751
2004-03-23,1.84771,1.85391,1.84132,1.85209
2004-03-24,1.85219,1.85408,1.82289,1.82528
2004-03-25,1.82558,1.82608,1.79999,1.80799
2004-03-26,1.80789,1.82279,1.80109,1.81769
2004-03-29,1.81399,1.82269,1.80750,1.81960
2004-03-30,1.81960,1.82969,1.81901,1.82759
2004-03-31,1.82658,1.84659,1.82548,1.84339
2004-04-01,1.84301,1.85939,1.83871,1.85649
2004-04-02,1.85660,1.85729,1.82809,1.82809
2004-04-05,1.82869,1.83060,1.81189,1.82379
2004-04-06,1.82389,1.84481,1.82030,1.84349
2004-04-07,1.84339,1.84400,1.83429,1.84020
2004-04-08,1.84020,1.84669,1.82939,1.83110
2004-04-09,1.83110,1.83510,1.83019,1.83379
2004-04-12,1.83389,1.84071,1.83180,1.83790
2004-04-13,1.83790,1.84210,1.81370,1.81812
2004-04-14,1.81821,1.81841,1.78619,1.78981
2004-04-15,1.78900,1.79879,1.77699,1.79141
2004-04-16,1.79141,1.80571,1.78418,1.79630
2004-04-19,1.79911,1.81419,1.79879,1.80711
2004-04-20,1.79141,1.80369,1.78221,1.78530
2004-04-21,1.78501,1.78549,1.76691,1.76950
2004-04-22,1.76950,1.77699,1.76339,1.77528
2004-04-23,1.77661,1.78152,1.76501,1.77321
2004-04-26,1.77252,1.78971,1.76700,1.78600
2004-04-27,1.78600,1.79411,1.78301,1.79189
2004-04-28,1.79221,1.79691,1.77079,1.77101
2004-04-29,1.77129,1.78060,1.75889,1.77340
2004-04-30,1.77330,1.78009,1.76691,1.77860
2004-05-03,1.77901,1.77961,1.76979,1.77138
2004-05-04,1.77138,1.79950,1.77138,1.79569
2004-05-05,1.79601,1.80099,1.78789,1.79099
2004-05-06,1.79099,1.79801,1.78900,1.79459
2004-05-07,1.79469,1.79869,1.78339,1.78920
2004-05-10,1.78651,1.78789,1.77120,1.77721
2004-05-11,1.77730,1.77759,1.75389,1.76032
2004-05-12,1.76050,1.77999,1.75731,1.77220
2004-05-13,1.77239,1.77481,1.75799,1.76032
2004-05-14,1.76032,1.76389,1.74871,1.75861
2004-05-17,1.76001,1.77440,1.75790,1.77120
2004-05-18,1.77120,1.77151,1.76230,1.76678
2004-05-19,1.76619,1.78559,1.76370,1.78209
2004-05-20,1.78221,1.78399,1.76569,1.77551
2004-05-21,1.77601,1.79501,1.77459,1.78961
2004-05-24,1.78990,1.79369,1.78279,1.79170
2004-05-25,1.79179,1.81492,1.79019,1.81251
2004-05-26,1.81169,1.81970,1.80979,1.81492
2004-05-27,1.81492,1.84020,1.81081,1.83661
2004-05-28,1.83631,1.84220,1.82999,1.83291
2004-05-31,1.83540,1.83719,1.83040,1.83261
2004-06-01,1.83261,1.84101,1.82839,1.84060
2004-06-02,1.84050,1.84860,1.83120,1.83429
2004-06-03,1.83429,1.84281,1.82909,1.83959
2004-06-04,1.83911,1.84390,1.83530,1.83891
2004-06-07,1.84230,1.84809,1.83581,1.84121
2004-06-08,1.84121,1.84570,1.83368,1.83949
2004-06-09,1.83949,1.84179,1.82598,1.82809
2004-06-10,1.82809,1.84451,1.82010,1.84199
2004-06-11,1.84189,1.84189,1.81679,1.81779
2004-06-14,1.81779,1.81891,1.80509,1.81419
2004-06-15,1.81419,1.83358,1.81150,1.83358
2004-06-16,1.83332,1.83510,1.82419,1.82518
2004-06-17,1.82518,1.83800,1.82448,1.83439
2004-06-18,1.83429,1.83989,1.82578,1.83928
2004-06-21,1.83861,1.84101,1.82849,1.83311
2004-06-22,1.83301,1.83500,1.81821,1.82199
2004-06-23,1.82199,1.82859,1.81511,1.81699
2004-06-24,1.81679,1.82809,1.81120,1.82369
2004-06-25,1.82369,1.82729,1.81798,1.82608
2004-06-28,1.82718,1.83389,1.82129,1.82999
2004-06-29,1.82999,1.83019,1.80518,1.80901
2004-06-30,1.80881,1.82070,1.80190,1.82020
2004-07-01,1.82020,1.82259,1.81219,1.82030
2004-07-02,1.82050,1.83570,1.81699,1.82959
2004-07-05,1.83368,1.83570,1.82739,1.83100
2004-07-06,1.83110,1.84390,1.82999,1.84060
2004-07-07,1.84010,1.85780,1.83959,1.85429
2004-07-08,1.85439,1.85801,1.84740,1.85079
2004-07-09,1.85099,1.86182,1.84980,1.86182
2004-07-12,1.86150,1.86619,1.85739,1.86199
2004-07-13,1.86209,1.86251,1.85281,1.85760
2004-07-14,1.85770,1.86081,1.85408,1.85601
2004-07-15,1.85601,1.85639,1.84839,1.85298
2004-07-16,1.85292,1.87459,1.84809,1.87280
2004-07-19,1.87540,1.87719,1.86731,1.86811
2004-07-20,1.86780,1.86780,1.84980,1.85271
2004-07-21,1.85271,1.85501,1.83301,1.83979
2004-07-22,1.83969,1.84880,1.83601,1.84492
2004-07-23,1.84471,1.84539,1.83060,1.83301
2004-07-26,1.83281,1.84220,1.83160,1.84132
2004-07-27,1.84121,1.84451,1.82040,1.82299
