datetime,open,high,low,close
2015-06-08,5.44000,5.51000,5.27000,5.49000
2015-06-09,5.49000,5.55000,5.48000,5.54000
2015-06-10,5.53000,5.56000,5.47000,5.52000
2015-06-11,5.51000,5.53000,5.47000,5.5
2015-06-12,5.49000,5.51000,5.44000,5.48000
2015-06-15,5.45000,5.71000,5.31000,5.61000
2015-06-16,5.55000,5.81000,5.54000,5.67000
2015-06-17,5.60000,5.73000,5.56000,5.70000
2015-06-18,5.67000,5.73000,5.48000,5.52000
2015-06-19,5.48000,5.75,5.46000,5.67000
2015-06-22,5.61000,5.78000,5.48000,5.76000
2015-06-23,5.74000,5.87000,5.65000,5.84000
2015-06-24,5.71000,5.83000,5.58000,5.83000
2015-06-25,5.73000,5.75,5.53000,5.56000
2015-06-26,5.54000,5.57000,5.51000,5.54000
2015-06-29,5.52000,5.60000,5.48000,5.60000
2015-06-30,5.56000,5.59000,5.54000,5.57000
2015-07-01,5.56000,5.59000,5.52000,5.55000
2015-07-02,5.54000,5.58000,5.51000,5.56000
2015-07-03,5.56000,5.63000,5.55000,5.61000
2015-07-06,5.54000,5.70000,5.52000,5.69000
2015-07-07,5.63000,5.74000,5.58000,5.70000
2015-07-08,5.61000,5.90000,5.58000,5.77000
2015-07-09,5.60000,5.94000,5.59000,5.80000
2015-07-10,5.66000,5.85000,5.65000,5.82000
2015-07-13,5.75,5.90000,5.54000,5.88000
2015-07-14,5.85000,5.91000,5.77000,5.89000
2015-07-15,5.86000,5.97000,5.77000,5.94000
2015-07-16,5.84000,5.91000,5.55000,5.86000
2015-07-17,5.79000,5.97000,5.75,5.91000
2015-07-20,5.76000,6.010000,5.71000,5.97000
2015-07-21,5.74000,5.83000,5.72000,5.81000
2015-07-22,5.76000,5.83000,5.71000,5.78000
2015-07-23,5.73000,5.94000,5.72000,5.86000
2015-07-24,5.72000,5.81000,5.70000,5.76000
2015-07-27,5.74000,5.88000,5.5,5.87000
2015-07-28,5.82000,5.93000,5.79000,5.92000
2015-07-29,5.85000,5.90000,5.80000,5.86000
2015-07-30,5.81000,5.88000,5.53000,5.58000
2015-07-31,5.54000,5.65000,5.51000,5.62000
2015-08-03,5.55000,5.88000,5.55000,5.85000
2015-08-04,5.82000,5.86000,5.59000,5.67000
2015-08-05,5.64000,5.81000,5.56000,5.77000
2015-08-06,5.71000,5.77000,5.54000,5.61000
2015-08-07,5.57000,5.74000,5.5,5.55000
2015-08-10,5.53000,5.76000,5.5,5.65000
2015-08-11,5.59000,5.68000,5.49000,5.66000
2015-08-12,5.63000,5.69000,5.52000,5.61000
2015-08-13,5.56000,5.74000,5.55000,5.66000
2015-08-14,5.58000,5.87000,5.57000,5.83000
2015-08-17,5.80000,5.85000,5.52000,5.82000
2015-08-18,5.79000,5.86000,5.48000,5.54000
2015-08-19,5.48000,5.80000,5.44000,5.55000
2015-08-20,5.46000,5.74000,5.43000,5.72000
2015-08-21,5.71000,5.85000,5.69000,5.83000
2015-08-24,5.71000,5.95000,5.68000,5.85000
2015-08-25,5.77000,6.010000,5.62000,5.86000
2015-08-26,5.72000,5.85000,5.33000,5.73000
2015-08-27,5.62000,5.74000,5.32000,5.43000
2015-08-28,5.38000,5.5,5.35000,5.40000
2015-08-31,5.36000,5.68000,5.34000,5.67000
2015-09-01,5.62000,5.66000,5.51000,5.56000
2015-09-02,5.54000,5.66000,5.52000,5.64000
2015-09-03,5.62000,5.64000,5.56000,5.62000
2015-09-04,5.60000,5.65000,5.52000,5.62000
2015-09-07,5.60000,5.64000,5.51000,5.59000
2015-09-08,5.56000,5.91000,5.56000,5.84000
2015-09-09,5.67000,5.70000,5.59000,5.67000
2015-09-10,5.66000,5.72000,5.46000,5.52000
2015-09-11,5.49000,5.94000,5.42000,5.93000
2015-09-14,5.72000,5.81000,5.57000,5.72000
2015-09-15,5.62000,5.70000,5.39000,5.68000
2015-09-16,5.66000,5.76000,5.56000,5.75
2015-09-17,5.66000,5.76000,5.49000,5.73000
2015-09-18,5.64000,5.75,5.53000,5.69000
2015-09-21,5.60000,5.69000,5.49000,5.64000
2015-09-22,5.55000,5.57000,5.46000,5.5
2015-09-23,5.5,5.54000,5.31000,5.37000
2015-09-24,5.34000,5.54000,5.32000,5.47000
2015-09-25,5.42000,5.60000,5.38000,5.47000
2015-09-28,5.41000,5.53000,5.41000,5.47000
2015-09-29,5.45000,5.52000,5.40000,5.47000
2015-09-30,5.45000,5.60000,5.35000,5.49000
2015-10-01,5.42000,5.60000,5.34000,5.47000
2015-10-02,5.40000,5.58000,5.34000,5.41000
2015-10-05,5.35000,5.55000,5.35000,5.47000
2015-10-06,5.46000,5.66000,5.44000,5.62000
2015-10-07,5.59000,5.68000,5.45000,5.49000
2015-10-08,5.44000,5.63000,5.44000,5.52000
2015-10-09,5.51000,5.73000,5.48000,5.71000
2015-10-12,5.67000,5.71000,5.52000,5.66000
2015-10-13,5.63000,5.75,5.49000,5.56000
2015-10-14,5.52000,5.61000,5.49000,5.60000
2015-10-15,5.56000,5.72000,5.52000,5.70000
2015-10-16,5.68000,5.75,5.53000,5.61000
2015-10-19,5.55000,5.66000,5.5,5.60000
2015-10-20,5.58000,5.78000,5.47000,5.77000
2015-10-21,5.74000,5.90000,5.51000,5.75
2015-10-22,5.72000,5.80000,5.55000,5.76000
2015-10-23,5.74000,5.86000,5.47000,5.84000
2015-10-26,5.82000,5.96000,5.78000,5.86000
2015-10-27,5.80000,5.96000,5.79000,5.91000
2015-10-28,5.90000,5.95000,5.82000,5.90000
2015-10-29,5.88000,6.030000,5.52000,6.030000
2015-10-30,5.98000,6.060000,5.91000,6.040000
2015-11-02,6,6.060000,5.92000,6.020000
2015-11-03,5.98000,6.010000,5.91000,6.010000
2015-11-04,5.99000,6.010000,5.91000,5.94000
2015-11-05,5.91000,6,5.79000,5.98000
2015-11-06,5.96000,6.060000,5.61000,5.70000
2015-11-09,5.72000,5.94000,5.61000,5.71000
2015-11-10,5.63000,5.85000,5.62000,5.77000
2015-11-11,5.76000,5.92000,5.74000,5.88000
2015-11-12,5.84000,5.94000,5.44000,5.93000
2015-11-13,5.90000,5.97000,5.87000,5.95000
2015-11-16,5.94000,6.13000,5.87000,5.97000
2015-11-17,5.87000,6.21000,5.64000,6.020000
2015-11-18,5.95000,6.20000,5.65000,6.070000
2015-11-19,6.020000,6.20000,5.69000,6.100000
2015-11-20,6.050000,6.26000,6.040000,6.20000
2015-11-23,6.13000,6.24000,6.040000,6.15000
2015-11-24,6.11000,6.20000,6.060000,6.17000
2015-11-25,6.16000,6.24000,5.99000,6.080000
2015-11-26,6,6.11000,5.99000,6.050000
2015-11-27,6.040000,6.25,5.96000,6.050000
2015-11-30,5.96000,6.30000,5.95000,6.12000
2015-12-01,6.020000,6.24000,5.93000,6.16000
2015-12-02,6.12000,6.27000,5.92000,6.070000
2015-12-03,5.94000,6.11000,5.86000,5.97000
2015-12-04,5.91000,6.34000,5.91000,6.20000
2015-12-07,6.100000,6.30000,5.92000,6.13000
2015-12-08,6.030000,6.15000,5.77000,5.89000
2015-12-09,5.78000,5.98000,5.76000,5.91000
2015-12-10,5.87000,6.14000,5.78000,6.060000
2015-12-11,6.020000,6.22000,6.010000,6.17000
2015-12-14,6.14000,6.26000,5.78000,6.15000
2015-12-15,6.070000,6.22000,6.060000,6.14000
2015-12-16,6.080000,6.11000,6,6.080000
2015-12-17,6.070000,6.15000,5.73000,6.020000
2015-12-18,5.94000,6.100000,5.93000,6.070000
2015-12-21,6.040000,6.12000,5.72000,5.96000
2015-12-22,5.89000,6.010000,5.84000,5.88000
2015-12-23,5.87000,5.92000,5.74000,5.88000
2015-12-24,5.86000,5.92000,5.84000,5.90000
2015-12-25,5.88000,5.96000,5.88000,5.96000
2015-12-28,5.94000,6.18000,5.75,6.050000
2015-12-29,5.98000,6.21000,5.97000,6.100000
2015-12-30,6.070000,6.21000,5.72000,6.15000
2015-12-31,6.13000,6.19000,6.11000,6.17000
2016-01-01,6.15000,6.18000,6.14000,6.16000
2016-01-04,6.14000,6.21000,5.86000,6.16000
2016-01-05,6.100000,6.15000,6.010000,6.13000
2016-01-06,6.11000,6.13000,5.88000,5.92000
2016-01-07,5.90000,6.13000,5.89000,6.12000
2016-01-08,6.090000,6.17000,6.070000,6.13000
2016-01-11,6.090000,6.100000,5.91000,5.94000
2016-01-12,5.93000,5.97000,5.84000,5.90000
2016-01-13,5.87000,6.020000,5.87000,6.010000
2016-01-14,5.99000,6.13000,5.93000,6.12000
2016-01-15,6.11000,6.27000,6.040000,6.16000
2016-01-18,6.12000,6.25,6.100000,6.22000
2016-01-19,6.19000,6.31000,6.18000,6.22000
2016-01-20,6.19000,6.24000,5.89000,6.16000
2016-01-21,6.11000,6.27000,6.080000,6.25
2016-01-22,6.24000,6.28000,6.13000,6.16000
2016-01-25,6.14000,6.27000,6.12000,6.25
2016-01-26,6.23000,6.29000,6.21000,6.28000
2016-01-27,6.27000,6.31000,6.23000,6.28000
2016-01-28,6.25,6.37000,6.25,6.37000
2016-01-29,6.35000,6.52000,6.18000,6.48000
2016-02-01,6.45000,6.5,6.37000,6.46000
2016-02-02,6.44000,6.56000,6.43000,6.53000
2016-02-03,6.5,6.54000,6.42000,6.54000
2016-02-04,6.52000,6.65000,6.5,6.63000
2016-02-05,6.61000,6.72000,6.60000,6.66000
2016-02-08,6.65000,6.68000,6.39000,6.67000
2016-02-09,6.66000,6.71000,6.65000,6.70000
2016-02-10,6.69000,6.73000,6.64000,6.69000
2016-02-11,6.67000,6.73000,6.65000,6.69000
2016-02-12,6.66000,6.77000,6.66000,6.74000
2016-02-15,6.72000,6.93000,6.72000,6.92000
2016-02-16,6.87000,6.94000,6.77000,6.87000
2016-02-17,6.85000,6.97000,6.79000,6.89000
2016-02-18,6.86000,6.90000,6.66000,6.75
2016-02-19,6.72000,6.90000,6.71000,6.89000
2016-02-22,6.87000,6.96000,6.56000,6.94000
2016-02-23,6.92000,7,6.90000,6.97000
2016-02-24,6.94000,6.99000,6.87000,6.98000
2016-02-25,6.96000,7.010000,6.89000,6.95000
2016-02-26,6.91000,6.99000,6.86000,6.98000
2016-02-29,6.95000,7,6.84000,6.89000
2016-03-01,6.86000,6.99000,6.84000,6.99000
2016-03-02,6.97000,7,6.80000,6.85000
2016-03-03,6.83000,6.98000,6.62000,6.66000
2016-03-04,6.62000,6.87000,6.54000,6.71000
2016-03-07,6.68000,6.72000,6.66000,6.71000
2016-03-08,6.67000,6.73000,6.66000,6.72000
2016-03-09,6.69000,6.75,6.62000,6.68000
2016-03-10,6.65000,6.73000,6.51000,6.59000
2016-03-11,6.57000,6.72000,6.43000,6.57000
2016-03-14,6.54000,6.96000,6.53000,6.95000
2016-03-15,6.92000,6.99000,6.72000,6.92000
2016-03-16,6.90000,6.95000,6.81000,6.94000
2016-03-17,6.93000,6.98000,6.82000,6.87000
2016-03-18,6.85000,6.92000,6.70000,6.90000
2016-03-21,6.88000,6.97000,6.80000,6.83000
2016-03-22,6.80000,6.84000,6.72000,6.81000
2016-03-23,6.79000,6.82000,6.70000,6.81000
2016-03-24,6.79000,6.87000,6.71000,6.84000
2016-03-25,6.81000,6.85000,6.72000,6.79000
2016-03-28,6.76000,6.91000,6.75,6.85000
2016-03-29,6.79000,7.060000,6.76000,6.92000
2016-03-30,6.91000,6.97000,6.85000,6.94000
2016-03-31,6.91000,7.020000,6.88000,6.99000
2016-04-01,6.94000,6.98000,6.85000,6.90000
2016-04-04,6.87000,6.93000,6.82000,6.91000
2016-04-05,6.89000,6.91000,6.79000,6.83000
2016-04-06,6.82000,6.84000,6.73000,6.84000
2016-04-07,6.81000,6.86000,6.77000,6.81000
2016-04-08,6.79000,6.81000,6.71000,6.79000
2016-04-11,6.75,6.92000,6.73000,6.79000
2016-04-12,6.78000,6.82000,6.72000,6.75
2016-04-13,6.74000,6.77000,6.67000,6.76000
2016-04-14,6.74000,6.79000,6.71000,6.76000
2016-04-15,6.74000,6.80000,6.69000,6.73000
2016-04-18,6.71000,6.76000,6.69000,6.75
2016-04-19,6.74000,6.78000,6.72000,6.77000
2016-04-20,6.75,6.77000,6.71000,6.75
2016-04-21,6.74000,6.77000,6.70000,6.73000
2016-04-22,6.72000,6.74000,6.68000,6.72000
2016-04-25,6.70000,6.74000,6.68000,6.73000
2016-04-26,6.71000,6.80000,6.66000,6.70000
2016-04-27,6.68000,6.75,6.63000,6.70000
2016-04-28,6.65000,6.75,6.63000,6.70000
2016-04-29,6.69000,6.78000,6.68000,6.73000
2016-05-02,6.68000,6.73000,6.64000,6.70000
2016-05-03,6.66000,6.73000,6.60000,6.65000
2016-05-04,6.60000,6.68000,6.59000,6.63000
2016-05-05,6.62000,6.66000,6.61000,6.64000
2016-05-06,6.62000,6.67000,6.60000,6.64000
2016-05-09,6.64000,6.68000,6.63000,6.65000
2016-05-10,6.65000,6.68000,6.62000,6.67000
2016-05-11,6.65000,6.77000,6.63000,6.75
2016-05-12,6.74000,6.76000,6.67000,6.70000
2016-05-13,6.69000,6.78000,6.67000,6.74000
2016-05-16,6.73000,6.74000,6.62000,6.64000
2016-05-17,6.63000,6.65000,6.59000,6.62000
2016-05-18,6.61000,6.63000,6.53000,6.56000
2016-05-19,6.54000,6.58000,6.5,6.52000
2016-05-20,6.51000,6.54000,6.42000,6.46000
2016-05-23,6.43000,6.51000,6.43000,6.5
2016-05-24,6.49000,6.54000,6.47000,6.52000
