datetime,open,high,low,close
2008-02-21,0.27649999,0.27910000,0.27620000,0.27900001
2008-02-22,0.27840000,0.28080001,0.27689999,0.27930000
2008-02-25,0.27910000,0.28020000,0.27360001,0.27469999
2008-02-26,0.27440000,0.27640000,0.27399999,0.27509999
2008-02-27,0.27480000,0.27860001,0.27419999,0.27790001
2008-02-28,0.27739999,0.27790001,0.27489999,0.27620000
2008-02-29,0.27579999,0.27680001,0.27200001,0.27350000
2008-03-03,0.27250001,0.27530000,0.27230000,0.27500001
2008-03-04,0.27489999,0.27840000,0.27379999,0.27590001
2008-03-05,0.27599999,0.27890000,0.27500001,0.27779999
2008-03-06,0.27790001,0.27900001,0.27660000,0.27710000
2008-03-07,0.27660000,0.27849999,0.27550000,0.27759999
2008-03-10,0.27759999,0.28150001,0.27720001,0.28060001
2008-03-11,0.28029999,0.28540000,0.28000000,0.28490001
2008-03-12,0.28430000,0.28940001,0.28420001,0.28900000
2008-03-13,0.28870001,0.29879999,0.28799999,0.29120001
2008-03-14,0.29080001,0.29350001,0.28700000,0.28860000
2008-03-17,0.28839999,0.29480001,0.28810000,0.29300001
2008-03-18,0.29280001,0.29640001,0.29240000,0.29530001
2008-03-19,0.29510000,0.29730001,0.29330000,0.29550001
2008-03-20,0.29510000,0.29539999,0.28920001,0.29030001
2008-03-21,0.28999999,0.29040000,0.28990000,0.29030001
2008-03-24,0.28990000,0.29030001,0.28110000,0.28389999
2008-03-25,0.28369999,0.28729999,0.28220001,0.28670001
2008-03-26,0.28650001,0.28709999,0.28410000,0.28630000
2008-03-27,0.28580001,0.28729999,0.28439999,0.28520000
2008-03-28,0.28510001,0.28560001,0.28259999,0.28330001
2008-03-31,0.28299999,0.28430000,0.27970001,0.28340000
2008-04-01,0.28369999,0.28389999,0.28049999,0.28140000
2008-04-02,0.28119999,0.28200001,0.27939999,0.28080001
2008-04-03,0.28060001,0.28140000,0.27720001,0.27790001
2008-04-04,0.27779999,0.27939999,0.27480000,0.27640000
2008-04-07,0.27620000,0.27680001,0.27329999,0.27530000
2008-04-08,0.27500001,0.27739999,0.27440000,0.27689999
2008-04-09,0.27669999,0.27860001,0.27620000,0.27730000
2008-04-10,0.27700001,0.27860001,0.27610001,0.27750000
2008-04-11,0.27730000,0.27840000,0.27669999,0.27800000
2008-04-14,0.27779999,0.28500000,0.27620000,0.28380001
2008-04-15,0.28349999,0.28870001,0.28130001,0.28569999
2008-04-16,0.28560001,0.28950000,0.28549999,0.28819999
2008-04-17,0.28790000,0.28990000,0.28690001,0.28990000
2008-04-18,0.28950000,0.29260001,0.28900000,0.29179999
2008-04-21,0.29060000,0.29159999,0.28819999,0.28940001
2008-04-22,0.28909999,0.29049999,0.28650001,0.28979999
2008-04-23,0.28960001,0.29159999,0.28900000,0.29100001
2008-04-24,0.29080001,0.29150000,0.28619999,0.28720000
2008-04-25,0.28709999,0.28860000,0.28560001,0.28680000
2008-04-28,0.28580001,0.28960001,0.28490001,0.28749999
2008-04-29,0.28729999,0.28950000,0.28690001,0.28880000
2008-04-30,0.28850001,0.29290000,0.28819999,0.29220000
2008-05-01,0.29200000,0.29370001,0.28870001,0.28950000
2008-05-02,0.28920001,0.29150000,0.28780001,0.28960001
2008-05-05,0.28860000,0.29159999,0.28839999,0.29069999
2008-05-06,0.29040000,0.29350001,0.28979999,0.29179999
2008-05-07,0.29150000,0.29220000,0.28839999,0.28979999
2008-05-08,0.28929999,0.29030001,0.28850001,0.28929999
2008-05-09,0.28920001,0.29049999,0.28630000,0.28740001
2008-05-12,0.28720000,0.29210001,0.28690001,0.29159999
2008-05-13,0.29139999,0.29269999,0.29040000,0.29100001
2008-05-14,0.29089999,0.29300001,0.28999999,0.29150000
2008-05-15,0.29120001,0.29609999,0.29040000,0.29530001
2008-05-16,0.29519999,0.29840001,0.29499999,0.29699999
2008-05-19,0.29670000,0.29800001,0.29490000,0.29660001
2008-05-20,0.29620001,0.29769999,0.29429999,0.29539999
2008-05-21,0.29510000,0.30190000,0.29490000,0.30170000
2008-05-22,0.30149999,0.30170000,0.29830000,0.29990000
2008-05-23,0.29960001,0.30170000,0.29890001,0.30140001
2008-05-26,0.30000001,0.30360001,0.29920000,0.30180001
2008-05-27,0.30160001,0.30520001,0.29980001,0.30379999
2008-05-28,0.30340001,0.30480000,0.30170000,0.30399999
2008-05-29,0.30370000,0.30899999,0.30280000,0.30800000
2008-05-30,0.30770001,0.31099999,0.30720001,0.31050000
2008-06-02,0.30989999,0.31020001,0.30489999,0.30590001
2008-06-03,0.30559999,0.30750000,0.30260000,0.30370000
2008-06-04,0.30340001,0.30379999,0.29769999,0.30070001
2008-06-05,0.30039999,0.30100000,0.29499999,0.29899999
2008-06-06,0.29870000,0.30120000,0.29620001,0.29940000
2008-06-09,0.29910001,0.30120000,0.29830000,0.29980001
2008-06-10,0.29920000,0.30030000,0.29370001,0.29460001
2008-06-11,0.29449999,0.29629999,0.29240000,0.29629999
2008-06-12,0.29560000,0.29580000,0.29080001,0.29400000
2008-06-13,0.29390001,0.29440001,0.29120001,0.29319999
2008-06-16,0.29269999,0.29830000,0.29110000,0.29780000
2008-06-17,0.29750001,0.30190000,0.29690000,0.29960001
2008-06-18,0.29929999,0.30059999,0.29570001,0.29750001
2008-06-19,0.29690000,0.29859999,0.29589999,0.29750001
2008-06-20,0.29730001,0.29870000,0.29660001,0.29830000
2008-06-23,0.29800001,0.29870000,0.29539999,0.29660001
2008-06-24,0.29629999,0.29789999,0.29390001,0.29550001
2008-06-25,0.29519999,0.29660001,0.29400000,0.29589999
2008-06-26,0.29560000,0.29760000,0.29499999,0.29660001
2008-06-27,0.29629999,0.29789999,0.29490000,0.29769999
2008-06-30,0.29629999,0.30030000,0.29609999,0.29910001
2008-07-01,0.29890001,0.30370000,0.29809999,0.30300000
2008-07-02,0.30280000,0.30620000,0.30180001,0.30540001
2008-07-03,0.30520001,0.30890000,0.30460000,0.30570000
2008-07-04,0.30540001,0.30739999,0.30430001,0.30669999
2008-07-07,0.30630001,0.30890000,0.30450001,0.30700001
2008-07-08,0.30669999,0.30790001,0.30450001,0.30620000
2008-07-09,0.30599999,0.31200001,0.30570000,0.31079999
2008-07-10,0.31070000,0.31240001,0.29589999,0.29820001
2008-07-11,0.29809999,0.29830000,0.29310000,0.29539999
2008-07-14,0.29510000,0.30100000,0.29420000,0.29969999
2008-07-15,0.29949999,0.30379999,0.29929999,0.30109999
2008-07-16,0.30080000,0.30120000,0.29650000,0.29740000
2008-07-17,0.29719999,0.29760000,0.29319999,0.29620001
2008-07-18,0.29620001,0.29679999,0.29269999,0.29380000
2008-07-21,0.29339999,0.29580000,0.28729999,0.28799999
2008-07-22,0.28860000,0.29049999,0.28590000,0.28900000
2008-07-23,0.28870001,0.28999999,0.28560001,0.28670001
2008-07-24,0.28639999,0.28810000,0.28420001,0.28700000
2008-07-25,0.28690001,0.28970000,0.28610000,0.28740001
2008-07-28,0.28749999,0.28970000,0.28600001,0.28870001
2008-07-29,0.28839999,0.29030001,0.28790000,0.28920001
2008-07-30,0.28889999,0.28970000,0.28569999,0.28690001
2008-07-31,0.28670001,0.28880000,0.28420001,0.28520000
2008-08-01,0.28500000,0.28590000,0.28290001,0.28520000
2008-08-04,0.28310001,0.28389999,0.28090000,0.28220001
2008-08-05,0.28189999,0.28279999,0.28009999,0.28180000
2008-08-06,0.28160000,0.28320000,0.28060001,0.28130001
2008-08-07,0.28110000,0.28360000,0.28049999,0.28130001
2008-08-08,0.28099999,0.28130001,0.27800000,0.27900001
2008-08-11,0.27829999,0.28090000,0.27779999,0.28060001
2008-08-12,0.28029999,0.28060001,0.27779999,0.27890000
2008-08-13,0.27869999,0.27939999,0.27660000,0.27739999
2008-08-14,0.27720001,0.28020000,0.27700001,0.28009999
2008-08-15,0.27919999,0.28140000,0.27770001,0.28140000
2008-08-18,0.27939999,0.28110000,0.27890000,0.28000000
2008-08-19,0.27970001,0.28090000,0.27860001,0.28070000
2008-08-20,0.28040001,0.28070000,0.27829999,0.27959999
2008-08-21,0.27930000,0.28680000,0.27930000,0.28630000
2008-08-22,0.28600001,0.28999999,0.28549999,0.28770000
2008-08-25,0.28590000,0.28650001,0.28340000,0.28540000
2008-08-26,0.28510001,0.28540000,0.28090000,0.28140000
2008-08-27,0.28110000,0.28259999,0.27880001,0.27959999
2008-08-28,0.27930000,0.28020000,0.27739999,0.27890000
2008-08-29,0.27860001,0.28110000,0.27720001,0.27900001
2008-09-01,0.27860001,0.27880001,0.27550000,0.27669999
2008-09-02,0.27649999,0.27840000,0.27399999,0.27790001
2008-09-03,0.27779999,0.27910000,0.27469999,0.27800000
2008-09-04,0.27779999,0.28200001,0.27700001,0.28000000
2008-09-05,0.27970001,0.28000000,0.27689999,0.27820000
2008-09-08,0.27810001,0.28070000,0.27620000,0.27689999
2008-09-09,0.27710000,0.27919999,0.27550000,0.27800000
2008-09-10,0.27779999,0.27890000,0.27590001,0.27669999
2008-09-11,0.27649999,0.27669999,0.27340001,0.27530000
2008-09-12,0.27509999,0.27890000,0.27509999,0.27829999
2008-09-15,0.27919999,0.28200001,0.27620000,0.28090000
2008-09-16,0.28070000,0.28760001,0.27890000,0.28650001
2008-09-17,0.28619999,0.28690001,0.27980000,0.28389999
2008-09-18,0.28270000,0.28529999,0.27980000,0.28389999
2008-09-19,0.28340000,0.28909999,0.28140000,0.28810000
2008-09-22,0.28670001,0.29460001,0.28450000,0.29460001
2008-09-23,0.29370001,0.29580000,0.29010001,0.29249999
2008-09-24,0.29249999,0.29530001,0.29069999,0.29269999
2008-09-25,0.29240000,0.29670000,0.29150000,0.29330000
2008-09-26,0.29280001,0.29390001,0.28990000,0.29220000
2008-09-29,0.29030001,0.29130000,0.28749999,0.28920001
2008-09-30,0.28880000,0.29110000,0.28610000,0.28839999
2008-10-01,0.28810000,0.28940001,0.28639999,0.28780001
2008-10-02,0.28810000,0.29010001,0.28299999,0.28920001
2008-10-03,0.28850001,0.29030001,0.28720000,0.28950000
2008-10-06,0.28880000,0.28990000,0.28430000,0.28529999
2008-10-07,0.28490001,0.28860000,0.28160000,0.28320000
2008-10-08,0.28279999,0.28360000,0.27610001,0.27810001
2008-10-09,0.27779999,0.27849999,0.27689999,0.27739999
2008-10-10,0.27700001,0.27930000,0.27239999,0.27649999
2008-10-13,0.27660000,0.27930000,0.27460000,0.27520001
2008-10-14,0.27550000,0.27840000,0.27530000,0.27689999
2008-10-15,0.27649999,0.28040001,0.27140000,0.27219999
2008-10-16,0.27340001,0.27430001,0.26670000,0.26789999
2008-10-17,0.26809999,0.26949999,0.26530001,0.26850000
2008-10-20,0.26769999,0.27050000,0.26510000,0.26690000
2008-10-21,0.26660001,0.26710001,0.26280001,0.26370001
2008-10-22,0.26300001,0.26380000,0.25690001,0.25810000
2008-10-23,0.25790000,0.26589999,0.25540000,0.26350001
2008-10-24,0.26320001,0.26510000,0.25670001,0.26100001
2008-10-27,0.26080000,0.26330000,0.25870001,0.26230001
