datetime,open,high,low,close
2015-07-13,7.26600,7.30850,7.22000,7.24250
2015-07-14,7.22800,7.28050,7.20900,7.24950
2015-07-15,7.23400,7.27000,7.21400,7.23600
2015-07-16,7.22300,7.24450,7.17900,7.20050
2015-07-17,7.19100,7.22750,7.15100,7.18250
2015-07-20,7.18400,7.21500,7.13800,7.19800
2015-07-21,7.17800,7.29050,7.17100,7.27350
2015-07-22,7.26400,7.28850,7.19000,7.21150
2015-07-23,7.19900,7.36050,7.18100,7.26650
2015-07-24,7.24800,7.44600,7.22400,7.36100
2015-07-27,7.34900,7.56350,7.34400,7.54350
2015-07-28,7.53500,7.56800,7.50200,7.52300
2015-07-29,7.50700,7.57600,7.46300,7.54900
2015-07-30,7.53400,7.56300,7.46300,7.49400
2015-07-31,7.47800,7.57150,7.45800,7.53250
2015-08-03,7.52000,7.58500,7.50200,7.55200
2015-08-04,7.53500,7.57300,7.44900,7.53400
2015-08-05,7.52400,7.53900,7.43700,7.46600
2015-08-06,7.45300,7.51450,7.44200,7.50050
2015-08-07,7.49500,7.50550,7.41800,7.48450
2015-08-10,7.47000,7.53200,7.42000,7.49800
2015-08-11,7.48800,7.50250,7.41900,7.44750
2015-08-12,7.43300,7.48550,7.40500,7.47350
2015-08-13,7.46500,7.51400,7.42200,7.50200
2015-08-14,7.48800,7.57100,7.47400,7.53500
2015-08-17,7.52900,7.54500,7.40300,7.43500
2015-08-18,7.41900,7.44750,7.35300,7.38450
2015-08-19,7.37200,7.40600,7.31700,7.36300
2015-08-20,7.35700,7.38500,7.28300,7.36100
2015-08-21,7.34500,7.39050,7.32100,7.35650
2015-08-24,7.33200,7.43950,7.28600,7.43350
2015-08-25,7.41800,7.43950,7.35000,7.40550
2015-08-26,7.38100,7.41200,7.22300,7.25900
2015-08-27,7.24800,7.32750,7.22800,7.27850
2015-08-28,7.28000,7.29750,7.22000,7.24950
2015-08-31,7.23100,7.28150,7.19900,7.26050
2015-09-01,7.24500,7.29000,7.21900,7.27900
2015-09-02,7.26300,7.30500,7.24100,7.29400
2015-09-03,7.28000,7.29900,7.22800,7.29900
2015-09-04,7.28100,7.33900,7.26300,7.30000
2015-09-07,7.29200,7.31450,7.26600,7.28750
2015-09-08,7.27200,7.37050,7.25600,7.35250
2015-09-09,7.34500,7.40650,7.33000,7.36450
2015-09-10,7.34800,7.42900,7.32100,7.37400
2015-09-11,7.35800,7.48300,7.35300,7.46000
2015-09-14,7.44400,7.46250,7.39800,7.42850
2015-09-15,7.39300,7.45700,7.38200,7.42700
2015-09-16,7.41200,7.50100,7.37700,7.46300
2015-09-17,7.44400,7.49200,7.37400,7.45100
2015-09-18,7.43500,7.47900,7.34200,7.37600
2015-09-21,7.36800,7.38550,7.28000,7.32450
2015-09-22,7.31200,7.34100,7.28400,7.30000
2015-09-23,7.29900,7.32650,7.25400,7.31350
2015-09-24,7.29800,7.44250,7.27100,7.37550
2015-09-25,7.34900,7.43000,7.30200,7.40200
2015-09-28,7.39000,7.42200,7.30300,7.36200
2015-09-29,7.34800,7.36750,7.30700,7.36750
2015-09-30,7.34800,7.42100,7.33100,7.41200
2015-10-01,7.39900,7.44050,7.34200,7.40450
2015-10-02,7.39200,7.45250,7.31100,7.44150
2015-10-05,7.42800,7.55850,7.40600,7.51650
2015-10-06,7.51300,7.57850,7.42800,7.56350
2015-10-07,7.55100,7.60050,7.47900,7.54850
2015-10-08,7.55700,7.59100,7.45600,7.57000
2015-10-09,7.55900,7.62600,7.53800,7.60800
2015-10-12,7.59900,7.61150,7.57000,7.59550
2015-10-13,7.58400,7.66400,7.47800,7.65200
2015-10-14,7.63600,7.68550,7.47700,7.67550
2015-10-15,7.66500,7.76250,7.57300,7.72650
2015-10-16,7.70900,7.75550,7.625,7.66350
2015-10-19,7.63600,7.68550,7.59500,7.61650
2015-10-20,7.60200,7.64600,7.57700,7.63000
2015-10-21,7.62000,7.63600,7.57000,7.60400
2015-10-22,7.59600,7.64250,7.42400,7.59050
2015-10-23,7.58200,7.60450,7.50800,7.56450
2015-10-26,7.54200,7.62600,7.53900,7.60400
2015-10-27,7.59100,7.64800,7.55700,7.59200
2015-10-28,7.58000,7.63550,7.51100,7.54550
2015-10-29,7.53300,7.61000,7.52300,7.59600
