datetime,open,high,low,close
2014-08-29,1.070700,1.075000,1.069200,1.075000
2014-09-01,1.074200,1.076200,1.073500,1.075500
2014-09-02,1.075000,1.077300,1.073500,1.074900
2014-09-03,1.074300,1.075600,1.072100,1.073400
2014-09-04,1.073200,1.092500,1.071900,1.090400
2014-09-05,1.090000,1.092400,1.086300,1.090000
2014-09-08,1.090100,1.096500,1.088300,1.095200
2014-09-09,1.094200,1.098400,1.088300,1.091700
2014-09-10,1.090800,1.095800,1.088300,1.093000
2014-09-11,1.092200,1.094600,1.089300,1.092100
2014-09-12,1.091700,1.093600,1.086400,1.088900
2014-09-15,1.087300,1.093500,1.086300,1.090600
2014-09-16,1.090100,1.092400,1.085700,1.089200
2014-09-17,1.088400,1.098200,1.086700,1.097100
2014-09-18,1.096500,1.099600,1.090900,1.092100
2014-09-19,1.091600,1.10020,1.091000,1.10010
2014-09-22,1.099800,1.10130,1.096200,1.098400
2014-09-23,1.098100,1.099400,1.093000,1.098300
2014-09-24,1.097600,1.10450,1.095300,1.10320
2014-09-25,1.10230,1.11040,1.10200,1.10570
2014-09-26,1.10480,1.11280,1.10390,1.11150
2014-09-29,1.11050,1.11340,1.10780,1.11150
2014-09-30,1.11060,1.12180,1.10900,1.11640
2014-10-01,1.11570,1.12100,1.11520,1.11740
2014-10-02,1.11680,1.11870,1.11000,1.11340
2014-10-03,1.11270,1.12850,1.11200,1.12690
2014-10-06,1.12700,1.12840,1.11220,1.11460
2014-10-07,1.11380,1.12090,1.11150,1.11340
2014-10-08,1.11270,1.11750,1.10560,1.10770
2014-10-09,1.10700,1.11400,1.10200,1.11170
2014-10-10,1.11110,1.11930,1.10890,1.11730
2014-10-13,1.11680,1.11810,1.10400,1.10540
2014-10-14,1.10460,1.11570,1.10330,1.11360
2014-10-15,1.11280,1.11700,1.092800,1.098200
2014-10-16,1.097300,1.10880,1.096300,1.099800
2014-10-17,1.099000,1.10630,1.096500,1.10540
2014-10-20,1.10490,1.10750,1.097400,1.10070
2014-10-21,1.099700,1.11350,1.095200,1.10840
2014-10-22,1.10450,1.11640,1.10230,1.11370
