datetime,open,high,low,close
2005-09-16,0.0073600002,0.0073799999,0.0073299999,0.0073400000
2005-09-19,0.0073899999,0.0074000000,0.0073600002,0.0073899999
2005-09-20,0.0073899999,0.0074000000,0.0073500001,0.0073699998
2005-09-22,0.0073500001,0.0073799999,0.0073299999,0.0073699998
2005-09-23,0.0073699998,0.0074100001,0.0073699998,0.0073799999
2005-09-26,0.0073899999,0.0074100001,0.0073699998,0.0073699998
2005-09-27,0.0073699998,0.0073799999,0.0073400000,0.0073500001
2005-09-28,0.0073500001,0.0073600002,0.0073400000,0.0073400000
2005-09-29,0.0073400000,0.0073699998,0.0073299999,0.0073500001
2005-09-30,0.0073500001,0.0073500001,0.0073099998,0.0073199999
2005-10-03,0.0073199999,0.0073600002,0.0073099998,0.0073400000
2005-10-04,0.0073500001,0.0073600002,0.0073299999,0.0073400000
2005-10-05,0.0073400000,0.0073600002,0.0072900001,0.0072900001
2005-10-06,0.0072900001,0.0073000002,0.0072400002,0.0072499998
2005-10-07,0.0072499998,0.0072599999,0.0072400002,0.0072400002
2005-10-10,0.0072599999,0.0072699999,0.0072300001,0.0072699999
2005-10-11,0.0072599999,0.0073000002,0.0072599999,0.0072800000
2005-10-12,0.0072800000,0.0072900001,0.0072599999,0.0072699999
2005-10-13,0.0072699999,0.0073000002,0.0072599999,0.0072699999
2005-10-14,0.0072699999,0.0072699999,0.0072499998,0.0072599999
2005-10-17,0.0072499998,0.0072599999,0.0072200000,0.0072300001
2005-10-18,0.0072300001,0.0072400002,0.0072100000,0.0072200000
2005-10-19,0.0072300001,0.0072599999,0.0072200000,0.0072300001
2005-10-20,0.0072300001,0.0072400002,0.0072100000,0.0072100000
2005-10-21,0.0072100000,0.0072300001,0.0071899998,0.0072200000
2005-10-24,0.0072200000,0.0072400002,0.0072200000,0.0072300001
2005-10-25,0.0072300001,0.0072400002,0.0071700001,0.0071700001
2005-10-26,0.0071700001,0.0071899998,0.0071399999,0.0071500000
2005-10-27,0.0071500000,0.0071600000,0.0071299998,0.0071399999
2005-10-28,0.0071399999,0.0071700001,0.0071299998,0.0071600000
2005-10-31,0.0071600000,0.0071800002,0.0071500000,0.0071600000
2005-11-01,0.0071600000,0.0071700001,0.0071200002,0.0071200002
2005-11-02,0.0071200002,0.0071299998,0.0070799999,0.0070900000
2005-11-03,0.0070900000,0.0071500000,0.0070900000,0.0071399999
2005-11-04,0.0071399999,0.0071700001,0.0071000000,0.0071500000
2005-11-07,0.0071600000,0.0072200000,0.0071600000,0.0072100000
2005-11-08,0.0072100000,0.0072499998,0.0072100000,0.0072400002
2005-11-09,0.0072400002,0.0072699999,0.0072100000,0.0072100000
2005-11-10,0.0072100000,0.0072599999,0.0072100000,0.0072599999
2005-11-11,0.0072599999,0.0072699999,0.0072200000,0.0072200000
2005-11-14,0.0072200000,0.0072300001,0.0071800002,0.0071999999
2005-11-15,0.0071999999,0.0071999999,0.0071700001,0.0071700001
2005-11-16,0.0071700001,0.0071999999,0.0071500000,0.0071899998
2005-11-17,0.0071899998,0.0072200000,0.0071600000,0.0071600000
2005-11-18,0.0071600000,0.0071899998,0.0071299998,0.0071299998
2005-11-21,0.0071200002,0.0071800002,0.0071100001,0.0071600000
2005-11-22,0.0071600000,0.0071700001,0.0071200002,0.0071200002
2005-11-23,0.0071200002,0.0071600000,0.0071200002,0.0071299998
2005-11-24,0.0071299998,0.0071399999,0.0071200002,0.0071299998
2005-11-25,0.0071200002,0.0071399999,0.0071100001,0.0071299998
2005-11-28,0.0071299998,0.0071399999,0.0070900000,0.0071000000
2005-11-29,0.0071000000,0.0071200002,0.0070900000,0.0070900000
2005-11-30,0.0071000000,0.0071100001,0.0070699998,0.0070799999
2005-12-01,0.0070799999,0.0071000000,0.0070600002,0.0070699998
2005-12-02,0.0070699998,0.0071000000,0.0070500001,0.0070799999
2005-12-05,0.0070500001,0.0070600002,0.0070099998,0.0070199999
