datetime,open,high,low,close
1996-10-30,0.0087435516,0.0088020423,0.0087351501,0.0087581016
1996-11-01,0.0088105723,0.0088105723,0.0088105723,0.0088105723
1996-11-04,0.0088276835,0.0088534756,0.0087734684,0.0087811733
1996-11-05,0.0087943012,0.0088144559,0.0087466110,0.0087527353
1996-11-06,0.0087542674,0.0087989438,0.0087199165,0.0087757790
1996-11-08,0.0089293690,0.0089806914,0.0089039272,0.0089493468
1996-11-11,0.0089678057,0.0090203863,0.0089317616,0.0089992797
1996-11-12,0.0090073859,0.0090187592,0.0089645898,0.0089823045
1996-11-13,0.0089806914,0.0089806914,0.0089806914,0.0089806914
1996-11-15,0.0089742439,0.0090456801,0.0089670019,0.0090049524
1996-11-18,0.0090187592,0.0090252701,0.0089549571,0.0089766607
1996-11-19,0.0089847259,0.0089928061,0.0089445440,0.0089621795
1996-11-20,0.0089613767,0.0089887641,0.0089525515,0.0089670019
1996-11-21,0.0089742439,0.0089928061,0.0089389468,0.0089887641
1996-11-22,0.0089895725,0.0090065747,0.0089525515,0.0089750495
1996-11-26,0.0088794176,0.0089055123,0.0088668205,0.0088967970
1996-11-28,0.0088401698,0.0088456431,0.0087773195,0.0087973960
1996-11-29,0.0087912092,0.0088222325,0.0087765492,0.0087873461
1996-12-02,0.0087919822,0.0088105723,0.0087115606,0.0087320991
1996-12-03,0.0087366765,0.0088628912,0.0087260036,0.0088261254
1996-12-04,0.0088222325,0.0088573955,0.0088144559,0.0088456431
1996-12-05,0.0088613201,0.0089245867,0.0088261254,0.0089086862
1996-12-06,0.0089047188,0.0089501478,0.0088495575,0.0088534756
1996-12-09,0.0088401698,0.0088652484,0.0088121248,0.0088183423
1996-12-10,0.0088136792,0.0088526914,0.0087935282,0.0088222325
1996-12-11,0.0088417334,0.0088825719,0.0088237887,0.0088589657
1996-12-12,0.0088613201,0.0088944230,0.0088051418,0.0088393884
1996-12-13,0.0088464264,0.0088778408,0.0087719299,0.0087834876
1996-12-16,0.0087734684,0.0088028172,0.0087496722,0.0087858019
1996-12-17,0.0087950751,0.0088167870,0.0087604029,0.0087858019
1996-12-18,0.0087912092,0.0088300221,0.0087865740,0.0088004926
1996-12-19,0.0088183423,0.0088261254,0.0087573342,0.0087711606
1996-12-20,0.0087719299,0.0087726992,0.0087404940,0.0087527353
1996-12-23,0.0087604029,0.0087842587,0.0087450808,0.0087680835
1996-12-24,0.0087604029,0.0087642418,0.0087336246,0.0087412586
1996-12-25,0.0087374402,0.0087412586,0.0087191556,0.0087237200
1996-12-26,0.0087260036,0.0087412586,0.0086896075,0.0087047359
1996-12-27,0.0087145967,0.0087183956,0.0086117806,0.0086767897
1996-12-30,0.0086437892,0.0086580087,0.0086058518,0.0086058518
1996-12-31,0.0086147487,0.0086512677,0.0085888514,0.0086281272
1997-01-01,0.0086244075,0.0086393086,0.0086244075,0.0086318515
1997-01-02,0.0086192042,0.0086745312,0.0086058518,0.0086467788
1997-01-03,0.0086452840,0.0086730262,0.0085689807,0.0085903266
1997-01-06,0.0085689807,0.0086692674,0.0085484693,0.0086422954
