datetime,open,high,low,close
2016-04-15,0.94180000,0.95179999,0.94000000,0.94870001
2016-04-18,0.94830000,0.98229998,0.94239998,0.94499999
2016-04-19,0.94499999,0.94999999,0.93390000,0.94080001
2016-04-20,0.94019997,0.96050000,0.94019997,0.94520003
2016-04-21,0.94639999,0.97649997,0.93900001,0.97369999
2016-04-22,0.97369999,0.97450000,0.95550001,0.96780002
2016-04-25,0.96939999,0.97520000,0.96050000,0.97060001
2016-04-26,0.97060001,0.97479999,0.95340002,0.95490003
2016-04-27,0.95279998,0.96939999,0.94470000,0.95770001
2016-04-28,0.95520002,0.96069998,0.94230002,0.95139998
2016-04-29,0.95039999,0.95359999,0.93970001,0.95069999
2016-05-02,0.95060003,0.96050000,0.94660002,0.95800000
2016-05-03,0.95870000,0.98320001,0.95099998,0.97689998
2016-05-04,0.97689998,0.98280001,0.96649998,0.98009998
2016-05-05,0.98159999,0.98229998,0.95859998,0.96929997
2016-05-06,0.96859998,0.98030001,0.96410000,0.96920002
2016-05-09,0.96960002,0.98180002,0.96050000,0.98019999
2016-05-10,0.98019999,0.98170000,0.97210002,0.97460002
2016-05-11,0.97450000,0.97780001,0.95469999,0.95649999
2016-05-12,0.95789999,0.95959997,0.95150000,0.95789999
2016-05-13,0.95249999,0.95300001,0.93849999,0.95249999
2016-05-16,0.95279998,0.95389998,0.93879998,0.94360000
2016-05-17,0.94360000,0.94610000,0.93510002,0.94199997
2016-05-18,0.94169998,0.96200001,0.94000000,0.96010000
2016-05-19,0.96050000,0.98089999,0.95929998,0.97170001
2016-05-20,0.97270000,0.98049998,0.96469998,0.97719997
2016-05-23,0.97649997,0.98369998,0.97170001,0.97740000
2016-05-24,0.97600001,0.98229998,0.96619999,0.96679997
2016-05-25,0.96670002,0.97079998,0.95690000,0.95880002
2016-05-26,0.95889997,0.96270001,0.95039999,0.96139997
2016-05-27,0.96069998,0.97009999,0.95760000,0.96139997
2016-05-30,0.96079999,0.96789998,0.95749998,0.96020001
2016-05-31,0.96020001,0.97860003,0.95819998,0.97530001
2016-06-01,0.97570002,0.98449999,0.96990001,0.97850001
2016-06-02,0.97810000,0.99010003,0.97289997,0.97780001
2016-06-03,0.97750002,0.98009998,0.95620000,0.95760000
2016-06-06,0.95789999,0.96370000,0.95060003,0.95260000
2016-06-07,0.95260000,0.95749998,0.94019997,0.94360000
2016-06-08,0.94360000,0.94650000,0.92680001,0.92900002
2016-06-09,0.92860001,0.94520003,0.92540002,0.94180000
2016-06-10,0.94209999,0.95800000,0.93889999,0.95580000
2016-06-13,0.95260000,0.96799999,0.95260000,0.96079999
2016-06-14,0.96050000,0.97229999,0.95850003,0.97079998
2016-06-15,0.97079998,0.97280002,0.95510000,0.96280003
2016-06-16,0.96280003,0.97579998,0.95840001,0.97079998
2016-06-17,0.96980000,0.97140002,0.95480001,0.95620000
2016-06-20,0.95620000,0.95670003,0.94099998,0.94840002
2016-06-21,0.94859999,0.95179999,0.93930000,0.94190001
2016-06-22,0.94110000,0.96200001,0.93610001,0.95420003
2016-06-23,0.95349997,0.95670003,0.93980002,0.94169998
2016-06-24,0.94520003,0.99900001,0.94360000,0.96179998
