datetime,open,high,low,close
2014-08-26,2.66270,2.66860,2.65860,2.66760
2014-08-27,2.66630,2.67310,2.65830,2.66580
2014-08-28,2.66420,2.67090,2.65760,2.66610
2014-08-29,2.66530,2.67420,2.66180,2.67420
2014-09-01,2.67100,2.68050,2.66920,2.67500
2014-09-02,2.67290,2.67930,2.66920,2.67150
2014-09-03,2.67020,2.67850,2.66420,2.66860
2014-09-04,2.66690,2.70560,2.66460,2.70100
2014-09-05,2.69860,2.70880,2.69380,2.70120
2014-09-08,2.70130,2.70970,2.69450,2.70640
2014-09-09,2.70410,2.71490,2.68950,2.69550
2014-09-10,2.69360,2.70570,2.68840,2.69980
2014-09-11,2.69800,2.70480,2.69120,2.69890
2014-09-12,2.69810,2.70380,2.68830,2.69340
2014-09-15,2.68770,2.70290,2.68680,2.69570
2014-09-16,2.69460,2.70110,2.68320,2.69180
2014-09-17,2.69070,2.71640,2.68560,2.70810
2014-09-18,2.70330,2.71840,2.69170,2.69590
2014-09-19,2.69330,2.71690,2.69190,2.71070
2014-09-22,2.71180,2.71910,2.70280,2.70960
2014-09-23,2.70820,2.71590,2.69410,2.70690
2014-09-24,2.70540,2.72330,2.70200,2.72120
2014-09-25,2.72000,2.73590,2.71600,2.72600
2014-09-26,2.72330,2.74300,2.72160,2.73670
2014-09-29,2.73300,2.75,2.72750,2.73630
2014-09-30,2.73340,2.76040,2.72950,2.74710
2014-10-01,2.74570,2.75900,2.74100,2.74790
2014-10-02,2.74510,2.75910,2.72960,2.73780
2014-10-03,2.73510,2.76720,2.73370,2.76100
2014-10-06,2.76380,2.76640,2.73310,2.73860
2014-10-07,2.73730,2.75340,2.73120,2.73720
2014-10-08,2.73570,2.74690,2.71860,2.72640
2014-10-09,2.72430,2.73530,2.70670,2.73090
2014-10-10,2.72820,2.74780,2.72370,2.74200
2014-10-13,2.74130,2.74330,2.71510,2.71760
2014-10-14,2.71690,2.74050,2.71430,2.73400
2014-10-15,2.73150,2.74330,2.69200,2.70480
2014-10-16,2.70160,2.72740,2.69730,2.70570
2014-10-17,2.70320,2.71810,2.69710,2.71360
2014-10-20,2.71120,2.72160,2.70190,2.70900
2014-10-21,2.70550,2.72330,2.69510,2.71930
2014-10-22,2.71690,2.73440,2.71410,2.73210
2014-10-23,2.72960,2.74860,2.72600,2.73300
2014-10-24,2.72960,2.74070,2.72060,2.72850
2014-10-27,2.72290,2.73270,2.71400,2.72300
2014-10-28,2.72170,2.72960,2.70860,2.71610
2014-10-29,2.71270,2.73220,2.70540,2.73160
2014-10-30,2.72870,2.75380,2.72750,2.73880
2014-10-31,2.73580,2.76010,2.73470,2.75080
2014-11-03,2.75070,2.76650,2.74950,2.75790
2014-11-04,2.75540,2.76100,2.73870,2.74730
2014-11-05,2.74430,2.75950,2.73990,2.75340
2014-11-06,2.75130,2.77690,2.74000,2.77060
2014-11-07,2.76630,2.78190,2.74810,2.75560
2014-11-10,2.75320,2.76590,2.74350,2.76260
2014-11-11,2.76000,2.77530,2.74840,2.75550
2014-11-12,2.75240,2.76450,2.74710,2.75950
2014-11-13,2.75790,2.77060,2.74650,2.75270
2014-11-14,2.74970,2.76700,2.73600,2.74350
2014-11-17,2.74050,2.75740,2.73010,2.75550
2014-11-18,2.75290,2.76340,2.73700,2.74120
2014-11-19,2.73860,2.75,2.72510,2.73740
2014-11-20,2.73430,2.74980,2.72930,2.73970
2014-11-21,2.73670,2.77610,2.73220,2.77340
2014-11-24,2.76970,2.77840,2.75760,2.76140
2014-11-25,2.76030,2.76980,2.74970,2.75460
2014-11-26,2.75270,2.76080,2.74110,2.74820
2014-11-27,2.74570,2.75570,2.74140,2.75530
2014-11-28,2.75430,2.76430,2.74350,2.75420
2014-12-01,2.75370,2.76470,2.74290,2.75500
2014-12-02,2.75120,2.77520,2.74880,2.76620
2014-12-03,2.76190,2.78960,2.76040,2.78280
2014-12-04,2.77880,2.79460,2.75160,2.77060
2014-12-05,2.76540,2.79360,2.76280,2.78660
2014-12-08,2.78640,2.79840,2.77480,2.78310
2014-12-09,2.77950,2.79060,2.74840,2.77020
2014-12-10,2.76690,2.77670,2.75300,2.75770
2014-12-11,2.75350,2.77190,2.74310,2.76140
2014-12-12,2.75770,2.77060,2.74440,2.75190
2014-12-15,2.74800,2.76200,2.74440,2.75650
2014-12-16,2.75290,2.76030,2.72790,2.74010
2014-12-17,2.73510,2.77570,2.73400,2.76770
2014-12-18,2.76600,2.79000,2.76380,2.78320
2014-12-19,2.77910,2.79590,2.77520,2.79380
2014-12-22,2.79120,2.80170,2.78240,2.79290
2014-12-23,2.79190,2.80720,2.78810,2.80350
2014-12-24,2.80000,2.80960,2.79370,2.80140
2014-12-25,2.79920,2.80390,2.78650,2.79490
2014-12-26,2.79390,2.80620,2.79140,2.80350
2014-12-29,2.79970,2.81100,2.79160,2.80760
2014-12-30,2.80450,2.81900,2.79980,2.81040
2014-12-31,2.80580,2.82340,2.80260,2.82200
2015-01-01,2.81990,2.82440,2.81780,2.82110
