datetime,open,high,low,close
2016-06-15,3.32734,3.34841,3.28749,3.31401
2016-06-16,3.31587,3.34301,3.30033,3.32552
2016-06-17,3.32062,3.32608,3.25697,3.28184
2016-06-20,3.28177,3.28352,3.22980,3.25591
2016-06-21,3.25691,3.27303,3.23441,3.24342
2016-06-22,3.24058,3.30750,3.22121,3.28057
2016-06-23,3.27814,3.28937,3.23013,3.23644
2016-06-24,3.24834,3.43279,3.24305,3.30655
2016-06-27,3.31539,3.35418,3.26869,3.30889
2016-06-28,3.32058,3.35733,3.22923,3.23959
2016-06-29,3.23734,3.25264,3.20754,3.21262
2016-06-30,3.21987,3.25770,3.21414,3.22668
2016-07-01,3.21985,3.24615,3.21661,3.22351
2016-07-04,3.22752,3.23769,3.20016,3.23014
2016-07-05,3.22448,3.26994,3.22262,3.25584
2016-07-06,3.26344,3.28484,3.24223,3.25852
2016-07-07,3.25603,3.28601,3.23100,3.25684
2016-07-08,3.25951,3.27246,3.22246,3.22811
2016-07-11,3.22651,3.24478,3.21582,3.24344
2016-07-12,3.24391,3.24879,3.21874,3.22450
2016-07-13,3.22453,3.24341,3.20647,3.23519
2016-07-14,3.23685,3.24293,3.17128,3.18005
2016-07-15,3.17431,3.21579,3.16680,3.20742
2016-07-18,3.21206,3.21891,3.16673,3.17748
2016-07-19,3.17577,3.22472,3.16670,3.21196
2016-07-20,3.21840,3.24449,3.20046,3.23323
2016-07-21,3.23990,3.28054,3.22776,3.25429
2016-07-22,3.23899,3.29513,3.23764,3.28623
2016-07-25,3.28714,3.31745,3.25841,3.31001
2016-07-26,3.30808,3.36981,3.29993,3.33732
2016-07-27,3.32821,3.37010,3.32267,3.34108
2016-07-28,3.34126,3.38980,3.33546,3.37966
2016-07-29,3.37728,3.40266,3.30543,3.34502
2016-08-01,3.34517,3.40200,3.32654,3.40099
2016-08-02,3.39610,3.40447,3.34329,3.37609
2016-08-03,3.37837,3.39736,3.35258,3.36662
2016-08-04,3.36888,3.37598,3.32845,3.34295
2016-08-05,3.33531,3.34916,3.28546,3.31743
2016-08-08,3.31441,3.33428,3.26688,3.27830
2016-08-09,3.27672,3.30277,3.26262,3.28963
2016-08-10,3.29325,3.30277,3.25590,3.29907
2016-08-11,3.29967,3.30579,3.26091,3.26675
2016-08-12,3.26052,3.29916,3.24402,3.28708
2016-08-15,3.28520,3.28785,3.24346,3.25061
2016-08-16,3.24776,3.26253,3.21917,3.24089
2016-08-17,3.23900,3.26882,3.23527,3.24108
2016-08-18,3.23754,3.25485,3.21152,3.22890
2016-08-19,3.22762,3.25089,3.21821,3.24368
2016-08-22,3.23969,3.29395,3.23901,3.29263
2016-08-23,3.29483,3.30322,3.26617,3.28171
2016-08-24,3.28394,3.31964,3.26574,3.31290
2016-08-25,3.30908,3.31097,3.27662,3.28579
2016-08-26,3.28578,3.29967,3.25975,3.28460
2016-08-29,3.27895,3.30740,3.26664,3.28815
2016-08-30,3.28635,3.31968,3.27306,3.31906
2016-08-31,3.32140,3.32494,3.30669,3.32008
2016-09-01,3.31808,3.34759,3.28766,3.34543
2016-09-02,3.34869,3.34909,3.28466,3.30420
2016-09-05,3.30496,3.31138,3.26673,3.29635
2016-09-06,3.29382,3.30682,3.26219,3.27460
2016-09-07,3.27172,3.27806,3.24924,3.25865
2016-09-08,3.25923,3.27059,3.22554,3.24997
2016-09-09,3.24787,3.29340,3.23488,3.28389
2016-09-12,3.28821,3.30851,3.27103,3.28082
2016-09-13,3.27499,3.32049,3.27050,3.31746
2016-09-14,3.31193,3.32942,3.28165,3.31212
2016-09-15,3.31288,3.32526,3.27625,3.28703
2016-09-16,3.28492,3.30592,3.27146,3.30080
2016-09-19,3.29923,3.30027,3.25574,3.27180
2016-09-20,3.27574,3.29622,3.26743,3.28314
2016-09-21,3.28264,3.29656,3.23274,3.24145
2016-09-22,3.23940,3.24856,3.20448,3.22357
2016-09-23,3.22022,3.25337,3.20350,3.24635
2016-09-26,3.24597,3.25132,3.22015,3.23747
2016-09-27,3.24115,3.26861,3.22546,3.24537
2016-09-28,3.24467,3.27505,3.19100,3.19436
2016-09-29,3.19158,3.21546,3.18583,3.19214
2016-09-30,3.18876,3.21892,3.17409,3.18841
2016-10-03,3.18589,3.19525,3.15089,3.16219
2016-10-04,3.16485,3.18530,3.14282,3.18051
2016-10-05,3.16993,3.17901,3.14367,3.15542
2016-10-06,3.15596,3.16256,3.14011,3.14484
2016-10-07,3.14429,3.15873,3.13068,3.15090
2016-10-10,3.15478,3.16064,3.13175,3.13276
2016-10-11,3.13152,3.18621,3.12903,3.17734
2016-10-12,3.17802,3.19747,3.14675,3.19326
2016-10-13,3.19571,3.22099,3.18065,3.19274
2016-10-14,3.19060,3.20217,3.16098,3.18908
2016-10-17,3.18569,3.19839,3.14763,3.18050
2016-10-18,3.18160,3.18841,3.14436,3.14436
2016-10-19,3.15100,3.17273,3.11413,3.12441
2016-10-20,3.11625,3.13831,3.10800,3.13406
2016-10-21,3.13072,3.13919,3.10220,3.12224
2016-10-24,3.12144,3.13398,3.096570,3.11408
2016-10-25,3.11333,3.11822,3.087240,3.10517
2016-10-26,3.12614,3.19740,3.11631,3.15105
2016-10-27,3.13050,3.17715,3.12214,3.13590
2016-10-28,3.13419,3.14941,3.11999,3.13843
2016-10-31,3.14020,3.16562,3.13423,3.16127
2016-11-01,3.16589,3.17026,3.14186,3.16727
2016-11-02,3.16518,3.19980,3.16018,3.17892
2016-11-03,3.17983,3.21193,3.17089,3.20202
2016-11-04,3.19868,3.26570,3.18517,3.24721
2016-11-07,3.27101,3.28606,3.20740,3.21649
2016-11-08,3.20967,3.25421,3.20731,3.24596
2016-11-09,3.25282,3.30371,3.19165,3.22214
2016-11-10,3.21755,3.34588,3.18855,3.30991
2016-11-11,3.28950,3.33854,3.25063,3.30464
2016-11-14,3.32240,3.33723,3.28085,3.29297
2016-11-15,3.28587,3.31945,3.17237,3.22058
2016-11-16,3.23756,3.27237,3.15964,3.21565
2016-11-17,3.21303,3.25671,3.17123,3.21987
2016-11-18,3.21587,3.24121,3.17945,3.21540
2016-11-21,3.21538,3.22602,3.16126,3.18660
2016-11-22,3.18439,3.19703,3.14134,3.17141
2016-11-23,3.16654,3.21658,3.14524,3.18698
2016-11-24,3.18993,3.19981,3.15938,3.19554
2016-11-25,3.19537,3.22570,3.18964,3.22013
2016-11-28,3.21962,3.23651,3.17914,3.20410
2016-11-29,3.20823,3.24171,3.18663,3.21942
2016-11-30,3.22058,3.23043,3.14932,3.16732
2016-12-01,3.16434,3.17648,3.12389,3.16867
2016-12-02,3.16679,3.18202,3.13944,3.16630
2016-12-05,3.17320,3.19267,3.13787,3.15143
2016-12-06,3.14607,3.18007,3.14491,3.17783
2016-12-07,3.17636,3.17867,3.11176,3.14648
2016-12-08,3.15196,3.23732,3.12208,3.12686
2016-12-09,3.12051,3.15083,3.076830,3.10796
2016-12-12,3.10909,3.10973,3.0053301,3.034990
2016-12-13,3.038470,3.058080,2.99340,2.99657
2016-12-14,2.98895,3.10094,2.98778,3.091410
2016-12-15,3.091530,3.096270,3.044190,3.073700
2016-12-16,3.075630,3.11169,3.041400,3.088860
2016-12-19,3.090160,3.092520,3.047470,3.077410
2016-12-20,3.075240,3.080330,3.028700,3.045690
2016-12-21,3.046930,3.05,3.0058300,3.030440
2016-12-22,3.029500,3.034500,3.0047001,3.020230
2016-12-23,3.023420,3.058240,3.010940,3.040890
2016-12-26,3.040490,3.057940,3.026430,3.050430
2016-12-27,3.052670,3.063340,2.99016,2.99155
2016-12-28,2.99119,3.049250,2.99119,3.042390
2016-12-29,3.031920,3.059490,3.024340,3.036450
