datetime,open,high,low,close
1979-12-24,1.15110,1.15110,1.15110,1.15110
1979-12-27,1.15580,1.15580,1.15580,1.15580
1979-12-28,1.15500,1.15500,1.15500,1.15500
1979-12-31,1.14850,1.14850,1.14850,1.14850
1980-01-02,1.14830,1.14830,1.14830,1.14830
1980-01-03,1.15630,1.15630,1.15630,1.15630
1980-01-04,1.15230,1.15230,1.15230,1.15230
1980-01-07,1.15770,1.15770,1.15770,1.15770
1980-01-08,1.15870,1.15870,1.15870,1.15870
1980-01-09,1.15810,1.15810,1.15810,1.15810
1980-01-10,1.15220,1.15220,1.15220,1.15220
1980-01-11,1.15340,1.15340,1.15340,1.15340
1980-01-14,1.15230,1.15230,1.15230,1.15230
1980-01-15,1.15060,1.15060,1.15060,1.15060
1980-01-16,1.14900,1.14900,1.14900,1.14900
1980-01-17,1.14620,1.14620,1.14620,1.14620
1980-01-18,1.14660,1.14660,1.14660,1.14660
1980-01-21,1.14720,1.14720,1.14720,1.14720
1980-01-22,1.14390,1.14390,1.14390,1.14390
1980-01-23,1.14520,1.14520,1.14520,1.14520
1980-01-24,1.14130,1.14130,1.14130,1.14130
1980-01-25,1.14640,1.14640,1.14640,1.14640
1980-01-28,1.14390,1.14390,1.14390,1.14390
1980-01-29,1.14290,1.14290,1.14290,1.14290
1980-01-30,1.14080,1.14080,1.14080,1.14080
1980-01-31,1.13940,1.13940,1.13940,1.13940
1980-02-01,1.13520,1.13520,1.13520,1.13520
1980-02-04,1.13850,1.13850,1.13850,1.13850
1980-02-05,1.14440,1.14440,1.14440,1.14440
1980-02-06,1.14440,1.14440,1.14440,1.14440
1980-02-07,1.14540,1.14540,1.14540,1.14540
1980-02-08,1.14220,1.14220,1.14220,1.14220
1980-02-11,1.14270,1.14270,1.14270,1.14270
1980-02-13,1.14120,1.14120,1.14120,1.14120
1980-02-14,1.14090,1.14090,1.14090,1.14090
1980-02-15,1.14180,1.14180,1.14180,1.14180
1980-02-19,1.13480,1.13480,1.13480,1.13480
1980-02-20,1.12630,1.12630,1.12630,1.12630
1980-02-21,1.12470,1.12470,1.12470,1.12470
1980-02-22,1.12410,1.12410,1.12410,1.12410
1980-02-25,1.12010,1.12010,1.12010,1.12010
1980-02-26,1.11930,1.11930,1.11930,1.11930
1980-02-27,1.11440,1.11440,1.11440,1.11440
1980-02-28,1.11600,1.11600,1.11600,1.11600
1980-02-29,1.11070,1.11070,1.11070,1.11070
