datetime,open,high,low,close
1986-05-07,0.59240001,0.59240001,0.59240001,0.59240001
1986-05-08,0.59480000,0.59480000,0.59480000,0.59480000
1986-05-09,0.59750003,0.59750003,0.59750003,0.59750003
1986-05-12,0.60399997,0.60399997,0.60399997,0.60399997
1986-05-13,0.57279998,0.57279998,0.57279998,0.57279998
1986-05-14,0.57650000,0.57650000,0.57650000,0.57650000
1986-05-15,0.57709998,0.57709998,0.57709998,0.57709998
1986-05-16,0.57090002,0.57090002,0.57090002,0.57090002
1986-05-19,0.58029997,0.58029997,0.58029997,0.58029997
1986-05-20,0.58329999,0.58329999,0.58329999,0.58329999
1986-05-21,0.58829999,0.58829999,0.58829999,0.58829999
1986-05-22,0.58819997,0.58819997,0.58819997,0.58819997
1986-05-23,0.58840001,0.58840001,0.58840001,0.58840001
1986-05-27,0.58730000,0.58730000,0.58730000,0.58730000
1986-05-28,0.59359998,0.59359998,0.59359998,0.59359998
1986-05-29,0.60589999,0.60589999,0.60589999,0.60589999
1986-05-30,0.60900003,0.60900003,0.60900003,0.60900003
1986-06-02,0.59710002,0.59710002,0.59710002,0.59710002
1986-06-03,0.59719998,0.59719998,0.59719998,0.59719998
1986-06-04,0.58510000,0.58510000,0.58510000,0.58510000
1986-06-05,0.57700002,0.57700002,0.57700002,0.57700002
1986-06-06,0.58499998,0.58499998,0.58499998,0.58499998
1986-06-09,0.57880002,0.57880002,0.57880002,0.57880002
1986-06-10,0.58090001,0.58090001,0.58090001,0.58090001
1986-06-11,0.57639998,0.57639998,0.57639998,0.57639998
1986-06-12,0.56699997,0.56699997,0.56699997,0.56699997
1986-06-13,0.56000000,0.56000000,0.56000000,0.56000000
1986-06-16,0.55779999,0.55779999,0.55779999,0.55779999
1986-06-17,0.56029999,0.56029999,0.56029999,0.56029999
1986-06-18,0.56050003,0.56050003,0.56050003,0.56050003
1986-06-19,0.55699998,0.55699998,0.55699998,0.55699998
1986-06-20,0.55849999,0.55849999,0.55849999,0.55849999
1986-06-23,0.55150002,0.55150002,0.55150002,0.55150002
1986-06-24,0.55339998,0.55339998,0.55339998,0.55339998
1986-06-25,0.54750001,0.54750001,0.54750001,0.54750001
1986-06-26,0.54790002,0.54790002,0.54790002,0.54790002
1986-06-27,0.55449998,0.55449998,0.55449998,0.55449998
1986-06-30,0.55870003,0.55870003,0.55870003,0.55870003
1986-07-01,0.55010003,0.55010003,0.55010003,0.55010003
1986-07-02,0.54769999,0.54769999,0.54769999,0.54769999
1986-07-03,0.53850001,0.53850001,0.53850001,0.53850001
1986-07-07,0.54549998,0.54549998,0.54549998,0.54549998
1986-07-08,0.54009998,0.54009998,0.54009998,0.54009998
1986-07-09,0.54470003,0.54470003,0.54470003,0.54470003
1986-07-10,0.54629999,0.54629999,0.54629999,0.54629999
1986-07-11,0.54400003,0.54400003,0.54400003,0.54400003
1986-07-14,0.54310000,0.54310000,0.54310000,0.54310000
1986-07-15,0.53950000,0.53950000,0.53950000,0.53950000
1986-07-16,0.53899997,0.53899997,0.53899997,0.53899997
1986-07-17,0.54149997,0.54149997,0.54149997,0.54149997
1986-07-18,0.53490001,0.53490001,0.53490001,0.53490001
1986-07-21,0.54519999,0.54519999,0.54519999,0.54519999
1986-07-22,0.54519999,0.54519999,0.54519999,0.54519999
1986-07-23,0.54149997,0.54149997,0.54149997,0.54149997
1986-07-24,0.53880000,0.53880000,0.53880000,0.53880000
1986-07-25,0.52410001,0.52410001,0.52410001,0.52410001
1986-07-28,0.52679998,0.52679998,0.52679998,0.52679998
1986-07-29,0.52880001,0.52880001,0.52880001,0.52880001
1986-07-30,0.51370001,0.51370001,0.51370001,0.51370001
1986-07-31,0.51569998,0.51569998,0.51569998,0.51569998
1986-08-01,0.51380002,0.51380002,0.51380002,0.51380002
