datetime,open,high,low,close
1979-12-24,235.12000,235.12000,235.12000,235.12000
1979-12-27,235.72000,235.72000,235.72000,235.72000
1979-12-28,236.94000,236.94000,236.94000,236.94000
1979-12-31,236.21001,236.21001,236.21001,236.21001
1980-01-02,234.87000,234.87000,234.87000,234.87000
1980-01-03,235.49001,235.49001,235.49001,235.49001
1980-01-04,231.50999,231.50999,231.50999,231.50999
1980-01-07,229.23000,229.23000,229.23000,229.23000
1980-01-08,232.52000,232.52000,232.52000,232.52000
1980-01-09,232.84000,232.84000,232.84000,232.84000
1980-01-10,233.21001,233.21001,233.21001,233.21001
1980-01-11,233.69000,233.69000,233.69000,233.69000
1980-01-14,233.37000,233.37000,233.37000,233.37000
1980-01-15,236.53000,236.53000,236.53000,236.53000
1980-01-16,235.0099945,235.0099945,235.0099945,235.0099945
1980-01-17,236.78000,236.78000,236.78000,236.78000
1980-01-18,236.53000,236.53000,236.53000,236.53000
1980-01-21,238.11000,238.11000,238.11000,238.11000
1980-01-22,236.58000,236.58000,236.58000,236.58000
1980-01-23,234.17000,234.17000,234.17000,234.17000
1980-01-24,236.12000,236.12000,236.12000,236.12000
1980-01-25,236.61000,236.61000,236.61000,236.61000
1980-01-28,236.14000,236.14000,236.14000,236.14000
1980-01-29,235.039993,235.039993,235.039993,235.039993
1980-01-30,235.19000,235.19000,235.19000,235.19000
1980-01-31,235.38000,235.38000,235.38000,235.38000
1980-02-01,236.12000,236.12000,236.12000,236.12000
1980-02-04,236.080002,236.080002,236.080002,236.080002
1980-02-05,236.5,236.5,236.5,236.5
1980-02-06,236.92999,236.92999,236.92999,236.92999
1980-02-07,237.33000,237.33000,237.33000,237.33000
1980-02-08,238.14999,238.14999,238.14999,238.14999
1980-02-11,238.020004,238.020004,238.020004,238.020004
1980-02-13,237.86000,237.86000,237.86000,237.86000
1980-02-14,239.42000,239.42000,239.42000,239.42000
1980-02-15,238.94000,238.94000,238.94000,238.94000
1980-02-19,240.080002,240.080002,240.080002,240.080002
1980-02-20,239.89999,239.89999,239.89999,239.89999
1980-02-21,240.42999,240.42999,240.42999,240.42999
1980-02-22,241.25999,241.25999,241.25999,241.25999
1980-02-25,241.64000,241.64000,241.64000,241.64000
1980-02-26,241.38000,241.38000,241.38000,241.38000
1980-02-27,241.62000,241.62000,241.62000,241.62000
1980-02-28,241.82001,241.82001,241.82001,241.82001
1980-02-29,244.10001,244.10001,244.10001,244.10001
1980-03-03,240.17000,240.17000,240.17000,240.17000
1980-03-04,238.39000,238.39000,238.39000,238.39000
1980-03-05,238.73000,238.73000,238.73000,238.73000
1980-03-06,238.92000,238.92000,238.92000,238.92000
1980-03-07,238.42999,238.42999,238.42999,238.42999
1980-03-10,238.38000,238.38000,238.38000,238.38000
1980-03-11,237.66000,237.66000,237.66000,237.66000
1980-03-12,238.47000,238.47000,238.47000,238.47000
1980-03-13,238.17999,238.17999,238.17999,238.17999
1980-03-14,238.34000,238.34000,238.34000,238.34000
1980-03-17,236.33000,236.33000,236.33000,236.33000
1980-03-18,235.89999,235.89999,235.89999,235.89999
1980-03-19,235.97000,235.97000,235.97000,235.97000
1980-03-20,236.27000,236.27000,236.27000,236.27000
1980-03-21,236.23000,236.23000,236.23000,236.23000
1980-03-24,235.57001,235.57001,235.57001,235.57001
1980-03-25,235.87000,235.87000,235.87000,235.87000
1980-03-26,236.39999,236.39999,236.39999,236.39999
1980-03-27,236.080002,236.080002,236.080002,236.080002
1980-03-28,235.17000,235.17000,235.17000,235.17000
1980-03-31,235.080002,235.080002,235.080002,235.080002
1980-04-01,237.84000,237.84000,237.84000,237.84000
