datetime,open,high,low,close
1988-03-01,0.65789998,0.66430002,0.65710002,0.65789998
1988-03-02,0.66130000,0.66409999,0.65979999,0.66130000
1988-03-03,0.66240001,0.66469997,0.66000003,0.66240001
1988-03-04,0.66350001,0.66390002,0.66140002,0.66350001
1988-03-07,0.66720003,0.66880000,0.66409999,0.66720003
1988-03-08,0.66860002,0.67079997,0.66640002,0.66860002
1988-03-09,0.66990000,0.67309999,0.66890001,0.66990000
1988-03-10,0.67019999,0.67079997,0.66799998,0.67019999
1988-03-11,0.67040002,0.67199999,0.66960001,0.67040002
1988-03-14,0.66970003,0.67409998,0.66930002,0.66970003
1988-03-15,0.66880000,0.67199999,0.66640002,0.66880000
1988-03-16,0.66740000,0.67040002,0.66579998,0.66740000
1988-03-17,0.66720003,0.67079997,0.66540003,0.66720003
1988-03-18,0.66890001,0.66990000,0.66369998,0.66890001
1988-03-21,0.66320002,0.66890001,0.66189998,0.66320002
1988-03-22,0.66500002,0.66549999,0.65899998,0.66500002
1988-03-23,0.66320002,0.66670001,0.66109997,0.66320002
1988-03-24,0.65590000,0.66270000,0.65549999,0.65590000
1988-03-25,0.64340001,0.65710002,0.64020002,0.64340001
1988-03-28,0.64249998,0.64569998,0.63239998,0.64249998
1988-03-29,0.65289998,0.65420002,0.64440000,0.65289998
1988-03-30,0.64840001,0.65590000,0.64330000,0.64840001
1988-03-31,0.65210003,0.65439999,0.64749998,0.65210003
1988-04-01,0.65249997,0.65289998,0.65249997,0.65249997
1988-04-04,0.65340000,0.65499997,0.65249997,0.65340000
1988-04-05,0.65420002,0.65579998,0.65249997,0.65420002
1988-04-06,0.65100002,0.65249997,0.64999998,0.65100002
1988-04-07,0.65069997,0.65109998,0.64730000,0.65069997
1988-04-08,0.65740001,0.65740001,0.64999998,0.65740001
1988-04-11,0.65850002,0.66159999,0.65560001,0.65850002
1988-04-12,0.65939999,0.66189998,0.65850002,0.65939999
1988-04-13,0.65930003,0.66020000,0.65780002,0.65930003
1988-04-14,0.66109997,0.66140002,0.65499997,0.66109997
1988-04-15,0.66000003,0.66289997,0.65899998,0.66000003
1988-04-18,0.65820003,0.66109997,0.65740001,0.65820003
1988-04-19,0.65939999,0.66000003,0.65579998,0.65939999
1988-04-20,0.66369998,0.66469997,0.65829998,0.66369998
1988-04-21,0.66439998,0.66589999,0.66270000,0.66439998
1988-04-22,0.66960001,0.67170000,0.66640002,0.66960001
1988-04-25,0.67220002,0.67379999,0.67040002,0.67220002
1988-04-26,0.66880000,0.67199999,0.66670001,0.66880000
1988-04-27,0.66970003,0.67299998,0.66430002,0.66970003
1988-04-28,0.67150003,0.67320001,0.66810000,0.67150003
1988-04-29,0.67199999,0.67519999,0.67150003,0.67199999
1988-05-02,0.67350000,0.67390001,0.67079997,0.67350000
1988-05-03,0.68290001,0.68290001,0.67540002,0.68290001
1988-05-04,0.68540001,0.69190001,0.68150002,0.68540001
1988-05-05,0.68199998,0.69069999,0.67650002,0.68199998
1988-05-06,0.68550003,0.68650001,0.67900002,0.68550003
1988-05-09,0.6875,0.68900001,0.68330002,0.6875
1988-05-10,0.6875,0.69150001,0.68599999,0.6875
1988-05-11,0.68900001,0.69080001,0.68730003,0.68900001
1988-05-12,0.68730003,0.68839997,0.67979997,0.68730003
1988-05-13,0.69150001,0.69400001,0.68790001,0.69150001
1988-05-16,0.68730003,0.69300002,0.68620002,0.68730003
1988-05-17,0.68260002,0.68900001,0.67930001,0.68260002
1988-05-18,0.68699998,0.69139999,0.67780000,0.68699998
1988-05-19,0.69010001,0.69099998,0.68570000,0.69010001
1988-05-20,0.69230002,0.69430000,0.68940002,0.69230002
1988-05-23,0.69580001,0.69779998,0.69270003,0.69580001
1988-05-24,0.69760001,0.69760001,0.69099998,0.69760001
1988-05-25,0.69889998,0.69999999,0.69300002,0.69889998
1988-05-26,0.69779998,0.70109999,0.69489998,0.69779998
1988-05-27,0.69650000,0.70220000,0.69270003,0.69650000
1988-05-30,0.69209999,0.69669998,0.69120002,0.69209999
1988-05-31,0.69379997,0.69450003,0.69029999,0.69379997
1988-06-01,0.70260000,0.70480001,0.69379997,0.70260000
1988-06-02,0.69800001,0.70240003,0.69190001,0.69800001
1988-06-03,0.69910002,0.70169997,0.69580001,0.69910002
1988-06-06,0.69489998,0.69669998,0.69099998,0.69489998
1988-06-07,0.69889998,0.69929999,0.69230002,0.69889998
1988-06-08,0.69739997,0.69910002,0.69650000,0.69739997
1988-06-09,0.70109999,0.70200002,0.69580001,0.70109999
1988-06-10,0.70060003,0.70240003,0.69849998,0.70060003
