datetime,open,high,low,close
2008-02-04,0.34090000,0.34169999,0.34090000,0.34140000
2008-02-05,0.34119999,0.34230000,0.34090000,0.34180000
2008-02-06,0.34180000,0.34279999,0.34090000,0.34119999
2008-02-07,0.34110001,0.34369999,0.34090000,0.34270000
2008-02-08,0.34259999,0.34439999,0.34259999,0.34349999
2008-02-11,0.34330001,0.34380001,0.34310001,0.34360000
2008-02-12,0.34340000,0.34439999,0.34320000,0.34430000
2008-02-13,0.34410000,0.34490001,0.34410000,0.34470001
2008-02-14,0.34450001,0.34500000,0.34419999,0.34459999
2008-02-15,0.34439999,0.34490001,0.34400001,0.34419999
2008-02-18,0.34400001,0.34459999,0.34369999,0.34459999
2008-02-19,0.34450001,0.34490001,0.34439999,0.34480000
2008-02-20,0.34480000,0.34500000,0.34450001,0.34480000
2008-02-21,0.34459999,0.34529999,0.34439999,0.34480000
2008-02-22,0.34470001,0.34540001,0.34470001,0.34490001
2008-02-25,0.34470001,0.34580001,0.34470001,0.34529999
2008-02-26,0.34509999,0.34560001,0.34330001,0.34549999
2008-02-27,0.34529999,0.34630001,0.34529999,0.34610000
2008-02-28,0.34599999,0.34610000,0.34549999,0.34599999
2008-02-29,0.34590000,0.34660000,0.34580001,0.34599999
2008-03-03,0.34599999,0.34720001,0.34599999,0.34670001
2008-03-04,0.34650001,0.34770000,0.34580001,0.34750000
2008-03-05,0.34729999,0.34869999,0.34700000,0.34770000
2008-03-06,0.34760001,0.35120001,0.34720001,0.35080001
2008-03-07,0.35060000,0.35339999,0.35060000,0.35190001
2008-03-10,0.35200000,0.35499999,0.35190001,0.35499999
2008-03-11,0.35450000,0.35659999,0.35310000,0.35620001
2008-03-12,0.35650000,0.35670000,0.35420001,0.35499999
2008-03-13,0.35490000,0.35609999,0.35479999,0.35530001
2008-03-14,0.35490000,0.35650000,0.35490000,0.35600001
2008-03-17,0.35589999,0.35600001,0.35470000,0.35499999
2008-03-18,0.35499999,0.35699999,0.35460001,0.35530001
2008-03-19,0.35650000,0.35850000,0.35510001,0.35810000
2008-03-20,0.35789999,0.35810000,0.35789999,0.35810000
2008-03-21,0.35789999,0.35810000,0.35789999,0.35810000
2008-03-24,0.35789999,0.35839999,0.35710001,0.35839999
2008-03-25,0.35820001,0.35949999,0.35820001,0.35929999
2008-03-26,0.35910001,0.36109999,0.35910001,0.36090001
2008-03-27,0.36080000,0.36410001,0.35949999,0.36370000
2008-03-28,0.36350000,0.36610001,0.36300001,0.36420000
2008-03-31,0.36399999,0.36579999,0.36309999,0.36410001
2008-04-01,0.36390001,0.36640000,0.36330000,0.36610001
2008-04-02,0.36590001,0.36829999,0.36359999,0.36780000
2008-04-03,0.36759999,0.37250000,0.36759999,0.36880001
2008-04-04,0.37110001,0.37279999,0.36860001,0.37020001
2008-04-07,0.37000000,0.37180001,0.36860001,0.37040001
2008-04-08,0.37020001,0.37149999,0.37020001,0.37040001
2008-04-09,0.37090001,0.37140000,0.36860001,0.36930001
2008-04-10,0.36899999,0.37130001,0.36700001,0.37099999
2008-04-11,0.37079999,0.37099999,0.36350000,0.36579999
2008-04-14,0.36559999,0.36849999,0.36359999,0.36849999
2008-04-15,0.36829999,0.37029999,0.36690000,0.36759999
2008-04-16,0.36739999,0.37059999,0.36700001,0.37000000
2008-04-17,0.37000000,0.37050000,0.36700001,0.36739999
2008-04-18,0.36700001,0.36880001,0.36520001,0.36600000
2008-04-21,0.36700001,0.36790001,0.35710001,0.35780001
2008-04-22,0.35710001,0.35740000,0.35030001,0.35490000
2008-04-23,0.35460001,0.36080000,0.35339999,0.35769999
2008-04-24,0.35730001,0.36129999,0.35730001,0.35890001
2008-04-25,0.35920000,0.35969999,0.35270000,0.35530001
2008-04-28,0.35699999,0.35859999,0.34970000,0.35370001
2008-04-29,0.35350001,0.35470000,0.34599999,0.35089999
2008-04-30,0.35049999,0.35519999,0.34720001,0.35519999
2008-05-01,0.35499999,0.35530001,0.35460001,0.35490000
2008-05-02,0.35470000,0.36149999,0.35470000,0.35890001
2008-05-05,0.35780001,0.36109999,0.35650000,0.35879999
2008-05-06,0.35780001,0.35949999,0.35740000,0.35949999
2008-05-07,0.35929999,0.36379999,0.35810000,0.36280000
2008-05-08,0.36260000,0.36340001,0.36070001,0.36289999
2008-05-09,0.36230001,0.36370000,0.36210001,0.36280000
2008-05-12,0.36309999,0.36320001,0.36129999,0.36160001
2008-05-13,0.36149999,0.36260000,0.35980001,0.36140001
2008-05-14,0.36129999,0.36289999,0.36090001,0.36129999
2008-05-15,0.36109999,0.36190000,0.36100000,0.36190000
2008-05-16,0.36170000,0.36190000,0.36100000,0.36129999
2008-05-19,0.36109999,0.36240000,0.35780001,0.35980001
2008-05-20,0.35960001,0.35980001,0.35400000,0.35670000
2008-05-21,0.35519999,0.35730001,0.35519999,0.35670000
2008-05-22,0.35650000,0.35690001,0.35110000,0.35210001
2008-05-23,0.35170001,0.35240000,0.34840000,0.35179999
2008-05-26,0.35159999,0.35170001,0.34979999,0.35089999
2008-05-27,0.35080001,0.35110000,0.34770000,0.34930000
2008-05-28,0.34920001,0.35110000,0.34700000,0.34779999
2008-05-29,0.34840000,0.35220000,0.34750000,0.35200000
2008-05-30,0.35190001,0.35409999,0.34840000,0.35130000
2008-06-02,0.35350001,0.35400000,0.34900001,0.35170001
2008-06-03,0.35159999,0.35479999,0.35120001,0.35420001
2008-06-04,0.35400000,0.35659999,0.35240000,0.35499999
2008-06-05,0.35490000,0.35940000,0.35490000,0.35879999
2008-06-06,0.35830000,0.35910001,0.35409999,0.35600001
2008-06-09,0.35589999,0.35609999,0.35210001,0.35249999
2008-06-10,0.35240000,0.35339999,0.34750000,0.34959999
2008-06-11,0.34920001,0.35030001,0.34250000,0.34529999
2008-06-12,0.34509999,0.34630001,0.34110001,0.34390000
2008-06-13,0.34340000,0.34750000,0.34299999,0.34680000
2008-06-16,0.34660000,0.34680000,0.34470001,0.34580001
2008-06-17,0.34570000,0.34729999,0.34570000,0.34619999
2008-06-18,0.34599999,0.34729999,0.34349999,0.34680000
2008-06-19,0.34660000,0.34680000,0.34189999,0.34270000
2008-06-20,0.34290001,0.34380001,0.34050000,0.34270000
2008-06-23,0.34259999,0.34279999,0.33840001,0.33919999
2008-06-24,0.34079999,0.34090000,0.33570001,0.33759999
2008-06-25,0.33750001,0.33790001,0.33489999,0.33780000
2008-06-26,0.33770001,0.33870000,0.33559999,0.33759999
2008-06-27,0.33700001,0.33770001,0.33620000,0.33719999
2008-06-30,0.33770001,0.33790001,0.33640000,0.33770001
2008-07-01,0.33770001,0.33790001,0.33680001,0.33790001
2008-07-02,0.33750001,0.33960000,0.33690000,0.33899999
2008-07-03,0.33890000,0.34540001,0.33849999,0.34480000
2008-07-04,0.34450001,0.34689999,0.34450001,0.34599999
