datetime,open,high,low,close
2016-01-12,5.84510,5.86520,5.74080,5.78690
2016-01-13,5.77990,5.92740,5.74700,5.91720
2016-01-14,5.90920,6.013600,5.84640,5.96560
2016-01-15,6.0047002,6.11450,5.93130,5.94430
2016-01-18,5.91690,6.020900,5.88290,6.0057001
2016-01-19,6.0068998,6.092900,5.99120,6.056000
2016-01-20,6.064600,6.092800,5.75620,5.92560
2016-01-21,5.89640,6.039900,5.87070,6.014000
2016-01-22,6.015500,6.070000,5.92230,5.94210
2016-01-25,5.94500,6.035800,5.92710,6.012100
2016-01-26,6.012600,6.090300,5.97110,6.081500
2016-01-27,6.078900,6.10200,6.026000,6.064500
2016-01-28,6.063300,6.18520,6.050300,6.16840
2016-01-29,6.16690,6.33190,6.010200,6.28700
2016-02-01,6.28920,6.34460,6.21620,6.32510
2016-02-02,6.33540,6.43760,6.32540,6.41270
2016-02-03,6.40470,6.48350,6.32820,6.46420
2016-02-04,6.46070,6.57570,6.43860,6.55200
2016-02-05,6.54390,6.59930,6.51520,6.54530
2016-02-08,6.52670,6.56950,6.28390,6.53470
2016-02-09,6.52850,6.60710,6.50120,6.59110
2016-02-10,6.59110,6.65740,6.55680,6.64670
2016-02-11,6.64660,6.69140,6.59870,6.66010
2016-02-12,6.65820,6.71010,6.62880,6.70460
2016-02-15,6.71450,6.85590,6.68910,6.83830
2016-02-16,6.81380,6.87030,6.72610,6.77730
2016-02-17,6.79120,6.88760,6.74770,6.80570
2016-02-18,6.81200,6.82970,6.62130,6.67360
2016-02-19,6.65430,6.87300,6.64330,6.86740
2016-02-22,6.84300,6.88720,6.51590,6.86130
2016-02-23,6.86620,6.90040,6.84220,6.85620
2016-02-24,6.85390,6.90070,6.79530,6.88230
2016-02-25,6.89470,6.91910,6.82380,6.85510
2016-02-26,6.84430,6.87950,6.78960,6.82670
2016-02-29,6.84490,6.85690,6.70450,6.72510
2016-03-01,6.70290,6.82180,6.69690,6.80750
2016-03-02,6.82050,6.83380,6.64150,6.68710
2016-03-03,6.69280,6.80650,6.49190,6.53840
2016-03-04,6.54040,6.78480,6.45670,6.67600
2016-03-07,6.67340,6.69130,6.62910,6.67520
2016-03-08,6.66840,6.71480,6.65660,6.68280
2016-03-09,6.68600,6.71800,6.59900,6.62270
2016-03-10,6.61100,6.66350,6.44080,6.58900
2016-03-11,6.60070,6.70960,6.45500,6.62450
2016-03-14,6.59680,7.033400,6.58490,7.026700
2016-03-15,7.026400,7.032300,6.80610,6.96990
2016-03-16,6.95590,7.054800,6.86110,7.043000
2016-03-17,7.051900,7.092100,6.94340,6.99990
2016-03-18,7.011100,7.056900,6.86030,7.032200
2016-03-21,7.032400,7.10110,6.95290,6.95430
2016-03-22,6.94100,6.95760,6.82000,6.89290
2016-03-23,6.89470,6.89980,6.79380,6.86720
2016-03-24,6.86900,6.90130,6.76630,6.86070
2016-03-25,6.86320,6.88000,6.78120,6.82670
2016-03-28,6.87280,6.97250,6.85360,6.89330
2016-03-29,6.85110,7.12190,6.84520,7.0050998
2016-03-30,7.0070000,7.025200,6.93450,6.96080
2016-03-31,6.97450,7.070200,6.93630,7.026400
2016-04-01,7.0081000,7.043100,6.95970,6.98060
2016-04-04,6.98960,7.044300,6.93880,7.022400
2016-04-05,7.0035000,7.025800,6.92680,6.94860
2016-04-06,6.95270,6.96740,6.85680,6.93170
2016-04-07,6.92340,6.95980,6.80870,6.83010
2016-04-08,6.83440,6.84600,6.74920,6.79630
2016-04-11,6.81060,6.94690,6.77870,6.80680
2016-04-12,6.80280,6.85070,6.71630,6.75770
2016-04-13,6.75720,6.76690,6.69020,6.70730
2016-04-14,6.70850,6.73930,6.65410,6.70850
2016-04-15,6.72110,6.74670,6.66420,6.68580
2016-04-18,6.68640,6.72060,6.65010,6.69320
2016-04-19,6.69230,6.73800,6.67400,6.71990
2016-04-20,6.71840,6.75280,6.68220,6.72670
2016-04-21,6.72210,6.73400,6.61240,6.62870
