datetime,open,high,low,close
2008-07-28,12.85900,12.89800,12.85800,12.89400
2008-07-29,12.86100,12.91200,12.78200,12.82200
2008-07-30,12.79900,12.84050,12.77100,12.82750
2008-07-31,12.80800,12.87900,12.79400,12.83000
2008-08-01,12.81000,12.83950,12.73900,12.80250
2008-08-04,12.77600,12.87200,12.77300,12.85200
2008-08-05,12.82200,12.84150,12.75500,12.79450
2008-08-06,12.76800,12.81550,12.70000,12.72550
2008-08-07,12.70800,12.78750,12.68000,12.70450
2008-08-08,12.68500,12.71500,12.39200,12.41400
2008-08-11,12.36700,12.48300,12.20500,12.35300
2008-08-12,12.31700,12.50950,12.29300,12.43250
2008-08-13,12.41500,12.49600,12.35100,12.41400
2008-08-14,12.38700,12.41800,12.29000,12.33200
2008-08-15,12.30400,12.32950,12.18100,12.21650
2008-08-18,12.20200,12.29150,12.19800,12.25050
2008-08-19,12.22000,12.31500,12.21300,12.29900
2008-08-20,12.28600,12.38000,12.26700,12.36800
2008-08-21,12.33700,12.45000,12.29800,12.45000
2008-08-22,12.40600,12.48450,12.36000,12.4375
2008-08-25,12.40200,12.49050,12.34700,12.46050
2008-08-26,12.41300,12.46700,12.23800,12.32900
2008-08-27,12.28000,12.39600,12.25100,12.34200
2008-08-28,12.31200,12.40100,12.24500,12.29800
2008-08-29,12.26600,12.33700,12.19600,12.24600
2008-09-01,12.22900,12.26250,12.16300,12.20750
2008-09-02,12.18200,12.22650,12.10600,12.15250
2008-09-03,12.12200,12.16000,11.85800,11.94400
2008-09-04,11.91400,11.97600,11.75700,11.78800
2008-09-05,11.75600,11.83650,11.72900,11.76850
2008-09-08,11.80100,11.95150,11.77100,11.84550
2008-09-09,11.81400,11.91550,11.75400,11.83450
2008-09-10,11.77500,11.86500,11.69400,11.73400
2008-09-11,11.70000,11.75600,11.61400,11.68200
2008-09-12,11.68000,11.84750,11.66000,11.84750
2008-09-15,11.81200,11.93450,11.75300,11.82650
2008-09-16,11.81600,11.87000,11.75500,11.81300
2008-09-17,11.76800,11.90300,11.74900,11.90000
2008-09-18,11.84600,11.97550,11.83500,11.90150
2008-09-19,11.85300,12.0045004,11.78000,12.0045004
2008-09-22,11.97100,12.17350,11.94600,12.14550
2008-09-23,12.10500,12.22900,12.057000,12.13300
2008-09-24,12.066000,12.20150,12.066000,12.15350
2008-09-25,12.10600,12.22900,12.012000,12.079000
2008-09-26,12.037000,12.11650,12,12.065500
2008-09-29,11.99800,12.076000,11.80900,11.93000
2008-09-30,11.86100,11.89550,11.69000,11.74550
2008-10-01,11.73900,11.79150,11.67800,11.72850
2008-10-02,11.70300,11.73350,11.57800,11.67050
2008-10-03,11.64900,11.74550,11.61200,11.69050
2008-10-06,11.59000,11.65650,11.50700,11.59050
2008-10-07,11.53000,11.74350,11.52400,11.68850
2008-10-08,11.66300,11.77450,11.61400,11.73050
2008-10-09,11.66700,11.81150,11.64600,11.76450
2008-10-10,11.68600,11.75450,11.64300,11.71150
2008-10-13,11.67000,11.77950,11.63700,11.73450
2008-10-14,11.68900,11.78700,11.63600,11.69100
2008-10-15,11.65000,11.70150,11.53000,11.57150
2008-10-16,11.54400,11.70450,11.48300,11.63650
2008-10-17,11.62600,11.70850,11.55900,11.63150
2008-10-20,11.56800,11.84950,11.56600,11.66450
2008-10-21,11.64000,11.69700,11.46600,11.52200
2008-10-22,11.47300,11.51800,11.35900,11.45800
2008-10-23,11.40600,11.54150,11.35800,11.54150
2008-10-24,11.48500,11.53000,11.25300,11.33600
2008-10-27,11.30200,11.36800,11.095000,11.19800
2008-10-28,11.12900,11.27250,11.068000,11.27250
2008-10-29,11.24400,11.375,11.18700,11.375
2008-10-30,11.33600,11.52350,11.27600,11.39150
2008-10-31,11.30600,11.36100,11.14300,11.23700
2008-11-03,11.20200,11.30500,11.13600,11.17400
2008-11-04,11.15200,11.36100,11.096000,11.36100
2008-11-05,11.29400,11.38750,11.23200,11.33450
2008-11-06,11.28000,11.31800,11.20600,11.22600
2008-11-07,11.22000,11.28100,11.18500,11.22800
2008-11-10,11.24100,11.36150,11.21900,11.29350
2008-11-11,11.25700,11.29700,11.016000,11.068000
2008-11-12,11.025000,11.13700,11.0039997,11.092000
2008-11-13,11.041000,11.24200,11.011000,11.24200
2008-11-14,11.17600,11.21650,11.090000,11.17150
2008-11-17,11.14100,11.21550,11.057000,11.17250
2008-11-18,11.11500,11.17050,11.081000,11.10550
2008-11-19,11.10100,11.21400,11.059000,11.079000
2008-11-20,11.051000,11.15050,11.038000,11.092500
2008-11-21,11.028000,11.12650,11.011000,11.056500
2008-11-24,11.074000,11.17850,10.98500,11.17850
2008-11-25,11.16000,11.24200,11.068000,11.20600
2008-11-26,11.19700,11.22500,11.10200,11.16200
2008-11-27,11.14600,11.17950,11.079000,11.14550
2008-11-28,11.13300,11.16700,10.86600,10.91400
2008-12-01,10.89400,10.9375,10.83700,10.90550
2008-12-02,10.85100,10.98850,10.83300,10.96350
2008-12-03,10.95000,10.99350,10.88200,10.96650
2008-12-04,10.95200,11.0035000,10.90000,10.99650
2008-12-05,10.96200,11.0085001,10.87800,10.90650
2008-12-08,10.91800,11.060000,10.91600,11.024000
2008-12-09,11.015000,11.048500,10.95100,11.034500
2008-12-10,11.016000,11.10650,11.010000,11.081500
2008-12-11,11.066000,11.15550,10.98900,11.12450
2008-12-12,11.11500,11.15400,11.067000,11.125
2008-12-15,11.12300,11.19000,11.040000,11.15500
2008-12-16,11.14400,11.32400,11.10000,11.32400
2008-12-17,11.26300,11.31050,11.11500,11.27350
2008-12-18,11.27800,11.35250,11.11300,11.23350
2008-12-19,11.21400,11.23250,10.89200,10.91850
2008-12-22,10.90600,10.99500,10.80700,10.84000
2008-12-23,10.82200,10.875,10.80100,10.84900
2008-12-24,10.81900,10.85700,10.68400,10.71900
2008-12-25,10.72000,10.75,10.68800,10.73800
2008-12-26,10.70200,10.77500,10.57100,10.62400
2008-12-29,10.58500,10.68300,10.39300,10.42000
2008-12-30,10.38600,10.55100,10.36100,10.46200
2008-12-31,10.39200,10.47000,9.95000,10.054000
2009-01-01,10.0019999,10.53400,10,10.52900
2009-01-02,10.47200,10.53350,10.38400,10.44050
2009-01-05,10.38400,10.53400,10.38400,10.52900
2009-01-06,10.47200,10.53200,10.38500,10.52900
2009-01-07,10.47400,10.53300,10.38500,10.53000
2009-01-08,10.47500,10.52000,10.36700,10.40300
2009-01-09,10.37200,10.48900,10.36800,10.48700
2009-01-12,10.45800,10.49150,9.77200,9.84750
2009-01-13,9.80200,9.84600,9.69500,9.71900
2009-01-14,9.72400,9.80250,9.53300,9.61450
2009-01-15,9.59100,9.65350,9.38300,9.45750
2009-01-16,9.42200,9.52850,9.31700,9.37950
2009-01-19,9.37100,9.45000,9.15700,9.18800
2009-01-20,9.15200,9.29250,9.025000,9.23350
2009-01-21,9.22200,9.44250,9.18400,9.33250
2009-01-22,9.33200,9.40850,9.23300,9.34650
2009-01-23,9.31500,9.35900,9.13800,9.30800
2009-01-26,9.25400,9.35850,9.19500,9.35850
2009-01-27,9.31500,9.35300,9.17700,9.24000
2009-01-28,9.19700,9.26950,8.93700,8.97150
2009-01-29,8.95700,8.99300,8.65600,8.72300
2009-01-30,8.68100,8.72850,8.48300,8.53050
2009-02-02,8.49400,8.53150,8.35600,8.47050
2009-02-03,8.43800,8.50400,8.38500,8.50400
2009-02-04,8.46300,8.51700,8.37600,8.42900
2009-02-05,8.39900,8.44400,8.34900,8.41300
2009-02-06,8.375,8.48700,8.35400,8.46300
2009-02-09,8.44700,8.55100,8.39700,8.52800
2009-02-10,8.49300,8.57750,8.42000,8.51250
2009-02-11,8.49600,8.73500,8.46800,8.67100
2009-02-12,8.66300,8.82500,8.64500,8.82500
2009-02-13,8.79100,8.86850,8.75700,8.83350
2009-02-16,8.76100,8.80500,8.59000,8.67600
2009-02-17,8.68500,8.71850,8.35900,8.41150
2009-02-18,8.375,8.48150,8.32600,8.41950
2009-02-19,8.38700,8.54550,8.37000,8.51650
2009-02-20,8.44400,8.52400,8.38000,8.49800
2009-02-23,8.46400,8.57200,8.43900,8.47000
2009-02-24,8.43900,8.55000,8.36100,8.55000
2009-02-25,8.50800,8.58350,8.47200,8.55250
2009-02-26,8.51400,8.59800,8.49900,8.59200
2009-02-27,8.54900,8.59700,8.46100,8.52600
2009-03-02,8.49200,8.54600,8.41900,8.45600
2009-03-03,8.42800,10.30200,8.40700,9.71900
2009-03-04,9.58600,10.39700,9.56400,10.20500
2009-03-05,10.012000,10.27300,9.86300,10.040000
2009-03-06,9.89200,10.18250,9.86600,10.0035000
2009-03-09,9.92800,10.22550,9.90100,10.13750
2009-03-10,9.95500,10.61900,9.94500,10.49900
2009-03-11,10.38400,10.67100,10.35900,10.58000
2009-03-12,10.49100,10.67250,10.39600,10.54450
2009-03-13,10.47900,10.74250,10.43000,10.71350
2009-03-16,10.62600,10.78150,10.50300,10.75650
2009-03-17,10.66200,10.87050,10.65500,10.85150
2009-03-18,10.78300,11.057500,10.75900,11.057500
2009-03-19,10.96600,11.30650,10.92400,11.24450
2009-03-20,11.18400,11.25150,11.042000,11.18050
2009-03-23,11.16000,11.25800,10.95800,11.16200
2009-03-24,11.081000,11.26850,11.042000,11.14050
