datetime,open,high,low,close
1996-01-05,0.21390000,0.21400000,0.21390000,0.21400000
1996-01-08,0.21390000,0.21400000,0.21390000,0.21400000
1996-01-09,0.21420000,0.21420000,0.21420000,0.21420000
1996-01-10,0.21430001,0.21439999,0.21430001,0.21439999
1996-01-11,0.21439999,0.21450000,0.21439999,0.21450000
1996-01-12,0.21380000,0.21380000,0.21380000,0.21380000
1996-01-15,0.21410000,0.21420000,0.21410000,0.21420000
1996-01-16,0.21390000,0.21390000,0.21390000,0.21390000
1996-01-17,0.21370000,0.21370000,0.21370000,0.21370000
1996-01-18,0.21340001,0.21340001,0.21340001,0.21340001
1996-01-19,0.21290000,0.21300000,0.21290000,0.21300000
1996-01-22,0.21290000,0.21300000,0.21290000,0.21300000
1996-01-23,0.21179999,0.21179999,0.21179999,0.21179999
1996-01-24,0.21179999,0.21190000,0.21179999,0.21190000
1996-01-25,0.21140000,0.21150000,0.21140000,0.21150000
1996-01-26,0.21110000,0.21120000,0.21110000,0.21120000
1996-01-29,0.21120000,0.21120000,0.21120000,0.21120000
1996-01-30,0.21150000,0.21160001,0.21150000,0.21160001
1996-01-31,0.21089999,0.21089999,0.21089999,0.21089999
1996-02-01,0.21110000,0.21110000,0.21110000,0.21110000
1996-02-02,0.21110000,0.21120000,0.21110000,0.21120000
1996-02-05,0.21130000,0.21130000,0.21130000,0.21130000
1996-02-06,0.21140000,0.21150000,0.21140000,0.21150000
1996-02-07,0.21150000,0.21160001,0.21150000,0.21160001
1996-02-08,0.21080001,0.21080001,0.21080001,0.21080001
1996-02-09,0.21010000,0.21020000,0.21010000,0.21020000
1996-02-12,0.21030000,0.21030000,0.21030000,0.21030000
1996-02-13,0.20990001,0.20990001,0.20990001,0.20990001
1996-02-14,0.20980000,0.20990001,0.20980000,0.20990001
1996-02-15,0.20960000,0.20960000,0.20960000,0.20960000
1996-02-16,0.20940000,0.20940000,0.20940000,0.20940000
1996-02-19,0.20950000,0.20960000,0.20950000,0.20960000
