datetime,open,high,low,close
2006-06-15,39.91310,39.91310,39.91310,39.91310
2006-06-16,39.89610,39.89610,39.89610,39.89610
2006-06-19,39.84490,39.84490,39.84490,39.84490
2006-06-20,39.83700,39.83700,39.83700,39.83700
2006-06-21,39.87800,39.87800,39.87800,39.87800
2006-06-22,39.73360,39.73360,39.73360,39.73360
2006-06-23,39.73770,39.73770,39.73770,39.73770
2006-06-26,39.84560,39.84560,39.84560,39.84560
2006-06-27,39.73330,39.73330,39.73330,39.73330
2006-06-28,39.77900,39.77900,39.77900,39.77900
2006-06-29,39.73140,39.73140,39.73140,39.73140
2006-06-30,39.85760,39.85760,39.85760,39.85760
2006-07-05,39.81570,39.81570,39.81570,39.81570
2006-07-06,39.81340,39.81340,39.81340,39.81340
2006-07-07,39.84320,39.84320,39.84320,39.84320
2006-07-10,39.84870,39.84870,39.84870,39.84870
2006-07-11,39.86160,39.86160,39.86160,39.86160
2006-07-12,39.77760,39.77760,39.77760,39.77760
2006-07-13,39.77690,39.77690,39.77690,39.77690
2006-07-14,39.80960,39.80960,39.80960,39.80960
2006-07-17,39.51120,39.51120,39.51120,39.51120
2006-07-18,39.67610,39.67610,39.67610,39.67610
2006-07-19,39.66030,39.66030,39.66030,39.66030
2006-07-20,39.75670,39.75670,39.75670,39.75670
2006-07-21,39.78060,39.78060,39.78060,39.78060
2006-07-24,39.69580,39.69580,39.69580,39.69580
2006-07-25,39.69780,39.69780,39.69780,39.69780
2006-07-26,39.72720,39.72720,39.72720,39.72720
2006-07-27,39.78600,39.78600,39.78600,39.78600
2006-07-28,39.72450,39.72450,39.72450,39.72450
2006-07-31,39.79690,39.79690,39.79690,39.79690
2006-08-01,39.84300,39.84300,39.84300,39.84300
2006-08-02,39.78280,39.78280,39.78280,39.78280
2006-08-03,39.77980,39.77980,39.77980,39.77980
2006-08-04,39.79050,39.79050,39.79050,39.79050
2006-08-07,39.83840,39.83840,39.83840,39.83840
2006-08-08,39.85840,39.85840,39.85840,39.85840
2006-08-09,39.93360,39.93360,39.93360,39.93360
2006-08-10,39.76930,39.76930,39.76930,39.76930
2006-08-11,39.79670,39.79670,39.79670,39.79670
2006-08-14,39.75080,39.75080,39.75080,39.75080
2006-08-15,39.76440,39.76440,39.76440,39.76440
2006-08-16,39.76590,39.76590,39.76590,39.76590
2006-08-17,39.82940,39.82940,39.82940,39.82940
2006-08-18,39.74960,39.74960,39.74960,39.74960
2006-08-21,39.81100,39.81100,39.81100,39.81100
2006-08-22,39.71410,39.71410,39.71410,39.71410
2006-08-23,39.78060,39.78060,39.78060,39.78060
2006-08-24,39.83840,39.83840,39.83840,39.83840
2006-08-25,39.74780,39.74780,39.74780,39.74780
2006-08-28,39.73500,39.73500,39.73500,39.73500
2006-08-29,39.74800,39.74800,39.74800,39.74800
2006-08-30,39.74340,39.74340,39.74340,39.74340
2006-08-31,39.78750,39.78750,39.78750,39.78750
2006-09-01,39.76030,39.76030,39.76030,39.76030
2006-09-05,39.65740,39.65740,39.65740,39.65740
2006-09-06,39.62890,39.62890,39.62890,39.62890
2006-09-07,39.57040,39.57040,39.57040,39.57040
2006-09-08,39.60580,39.60580,39.60580,39.60580
2006-09-11,39.62400,39.62400,39.62400,39.62400
2006-09-12,39.60220,39.60220,39.60220,39.60220
