datetime,open,high,low,close
2017-03-16,4.92456,4.92683,4.88285,4.91500
2017-03-17,4.92028,4.94555,4.88021,4.93115
2017-03-19,4.93039,4.93039,4.92345,4.92345
2017-03-20,4.92717,4.94764,4.89726,4.90717
2017-03-21,4.91234,4.94402,4.87677,4.93776
2017-03-22,4.93500,4.95286,4.91094,4.93702
2017-03-23,4.92774,4.95770,4.92030,4.94766
2017-03-24,4.95088,4.95157,4.90363,4.91378
2017-03-26,4.91636,4.93634,4.91636,4.92601
2017-03-27,4.92588,4.95076,4.90208,4.92855
2017-03-28,4.92868,4.99502,4.91714,4.98381
2017-03-29,4.98589,4.99074,4.94647,4.97467
2017-03-30,4.96866,4.98044,4.92639,4.94719
2017-03-31,4.95524,4.96881,4.92208,4.93233
2017-04-02,4.93436,4.94054,4.93239,4.94054
2017-04-03,4.93698,4.96077,4.92609,4.95027
2017-04-04,4.95447,5.011665,4.94180,5.011665
2017-04-05,5.0091791,5.039011,4.99241,5.032231
2017-04-06,5.035474,5.059250,5.022661,5.032973
2017-04-07,5.028135,5.074228,5.025398,5.038614
2017-04-09,5.042826,5.050549,5.032231,5.032231
2017-04-10,5.037784,5.074513,5.025338,5.063621
2017-04-11,5.065415,5.067594,4.99892,4.99892
2017-04-12,5.0048432,5.016760,4.96403,4.97771
2017-04-13,4.98288,5.0057492,4.95813,4.96813
2017-04-14,4.96966,5.017017,4.95832,5.017017
2017-04-16,5.017017,5.017017,4.91128,4.91128
2017-04-17,4.91957,5.043212,4.91836,5.023582
2017-04-18,5.025303,5.043467,4.99509,5.0046520
2017-04-19,5.0034413,5.030398,4.98154,4.99372
2017-04-20,4.99962,5.0022840,4.94975,4.94975
2017-04-21,4.95222,4.98845,4.94004,4.97780
2017-04-23,4.98935,5.025265,4.98935,5.015121
2017-04-24,5.015440,5.017609,4.86432,4.87455
2017-04-25,4.88026,4.94358,4.87122,4.92233
2017-04-26,4.92440,4.94610,4.87910,4.90392
2017-04-27,4.90329,4.91071,4.85893,4.87023
2017-04-28,4.86527,4.89101,4.83942,4.84944
2017-04-30,4.84406,4.85482,4.84406,4.85482
