datetime,open,high,low,close
1989-10-26,0.51050001,0.51059997,0.51050001,0.51059997
1989-11-01,0.50970000,0.50999999,0.50970000,0.50999999
1989-11-02,0.51059997,0.51080000,0.51059997,0.51080000
1989-11-03,0.51099998,0.51109999,0.51099998,0.51109999
1989-11-06,0.51010001,0.51020002,0.51010001,0.51020002
1989-11-07,0.50989997,0.50999999,0.50989997,0.50999999
1989-11-08,0.51010001,0.51020002,0.51010001,0.51020002
1989-11-09,0.51050001,0.51069999,0.51050001,0.51069999
1989-11-10,0.51050001,0.51059997,0.51050001,0.51059997
1989-11-13,0.50970000,0.50980002,0.50970000,0.50980002
1989-11-14,0.50970000,0.50980002,0.50970000,0.50980002
1989-11-15,0.51020002,0.51029998,0.51020002,0.51029998
1989-11-16,0.51029998,0.51050001,0.51029998,0.51050001
1989-11-17,0.51029998,0.51029998,0.51029998,0.51029998
1989-11-20,0.50989997,0.51010001,0.50989997,0.51010001
1989-11-21,0.51069999,0.51080000,0.51069999,0.51080000
1989-11-22,0.51010001,0.51020002,0.51010001,0.51020002
1989-11-23,0.51020002,0.51029998,0.51020002,0.51029998
1989-11-24,0.51150000,0.51160002,0.51150000,0.51160002
1989-11-27,0.51190001,0.51209998,0.51190001,0.51209998
1989-11-28,0.51139998,0.51150000,0.51139998,0.51150000
1989-11-29,0.51239997,0.51260000,0.51239997,0.51260000
1989-11-30,0.51400000,0.51410002,0.51400000,0.51410002
1989-12-01,0.51300001,0.51310003,0.51300001,0.51310003
1989-12-04,0.51359999,0.51370001,0.51359999,0.51370001
1989-12-05,0.51370001,0.51389998,0.51370001,0.51389998
1989-12-06,0.51539999,0.51550001,0.51539999,0.51550001
1989-12-07,0.51679999,0.51690000,0.51679999,0.51690000
1989-12-08,0.51679999,0.51700002,0.51679999,0.51700002
1989-12-11,0.51789999,0.51810002,0.51789999,0.51810002
1989-12-12,0.52209997,0.52219999,0.52209997,0.52219999
1989-12-13,0.52370000,0.52389997,0.52370000,0.52389997
1989-12-14,0.52329999,0.52340001,0.52329999,0.52340001
1989-12-15,0.52079999,0.52149999,0.52079999,0.52149999
1989-12-18,0.52310002,0.52340001,0.52310002,0.52340001
1989-12-19,0.52410001,0.52450001,0.52410001,0.52450001
1989-12-20,0.52440000,0.52469999,0.52440000,0.52469999
1989-12-21,0.52550000,0.52590001,0.52550000,0.52590001
