datetime,open,high,low,close
2016-05-27,8.35900,8.44440,8.33120,8.36770
2016-05-30,8.36280,8.41540,8.33360,8.35760
2016-05-31,8.35770,8.51160,8.34360,8.48280
2016-06-01,8.48810,8.56740,8.43850,8.51810
2016-06-02,8.51290,8.61190,8.45650,8.50590
2016-06-03,8.50250,8.54030,8.33160,8.34370
2016-06-06,8.34650,8.38540,8.28150,8.30000
2016-06-07,8.29990,8.35360,8.18950,8.22050
2016-06-08,8.22050,8.26540,8.11310,8.15340
2016-06-09,8.15060,8.27950,8.057900,8.25100
2016-06-10,8.25250,8.31270,8.13870,8.29330
2016-06-13,8.27410,8.43590,8.27410,8.37070
2016-06-14,8.37110,8.46730,8.32480,8.41290
2016-06-15,8.40000,8.44970,8.29780,8.36480
2016-06-16,8.36960,8.47000,8.28530,8.42550
2016-06-17,8.41320,8.42070,8.22300,8.24370
2016-06-20,8.24380,8.24820,8.098300,8.21630
2016-06-21,8.21880,8.23070,8.11210,8.13490
2016-06-22,8.12760,8.33820,8.057900,8.27010
2016-06-23,8.26400,8.29250,8.093200,8.10900
2016-06-24,8.13880,8.62830,8.12550,8.32230
2016-06-27,8.34500,8.44280,8.30090,8.38330
2016-06-28,8.41330,8.50660,8.18640,8.21280
2016-06-29,8.20720,8.22610,8.099800,8.15860
2016-06-30,8.17690,8.27980,8.099000,8.19010
2016-07-01,8.17280,8.20230,8.071000,8.12590
2016-07-04,8.13600,8.16170,8.089300,8.14260
2016-07-05,8.12820,8.24930,8.10180,8.20960
2016-07-06,8.23310,8.28710,8.19630,8.27500
2016-07-07,8.26460,8.29600,8.11910,8.26670
2016-07-08,8.28160,8.29110,8.13250,8.14670
2016-07-11,8.13460,8.22120,8.092000,8.21800
2016-07-12,8.21930,8.23160,8.092800,8.14870
2016-07-13,8.14860,8.17970,8.057400,8.14300
2016-07-14,8.15680,8.17210,8.014300,8.076800
2016-07-15,8.052900,8.14750,7.94980,8.12620
2016-07-18,8.13810,8.15550,8.0015001,8.052600
2016-07-19,8.048000,8.097600,7.94600,8.065500
2016-07-20,8.085800,8.18570,8.032900,8.13390
2016-07-21,8.16970,8.31030,8.10990,8.27870
2016-07-22,8.21670,8.30920,8.12610,8.23280
2016-07-25,8.23530,8.40140,8.19590,8.38250
2016-07-26,8.38800,8.48640,8.29790,8.46210
2016-07-27,8.42820,8.44890,8.34240,8.37220
2016-07-28,8.37260,8.49010,8.34080,8.46470
2016-07-29,8.45890,8.53520,8.35770,8.38000
2016-08-01,8.38030,8.61980,8.34240,8.61730
2016-08-02,8.60490,8.62620,8.38320,8.46560
2016-08-03,8.47130,8.52690,8.41070,8.44590
2016-08-04,8.45170,8.46330,8.34270,8.37910
2016-08-05,8.36010,8.40580,8.24830,8.35440
2016-08-08,8.34150,8.38810,8.17770,8.20890
2016-08-09,8.21030,8.30650,8.16700,8.23180
2016-08-10,8.24080,8.26290,8.15830,8.24970
2016-08-11,8.26070,8.29360,8.16100,8.19800
2016-08-12,8.17290,8.25840,8.12510,8.22810
2016-08-15,8.26230,8.26230,8.14640,8.17620
2016-08-16,8.14340,8.16800,8.066400,8.10930
2016-08-17,8.14870,8.22560,8.12740,8.17470
2016-08-18,8.12180,8.17760,8.049500,8.083300
2016-08-19,8.080000,8.14330,8.054900,8.11800
2016-08-22,8.10770,8.24710,8.082500,8.23310
2016-08-23,8.24950,8.27270,8.18440,8.23540
2016-08-24,8.23010,8.32160,8.14700,8.30020
2016-08-25,8.29060,8.29540,8.20020,8.22510
2016-08-26,8.22510,8.29520,8.15530,8.21760
2016-08-29,8.20340,8.30580,8.15920,8.23080
2016-08-30,8.22620,8.34730,8.18320,8.30870
2016-08-31,8.31450,8.34860,8.23460,8.30870
2016-09-01,8.30360,8.40150,8.22820,8.39590
2016-09-02,8.40430,8.41160,8.26140,8.28300
2016-09-05,8.28500,8.30110,8.20800,8.26340
2016-09-06,8.25370,8.28640,8.17750,8.20030
2016-09-07,8.19650,8.21240,8.10910,8.15700
2016-09-08,8.16770,8.19620,8.086100,8.15860
2016-09-09,8.14390,8.25250,8.11470,8.22830
2016-09-12,8.23910,8.30820,8.19410,8.20710
2016-09-13,8.19230,8.31470,8.14040,8.30710
2016-09-14,8.29350,8.33730,8.21760,8.28490
2016-09-15,8.28670,8.31000,8.19580,8.22270
2016-09-16,8.21740,8.29780,8.15780,8.27650
2016-09-19,8.27270,8.27520,8.14960,8.18300
2016-09-20,8.19280,8.26590,8.16310,8.22180
2016-09-21,8.23280,8.26740,8.12570,8.14560
2016-09-22,8.14820,8.17090,8.058000,8.11740
2016-09-23,8.089200,8.15150,8.033700,8.13290
2016-09-26,8.13200,8.14580,8.071300,8.11110
2016-09-27,8.12020,8.14680,8.050200,8.088600
2016-09-28,8.087400,8.16320,8.0058002,8.014200
2016-09-29,8.0068998,8.075700,7.96580,8.0059004
2016-09-30,7.99770,8.054600,7.94740,7.98320
2016-10-03,7.97700,8.00049973,7.88880,7.91350
2016-10-04,7.93080,8.0044003,7.88300,7.99700
2016-10-05,7.96000,7.98280,7.87790,7.91510
2016-10-06,7.91650,7.93190,7.86610,7.88720
2016-10-07,7.88580,7.94020,7.84230,7.89950
2016-10-10,7.90930,7.95990,7.84100,7.85860
2016-10-11,7.85530,7.98810,7.84900,7.95770
2016-10-12,7.96580,8.038300,7.91260,8.027700
2016-10-13,8.023800,8.072200,7.98620,8.0084000
2016-10-14,8.0065002,8.030800,7.96460,7.98680
2016-10-17,7.97860,8.015400,7.94550,8.013700
2016-10-18,8.016800,8.024900,7.93970,7.93970
2016-10-19,7.95320,8.0081997,7.90830,7.91590
2016-10-20,7.89860,7.93990,7.85580,7.92610
2016-10-21,7.91780,7.96460,7.89040,7.91760
2016-10-24,7.91560,7.96070,7.87350,7.89860
2016-10-25,7.89670,7.91190,7.86010,7.88300
2016-10-26,7.88740,7.99950,7.86090,7.98860
2016-10-27,7.98510,8.045100,7.94660,7.96230
2016-10-28,7.95800,8.019100,7.92380,7.99090
2016-10-31,7.99540,8.055500,7.95350,8.040600
2016-11-01,8.054800,8.069600,7.97910,8.049400
2016-11-02,8.043400,8.11250,7.99740,8.065900
2016-11-03,8.048900,8.12460,8.0029001,8.089500
2016-11-04,8.074800,8.21230,8.042700,8.21000
2016-11-07,8.18710,8.20890,8.065900,8.085300
2016-11-08,8.090100,8.13040,8.039700,8.10980
2016-11-09,8.11220,8.22900,8.019300,8.11800
2016-11-10,8.098900,8.39070,8.028200,8.34990
2016-11-11,8.32060,8.43540,8.18280,8.33860
2016-11-14,8.37240,8.45190,8.28430,8.39710
2016-11-15,8.39080,8.41410,8.14490,8.15510
2016-11-16,8.18080,8.32010,8.10060,8.22560
2016-11-17,8.23140,8.26230,8.15850,8.24920
2016-11-18,8.24420,8.29230,8.19290,8.21570
2016-11-21,8.21570,8.24260,8.10670,8.12870
2016-11-22,8.11960,8.14780,8.051600,8.099100
2016-11-23,8.095300,8.25280,8.050600,8.18310
2016-11-24,8.18550,8.23630,8.13260,8.19120
2016-11-25,8.19050,8.26100,8.15120,8.24370
2016-11-28,8.24250,8.28280,8.13330,8.22400
2016-11-29,8.25210,8.34080,8.19280,8.29140
2016-11-30,8.30250,8.33160,8.14480,8.17380
2016-12-01,8.14080,8.17210,8.032400,8.12090
2016-12-02,8.11610,8.15410,8.054300,8.11560
