datetime,open,high,low,close
2018-05-31,5.79467,5.82252,5.74317,5.76435
2018-06-01,5.76716,5.76716,5.60684,5.61418
2018-06-03,5.63413,5.63984,5.62943,5.63839
2018-06-04,5.63729,5.71095,5.60306,5.71002
2018-06-05,5.71089,5.71089,5.65162,5.69862
2018-06-06,5.70165,5.76229,5.62910,5.73444
2018-06-07,5.73506,5.86542,5.69563,5.83806
2018-06-08,5.85609,5.86768,5.77929,5.85367
2018-06-10,5.82324,5.82619,5.80573,5.82071
2018-06-11,5.82046,5.83139,5.73389,5.76481
2018-06-12,5.76513,5.77370,5.67355,5.68592
2018-06-13,5.68666,5.71004,5.57594,5.60295
2018-06-14,5.60247,5.68512,5.53267,5.53885
2018-06-15,5.53902,5.69227,5.53902,5.57517
2018-06-17,5.57263,5.57263,5.55896,5.55949
2018-06-18,5.55339,5.62912,5.55245,5.59232
2018-06-19,5.59226,5.60967,5.51277,5.57620
2018-06-20,5.57667,5.60256,5.52616,5.58632
2018-06-21,5.58249,5.58399,5.52992,5.55280
2018-06-22,5.54951,5.62757,5.50846,5.60792
2018-06-24,5.60778,5.71556,5.60778,5.68731
2018-06-25,5.68484,5.76731,5.54447,5.57331
2018-06-26,5.57301,5.68916,5.52562,5.68140
2018-06-27,5.68147,5.72597,5.63991,5.69247
2018-06-28,5.69277,5.76656,5.69234,5.72939
2018-06-29,5.73014,5.78678,5.71878,5.74921
2018-07-01,5.74896,5.74896,5.72644,5.73814
2018-07-02,5.73827,5.73827,5.65125,5.68006
2018-07-03,5.68666,5.68881,5.60147,5.62277
2018-07-04,5.62456,5.66445,5.56305,5.61997
2018-07-05,5.61793,5.74687,5.61793,5.71755
2018-07-06,5.71274,5.75977,5.70203,5.75630
2018-07-08,5.73523,5.73523,5.72543,5.72860
2018-07-09,5.72853,5.81417,5.51664,5.56128
2018-07-10,5.56257,5.65062,5.53682,5.55874
2018-07-11,5.54497,5.55903,5.29228,5.37329
2018-07-12,5.37865,5.48986,5.36023,5.38727
2018-07-13,5.38564,5.43853,5.37828,5.39933
2018-07-15,5.40033,5.41065,5.38543,5.39839
2018-07-16,5.37488,5.42910,5.37488,5.39862
2018-07-17,5.40362,5.48974,5.39772,5.46136
2018-07-18,5.49194,5.53040,5.43184,5.48522
2018-07-19,5.47309,5.49286,5.42506,5.45998
2018-07-20,5.45964,5.53360,5.45030,5.48514
2018-07-22,5.47489,5.49529,5.47489,5.49276
2018-07-23,5.49247,5.54102,5.48807,5.54008
2018-07-24,5.54014,5.59072,5.38581,5.44643
2018-07-25,5.44833,5.57847,5.44833,5.54923
2018-07-26,5.54975,5.54975,5.49620,5.50036
2018-07-27,5.50036,5.50036,5.50036,5.50036
2018-07-29,5.51930,5.51930,5.51096,5.51260
2018-07-30,5.49762,5.50476,5.44005,5.47011
2018-07-31,5.46966,5.50599,5.42019,5.45858
2018-08-01,5.45858,5.49059,5.37696,5.40992
2018-08-02,5.40900,5.44382,5.30646,5.31022
2018-08-03,5.31017,5.35171,5.30077,5.33376
2018-08-05,5.33365,5.33365,5.30464,5.31384
2018-08-06,5.31421,5.32638,4.99894,5.14553
2018-08-07,5.13377,5.21655,5.050700,5.12335
2018-08-08,5.12987,5.16045,5.073730,5.077126
2018-08-09,5.076838,5.076838,4.87614,4.88698
2018-08-10,4.88729,4.92002,4.043863,4.23954
2018-08-12,4.23954,4.23954,3.80591,3.97773
2018-08-13,4.018475,4.24136,3.88711,3.93794
2018-08-14,3.93014,4.35955,3.92378,4.31158
2018-08-15,4.30816,4.68238,4.19750,4.58802
2018-08-16,4.58802,4.85435,4.53562,4.67494
2018-08-17,4.73180,4.81181,4.37651,4.63334
2018-08-19,4.64423,4.67329,4.64423,4.64979
2018-08-20,4.65122,4.65122,4.46398,4.53537
2018-08-21,4.50798,4.59481,4.46329,4.55471
2018-08-22,4.53261,4.61955,4.50609,4.61679
2018-08-23,4.61995,4.63961,4.53214,4.57155
2018-08-24,4.58763,4.63209,4.55687,4.59219
2018-08-26,4.62026,4.63617,4.62026,4.63477
2018-08-27,4.63415,4.63415,4.39872,4.51968
2018-08-28,4.51972,4.53801,4.42813,4.44274
2018-08-29,4.44267,4.49119,4.32549,4.34580
2018-08-30,4.32593,4.33185,4.15233,4.17728
2018-08-31,4.20962,4.43739,4.17685,4.32014
2018-09-02,4.31403,4.31403,4.28620,4.29006
2018-09-03,4.31581,4.35160,4.22240,4.28213
2018-09-04,4.28391,4.30764,4.22649,4.26312
2018-09-05,4.26363,4.32413,4.22793,4.31567
2018-09-06,4.32128,4.32128,4.26407,4.28610
2018-09-07,4.28687,4.43449,4.27898,4.41264
2018-09-09,4.41264,4.41968,4.40154,4.40243
2018-09-10,4.40313,4.42918,4.35769,4.36985
2018-09-11,4.36985,4.37607,4.33057,4.35937
2018-09-12,4.35570,4.43063,4.34085,4.41756
2018-09-13,4.41843,4.63715,4.26953,4.57901
2018-09-14,4.56004,4.63837,4.55005,4.56129
2018-09-16,4.56118,4.57092,4.56118,4.56961
2018-09-17,4.59891,4.60595,4.44282,4.44963
2018-09-18,4.43886,4.44890,4.35395,4.39593
2018-09-19,4.39812,4.50606,4.39114,4.49541
2018-09-20,4.50219,4.57913,4.40465,4.50949
2018-09-21,4.51052,4.51052,4.42862,4.45691
2018-09-23,4.45336,4.45336,4.43733,4.44354
2018-09-24,4.45131,4.64076,4.43495,4.56653
2018-09-25,4.56653,4.62908,4.51119,4.53957
2018-09-26,4.53956,4.64255,4.52861,4.60108
2018-09-27,4.60798,4.74828,4.58934,4.71321
2018-09-28,4.74222,4.77863,4.63931,4.66694
2018-09-30,4.66783,4.67738,4.65672,4.67643
2018-10-01,4.67643,4.77158,4.65775,4.75924
2018-10-02,4.75920,4.76262,4.66855,4.72076
2018-10-03,4.72073,4.72354,4.62499,4.66716
2018-10-04,4.69898,4.70114,4.54331,4.56953
2018-10-05,4.54705,4.59887,4.52760,4.57809
2018-10-07,4.56428,4.56428,4.53740,4.54021
2018-10-08,4.54026,4.59091,4.52765,4.58187
2018-10-09,4.58187,4.60176,4.55265,4.58978
2018-10-10,4.57353,4.65152,4.55558,4.60441
2018-10-11,4.59139,4.74016,4.58904,4.72711
2018-10-12,4.71978,4.78411,4.67098,4.75190
2018-10-14,4.73161,4.75251,4.72252,4.73685
2018-10-15,4.73453,4.85592,4.73453,4.83156
2018-10-16,4.83256,4.92944,4.8125,4.90450
2018-10-17,4.90578,5.037847,4.88728,4.99058
2018-10-18,4.99156,5.076901,4.93086,4.97499
2018-10-19,5.0029888,5.035553,4.94690,4.99766
2018-10-21,4.99268,4.99268,4.98568,4.98625
2018-10-22,4.96657,4.99259,4.93603,4.95423
2018-10-23,4.95423,4.97249,4.80147,4.89663
2018-10-24,4.89316,4.99334,4.87155,4.93455
2018-10-25,4.93451,5.047071,4.93197,5.027960
2018-10-26,5.041229,5.078948,5.011394,5.056298
2018-10-28,5.056592,5.056592,5.026446,5.034360
2018-10-29,5.033239,5.10750,5.030538,5.066404
2018-10-30,5.067997,5.15542,5.066627,5.13728
2018-10-31,5.13662,5.14751,4.99627,5.042756
2018-11-01,5.042665,5.11333,4.98726,5.096671
2018-11-02,5.099073,5.19571,5.084318,5.18808
2018-11-04,5.18837,5.18837,5.18440,5.18558
2018-11-05,5.18600,5.28564,5.13966,5.26900
2018-11-06,5.26682,5.29084,5.15642,5.22842
2018-11-07,5.22935,5.26688,5.13949,5.20481
2018-11-08,5.20554,5.22549,5.10667,5.12279
2018-11-09,5.12269,5.14844,5.048094,5.12683
2018-11-11,5.12590,5.12590,5.11220,5.11936
2018-11-12,5.12180,5.14135,5.062086,5.10226
2018-11-13,5.10222,5.13059,5.049612,5.091414
2018-11-14,5.090067,5.11737,5.049324,5.094425
2018-11-15,5.094239,5.25359,5.065474,5.18114
2018-11-16,5.18129,5.24821,5.14426,5.24105
2018-11-18,5.16427,5.16427,5.12158,5.15747
2018-11-19,5.15762,5.22399,5.13171,5.18861
2018-11-20,5.18870,5.20862,5.10709,5.11799
2018-11-21,5.11823,5.25986,5.11453,5.22099
2018-11-22,5.21652,5.25593,5.19704,5.23446
2018-11-23,5.23427,5.26869,5.22741,5.24575
2018-11-25,5.25090,5.25090,5.23916,5.24178
2018-11-26,5.24040,5.34049,5.23996,5.31591
2018-11-27,5.31616,5.37861,5.30746,5.34268
2018-11-28,5.34187,5.42843,5.32165,5.41954
2018-11-29,5.41949,5.51010,5.37006,5.47121
2018-11-30,5.47142,5.49205,5.36445,5.40150
2018-12-02,5.42557,5.48136,5.42557,5.45091
2018-12-03,5.45101,5.48666,5.33069,5.38186
2018-12-04,5.37899,5.39557,5.14514,5.20534
2018-12-05,5.20578,5.27583,5.14519,5.26598
2018-12-06,5.26514,5.26652,5.17948,5.22057
2018-12-07,5.22097,5.28328,5.19468,5.25596
2018-12-09,5.25576,5.25576,5.23475,5.23489
2018-12-10,5.23509,5.26136,5.18081,5.20196
2018-12-11,5.20171,5.24792,5.13702,5.17101
2018-12-12,5.17169,5.22346,5.13980,5.18358
2018-12-13,5.18338,5.22028,5.14562,5.18479
2018-12-14,5.18426,5.20367,5.11330,5.16836
2018-12-16,5.16755,5.16755,5.15759,5.15975
2018-12-17,5.15965,5.19540,5.15452,5.19120
2018-12-18,5.18985,5.22992,5.16740,5.22581
2018-12-19,5.22611,5.31109,5.18073,5.22488
2018-12-20,5.22488,5.29767,5.21032,5.23168
2018-12-21,5.23128,5.26277,5.15390,5.19462
2018-12-23,5.19555,5.20105,5.19154,5.19315
2018-12-24,5.19320,5.20811,5.15956,5.17687
2018-12-25,5.17687,5.18206,5.11851,5.18206
2018-12-26,5.18206,5.19396,5.16141,5.18634
2018-12-27,5.18732,5.20425,5.16453,5.17003
2018-12-28,5.17018,5.26355,5.15789,5.19461
2018-12-30,5.19483,5.19483,5.15981,5.18369
2018-12-31,5.18536,5.26480,5.18388,5.25823
2019-01-01,5.25823,5.25823,5.22536,5.23834
2019-01-02,5.23834,5.24136,4.86226,5.024213
2019-01-03,5.015188,5.12531,4.92475,5.021326
2019-01-04,5.021194,5.23152,5.021194,5.21507
2019-01-06,5.21181,5.21973,5.21103,5.21826
2019-01-07,5.21797,5.22297,5.13785,5.16491
2019-01-08,5.16356,5.19233,5.084846,5.11378
2019-01-09,5.11470,5.17481,5.077336,5.14429
2019-01-10,5.14500,5.22617,5.11724,5.19989
2019-01-11,5.19912,5.21739,5.10167,5.14648
2019-01-13,5.13434,5.13434,5.10292,5.11986
2019-01-14,5.11921,5.17387,5.060408,5.14148
2019-01-15,5.14077,5.19080,5.13631,5.15858
2019-01-16,5.16043,5.27109,5.14874,5.25291
2019-01-17,5.25286,5.25787,5.19978,5.22899
2019-01-18,5.22889,5.25736,5.20684,5.24671
2019-01-20,5.24681,5.25238,5.24366,5.24942
2019-01-21,5.24947,5.26716,5.21668,5.25677
2019-01-22,5.25692,5.26404,5.18500,5.19717
2019-01-23,5.19518,5.26817,5.17523,5.25358
2019-01-24,5.25343,5.32183,5.24664,5.30193
2019-01-25,5.30092,5.31152,5.25032,5.27678
2019-01-27,5.26919,5.27397,5.26330,5.27397
2019-01-28,5.27382,5.29286,5.20407,5.22196
2019-01-29,5.22137,5.24110,5.18034,5.23133
2019-01-30,5.23133,5.31859,5.21630,5.30147
2019-01-31,5.30161,5.35225,5.28999,5.33375
2019-02-01,5.33334,5.33447,5.26147,5.27695
2019-02-03,5.27158,5.27340,5.26896,5.26896
2019-02-04,5.26896,5.27798,5.23635,5.24978
2019-02-05,5.24676,5.26412,5.20181,5.21461
2019-02-06,5.21416,5.22058,5.15943,5.17088
2019-02-07,5.17137,5.17316,5.095175,5.10985
2019-02-08,5.11014,5.18587,5.10149,5.17232
2019-02-10,5.16725,5.16878,5.16319,5.16774
2019-02-11,5.16784,5.18017,5.10338,5.12572
2019-02-12,5.12460,5.16200,5.10884,5.15939
2019-02-13,5.15925,5.17382,5.12693,5.13416
2019-02-14,5.13474,5.17103,5.099324,5.16496
2019-02-15,5.16476,5.18669,5.13102,5.16738
2019-02-17,5.15794,5.15804,5.14853,5.15101
2019-02-18,5.15296,5.16945,5.097812,5.11388
2019-02-19,5.11349,5.13833,5.099635,5.13371
2019-02-20,5.13405,5.14164,5.067562,5.077157
2019-02-21,5.076440,5.096335,5.059867,5.081644
2019-02-22,5.080875,5.091506,5.059206,5.079600
2019-02-24,5.069584,5.078303,5.069584,5.077202
2019-02-25,5.077202,5.094373,5.062748,5.079292
2019-02-26,5.079914,5.10602,5.068355,5.097923
2019-02-27,5.097923,5.10932,5.051191,5.060128
2019-02-28,5.060368,5.089391,5.039373,5.061667
2019-03-01,5.061762,5.068883,4.97525,5.032331
2019-03-03,5.038751,5.039034,5.033406,5.033968
2019-03-04,5.033875,5.038283,4.96636,5.015204
2019-03-05,5.014925,5.031439,4.93393,4.95295
2019-03-06,4.95313,4.95751,4.86089,4.87011
2019-03-07,4.86984,4.88029,4.81460,4.83180
2019-03-08,4.83180,4.86315,4.80763,4.84991
2019-03-10,4.84697,4.86063,4.84697,4.85572
2019-03-11,4.85572,4.87298,4.83100,4.84692
2019-03-12,4.84803,4.86771,4.83418,4.86035
2019-03-13,4.86084,4.95058,4.85413,4.89962
2019-03-14,4.89975,4.91785,4.86151,4.91354
2019-03-15,4.91385,4.96171,4.89638,4.96171
2019-03-17,4.95894,4.96116,4.95707,4.95866
2019-03-18,4.95871,4.97299,4.94695,4.96151
2019-03-19,4.96205,4.98209,4.95486,4.97977
2019-03-20,4.97972,5.038034,4.94519,5.019427
2019-03-21,5.019704,5.024787,4.94870,4.95757
2019-03-22,4.95757,4.99268,4.60174,4.66660
2019-03-24,4.66135,4.77345,4.66135,4.72597
2019-03-25,4.72439,4.85362,4.68863,4.84018
2019-03-26,4.84092,5.084999,4.81439,5.027858
2019-03-27,5.027764,5.10310,4.96454,5.027232
2019-03-28,5.027232,5.037346,4.85726,4.89719
2019-03-29,4.89679,4.91762,4.81230,4.91588
2019-03-31,4.88892,4.89470,4.88116,4.88387
2019-04-01,4.88387,4.99101,4.76166,4.92984
2019-04-02,4.93011,4.93235,4.78534,4.84104
2019-04-03,4.84078,4.87610,4.79391,4.81462
2019-04-04,4.81462,4.83456,4.76374,4.79027
2019-04-05,4.78861,4.81420,4.72431,4.74206
2019-04-07,4.74299,4.74299,4.73084,4.73214
2019-04-08,4.73222,4.74612,4.65997,4.68536
2019-04-09,4.68611,4.74113,4.68536,4.70057
2019-04-10,4.70044,4.73775,4.67161,4.69500
2019-04-11,4.69608,4.72336,4.64625,4.66338
2019-04-12,4.66276,4.67648,4.58926,4.63526
2019-04-14,4.63912,4.64186,4.61993,4.62260
2019-04-15,4.62209,4.63711,4.58962,4.60191
2019-04-16,4.60215,4.65125,4.58255,4.61506
2019-04-17,4.61506,4.74276,4.60957,4.63715
2019-04-18,4.63707,4.64108,4.58758,4.61355
2019-04-19,4.61497,4.68185,4.60509,4.62485
2019-04-21,4.62214,4.62445,4.60740,4.61262
2019-04-22,4.61262,4.62246,4.56283,4.57688
2019-04-23,4.57739,4.59563,4.55467,4.56454
2019-04-24,4.56497,4.56607,4.52124,4.52779
2019-04-25,4.52840,4.53769,4.45087,4.47277
2019-04-26,4.47266,4.49688,4.43104,4.44765
2019-04-28,4.44716,4.44716,4.43879,4.43976
2019-04-29,4.43935,4.45896,4.43134,4.43655
2019-04-30,4.43629,4.44664,4.41481,4.42465
2019-05-01,4.42480,4.44454,4.42094,4.42680
2019-05-02,4.42680,4.47050,4.41296,4.46335
2019-05-03,4.46328,4.46471,4.42263,4.43502
2019-05-05,4.41658,4.42271,4.41341,4.41813
2019-05-06,4.41931,4.42928,4.29840,4.33870
2019-05-07,4.33863,4.34749,4.26128,4.27191
2019-05-08,4.27191,4.28090,4.23305,4.25558
2019-05-09,4.25607,4.25987,4.19869,4.25676
2019-05-10,4.25634,4.39198,4.25634,4.37459
2019-05-12,4.37465,4.38000,4.36137,4.36852
2019-05-13,4.36845,4.39323,4.26474,4.28798
2019-05-14,4.28777,4.40011,4.27767,4.36482
2019-05-15,4.36501,4.39651,4.32597,4.37791
2019-05-16,4.37722,4.39722,4.35225,4.35319
2019-05-17,4.35287,4.37309,4.32693,4.35380
2019-05-19,4.35646,4.35737,4.34878,4.34978
2019-05-20,4.34985,4.35489,4.31043,4.33509
2019-05-21,4.33408,4.36686,4.29499,4.31567
2019-05-22,4.31574,4.34334,4.29261,4.29261
2019-05-23,4.29257,4.33159,4.27679,4.31212
2019-05-24,4.31240,4.36790,4.30536,4.34536
2019-05-26,4.34300,4.34972,4.32648,4.34686
2019-05-27,4.34664,4.36506,4.33009,4.34915
2019-05-28,4.34922,4.42377,4.32755,4.39446
2019-05-29,4.39439,4.45319,4.37820,4.44088
2019-05-30,4.44118,4.60020,4.43720,4.55610
2019-05-31,4.55618,4.61599,4.53048,4.60027
2019-06-02,4.60025,4.60025,4.57814,4.58056
2019-06-03,4.58502,4.64059,4.56629,4.63682
2019-06-04,4.63666,4.72843,4.61680,4.70000
2019-06-05,4.69991,4.74840,4.66847,4.69617
2019-06-06,4.69601,4.70156,4.60038,4.60949
2019-06-07,4.60977,4.64281,4.52321,4.58714
2019-06-09,4.58958,4.58966,4.57960,4.58000
2019-06-10,4.57960,4.58864,4.50894,4.54314
2019-06-11,4.54291,4.57389,4.52765,4.56025
2019-06-12,4.56048,4.59197,4.52498,4.55390
2019-06-13,4.55382,4.55904,4.47885,4.50194
2019-06-14,4.50198,4.51994,4.44982,4.48056
2019-06-16,4.47094,4.47446,4.46170,4.46890
2019-06-17,4.46890,4.51739,4.46159,4.50184
2019-06-18,4.50181,4.53210,4.49198,4.52335
2019-06-19,4.52354,4.54828,4.45838,4.54208
2019-06-20,4.54075,4.60610,4.54020,4.56618
2019-06-21,4.56619,4.57158,4.47647,4.48954
2019-06-23,4.55099,4.55877,4.52679,4.53299
2019-06-24,4.53386,4.59005,4.49067,4.51251
2019-06-25,4.51220,4.55178,4.49088,4.51866
2019-06-26,4.51816,4.55316,4.50130,4.53490
2019-06-27,4.53529,4.55183,4.51819,4.53077
2019-06-28,4.53089,4.55464,4.51100,4.51563
2019-06-30,4.51571,4.56413,4.51571,4.55702
2019-07-01,4.55654,4.65849,4.54933,4.63149
2019-07-02,4.63113,4.64962,4.59398,4.62987
2019-07-03,4.62995,4.65547,4.59504,4.62613
2019-07-04,4.62584,4.67283,4.60372,4.60771
2019-07-05,4.60746,4.61546,4.55204,4.56190
2019-07-07,4.43528,4.47551,4.43329,4.46952
2019-07-08,4.47111,4.54236,4.44139,4.46288
2019-07-09,4.46292,4.51058,4.43380,4.47690
2019-07-10,4.47698,4.56160,4.45860,4.54820
2019-07-11,4.54801,4.62283,4.53186,4.53902
2019-07-12,4.53859,4.58815,4.46142,4.50236
2019-07-14,4.50299,4.50299,4.49364,4.49701
2019-07-15,4.49694,4.58317,4.49513,4.52277
2019-07-16,4.52253,4.55380,4.50364,4.53026
2019-07-17,4.53023,4.58897,4.51333,4.55457
2019-07-18,4.55461,4.62543,4.54864,4.61918
2019-07-19,4.61877,4.61988,4.53440,4.54955
2019-07-21,4.55076,4.55567,4.54545,4.55105
2019-07-22,4.55060,4.55060,4.50587,4.52101
2019-07-23,4.52093,4.52356,4.47594,4.47895
2019-07-24,4.47841,4.49168,4.43910,4.45879
2019-07-25,4.45906,4.50881,4.43369,4.46183
2019-07-26,4.46160,4.52448,4.46061,4.47444
2019-07-28,4.47436,4.48646,4.47428,4.48575
2019-07-29,4.48567,4.51784,4.47035,4.48979
2019-07-30,4.49003,4.51675,4.48082,4.50195
2019-07-31,4.50126,4.55454,4.47186,4.50055
2019-08-01,4.50152,4.56220,4.48576,4.52972
2019-08-02,4.52952,4.60606,4.52210,4.59637
2019-08-04,4.59711,4.60572,4.59620,4.60572
2019-08-05,4.60556,4.63527,4.53160,4.58424
2019-08-06,4.58448,4.64140,4.58227,4.61797
2019-08-07,4.61810,4.65252,4.55476,4.57375
2019-08-08,4.57426,4.64551,4.57234,4.58143
2019-08-09,4.58143,4.61459,4.55040,4.59190
2019-08-11,4.59257,4.59466,4.58505,4.59466
2019-08-12,4.58923,4.62735,4.51503,4.52605
2019-08-13,4.52601,4.53645,4.46679,4.51948
2019-08-14,4.51956,4.53749,4.48499,4.50926
2019-08-15,4.50926,4.56891,4.49828,4.54566
2019-08-16,4.54570,4.55707,4.50717,4.51343
2019-08-18,4.50987,4.51003,4.50406,4.50672
2019-08-19,4.50680,4.53251,4.42724,4.44526
2019-08-20,4.44604,4.45227,4.37294,4.38803
2019-08-21,4.38834,4.42463,4.38577,4.39384
2019-08-22,4.39384,4.39860,4.32191,4.34115
2019-08-23,4.34127,4.37625,4.33694,4.36173
2019-08-25,4.34662,4.34722,4.29095,4.30605
2019-08-26,4.30735,4.33843,4.30098,4.30576
2019-08-27,4.30576,4.33014,4.29106,4.31291
2019-08-28,4.31351,4.35462,4.30900,4.33017
2019-08-29,4.32987,4.34873,4.30768,4.32046
2019-08-30,4.32113,4.32113,4.29457,4.30651
2019-09-01,4.30319,4.30319,4.30142,4.30157
2019-09-02,4.30165,4.36314,4.29951,4.32327
2019-09-03,4.32320,4.41115,4.31373,4.40830
2019-09-04,4.40842,4.46702,4.40300,4.45314
2019-09-05,4.45318,4.48019,4.41230,4.41629
2019-09-06,4.41641,4.42577,4.37353,4.38773
2019-09-08,4.39172,4.39376,4.39111,4.39311
2019-09-09,4.39318,4.41319,4.32849,4.34231
2019-09-10,4.34235,4.34300,4.30422,4.33245
2019-09-11,4.33275,4.33865,4.30327,4.33563
2019-09-12,4.33567,4.38106,4.30042,4.37359
2019-09-13,4.37374,4.38440,4.33623,4.35997
2019-09-15,4.33375,4.33602,4.32709,4.32755
2019-09-16,4.32747,4.34363,4.31171,4.32388
2019-09-17,4.32388,4.35463,4.31292,4.34524
2019-09-18,4.34516,4.36422,4.33016,4.34136
2019-09-19,4.34109,4.34273,4.29380,4.29636
2019-09-20,4.29636,4.31575,4.24494,4.24922
2019-09-22,4.25026,4.25196,4.24908,4.25056
2019-09-23,4.25041,4.27335,4.23532,4.25204
2019-09-24,4.25204,4.27649,4.25070,4.26965
2019-09-25,4.26928,4.26988,4.21277,4.24612
2019-09-26,4.24612,4.26893,4.22980,4.25153
2019-09-27,4.25156,4.27328,4.22945,4.25190
2019-09-29,4.25025,4.25392,4.25025,4.25332
2019-09-30,4.25344,4.31554,4.24516,4.30996
2019-10-01,4.30981,4.34042,4.29722,4.30584
2019-10-02,4.30573,4.36856,4.29121,4.31935
2019-10-03,4.31927,4.38142,4.30962,4.32278
2019-10-04,4.32278,4.36165,4.30157,4.34927
2019-10-06,4.34851,4.34851,4.33361,4.33610
2019-10-07,4.33599,4.34833,4.21500,4.21760
2019-10-08,4.21774,4.28039,4.21388,4.22139
2019-10-09,4.22056,4.24624,4.18658,4.18751
2019-10-10,4.18715,4.20761,4.15555,4.19169
2019-10-11,4.19184,4.21845,4.17831,4.19044
2019-10-13,4.18119,4.18207,4.17973,4.18129
2019-10-14,4.18137,4.18268,4.15179,4.15788
2019-10-15,4.15676,4.22729,4.15498,4.18200
2019-10-16,4.18178,4.22526,4.17507,4.20886
2019-10-17,4.20965,4.25047,4.16516,4.24616
2019-10-18,4.24649,4.35230,4.24310,4.33022
2019-10-20,4.32701,4.32701,4.32466,4.32466
2019-10-21,4.32485,4.33221,4.24260,4.24644
2019-10-22,4.24666,4.29115,4.24257,4.27997
2019-10-23,4.27994,4.37052,4.27493,4.36169
2019-10-24,4.36138,4.38624,4.34149,4.36058
2019-10-25,4.36118,4.37945,4.34172,4.34263
2019-10-27,4.34774,4.35088,4.34443,4.34458
2019-10-28,4.34458,4.39594,4.34191,4.38253
2019-10-29,4.38234,4.39210,4.35769,4.35829
2019-10-30,4.35795,4.38714,4.34022,4.38399
2019-10-31,4.38349,4.38614,4.32493,4.34152
2019-11-01,4.34152,4.36255,4.29806,4.35299
2019-11-03,4.36458,4.36458,4.35800,4.35869
2019-11-04,4.35923,4.37283,4.31109,4.31624
2019-11-05,4.31628,4.32806,4.28871,4.29527
2019-11-06,4.29516,4.29980,4.26044,4.27392
2019-11-07,4.27377,4.28409,4.25333,4.25473
2019-11-08,4.25473,4.27058,4.24586,4.24936
2019-11-10,4.24899,4.25132,4.24752,4.24804
2019-11-11,4.24807,4.25235,4.22846,4.24385
2019-11-12,4.24385,4.24867,4.21898,4.22409
2019-11-13,4.22417,4.24008,4.20862,4.22343
