datetime,open,high,low,close
2012-06-15,18.36500,18.46600,18.36500,18.46600
2012-06-18,18.37600,18.46650,18.35600,18.46650
2012-06-19,18.43700,18.45300,18.41600,18.42800
2012-06-20,18.41400,18.44000,18.40400,18.42900
2012-06-21,18.42000,18.46100,18.40700,18.45600
2012-06-22,18.44900,18.48600,18.44400,18.47800
2012-06-25,18.46300,18.48850,18.45000,18.48850
2012-06-26,18.47800,18.48950,18.46300,18.48750
2012-06-27,18.47600,18.49400,18.45300,18.46900
2012-06-28,18.46900,18.49500,18.44800,18.49500
2012-06-29,18.46100,18.50550,18.46100,18.50550
2012-07-02,18.47300,18.51400,18.46600,18.49500
2012-07-03,18.48900,18.50050,18.46800,18.49650
2012-07-04,18.48000,18.50200,18.47100,18.49200
2012-07-05,18.48400,18.54050,18.46300,18.52750
2012-07-06,18.48500,18.49750,18.48500,18.49750
2012-07-09,18.48000,18.51550,18.47300,18.50450
2012-07-10,18.50800,18.51950,18.49600,18.50550
2012-07-11,18.49100,18.56500,18.47900,18.56100
2012-07-12,18.50200,18.57250,18.50200,18.56850
2012-07-13,18.50500,18.52900,18.48900,18.51700
2012-07-16,18.50500,18.53450,18.49400,18.52750
2012-07-17,18.53300,18.53950,18.50700,18.51550
2012-07-18,18.50600,18.57350,18.49100,18.57250
2012-07-19,18.56200,18.56950,18.49600,18.50850
2012-07-20,18.50900,18.51850,18.48600,18.51850
2012-07-23,18.49900,18.56100,18.49900,18.55100
2012-07-24,18.54800,18.56150,18.53400,18.56150
2012-07-25,18.56200,18.56900,18.54100,18.54700
2012-07-26,18.55700,18.56200,18.52500,18.54000
2012-07-27,18.53800,18.54550,18.51000,18.52950
2012-07-30,18.52400,18.54450,18.51300,18.52450
2012-07-31,18.51800,18.52900,18.50900,18.52200
2012-08-01,18.51900,18.53550,18.49300,18.50150
2012-08-02,18.49500,18.51250,18.48400,18.51050
2012-08-03,18.50600,18.53150,18.50300,18.52450
2012-08-06,18.52800,18.53650,18.5,18.51450
2012-08-07,18.52600,18.54650,18.49400,18.54550
2012-08-08,18.52900,18.55650,18.51200,18.55250
2012-08-09,18.55500,18.56350,18.5,18.50850
2012-08-10,18.5,18.51550,18.47700,18.49250
2012-08-13,18.47800,18.51750,18.45400,18.46450
2012-08-14,18.44900,18.46950,18.42000,18.4375
2012-08-15,18.43000,18.44700,18.42100,18.44000
2012-08-16,18.42600,18.44350,18.41100,18.43450
2012-08-17,18.43800,18.44550,18.40900,18.42250
2012-08-20,18.43000,18.45250,18.40900,18.42450
2012-08-21,18.43400,18.44600,18.41500,18.42800
2012-08-22,18.42100,18.43900,18.39200,18.40300
2012-08-23,18.39300,18.40450,18.36100,18.37550
2012-08-24,18.38600,18.39800,18.36000,18.37900
