datetime,open,high,low,close
2003-12-01,108.15000,108.15000,108.15000,108.15000
2003-12-02,108.94000,108.94000,108.94000,108.94000
2003-12-03,107.5,107.5,107.5,107.5
2003-12-04,107.32000,107.32000,107.32000,107.32000
2003-12-05,106.95000,106.95000,106.95000,106.95000
2003-12-08,106.78000,106.78000,106.78000,106.78000
2003-12-09,106.050003,106.050003,106.050003,106.050003
2003-12-10,106.21000,106.21000,106.21000,106.21000
2003-12-11,106,106,106,106
2003-12-12,104.36000,104.36000,104.36000,104.36000
2003-12-15,104.70000,104.70000,104.70000,104.70000
2003-12-16,103.77000,103.77000,103.77000,103.77000
2003-12-17,104.51000,104.51000,104.51000,104.51000
2003-12-18,103.75,103.75,103.75,103.75
2003-12-19,103.25,103.25,103.25,103.25
2003-12-22,101.86000,101.86000,101.86000,101.86000
2003-12-23,102.27000,102.27000,102.27000,102.27000
2003-12-29,101.94000,101.94000,101.94000,101.94000
2003-12-30,103.11000,103.11000,103.11000,103.11000
2003-12-31,102.11000,102.11000,102.11000,102.11000
2004-01-02,102.45000,102.45000,102.42000,102.42000
2004-01-05,101.40000,101.40000,101.40000,101.40000
2004-01-06,101.019997,101.019997,101.019997,101.019997
2004-01-07,101.61000,101.61000,101.61000,101.61000
2004-01-08,102.019997,102.019997,102.019997,102.019997
2004-01-09,101.29000,101.29000,101.29000,101.29000
2004-01-12,101.059998,101.059998,101.059998,101.059998
2004-01-13,101.85000,101.85000,101.85000,101.85000
2004-01-14,102.010002,102.010002,102.010002,102.010002
2004-01-15,102.30000,102.30000,102.30000,102.30000
2004-01-16,103.36000,103.36000,103.36000,103.36000
2004-01-19,104.23000,104.23000,104.23000,104.23000
2004-01-20,103.17000,103.17000,103.17000,103.17000
2004-01-21,102.089996,102.12000,102.089996,102.12000
2004-01-22,101.46000,101.46000,101.46000,101.46000
2004-01-23,101.47000,101.47000,101.47000,101.47000
2004-01-26,102.31000,102.31000,102.31000,102.31000
2004-01-27,102.46000,102.46000,102.46000,102.46000
2004-01-28,102.11000,102.11000,102.11000,102.11000
2004-01-29,102.68000,102.68000,102.68000,102.68000
2004-01-30,103.31000,103.31000,103.31000,103.31000
2004-02-02,103,103,103,103
2004-02-03,102.20000,102.20000,102.20000,102.20000
2004-02-04,102.20000,102.20000,102.20000,102.20000
2004-02-05,102.070000,102.070000,102.070000,102.070000
2004-02-06,102.39000,102.39000,102.39000,102.39000
2004-02-09,101.25,101.72000,101.25,101.72000
2004-02-10,100.92000,100.92000,100.92000,100.92000
2004-02-11,101.39000,101.39000,101.39000,101.39000
2004-02-12,100.68000,100.68000,100.68000,100.68000
2004-02-13,100.059998,100.059998,100.059998,100.059998
2004-02-16,100.46000,100.46000,100.46000,100.46000
2004-02-17,99.87600,99.87600,99.87600,99.87600
2004-02-18,99.84800,99.84800,99.84800,99.84800
2004-02-19,100.82000,100.82000,100.82000,100.82000
2004-02-20,100.91000,100.91000,100.91000,100.91000
2004-02-23,101.5,101.5,101.5,101.5
2004-02-24,101.12000,101.12000,101.12000,101.12000
2004-02-25,100.74000,100.74000,100.74000,100.74000
2004-02-26,101.69000,101.69000,101.69000,101.69000
2004-02-27,101.60000,101.60000,101.60000,101.60000
2004-03-01,101.25,101.25,101.25,101.25
2004-03-02,101.78000,101.78000,101.78000,101.78000
2004-03-03,103.12000,103.12000,103.12000,103.12000
2004-03-04,102.43000,102.43000,102.43000,102.43000
2004-03-05,102.41000,102.41000,102.41000,102.41000
2004-03-08,101.73000,101.73000,101.73000,101.73000
2004-03-09,102.27000,102.27000,102.27000,102.27000
2004-03-10,102.27000,102.81000,102.27000,102.81000
2004-03-11,102.75,102.75,102.75,102.75
2004-03-12,102.67000,102.67000,102.67000,102.67000
2004-03-15,102.17000,102.17000,102.17000,102.17000
2004-03-16,101.70000,101.70000,101.70000,101.70000
2004-03-17,102,102,102,102
2004-03-18,102.40000,102.40000,102.40000,102.40000
2004-03-19,101.76000,101.76000,101.76000,101.76000
2004-03-22,101.68000,101.68000,101.68000,101.68000
2004-03-23,102.12000,102.12000,102.12000,102.12000
2004-03-24,102.21000,102.21000,102.21000,102.21000
2004-03-25,102.85000,102.85000,102.85000,102.85000
2004-03-26,102.73000,102.73000,102.73000,102.73000
2004-03-29,103.15000,103.15000,103.15000,103.15000
2004-03-30,102.58000,102.58000,102.58000,102.58000
2004-03-31,102.37000,102.37000,102.37000,102.37000
2004-04-01,101.86000,101.86000,101.86000,101.86000
2004-04-02,101.83000,101.83000,101.83000,101.83000
2004-04-05,102.68000,102.68000,102.68000,102.68000
2004-04-06,103.059998,103.059998,103.059998,103.059998
2004-04-07,102.65000,102.65000,102.65000,102.65000
2004-04-08,102.38000,102.38000,102.38000,102.38000
2004-04-13,102.89000,102.89000,102.89000,102.89000
2004-04-14,102.91000,102.91000,102.91000,102.91000
2004-04-15,102.38000,102.38000,102.38000,102.38000
2004-04-16,102.25,102.25,102.25,102.25
2004-04-19,102.11000,102.11000,102.11000,102.11000
2004-04-20,102.25,102.71000,102.25,102.71000
2004-04-21,103.24000,103.24000,103.24000,103.24000
2004-04-22,103.21000,103.21000,103.21000,103.21000
2004-04-23,103.080002,103.080002,103.080002,103.080002
2004-04-26,103.32000,103.32000,103.32000,103.32000
2004-04-27,103.029999,103.029999,103.029999,103.029999
2004-04-28,102.75,102.75,102.75,102.75
2004-04-29,103.37000,103.37000,103.37000,103.37000
