datetime,open,high,low,close
2024-11-26,920.091980,921.34949,917.67999,920.42749
2024-11-27,920.42749,922.34448,917.67999,920.32001
2024-11-28,920.32001,921.088013,917.67999,920.091980
2024-11-29,920.091980,922.36951,913,921.22400
2024-11-30,921.22400,921.22400,921.22400,921.22400
2024-12-02,921.22400,922.63348,914.5,922.38452
2024-12-03,922.38452,922.39398,913.5,922.38452
2024-12-04,922.38452,922.85052,914.5,922.85052
2024-12-05,922.85052,922.85101,915.75098,921.46600
2024-12-06,921.46600,926.46600,915.75098,923.78802
2024-12-07,923.78802,923.78802,923.78802,923.78802
2024-12-09,919.083008,926.29199,919.083008,924.19153
2024-12-10,924.19153,927.13049,919.083008,923.69452
2024-12-11,923.69452,925.17999,919.083008,924.072998
2024-12-12,924.072998,925.73199,919.085999,924.071472
2024-12-13,924.071472,926.47748,919.085999,923.43500
2024-12-14,923.43500,923.44049,919.088989,923.44049
2024-12-16,912.38898,912.38898,912.38898,912.38898
2024-12-17,912.38898,912.38898,912.38898,912.38898
2024-12-18,912.38898,915.22241,912.38898,915.22241
2024-12-19,915.22241,918,915.22241,918
2024-12-20,918,918,918,918
2024-12-21,918,918,918,918
2024-12-23,918,918,912,912
2024-12-24,912,912,912,912
2024-12-25,912,912,912,912
2024-12-26,912,912,912,912
2024-12-27,912,912,912,912
2024-12-28,912,912,912,912
2024-12-30,912,912,912,912
2024-12-31,912,912,912,912
2025-01-01,912,912,912,912
2025-01-02,912,912,912,912
2025-01-03,912,912,912,912
2025-01-04,912,912,912,912
2025-01-06,912,913.5,912,913.5
2025-01-07,913.5,914.5,912,914.5
2025-01-08,914.5,914.5,912,914.5
2025-01-09,914.5,914.5,912,912
2025-01-10,912,914.5,912,912
2025-01-11,912,912,912,912
2025-01-13,912,914.5,912,913.5
2025-01-14,913.5,913.5,912,913.5
2025-01-15,913.5,914.5,912,913.5
2025-01-16,913.5,913.5,912,913.5
2025-01-17,913.5,914.5,912,913.5
2025-01-18,913.5,913.5,913.5,913.5
2025-01-20,913.5,913.5,912,912
2025-01-21,912,914.5,912,914.5
2025-01-22,914.5,914.5,912,913.5
2025-01-23,913.5,913.5,912,913.5
2025-01-24,913.5,914.5,912,914.5
2025-01-25,914.5,914.5,913.5,913.5
2025-01-27,913.5,914.5,912,914.5
2025-01-28,914.5,914.5,912,914.5
2025-01-29,914.5,914.5,912,914.5
2025-01-30,914.5,914.5,912,912
2025-01-31,912,914,912,912
2025-02-01,912,912,912,912
2025-02-03,912,912,912,912
2025-02-04,912,914.5,912,914.5
2025-02-05,914.5,914.5,912,913.5
2025-02-06,913.5,914.5,912,914.5
2025-02-07,914.5,914.5,912,913.5
2025-02-08,913.5,913.5,913.5,913.5
2025-02-10,913.5,913.5,912,913.5
2025-02-11,913.5,914.5,912,914.5
2025-02-12,914.5,914.5,912,912
2025-02-13,912,914.5,912,914.5
2025-02-14,914.5,914.5,912,913.5
2025-02-15,913.5,913.5,913.5,913.5
2025-02-17,914.5,914.5,912,912
2025-02-18,914.5,916,914.5,916
2025-02-19,912,916.5,912,916.5
2025-02-20,912,916.5,912,916.5
2025-02-21,912,916.5,912,916.5
2025-02-22,916,916,916,916
2025-02-24,912,921.12000,912,912
2025-02-25,921.12000,921.12000,921.12000,921.12000
2025-02-26,921.12000,921.12000,921.12000,921.12000
2025-02-27,921.12000,921.18500,918.70001,921.12000
2025-02-28,921.12000,921.12000,921.12000,921.12000
2025-03-01,918.70001,918.70001,918.70001,918.70001
2025-03-03,918.70001,921.12000,918.70001,921.12000
2025-03-04,921.12000,921.12000,921.12000,921.12000
2025-03-05,921.12000,921.25,921.12000,921.12000
2025-03-06,921.12000,921.18500,918.70001,921.12000
2025-03-07,918.70001,921.12000,915,921.12000
2025-03-08,921.12000,921.12000,921.12000,921.12000
2025-03-10,921.12000,921.12000,918.70001,921.12000
2025-03-11,921.12000,921.12000,921.12000,921.12000
2025-03-12,921.12000,921.12000,921.12000,921.12000
2025-03-13,921.12000,921.12000,921.12000,921.12000
2025-03-14,921.12000,921.18500,921.12000,921.12000
2025-03-15,921.12000,921.12000,921.12000,921.12000
2025-03-17,918.70001,921.12903,918.70001,921.12000
2025-03-18,921.12000,921.12000,921.12000,921.12000
2025-03-19,921.12000,921.12000,921.12000,921.12000
2025-03-20,921.12000,921.25,921.12000,921.12000
2025-03-21,921.12000,921.12000,914.5,914.5
2025-03-22,914,914,914,914
2025-03-24,921.12000,921.12000,921.12000,921.12000
2025-03-25,921.12000,921.12000,921.12000,921.12000
2025-03-26,921.12000,921.12000,921.075012,921.075012
