datetime,open,high,low,close
1990-11-19,0.52399999,0.52649999,0.52200001,0.52450001
1990-11-20,0.51800001,0.52249998,0.51450002,0.51849997
1990-11-21,0.52249998,0.52649999,0.51700002,0.52300000
1990-11-22,0.52600002,0.52850002,0.52300000,0.52649999
1990-11-23,0.51999998,0.52950001,0.51999998,0.52050000
1990-11-26,0.51899999,0.52200001,0.51749998,0.51950002
1990-11-27,0.51910001,0.52050000,0.51849997,0.51950002
1990-11-28,0.51499999,0.52050000,0.51200002,0.51550001
1990-11-29,0.50700003,0.51599997,0.50400001,0.50749999
1990-11-30,0.51400000,0.51550001,0.50050002,0.51450002
1990-12-03,0.52800000,0.53500003,0.51999998,0.52899998
1990-12-04,0.5,0.50999999,0.49800000,0.50050002
1990-12-05,0.49399999,0.50050002,0.49300000,0.49450001
1990-12-06,0.49579999,0.49820000,0.49200001,0.49599999
1990-12-07,0.5,0.50419998,0.49399999,0.50050002
1990-12-10,0.50199997,0.50800002,0.50099999,0.50250000
1990-12-11,0.50250000,0.50520003,0.50099999,0.50279999
1990-12-12,0.50099999,0.50300002,0.49950001,0.50150001
1990-12-13,0.50599998,0.50650001,0.49900001,0.50650001
1990-12-14,0.49900001,0.50150001,0.49750000,0.49950001
1990-12-17,0.49900001,0.50019997,0.49599999,0.49919999
1990-12-18,0.49730000,0.49919999,0.49730000,0.49750000
1990-12-19,0.49599999,0.49950001,0.49599999,0.49700001
1990-12-20,0.49700001,0.49800000,0.49399999,0.49750000
1990-12-21,0.50900000,0.50950003,0.49649999,0.50950003
1990-12-24,0.52600002,0.53149998,0.50700003,0.52649999
1990-12-25,0.52600002,0.52649999,0.52600002,0.52649999
1990-12-26,0.56000000,0.56400001,0.50550002,0.56099999
1990-12-27,0.55599999,0.56750000,0.55400002,0.55650002
1990-12-28,0.56900001,0.56999999,0.53200001,0.56999999
1990-12-31,0.56900001,0.56999999,0.56900001,0.56999999
1991-01-02,0.58600003,0.59450001,0.57700002,0.58649999
1991-01-03,0.58399999,0.58800000,0.57700002,0.58450001
1991-01-04,0.58600003,0.58649999,0.58200002,0.58649999
1991-01-07,0.56599998,0.58649999,0.56199998,0.56650001
1991-01-08,0.57300001,0.57400000,0.55750000,0.57349998
1991-01-09,0.58749998,0.59050000,0.57800001,0.58800000
1991-01-10,0.59299999,0.59399998,0.58249998,0.59350002
1991-01-11,0.58499998,0.59850001,0.58499998,0.58550000
1991-01-14,0.62300003,0.66549999,0.52800000,0.62349999
1991-01-15,0.61299998,0.64700001,0.60250002,0.61400002
1991-01-16,0.61900002,0.63450003,0.61600000,0.61949998
1991-01-17,0.62150002,0.63300002,0.62000000,0.62199998
1991-01-18,0.61199999,0.62449998,0.61199999,0.61250001
1991-01-21,0.60900003,0.61900002,0.60500002,0.60949999
1991-01-22,0.60900003,0.60930002,0.60650003,0.60930002
1991-01-23,0.63900000,0.63950002,0.60500002,0.63950002
1991-01-24,0.66149998,0.66350001,0.63499999,0.66200000
1991-01-25,0.69900000,0.70599997,0.68300003,0.69999999
1991-01-28,0.74500000,0.82050002,0.73000002,0.74550003
1991-01-29,0.74500000,0.74550003,0.74500000,0.74550003
1991-01-30,0.95499998,0.95999998,0.81999999,0.95999998
1991-01-31,0.94999999,0.98750001,0.92500001,0.95249999
1991-02-01,0.94199997,0.94300002,0.92000002,0.94300002
1991-02-04,0.91200000,0.94099998,0.90399998,0.91299999
1991-02-05,0.89999998,0.90649998,0.89899999,0.90050000
1991-02-06,0.89999998,0.90319997,0.89950001,0.90020001
1991-02-07,0.89950001,0.90149999,0.89899999,0.89999998
1991-02-08,0.89950001,0.90069997,0.89899999,0.89980000
1991-02-11,0.95999998,0.96249998,0.89999998,0.96249998
1991-02-12,0.94000000,0.95300001,0.92799997,0.94099998
1991-02-13,0.93500000,0.94099998,0.91600001,0.93599999
1991-02-14,0.96499997,0.97100002,0.93500000,0.96600002
1991-02-15,0.94599998,0.96899998,0.94499999,0.94700003
1991-02-18,0.94400001,0.95599997,0.93599999,0.94499999
1991-02-19,0.93500000,0.94250000,0.92000002,0.93550003
1991-02-20,0.9375,0.93949997,0.92299998,0.93800002
1991-02-21,0.9375,0.94599998,0.93000001,0.93849999
1991-02-22,0.93300003,0.94650000,0.93199998,0.93349999
1991-02-25,0.93800002,0.93849999,0.93199998,0.93849999
1991-02-26,0.95700002,0.96850002,0.94300002,0.95749998
1991-02-27,0.97899997,0.97950000,0.96100003,0.97950000
1991-02-28,0.99500000,0.99599999,0.97500002,0.99599999
1991-03-01,0.99800003,0.99849999,0.99699998,0.99849999
1991-03-04,0.92900002,0.95050001,0.92799997,0.92949998
1991-03-05,0.93000001,0.94349998,0.93000001,0.93049997
1991-03-06,0.92949998,0.93650001,0.92949998,0.93000001
1991-03-07,0.93000001,0.93150002,0.92900002,0.93049997
1991-03-08,0.92949998,0.94849998,0.92900002,0.93000001
1991-03-11,0.92949998,0.93370003,0.92900002,0.93049997
1991-03-12,0.93550003,0.93699998,0.93400002,0.93650001
1991-03-13,0.93900001,0.94199997,0.93900001,0.93949997
1991-03-14,0.94000000,0.94300002,0.94000000,0.94099998
1991-03-15,0.94199997,0.94349998,0.94120002,0.94250000
1991-03-18,0.96700001,0.96749997,0.94300002,0.96749997
1991-03-19,0.94950002,0.95020002,0.94800001,0.94970000
1991-03-20,0.94999999,0.95249999,0.94999999,0.95050001
1991-03-21,0.95200002,0.95380002,0.95099998,0.95230001
1991-03-22,0.95599997,0.95749998,0.95349997,0.95649999
1991-03-25,0.95800000,0.96350002,0.95800000,0.95899999
1991-03-26,0.95999998,0.96249998,0.95950001,0.96100003
1991-03-27,0.96149999,0.96350002,0.95999998,0.96249998
