datetime,open,high,low,close
2003-04-21,1030,1035,1025,1030
2003-12-01,1043,1043,1043,1043
2003-12-02,1041.69995,1041.69995,1041.69995,1041.69995
2003-12-03,1042.90002,1042.90002,1042.90002,1042.90002
2003-12-04,1042.5,1042.5,1042.5,1042.5
2003-12-05,1042.5,1042.5,1042.5,1042.5
2003-12-08,1042.59998,1042.59998,1042.59998,1042.59998
2003-12-09,1043.099976,1043.099976,1043.099976,1043.099976
2003-12-10,1041.90002,1041.90002,1041.90002,1041.90002
2003-12-11,1041.40002,1041.40002,1041.40002,1041.40002
2003-12-12,1041.90002,1041.90002,1041.90002,1041.90002
2003-12-15,1041.69995,1041.69995,1041.69995,1041.69995
2003-12-16,1041.30005,1041.30005,1041.30005,1041.30005
2003-12-17,1042.69995,1042.69995,1042.69995,1042.69995
2003-12-18,1042.099976,1042.099976,1042.099976,1042.099976
2003-12-19,1039.90002,1039.90002,1039.90002,1039.90002
2003-12-22,1041,1041,1041,1041
2003-12-23,1041.19995,1041.19995,1041.19995,1041.19995
2003-12-29,1041.30005,1041.30005,1041.30005,1041.30005
2003-12-30,1041.30005,1041.30005,1041.30005,1041.30005
2003-12-31,1031.30005,1031.30005,1031.30005,1031.30005
2004-01-02,1041.59998,1041.59998,1041.59998,1041.59998
2004-01-05,1041.40002,1041.40002,1041.40002,1041.40002
2004-01-06,1040.5,1040.5,1040.5,1040.5
2004-01-07,1041.099976,1041.099976,1041.099976,1041.099976
2004-01-08,1039.40002,1039.40002,1039.40002,1039.40002
2004-01-09,1049.80005,1049.80005,1049.80005,1049.80005
2004-01-12,1049.30005,1049.30005,1049.30005,1049.30005
2004-01-13,1048.40002,1048.40002,1048.40002,1048.40002
2004-01-14,1048.40002,1048.40002,1048.40002,1048.40002
2004-01-15,1048.30005,1048.30005,1048.30005,1048.30005
2004-01-16,1050.099976,1050.099976,1050.099976,1050.099976
2004-01-19,1047.099976,1047.099976,1047.099976,1047.099976
2004-01-20,1046.69995,1046.69995,1046.69995,1046.69995
2004-01-21,1047.30005,1047.69995,1047.30005,1047.69995
2004-01-22,1049,1049,1049,1049
2004-01-23,1050.19995,1050.19995,1050.19995,1050.19995
2004-01-26,1049.19995,1049.19995,1049.19995,1049.19995
2004-01-27,1047.80005,1047.80005,1047.80005,1047.80005
2004-01-28,1049.19995,1049.19995,1049.19995,1049.19995
2004-01-29,1049,1049,1049,1049
2004-01-30,1047.5,1047.5,1047.5,1047.5
2004-02-02,1047.30005,1047.30005,1047.30005,1047.30005
2004-02-03,1048.80005,1048.80005,1048.80005,1048.80005
2004-02-04,1048.80005,1048.80005,1048.80005,1048.80005
2004-02-05,1048.19995,1048.19995,1048.19995,1048.19995
2004-02-06,1048.69995,1048.69995,1048.69995,1048.69995
2004-02-09,1048.90002,1053.69995,1048.90002,1053.69995
2004-02-10,1048.5,1048.5,1048.5,1048.5
2004-02-11,1048.40002,1048.40002,1048.40002,1048.40002
2004-02-12,1048.80005,1048.80005,1048.80005,1048.80005
2004-02-13,1049.099976,1049.099976,1049.099976,1049.099976
2004-02-16,1049.30005,1049.30005,1049.30005,1049.30005
