datetime,open,high,low,close
2004-06-08,4.73930,4.78350,4.70590,4.77440
2004-06-09,4.79620,4.85650,4.77330,4.82170
2004-06-10,4.83090,4.86730,4.79620,4.84380
2004-06-11,4.76190,4.82590,4.70590,4.77330
2004-06-14,4.79160,4.80890,4.79160,4.80890
2004-06-15,4.77780,4.78470,4.77780,4.78470
2004-06-16,4.75060,4.80520,4.67290,4.76880
2004-06-17,4.74160,4.75970,4.74160,4.75970
2004-06-18,4.74160,4.74730,4.74160,4.74730
2004-06-21,4.69040,4.69710,4.69040,4.69710
2004-06-22,4.67510,4.71010,4.64900,4.67740
2004-06-23,4.65550,4.68910,4.57670,4.64150
2004-06-24,4.64040,4.70700,4.55580,4.65230
2004-06-25,4.66850,4.71230,4.62960,4.67300
2004-06-28,4.67290,4.68690,4.54550,4.60300
2004-06-29,4.60830,4.64680,4.59350,4.64250
2004-06-30,4.64040,4.68270,4.57670,4.64580
2004-07-01,4.61250,4.63720,4.58720,4.63720
2004-07-02,4.60620,4.67560,4.53510,4.58830
2004-07-05,4.55580,4.60510,4.52490,4.59240
2004-07-06,4.58720,4.62960,4.57670,4.60200
2004-07-07,4.60830,4.63260,4.56410,4.58830
2004-07-08,4.54550,4.59870,4.48430,4.54030
2004-07-09,4.53510,4.54030,4.53510,4.54030
2004-07-12,4.55580,4.57630,4.48430,4.53520
2004-07-13,4.54550,4.58920,4.50450,4.55790
2004-07-14,4.54960,4.59220,4.51470,4.54040
2004-07-15,4.53720,4.58500,4.49440,4.56210
2004-07-16,4.54550,4.58220,4.47430,4.49450
2004-07-19,4.45430,4.48440,4.43460,4.47450
2004-07-20,4.43460,4.49460,4.43460,4.49460
2004-07-21,4.48830,4.57240,4.46430,4.54980
2004-07-22,4.52490,4.57030,4.49440,4.55370
2004-07-23,4.52690,4.64130,4.52690,4.61790
2004-07-26,4.62750,4.64650,4.55580,4.60830
2004-07-27,4.58720,4.64100,4.58720,4.64100
2004-07-28,4.66850,4.70020,4.63610,4.66310
2004-07-29,4.65120,4.68710,4.63820,4.66960
2004-07-30,4.64900,4.72410,4.56620,4.61960
2004-08-02,4.62960,4.67490,4.62110,4.64250
2004-08-03,4.67290,4.72020,4.61890,4.68720
2004-08-04,4.66200,4.69810,4.64470,4.69150
2004-08-05,4.65980,4.66630,4.59770,4.66200
2004-08-06,4.63820,4.66730,4.58930,4.60300
2004-08-09,4.56830,4.57460,4.56830,4.57460
2004-08-10,4.58300,4.58830,4.58300,4.58830
2004-08-11,4.58300,4.59990,4.58300,4.59990
2004-08-12,4.60190,4.61900,4.60190,4.61900
2004-08-13,4.73930,4.75630,4.73930,4.75630
2004-08-16,4.74380,4.78160,4.74380,4.78160
2004-08-17,4.75290,4.77110,4.75290,4.77110
2004-08-18,4.77550,4.78240,4.77550,4.78240
2004-08-19,4.80080,4.80650,4.80080,4.80650
2004-08-20,4.78240,4.80090,4.78240,4.80090
