datetime,open,high,low,close
1990-11-19,328,328.75,328,328.75
1990-11-20,327.5,328.5,327,328
1990-11-21,327.5,328.25,327.5,328.25
1990-11-22,327.5,328.75,327.5,328.25
1990-11-23,329,329.75,328,329.75
1990-11-26,329,329.75,329,329.75
1990-11-27,330,330.75,329.5,330.75
1990-11-28,331,331.5,330,331.5
1990-11-29,331.5,332,330.5,332
1990-11-30,331.5,332.25,331,332.25
1990-12-03,331.5,332.25,331.5,332.25
1990-12-04,331.5,332.25,331.5,332.25
1990-12-05,331.5,332.25,331.5,332.25
1990-12-06,331.5,332.25,331.5,332.25
1990-12-07,331.5,332.25,331.5,332.25
1990-12-10,331.5,332.25,331.5,332.25
1990-12-11,331.5,332.25,331.5,332.25
1990-12-12,331.5,332.25,331.5,332.25
1990-12-13,331.5,332.25,331.5,332.25
1990-12-14,331.5,332.25,331.5,332.25
1990-12-17,331.5,332.25,331.5,332.25
1990-12-18,331.5,332.25,331.5,332.25
1990-12-19,331.5,332.25,331.5,332.25
1990-12-20,331.5,332.25,331.5,332.25
1990-12-21,331.5,332.25,331.5,332.25
1990-12-24,331.5,332.25,331.5,332.25
1990-12-25,331.5,332.25,331.5,332.25
1990-12-26,331.5,332.25,331.5,332.25
1990-12-27,331.5,332.25,331.5,332.25
1990-12-28,331.5,332.25,331.5,332.25
1990-12-31,331.5,332.25,331.5,332.25
1991-01-02,331.5,332.25,331.5,332.25
1991-01-03,331.5,332.25,331.5,332.25
1991-01-04,331.5,332.25,331.5,332.25
1991-01-07,331.5,332.25,331.5,332.25
1991-01-08,331.5,332.25,331.5,332.25
1991-01-09,331.5,332.25,331.5,332.25
1991-01-10,331.5,332.25,331.5,332.25
1991-01-11,331.5,332.25,331.5,332.25
1991-01-14,341,342,341,342
1991-01-15,341,342,341,342
1991-01-16,341,342,341,342
1991-01-17,341,342,341,342
1991-01-18,341,342,341,342
1991-01-21,341,342,341,342
1991-01-22,341,342,341,342
1991-01-23,341,342,341,342
1991-01-24,341,342,341,342
1991-01-25,341,342,341,342
1991-01-28,341,342,341,342
1991-01-29,341,342,341,342
1991-01-30,341,342,341,342
1991-01-31,341,342,341,342
1991-02-01,341,342,341,342
1991-02-04,341,342,341,342
1991-02-05,341,342,341,342
1991-02-06,341,342,341,342
1991-02-07,341,342,341,342
1991-02-08,341,342,341,342
1991-02-11,341,342,341,342
1991-02-12,341,342,341,342
1991-02-13,341,342,341,342
1991-02-14,341,342,341,342
1991-02-15,341,342,341,342
1991-02-18,341,342,341,342
1991-02-19,341,342,341,342
1991-02-20,341,342,341,342
1991-02-21,341,342,341,342
1991-02-22,339.5,340,339,340
1991-02-25,339.5,340,339.5,340
1991-02-26,339.5,340,339.5,340
1991-02-27,339.5,340,339.5,340
1991-02-28,339.5,340,339.5,340
1991-03-01,340,340.5,339.5,340.5
1991-03-04,340,340.5,339.5,340.5
