datetime,open,high,low,close
1988-03-02,6.47730,6.47830,6.44250,6.47730
1988-03-03,6.47150,6.47590,6.46740,6.47150
1988-03-04,6.45750,6.48270,6.45680,6.45750
1988-03-07,6.39940,6.43390,6.39740,6.39940
1988-03-08,6.36290,6.39130,6.35980,6.36290
1988-03-09,6.37490,6.37590,6.36090,6.37490
1988-03-10,6.37250,6.38920,6.36190,6.37250
1988-03-11,6.34990,6.35440,6.34180,6.34990
1988-03-14,6.36290,6.36330,6.32980,6.36290
1988-03-15,6.40730,6.40830,6.35370,6.40730
1988-03-16,6.43220,6.43390,6.39400,6.43220
1988-03-17,6.48240,6.49230,6.42230,6.48240
1988-03-18,6.48340,6.50080,6.46980,6.48340
1988-03-21,6.47420,6.48820,6.46230,6.47420
1988-03-22,6.48720,6.50390,6.45750,6.48720
1988-03-23,6.47930,6.49780,6.47930,6.47930
1988-03-24,6.43700,6.46120,6.43290,6.43700
1988-03-25,6.42090,6.43490,6.41380,6.42090
1988-03-28,6.36940,6.37830,6.35750,6.36940
1988-03-29,6.39190,6.39470,6.35980,6.39190
1988-03-30,6.38920,6.39980,6.38680,6.38920
1988-03-31,6.35980,6.36330,6.35980,6.35980
1988-04-01,6.36400,6.36400,6.36400,6.36400
1988-04-04,6.33730,6.35370,6.33220,6.33730
1988-04-05,6.39020,6.39530,6.34350,6.39020
1988-04-06,6.42130,6.43490,6.37520,6.42130
1988-04-07,6.41580,6.43770,6.39470,6.41580
1988-04-08,6.41070,6.41690,6.39230,6.41070
1988-04-11,6.44720,6.46980,6.40730,6.44720
1988-04-12,6.47320,6.47900,6.44480,6.47320
1988-04-13,6.48790,6.49570,6.45920,6.48790
1988-04-14,6.37250,6.47690,6.36500,6.37250
1988-04-15,6.38340,6.38750,6.37350,6.38340
1988-04-18,6.38990,6.39400,6.35980,6.38990
1988-04-19,6.39230,6.40800,6.38780,6.39230
1988-04-20,6.40220,6.40490,6.38000,6.40220
1988-04-21,6.41070,6.41070,6.38920,6.41070
1988-04-22,6.43090,6.43600,6.39980,6.43090
1988-04-25,6.43770,6.45030,6.42740,6.43770
1988-04-26,6.44520,6.44930,6.42370,6.44520
1988-04-27,6.45990,6.46290,6.44280,6.45990
1988-04-28,6.42980,6.43870,6.42370,6.42980
1988-04-29,6.45370,6.46290,6.41990,6.45370
1988-05-02,6.47970,6.48720,6.46640,6.47970
1988-05-03,6.47040,6.47040,6.45240,6.47040
1988-05-04,6.45990,6.47320,6.45990,6.45990
1988-05-05,6.49370,6.49370,6.44790,6.49370
1988-05-06,6.47930,6.49670,6.46740,6.47930
1988-05-09,6.47730,6.48140,6.46120,6.47730
1988-05-10,6.46840,6.47080,6.45990,6.46840
1988-05-11,6.46120,6.46770,6.42740,6.46120
1988-05-12,6.45880,6.45880,6.45240,6.45880
1988-05-13,6.45170,6.45750,6.43970,6.45170
1988-05-16,6.46800,6.47170,6.44970,6.46800
1988-05-17,6.53030,6.53580,6.44420,6.53030
1988-05-18,6.52110,6.53030,6.51200,6.52110
1988-05-19,6.49370,6.49730,6.48450,6.49370
1988-05-20,6.49180,6.49730,6.47900,6.49180
1988-05-23,6.48450,6.49000,6.48080,6.48450
1988-05-24,6.47720,6.48270,6.46620,6.47720
1988-05-25,6.49370,6.49910,6.47170,6.49370
1988-05-26,6.51010,6.51750,6.49370,6.51010
1988-05-27,6.53210,6.54310,6.49370,6.53210
1988-05-30,6.56140,6.57060,6.53390,6.56140
1988-05-31,6.58890,6.59070,6.54130,6.58890
1988-06-01,6.57970,6.57970,6.54490,6.57970
1988-06-02,6.59070,6.60350,6.56870,6.59070
1988-06-03,6.56320,6.57420,6.55410,6.56320
1988-06-06,6.54680,6.55590,6.54130,6.54680
1988-06-07,6.51560,6.53760,6.50650,6.51560
1988-06-08,6.56690,6.56690,6.50830,6.56690
1988-06-09,6.54860,6.55590,6.53390,6.54860
1988-06-10,6.54130,6.54860,6.51380,6.54130
1988-06-13,6.54680,6.55960,6.54310,6.54680
1988-06-14,6.63280,6.63650,6.53940,6.63280
1988-06-15,6.65850,6.65850,6.62000,6.65850
1988-06-16,6.65660,6.67490,6.63100,6.65660
1988-06-17,6.65480,6.68040,6.64930,6.65480
1988-06-20,6.68960,6.69320,6.66210,6.68960
1988-06-21,6.67130,6.68590,6.67130,6.67130
1988-06-22,6.76830,6.77750,6.67680,6.76830
1988-06-23,6.77200,6.80680,6.74450,6.77200
1988-06-24,6.87450,6.87450,6.79210,6.87450
1988-06-27,6.91300,6.93130,6.87820,6.91300
1988-06-28,6.92580,6.92580,6.81960,6.92580
1988-06-29,6.90200,6.93310,6.88920,6.90200
1988-06-30,6.88730,6.93310,6.87270,6.88730
1988-07-01,6.91660,6.92950,6.89830,6.91660
1988-07-04,6.93310,6.93310,6.91850,6.93310
1988-07-05,6.91480,6.93490,6.90200,6.91480
1988-07-06,6.89470,6.92030,6.87820,6.89470
1988-07-07,6.92210,6.92580,6.87820,6.92210
1988-07-08,6.96790,6.96970,6.90750,6.96790
1988-07-11,7.0044999,7.037500,6.97890,7.0044999
1988-07-12,6.98620,7.015500,6.97710,6.98620
1988-07-13,7.017300,7.044800,6.98440,7.017300
1988-07-14,7.064900,7.064900,7.017300,7.064900
1988-07-15,7.15100,7.15650,7.046600,7.15100
1988-07-18,7.14370,7.20410,7.13640,7.14370
1988-07-19,7.099700,7.11620,7.079600,7.099700
1988-07-20,7.066800,7.068600,7.015500,7.066800
1988-07-21,6.98800,7.0064001,6.97340,6.98800
1988-07-22,6.95140,6.95870,6.93310,6.95140
1988-07-25,7.019200,7.019200,6.95140,7.019200
1988-07-26,7.052100,7.068600,7.0044999,7.052100
1988-07-27,7.083300,7.10890,7.00089979,7.083300
1988-07-28,7.083300,7.090600,7.0044999,7.083300
1988-07-29,7.13270,7.13640,7.070400,7.13270
