datetime,open,high,low,close
1990-05-30,2.67920,2.67920,2.67920,2.67920
1990-05-31,2.68920,2.68920,2.68920,2.68920
1990-06-01,2.68920,2.68920,2.68920,2.68920
1990-06-04,2.69670,2.69670,2.69670,2.69670
1990-06-05,2.69670,2.69670,2.69670,2.69670
1990-06-06,2.69670,2.69670,2.69670,2.69670
1990-06-07,2.68920,2.68920,2.68920,2.68920
1990-06-08,2.68920,2.68920,2.68920,2.68920
1990-06-11,2.69670,2.69670,2.69670,2.69670
1990-06-12,2.69920,2.69920,2.69920,2.69920
1990-06-13,2.70920,2.70920,2.70920,2.70920
1990-06-14,2.70920,2.70920,2.70920,2.70920
1990-06-15,2.70920,2.70920,2.70920,2.70920
1990-06-18,2.71670,2.71670,2.71670,2.71670
1990-06-19,2.70670,2.70670,2.70670,2.70670
1990-06-20,2.70670,2.70670,2.70670,2.70670
1990-06-21,2.70670,2.70670,2.70670,2.70670
1990-06-22,2.71920,2.71920,2.71920,2.71920
1990-06-25,2.70920,2.70920,2.70920,2.70920
1990-06-26,2.70920,2.70920,2.70920,2.70920
1990-06-27,2.70920,2.70920,2.70920,2.70920
1990-06-28,2.71920,2.71920,2.71920,2.71920
1990-06-29,2.71920,2.71920,2.71920,2.71920
1990-07-02,2.71920,2.71920,2.71920,2.71920
1990-07-03,2.71920,2.71920,2.71920,2.71920
1990-07-04,2.71670,2.71670,2.71670,2.71670
1990-07-05,2.71670,2.71670,2.71670,2.71670
1990-07-06,2.71670,2.71670,2.71670,2.71670
1990-07-09,2.70670,2.70670,2.70670,2.70670
1990-07-10,2.70670,2.70670,2.70670,2.70670
1990-07-11,2.70670,2.70670,2.70670,2.70670
1990-07-12,2.71670,2.71670,2.71670,2.71670
1990-07-13,2.71670,2.71670,2.71670,2.71670
1990-07-16,2.70670,2.70670,2.70670,2.70670
1990-07-17,2.71670,2.71670,2.71670,2.71670
1990-07-18,2.71670,2.71670,2.71670,2.71670
1990-07-19,2.70670,2.70670,2.70670,2.70670
1990-07-20,2.70670,2.70670,2.70670,2.70670
1990-07-23,2.70670,2.70670,2.70670,2.70670
1990-07-24,2.70920,2.70920,2.70920,2.70920
1990-07-25,2.70920,2.70920,2.70920,2.70920
1990-07-26,2.70670,2.70670,2.70670,2.70670
1990-07-27,2.70670,2.70670,2.70670,2.70670
1990-07-30,2.71670,2.71670,2.71670,2.71670
1990-07-31,2.71670,2.71670,2.71670,2.71670
1990-08-01,2.70670,2.70670,2.70670,2.70670
1990-08-02,2.72670,2.72670,2.72670,2.72670
1990-08-03,2.71670,2.71670,2.71670,2.71670
1990-08-06,2.70670,2.70670,2.70670,2.70670
1990-08-07,2.71670,2.71670,2.71670,2.71670
1990-08-08,2.72670,2.72670,2.72670,2.72670
1990-08-09,2.72670,2.72670,2.72670,2.72670
1990-08-10,2.72670,2.72670,2.72670,2.72670
1990-08-13,2.71670,2.71670,2.71670,2.71670
1990-08-14,2.71670,2.71670,2.71670,2.71670
1990-08-15,2.70670,2.70670,2.70670,2.70670
1990-08-16,2.70670,2.70670,2.70670,2.70670
1990-08-20,2.70670,2.70670,2.70670,2.70670
1990-08-21,2.70670,2.70670,2.70670,2.70670
1990-08-22,2.69670,2.69670,2.69670,2.69670
1990-08-23,2.69670,2.69670,2.69670,2.69670
1990-08-24,2.69670,2.69670,2.69670,2.69670
1990-08-27,2.70670,2.70670,2.70670,2.70670
1990-08-28,2.71670,2.71670,2.71670,2.71670
1990-08-29,2.71670,2.71670,2.71670,2.71670
1990-08-30,2.72670,2.72670,2.72670,2.72670
1990-08-31,2.72670,2.72670,2.72670,2.72670
1990-09-03,2.72670,2.72670,2.72670,2.72670
1990-09-04,2.73670,2.73670,2.73670,2.73670
1990-09-05,2.73670,2.73670,2.73670,2.73670
1990-09-06,2.73670,2.73670,2.73670,2.73670
1990-09-07,2.73670,2.73670,2.73670,2.73670
1990-09-10,2.73920,2.73920,2.73920,2.73920
1990-09-11,2.74920,2.74920,2.74920,2.74920
1990-09-12,2.74670,2.74670,2.74670,2.74670
1990-09-13,2.75670,2.75670,2.75670,2.75670
1990-09-14,2.75670,2.75670,2.75670,2.75670
1990-09-17,2.75670,2.75670,2.75670,2.75670
1990-09-18,2.74670,2.74670,2.74670,2.74670
1990-09-19,2.74670,2.74670,2.74670,2.74670
1990-09-20,2.75670,2.75670,2.75670,2.75670
1990-09-21,2.75670,2.75670,2.75670,2.75670
1990-09-24,2.73920,2.73920,2.73920,2.73920
