datetime,open,high,low,close
2003-12-01,8.26990,8.26990,8.26990,8.26990
2003-12-02,8.25810,8.25810,8.25810,8.25810
2003-12-03,8.26920,8.26920,8.26920,8.26920
2003-12-04,8.26500,8.26500,8.26500,8.26500
2003-12-05,8.26770,8.26770,8.26770,8.26770
2003-12-08,8.26930,8.26930,8.26930,8.26930
2003-12-09,8.27410,8.27410,8.27410,8.27410
2003-12-10,8.27200,8.27200,8.27200,8.27200
2003-12-11,8.26820,8.26820,8.26820,8.26820
2003-12-12,8.27240,8.27240,8.27240,8.27240
2003-12-15,8.27050,8.27050,8.27050,8.27050
2003-12-16,8.26830,8.26830,8.26830,8.26830
2003-12-17,8.27910,8.27910,8.27910,8.27910
2003-12-18,8.28340,8.28340,8.28340,8.28340
2003-12-19,8.26630,8.26630,8.26630,8.26630
2003-12-22,8.27480,8.27480,8.27480,8.27480
2003-12-23,8.27660,8.27660,8.27660,8.27660
2003-12-29,8.27820,8.27820,8.27820,8.27820
2003-12-30,8.27800,8.27800,8.27800,8.27800
2003-12-31,8.19860,8.19860,8.19860,8.19860
2004-01-02,8.28140,8.28140,8.28140,8.28140
2004-01-05,8.28060,8.28060,8.28060,8.28060
2004-01-06,8.27410,8.27410,8.27410,8.27410
2004-01-07,8.27750,8.27750,8.27750,8.27750
2004-01-08,8.26400,8.26400,8.26400,8.26400
2004-01-09,8.28420,8.28420,8.28420,8.28420
2004-01-12,8.28170,8.28170,8.28170,8.28170
2004-01-13,8.27960,8.27960,8.27960,8.27960
2004-01-14,8.27850,8.27850,8.27850,8.27850
2004-01-15,8.27780,8.27780,8.27780,8.27780
2004-01-16,8.29050,8.29050,8.29050,8.29050
2004-01-19,8.26510,8.26510,8.26510,8.26510
2004-01-20,8.26370,8.26370,8.26370,8.26370
2004-01-21,8.26840,8.27100,8.26840,8.27100
2004-01-22,8.28210,8.28210,8.28210,8.28210
2004-01-23,8.29220,8.29220,8.29220,8.29220
2004-01-26,8.28270,8.28270,8.28270,8.28270
2004-01-27,8.32070,8.32070,8.32070,8.32070
2004-01-28,8.33260,8.33260,8.33260,8.33260
2004-01-29,8.33010,8.33010,8.33010,8.33010
2004-01-30,8.31730,8.31730,8.31730,8.31730
2004-02-02,8.31590,8.31590,8.31590,8.31590
2004-02-03,8.32890,8.32890,8.32890,8.32890
2004-02-04,8.32890,8.32890,8.32890,8.32890
2004-02-05,8.32400,8.32400,8.32400,8.32400
2004-02-06,8.32750,8.32750,8.32750,8.32750
2004-02-09,8.33160,8.36970,8.33160,8.36970
2004-02-10,8.32850,8.32850,8.32850,8.32850
2004-02-11,8.32660,8.32660,8.32660,8.32660
2004-02-12,8.33080,8.33080,8.33080,8.33080
2004-02-13,8.33270,8.33270,8.33270,8.33270
2004-02-16,8.33260,8.33260,8.33260,8.33260
2004-02-17,8.33640,8.33640,8.33640,8.33640
2004-02-18,8.33870,8.33870,8.33870,8.33870
2004-02-19,8.33290,8.33290,8.33290,8.33290
2004-02-20,8.32650,8.32650,8.32650,8.32650
2004-02-23,8.32790,8.32790,8.32790,8.32790
2004-02-24,8.32950,8.32950,8.32950,8.32950
2004-02-25,8.33900,8.33900,8.33900,8.33900
2004-02-26,8.32570,8.32570,8.32570,8.32570
2004-02-27,8.32390,8.32390,8.32390,8.32390
2004-03-01,8.32860,8.32860,8.32860,8.32860
2004-03-02,8.33000,8.33000,8.33000,8.33000
2004-03-03,8.33540,8.33540,8.33540,8.33540
2004-03-04,8.33150,8.33150,8.33150,8.33150
2004-03-05,8.32180,8.32180,8.32180,8.32180
2004-03-08,8.33140,8.33140,8.33140,8.33140
2004-03-09,8.32200,8.32200,8.32200,8.32200
2004-03-10,8.32200,8.32200,8.32200,8.32200
2004-03-11,8.26810,8.26810,8.26810,8.26810
2004-03-12,8.27740,8.27740,8.27740,8.27740
2004-03-15,8.27660,8.27660,8.27660,8.27660
2004-03-16,8.27000,8.27000,8.27000,8.27000
2004-03-17,8.27120,8.27120,8.27120,8.27120
2004-03-18,8.27830,8.27830,8.27830,8.27830
