datetime,open,high,low,close
1979-12-24,0.66610003,0.66610003,0.66610003,0.66610003
1979-12-27,0.66339999,0.66339999,0.66339999,0.66339999
1979-12-28,0.66329998,0.66329998,0.66329998,0.66329998
1979-12-31,0.66310000,0.66310000,0.66310000,0.66310000
1980-01-02,0.66009998,0.66009998,0.66009998,0.66009998
1980-01-03,0.65890002,0.65890002,0.65890002,0.65890002
1980-01-04,0.66100001,0.66100001,0.66100001,0.66100001
1980-01-07,0.65930003,0.65930003,0.65930003,0.65930003
1980-01-08,0.66189998,0.66189998,0.66189998,0.66189998
1980-01-09,0.65960002,0.65960002,0.65960002,0.65960002
1980-01-10,0.66079998,0.66079998,0.66079998,0.66079998
1980-01-11,0.66189998,0.66189998,0.66189998,0.66189998
1980-01-14,0.66180003,0.66180003,0.66180003,0.66180003
1980-01-15,0.66460001,0.66460001,0.66460001,0.66460001
1980-01-16,0.66339999,0.66339999,0.66339999,0.66339999
1980-01-17,0.66339999,0.66339999,0.66339999,0.66339999
1980-01-18,0.66299999,0.66299999,0.66299999,0.66299999
1980-01-21,0.66430002,0.66430002,0.66430002,0.66430002
1980-01-22,0.66640002,0.66640002,0.66640002,0.66640002
1980-01-23,0.66509998,0.66509998,0.66509998,0.66509998
1980-01-24,0.66549999,0.66549999,0.66549999,0.66549999
1980-01-25,0.66649997,0.66649997,0.66649997,0.66649997
1980-01-28,0.66700000,0.66700000,0.66700000,0.66700000
1980-01-29,0.66759998,0.66759998,0.66759998,0.66759998
1980-01-30,0.66729999,0.66729999,0.66729999,0.66729999
1980-01-31,0.66909999,0.66909999,0.66909999,0.66909999
1980-02-01,0.67030001,0.67030001,0.67030001,0.67030001
1980-02-04,0.67009997,0.67009997,0.67009997,0.67009997
1980-02-05,0.66880000,0.66880000,0.66880000,0.66880000
1980-02-06,0.66700000,0.66700000,0.66700000,0.66700000
1980-02-07,0.66769999,0.66769999,0.66769999,0.66769999
1980-02-08,0.66900003,0.66900003,0.66900003,0.66900003
1980-02-11,0.66759998,0.66759998,0.66759998,0.66759998
1980-02-12,0.66820002,0.66820002,0.66820002,0.66820002
1980-02-13,0.66649997,0.66649997,0.66649997,0.66649997
1980-02-14,0.66619998,0.66619998,0.66619998,0.66619998
1980-02-15,0.66799998,0.66799998,0.66799998,0.66799998
1980-02-18,0.66860002,0.66860002,0.66860002,0.66860002
1980-02-19,0.67119998,0.67119998,0.67119998,0.67119998
1980-02-20,0.67070001,0.67070001,0.67070001,0.67070001
1980-02-21,0.67100000,0.67100000,0.67100000,0.67100000
1980-02-22,0.67510003,0.67510003,0.67510003,0.67510003
1980-02-25,0.67610002,0.67610002,0.67610002,0.67610002
1980-02-26,0.67610002,0.67610002,0.67610002,0.67610002
1980-02-27,0.67650002,0.67650002,0.67650002,0.67650002
1980-02-28,0.67570001,0.67570001,0.67570001,0.67570001
1980-02-29,0.68080002,0.68080002,0.68080002,0.68080002
1980-03-03,0.68360001,0.68360001,0.68360001,0.68360001
1980-03-04,0.68550003,0.68550003,0.68550003,0.68550003
1980-03-05,0.68510002,0.68510002,0.68510002,0.68510002
1980-03-06,0.68919998,0.68919998,0.68919998,0.68919998
1980-03-07,0.68930000,0.68930000,0.68930000,0.68930000
1980-03-10,0.69250000,0.69250000,0.69250000,0.69250000
1980-03-11,0.69340003,0.69340003,0.69340003,0.69340003
1980-03-12,0.69270003,0.69270003,0.69270003,0.69270003
1980-03-13,0.69730002,0.69730002,0.69730002,0.69730002
1980-03-14,0.70330000,0.70330000,0.70330000,0.70330000
1980-03-17,0.71759999,0.71759999,0.71759999,0.71759999
1980-03-18,0.71770000,0.71770000,0.71770000,0.71770000
1980-03-19,0.71640003,0.71640003,0.71640003,0.71640003
1980-03-20,0.71390003,0.71390003,0.71390003,0.71390003
1980-03-21,0.71789998,0.71789998,0.71789998,0.71789998
1980-03-24,0.72170001,0.72170001,0.72170001,0.72170001
1980-03-25,0.72369999,0.72369999,0.72369999,0.72369999
1980-03-26,0.72229999,0.72229999,0.72229999,0.72229999
1980-03-27,0.73189998,0.73189998,0.73189998,0.73189998
1980-03-28,0.73420000,0.73420000,0.73420000,0.73420000
1980-03-31,0.74119997,0.74119997,0.74119997,0.74119997
1980-04-01,0.74970001,0.74970001,0.74970001,0.74970001
1980-04-02,0.74280000,0.74280000,0.74280000,0.74280000
1980-04-03,0.74599999,0.74599999,0.74599999,0.74599999
1980-04-08,0.74370003,0.74370003,0.74370003,0.74370003
1980-04-09,0.72270000,0.72270000,0.72270000,0.72270000
1980-04-10,0.72340000,0.72340000,0.72340000,0.72340000
1980-04-11,0.71910000,0.71910000,0.71910000,0.71910000
1980-04-14,0.71579999,0.71579999,0.71579999,0.71579999
1980-04-15,0.72500002,0.72500002,0.72500002,0.72500002
1980-04-16,0.71439999,0.71439999,0.71439999,0.71439999
1980-04-17,0.71240002,0.71240002,0.71240002,0.71240002
1980-04-18,0.70899999,0.70899999,0.70899999,0.70899999
1980-04-21,0.70999998,0.70999998,0.70999998,0.70999998
1980-04-22,0.71270001,0.71270001,0.71270001,0.71270001
1980-04-23,0.70109999,0.70109999,0.70109999,0.70109999
1980-04-24,0.69779998,0.69779998,0.69779998,0.69779998
1980-04-25,0.69650000,0.69650000,0.69650000,0.69650000
1980-04-28,0.69150001,0.69150001,0.69150001,0.69150001
1980-04-29,0.69209999,0.69209999,0.69209999,0.69209999
1980-04-30,0.69319999,0.69319999,0.69319999,0.69319999
1980-05-01,0.69300002,0.69300002,0.69300002,0.69300002
1980-05-02,0.69880003,0.69880003,0.69880003,0.69880003
1980-05-06,0.68989998,0.68989998,0.68989998,0.68989998
1980-05-07,0.68849999,0.68849999,0.68849999,0.68849999
1980-05-08,0.69120002,0.69120002,0.69120002,0.69120002
1980-05-09,0.69630003,0.69630003,0.69630003,0.69630003
1980-05-12,0.69069999,0.69069999,0.69069999,0.69069999
1980-05-13,0.69110000,0.69110000,0.69110000,0.69110000
1980-05-14,0.68989998,0.68989998,0.68989998,0.68989998
1980-05-15,0.68989998,0.68989998,0.68989998,0.68989998
1980-05-16,0.69110000,0.69110000,0.69110000,0.69110000
1980-05-19,0.69260001,0.69260001,0.69260001,0.69260001
1980-05-20,0.69349998,0.69349998,0.69349998,0.69349998
1980-05-21,0.68800002,0.68800002,0.68800002,0.68800002
1980-05-22,0.68779999,0.68779999,0.68779999,0.68779999
1980-05-23,0.68480003,0.68480003,0.68480003,0.68480003
1980-05-27,0.67909998,0.67909998,0.67909998,0.67909998
1980-05-28,0.68140000,0.68140000,0.68140000,0.68140000
1980-05-29,0.68199998,0.68199998,0.68199998,0.68199998
1980-05-30,0.68279999,0.68279999,0.68279999,0.68279999
1980-06-02,0.68349999,0.68349999,0.68349999,0.68349999
1980-06-03,0.68320000,0.68320000,0.68320000,0.68320000
1980-06-04,0.68169999,0.68169999,0.68169999,0.68169999
1980-06-05,0.68180001,0.68180001,0.68180001,0.68180001
1980-06-06,0.68169999,0.68169999,0.68169999,0.68169999
1980-06-09,0.67780000,0.67780000,0.67780000,0.67780000
1980-06-10,0.67780000,0.67780000,0.67780000,0.67780000
1980-06-11,0.67930001,0.67930001,0.67930001,0.67930001
1980-06-12,0.67869997,0.67869997,0.67869997,0.67869997
1980-06-13,0.67530000,0.67530000,0.67530000,0.67530000
1980-06-16,0.67850000,0.67850000,0.67850000,0.67850000
1980-06-17,0.68049997,0.68049997,0.68049997,0.68049997
1980-06-18,0.67809999,0.67809999,0.67809999,0.67809999
1980-06-19,0.68000001,0.68000001,0.68000001,0.68000001
1980-06-20,0.67979997,0.67979997,0.67979997,0.67979997
1980-06-23,0.67919999,0.67919999,0.67919999,0.67919999
1980-06-24,0.68010002,0.68010002,0.68010002,0.68010002
1980-06-25,0.68000001,0.68000001,0.68000001,0.68000001
1980-06-26,0.67940003,0.67940003,0.67940003,0.67940003
1980-06-27,0.67919999,0.67919999,0.67919999,0.67919999
1980-06-30,0.67839998,0.67839998,0.67839998,0.67839998
1980-07-01,0.67820001,0.67820001,0.67820001,0.67820001
1980-07-02,0.67710000,0.67710000,0.67710000,0.67710000
1980-07-03,0.67720002,0.67720002,0.67720002,0.67720002
1980-07-04,0.67519999,0.67519999,0.67519999,0.67519999
1980-07-07,0.67140001,0.67140001,0.67140001,0.67140001
1980-07-08,0.66930002,0.66930002,0.66930002,0.66930002
1980-07-09,0.67009997,0.67009997,0.67009997,0.67009997
1980-07-10,0.67089999,0.67089999,0.67089999,0.67089999
1980-07-11,0.67079997,0.67079997,0.67079997,0.67079997
1980-07-14,0.67180002,0.67180002,0.67180002,0.67180002
1980-07-15,0.67330003,0.67330003,0.67330003,0.67330003
1980-07-16,0.67220002,0.67220002,0.67220002,0.67220002
1980-07-17,0.66990000,0.66990000,0.66990000,0.66990000
1980-07-18,0.67339998,0.67339998,0.67339998,0.67339998
