datetime,open,high,low,close
1996-01-02,1.42150,1.42550,1.42150,1.42550
1996-01-03,1.42450,1.42860,1.42450,1.42860
1996-01-04,1.42450,1.42860,1.42450,1.42860
1996-01-05,1.43060,1.43470,1.43060,1.43470
1996-01-08,1.42650,1.43060,1.42650,1.43060
1996-01-09,1.42450,1.42860,1.42450,1.42860
1996-01-10,1.42650,1.43060,1.42650,1.43060
1996-01-11,1.42450,1.42860,1.42450,1.42860
1996-01-12,1.42450,1.42860,1.42450,1.42860
1996-01-15,1.42450,1.42860,1.42450,1.42860
1996-01-16,1.42650,1.43060,1.42650,1.43060
1996-01-17,1.42650,1.43060,1.42650,1.43060
1996-01-18,1.43060,1.43470,1.43060,1.43470
1996-01-19,1.43160,1.43580,1.43160,1.43580
1996-01-22,1.43270,1.43680,1.43270,1.43680
1996-01-23,1.43470,1.43890,1.43470,1.43890
1996-01-24,1.44030,1.44110,1.44030,1.44110
1996-01-25,1.43470,1.43890,1.43470,1.43890
1996-01-26,1.43270,1.43680,1.43270,1.43680
1996-01-29,1.43470,1.43890,1.43470,1.43890
1996-01-30,1.43580,1.43780,1.43580,1.43780
1996-01-31,1.43160,1.43580,1.43160,1.43580
1996-02-01,1.43160,1.43260,1.43160,1.43260
1996-02-02,1.42250,1.42650,1.42250,1.42650
1996-02-05,1.41640,1.42050,1.41640,1.42050
1996-02-06,1.41240,1.41640,1.41240,1.41640
1996-02-07,1.41540,1.41950,1.41540,1.41950
1996-02-08,1.41840,1.42250,1.41840,1.42250
1996-02-09,1.41640,1.42050,1.41640,1.42050
1996-02-12,1.42050,1.42450,1.42050,1.42450
1996-02-13,1.41840,1.42250,1.41840,1.42250
1996-02-14,1.41840,1.42250,1.41840,1.42250
1996-02-15,1.41640,1.42050,1.41640,1.42050
1996-02-16,1.41540,1.41950,1.41540,1.41950
1996-02-19,1.41040,1.41540,1.41040,1.41540
1996-02-20,1.41040,1.41440,1.41040,1.41440
1996-02-21,1.41440,1.41850,1.41440,1.41850
1996-02-22,1.41440,1.41850,1.41440,1.41850
1996-02-23,1.41240,1.41640,1.41240,1.41640
1996-02-26,1.41540,1.41640,1.41540,1.41640
1996-02-27,1.41040,1.41440,1.41040,1.41440
1996-02-28,1.41140,1.41540,1.41140,1.41540
1996-02-29,1.41040,1.41440,1.41040,1.41440
1996-03-01,1.41240,1.41640,1.41240,1.41640
