datetime,open,high,low,close
2003-12-01,4.42870,4.43680,4.41120,4.41820
2003-12-02,4.41780,4.43050,4.40920,4.41260
2003-12-03,4.41220,4.42350,4.40820,4.41720
2003-12-04,4.41800,4.44050,4.41520,4.42990
2003-12-05,4.42990,4.44000,4.42450,4.42460
2003-12-08,4.43310,4.43310,4.41700,4.42040
2003-12-09,4.42120,4.42320,4.36020,4.36510
2003-12-10,4.36490,4.39800,4.36120,4.38840
2003-12-11,4.38880,4.39600,4.37660,4.38210
2003-12-12,4.38180,4.39200,4.38020,4.38070
2003-12-15,4.40000,4.40140,4.33720,4.37000
2003-12-16,4.35720,4.37700,4.34300,4.35690
2003-12-17,4.35670,4.38500,4.35150,4.37210
2003-12-18,4.37250,4.39150,4.36730,4.38470
2003-12-19,4.38480,4.38930,4.36690,4.37470
2003-12-22,4.38010,4.38500,4.36950,4.37220
2003-12-23,4.37510,4.40200,4.35000,4.35450
2003-12-24,4.35510,4.36300,4.33130,4.34750
2003-12-25,4.34850,4.36250,4.33500,4.35670
2003-12-26,4.35450,4.36500,4.34250,4.36220
2003-12-29,4.36060,4.36700,4.35070,4.35950
2003-12-30,4.35900,4.36900,4.34240,4.35150
2003-12-31,4.35250,4.39440,4.32900,4.38360
2004-01-01,4.38220,4.38590,4.37020,4.37910
2004-01-02,4.37820,4.41000,4.37310,4.39680
2004-01-05,4.39180,4.39950,4.36970,4.37100
2004-01-06,4.37070,4.37950,4.35590,4.37150
2004-01-07,4.37210,4.39750,4.36910,4.39320
2004-01-08,4.39340,4.40610,4.37720,4.37890
2004-01-09,4.37960,4.38760,4.36510,4.37490
2004-01-12,4.37630,4.38900,4.36780,4.38030
2004-01-13,4.38000,4.39600,4.37470,4.38680
2004-01-14,4.38680,4.42280,4.35410,4.41080
2004-01-15,4.41010,4.42650,4.39340,4.39510
2004-01-16,4.39510,4.39850,4.37680,4.37830
2004-01-19,4.37540,4.42050,4.37540,4.41540
2004-01-20,4.41460,4.42850,4.40780,4.41970
2004-01-21,4.41920,4.42300,4.40300,4.41260
2004-01-22,4.41280,4.45400,4.41090,4.43330
2004-01-23,4.43480,4.44400,4.42530,4.43180
2004-01-26,4.43920,4.45850,4.43140,4.44190
2004-01-27,4.44230,4.46850,4.44230,4.45750
2004-01-28,4.45710,4.48500,4.45180,4.47130
2004-01-29,4.47210,4.49200,4.46330,4.47450
2004-01-30,4.48200,4.48450,4.45850,4.45880
2004-02-02,4.45940,4.49700,4.45730,4.46050
2004-02-03,4.47400,4.48150,4.45790,4.45930
2004-02-04,4.46100,4.48150,4.45790,4.47480
2004-02-05,4.47400,4.48700,4.46110,4.46250
2004-02-06,4.46900,4.46900,4.45140,4.45670
2004-02-09,4.46150,4.47200,4.44600,4.45930
2004-02-10,4.45850,4.47850,4.44800,4.46520
2004-02-11,4.46500,4.48550,4.46350,4.46590
2004-02-12,4.46590,4.47600,4.43870,4.44100
2004-02-13,4.44050,4.45000,4.42530,4.44810
2004-02-16,4.44940,4.45150,4.42630,4.43940
2004-02-17,4.43890,4.45300,4.42470,4.42910
2004-02-18,4.43010,4.44400,4.42090,4.43280
2004-02-19,4.43290,4.44800,4.42890,4.43510
2004-02-20,4.43550,4.45850,4.43300,4.44730
2004-02-23,4.45390,4.46350,4.43930,4.45450
2004-02-24,4.45450,4.46700,4.44250,4.45630
2004-02-25,4.45620,4.46450,4.44450,4.45770
2004-02-26,4.45710,4.48550,4.45490,4.46950
2004-02-27,4.46960,4.48900,4.45970,4.47830
2004-03-01,4.46600,4.48650,4.46070,4.48600
2004-03-02,4.47960,4.48850,4.47080,4.48600
2004-03-03,4.48590,4.51200,4.48040,4.49480
2004-03-04,4.49510,4.51050,4.48790,4.49370
2004-03-05,4.49360,4.50350,4.47890,4.48960
2004-03-08,4.48680,4.5,4.47940,4.49000
2004-03-09,4.49010,4.49650,4.48010,4.48560
2004-03-10,4.49010,4.49700,4.48010,4.48670
2004-03-11,4.48650,4.51000,4.48440,4.49560
2004-03-12,4.49570,4.51150,4.49410,4.50220
2004-03-15,4.51390,4.51390,4.47940,4.48300
2004-03-16,4.48420,4.48700,4.46870,4.47330
2004-03-17,4.47360,4.48550,4.47140,4.47340
2004-03-18,4.47340,4.48200,4.46700,4.47190
2004-03-19,4.47230,4.47950,4.46890,4.47120
2004-03-22,4.47160,4.49750,4.46950,4.48890
2004-03-23,4.48860,4.49950,4.48670,4.49250
