datetime,open,high,low,close
2003-12-01,75.50200,75.98000,75.48700,75.70000
2003-12-02,75.16400,76.43400,75.16400,75.58000
2003-12-03,76.13500,76.39700,75.84000,76.050003
2003-12-04,76.037003,76.30000,75.57700,76.30000
2003-12-05,75.88800,76.039001,75.77800,75.90000
2003-12-08,75.90100,75.99600,75.82000,75.93000
2003-12-09,75.93300,76.080002,75.088997,75.60000
2003-12-10,75.19300,75.59300,75.15300,75.27000
2003-12-11,75.48700,75.65000,75.28000,75.45000
2003-12-12,75.38100,75.45100,75.35500,75.40000
2003-12-15,75.38800,75.47600,75.28200,75.47000
2003-12-16,75.34500,75.70000,75.30900,75.55000
2003-12-17,75.54800,75.96700,75.54800,75.76000
2003-12-18,75.79400,75.85000,75.29600,75.5
2003-12-19,75.38700,75.55000,75.28200,75.40000
2003-12-22,75.29900,75.60000,75.25800,75.30000
2003-12-23,75.39800,75.75600,75.35100,75.45000
2003-12-24,75.25,75.25,75.25,75.25
2003-12-25,75.25,75.25,75.25,75.25
2003-12-29,75.59200,75.80200,75.52600,75.75
2003-12-30,75.75100,75.90000,75.60600,75.75
2003-12-31,73.042999,75.75,73.042999,75.75
2004-01-01,75.75,75.75,75.75,75.75
2004-01-02,75.65600,75.85000,75.54300,75.70000
2004-01-05,75.80200,76.023003,75.78200,75.83000
2004-01-06,76.0059967,76.0059967,75.59100,75.72000
2004-01-07,75.80000,75.80000,75.46200,75.72000
2004-01-08,75.54900,75.85000,75.31700,75.65000
2004-01-09,75.70400,75.95000,75.24900,75.68000
2004-01-12,75.71700,75.85300,75.45900,75.68000
2004-01-13,75.70500,76.099998,75.63000,75.63000
2004-01-14,75.95000,75.97600,75.19300,75.87000
2004-01-15,75.79200,75.87000,75.67100,75.87000
2004-01-16,75.59200,75.93300,75.59200,75.80000
2004-01-19,75.86400,76.070000,75.79100,75.90000
2004-01-20,75.99100,76.086998,75.84600,76
2004-01-21,76.30000,76.41200,76.17900,76.25
2004-01-22,76.40700,76.45000,76.24000,76.40000
2004-01-23,76.15200,76.26000,76.0039978,76.080002
2004-01-26,76.11300,76.40000,76.075996,76.080002
2004-01-27,75.95100,76.25,75.95100,76.080002
2004-01-28,76.15700,76.24700,76.059998,76.099998
2004-01-29,76.043999,76.18000,76.022003,76.050003
