datetime,open,high,low,close
2003-12-01,3850.39990,3850.39990,3850.39990,3850.39990
2003-12-02,3844.30005,3844.30005,3844.30005,3844.30005
2003-12-03,3849.30005,3849.30005,3849.30005,3849.30005
2003-12-04,3847.10010,3847.10010,3847.10010,3847.10010
2003-12-05,3848.80005,3848.80005,3848.80005,3848.80005
2003-12-08,3849.89990,3849.89990,3849.89990,3849.89990
2003-12-09,3852.30005,3852.30005,3852.30005,3852.30005
2003-12-10,3850.80005,3850.80005,3850.80005,3850.80005
2003-12-11,3849.10010,3849.10010,3849.10010,3849.10010
2003-12-12,3851.60010,3851.60010,3851.60010,3851.60010
2003-12-15,3850,3850,3850,3850
2003-12-16,3849.39990,3849.39990,3849.39990,3849.39990
2003-12-17,3855.19995,3855.19995,3855.19995,3855.19995
2003-12-18,3855.80005,3855.80005,3855.80005,3855.80005
2003-12-19,3848,3848,3848,3848
2003-12-22,3852.5,3852.5,3852.5,3852.5
2003-12-23,3853.30005,3853.30005,3853.30005,3853.30005
2003-12-29,3854.30005,3854.30005,3854.30005,3854.30005
2003-12-30,3854.60010,3854.60010,3854.60010,3854.60010
2003-12-31,3817.69995,3817.69995,3817.69995,3817.69995
2004-01-02,3856,3856,3854.10010,3854.10010
2004-01-05,3855,3855,3855,3855
2004-01-06,3852.80005,3852.80005,3852.80005,3852.80005
2004-01-07,3853.89990,3853.89990,3853.89990,3853.89990
2004-01-08,3846.60010,3846.60010,3846.60010,3846.60010
2004-01-09,3857.60010,3857.60010,3857.60010,3857.60010
2004-01-12,3855.89990,3855.89990,3855.89990,3855.89990
2004-01-13,3855.5,3855.5,3855.5,3855.5
2004-01-14,3854.39990,3854.39990,3854.39990,3854.39990
2004-01-15,3854.19995,3854.19995,3854.19995,3854.19995
2004-01-16,3859.80005,3859.80005,3859.80005,3859.80005
2004-01-19,3848.5,3848.5,3848.5,3848.5
2004-01-20,3846.30005,3846.30005,3846.30005,3846.30005
2004-01-21,3849.60010,3851,3849.60010,3851
2004-01-22,3855.89990,3855.89990,3855.89990,3855.89990
2004-01-23,3861.10010,3861.10010,3861.10010,3861.10010
2004-01-26,3856.19995,3856.19995,3856.19995,3856.19995
2004-01-27,3850.80005,3850.80005,3850.80005,3850.80005
2004-01-28,3856.39990,3856.39990,3856.39990,3856.39990
2004-01-29,3855.10010,3855.10010,3855.10010,3855.10010
2004-01-30,3847.19995,3847.19995,3847.19995,3847.19995
2004-02-02,3848.5,3848.5,3848.5,3848.5
2004-02-03,3854.60010,3854.60010,3854.60010,3854.60010
2004-02-04,3854.60010,3854.60010,3854.60010,3854.60010
2004-02-05,3852.80005,3852.80005,3852.80005,3852.80005
2004-02-06,3853.80005,3853.80005,3853.80005,3853.80005
2004-02-09,3856.5,3874.10010,3856.5,3874.10010
2004-02-10,3855,3855,3855,3855
2004-02-11,3853.5,3853.5,3853.5,3853.5
2004-02-12,3855.69995,3855.69995,3855.69995,3855.69995
2004-02-13,3856.5,3856.5,3856.5,3856.5
2004-02-16,3855.89990,3855.89990,3855.89990,3855.89990
2004-02-17,3858.10010,3858.10010,3858.10010,3858.10010
2004-02-18,3859.19995,3859.19995,3859.19995,3859.19995
2004-02-19,3855.60010,3855.60010,3855.60010,3855.60010
2004-02-20,3853.80005,3853.80005,3853.80005,3853.80005
2004-02-23,3854.30005,3854.30005,3854.30005,3854.30005
2004-02-24,3853.69995,3853.69995,3853.69995,3853.69995
2004-02-25,3859.30005,3859.30005,3859.30005,3859.30005
2004-02-26,3852.10010,3852.10010,3852.10010,3852.10010
2004-02-27,3851.80005,3851.80005,3851.80005,3851.80005
2004-03-01,3854.60010,3854.60010,3854.60010,3854.60010
2004-03-02,3855.19995,3855.19995,3855.19995,3855.19995
2004-03-03,3857.89990,3857.89990,3857.89990,3857.89990
2004-03-04,3856,3856,3856,3856
2004-03-05,3851,3851,3851,3851
2004-03-08,3855.30005,3855.30005,3855.30005,3855.30005
2004-03-09,3851.39990,3851.39990,3851.39990,3851.39990
2004-03-10,3851.39990,3851.39990,3848.10010,3848.10010
2004-03-11,3848.30005,3848.30005,3848.30005,3848.30005
2004-03-12,3853.80005,3853.80005,3853.80005,3853.80005
2004-03-15,3853.80005,3853.80005,3853.80005,3853.80005
2004-03-16,3850.39990,3850.39990,3850.39990,3850.39990
2004-03-17,3850.60010,3850.60010,3850.60010,3850.60010
2004-03-18,3854.10010,3854.10010,3854.10010,3854.10010
2004-03-19,3853,3853,3853,3853
2004-03-22,3850.69995,3850.69995,3850.69995,3850.69995
2004-03-23,3850.69995,3850.69995,3850.69995,3850.69995
2004-03-24,3850.89990,3850.89990,3850.89990,3850.89990
2004-03-25,3845.69995,3845.69995,3845.69995,3845.69995
2004-03-26,3847.10010,3847.10010,3847.10010,3847.10010
2004-03-29,3852.80005,3852.80005,3852.80005,3852.80005
2004-03-30,3853.80005,3853.80005,3853.80005,3853.80005
2004-03-31,3849.69995,3849.69995,3849.69995,3849.69995
2004-04-01,3853.19995,3853.19995,3853.19995,3853.19995
2004-04-02,3851.80005,3851.80005,3851.80005,3851.80005
2004-04-05,3849.69995,3849.69995,3849.69995,3849.69995
2004-04-06,3849.30005,3849.30005,3849.30005,3849.30005
2004-04-07,3845.10010,3845.10010,3845.10010,3845.10010
2004-04-08,3850.69995,3850.69995,3850.69995,3850.69995
2004-04-13,3847.30005,3847.30005,3847.30005,3847.30005
2004-04-14,3846.89990,3846.89990,3846.89990,3846.89990
2004-04-15,3846,3846,3846,3846
2004-04-16,3844.80005,3844.80005,3844.80005,3844.80005
2004-04-19,3847.39990,3847.39990,3847.39990,3847.39990
2004-04-20,3844.80005,3847.39990,3844.80005,3847.39990
2004-04-21,3844.60010,3844.60010,3844.60010,3844.60010
2004-04-22,3844.39990,3844.39990,3844.39990,3844.39990
2004-04-23,3849.30005,3849.30005,3849.30005,3849.30005
2004-04-26,3847.5,3847.5,3847.5,3847.5
2004-04-27,3851.39990,3851.39990,3851.39990,3851.39990
2004-04-28,3845.19995,3845.19995,3845.19995,3845.19995
2004-04-29,3846.39990,3846.39990,3846.39990,3846.39990
2004-04-30,3849.89990,3849.89990,3836.89990,3836.89990
2004-05-03,3846.60010,3846.60010,3846.60010,3846.60010
2004-05-04,3847,3847,3847,3847
2004-05-05,3849.5,3849.5,3849.5,3849.5
2004-05-06,3857.80005,3857.80005,3857.80005,3857.80005
2004-05-07,3848.89990,3848.89990,3848.89990,3848.89990
2004-05-10,3844.30005,3844.30005,3844.30005,3844.30005
2004-05-11,3843.89990,3843.89990,3843.89990,3843.89990
2004-05-12,3845.60010,3845.60010,3845.60010,3845.60010
2004-05-13,3845,3845,3845,3845
2004-05-14,3844.89990,3844.89990,3844.89990,3844.89990
2004-05-17,3851,3851,3851,3851
2004-05-18,3848.39990,3848.39990,3848.39990,3848.39990
2004-05-19,3848.60010,3848.60010,3848.60010,3848.60010
2004-05-21,3848.10010,3850.30005,3848.10010,3850.30005
2004-05-24,3845.19995,3845.19995,3845.19995,3845.19995
2004-05-25,3846.10010,3846.10010,3846.10010,3846.10010
2004-05-26,3847.30005,3847.30005,3847.30005,3847.30005
2004-05-27,3849.10010,3849.10010,3849.10010,3849.10010
2004-05-28,3851.89990,3851.89990,3851.89990,3851.89990
2004-06-01,3851.80005,3851.80005,3851.80005,3851.80005
2004-06-02,3851.80005,3851.80005,3851.80005,3851.80005
2004-06-03,3850.19995,3850.19995,3850.19995,3850.19995
2004-06-04,3851.80005,3851.80005,3851.80005,3851.80005
2004-06-07,3854.19995,3854.19995,3854.19995,3854.19995
2004-06-08,3851.39990,3870.39990,3851.39990,3870.39990
2004-06-09,3849.39990,3854.39990,3849.39990,3854.39990
2004-06-10,3852.10010,3854.30005,3852.10010,3854.30005
2004-06-11,3864.89990,3864.89990,3846.10010,3846.10010
2004-06-14,3857,3857,3847.5,3847.5
2004-06-15,3828.30005,3848.30005,3828.30005,3848.30005
2004-06-16,3848.60010,3848.60010,3848.60010,3848.60010
2004-06-17,3848.80005,3848.80005,3848.80005,3848.80005
2004-06-18,3868.89990,3868.89990,3847.30005,3847.30005
2004-06-21,3815.19995,3850.60010,3815.19995,3850.60010
2004-06-22,3848.60010,3848.60010,3848.60010,3848.60010
2004-06-23,3831.5,3848.89990,3825.89990,3848.89990
2004-06-24,3853.69995,3853.69995,3848.60010,3848.60010
2004-06-25,3847.10010,3847.10010,3847.10010,3847.10010
2004-06-28,3839.89990,3849.30005,3839.89990,3849.30005
2004-06-29,3846.10010,3849,3846.10010,3849
2004-06-30,3871.89990,3871.89990,3850.60010,3850.60010
2004-07-01,3854.80005,3854.80005,3854.80005,3854.80005
2004-07-02,3849.5,3849.5,3849.5,3849.5
2004-07-05,3797.39990,3849.69995,3797.39990,3849.69995
2004-07-06,3851.5,3851.5,3851.5,3851.5
2004-07-07,3843.19995,3851.89990,3843.19995,3851.89990
2004-07-08,3849.89990,3849.89990,3849.89990,3849.89990
2004-07-09,3833.89990,3854.10010,3833.89990,3854.10010
2004-07-12,3850.5,3853.89990,3850.5,3853.89990
2004-07-13,3852.80005,3852.80005,3852.80005,3852.80005
2004-07-14,3852.19995,3852.19995,3852.19995,3852.19995
2004-07-15,3851.5,3859.60010,3846.19995,3859.60010
2004-07-16,3852,3852,3852,3852
2004-07-19,3852.69995,3852.69995,3852.69995,3852.69995
2004-07-20,3716.30005,3716.30005,3716.30005,3716.30005
2004-07-21,3710.5,3710.5,3710.5,3710.5
2004-07-22,3710.60010,3710.60010,3710.60010,3710.60010
2004-07-23,3709.39990,3709.39990,3709.39990,3709.39990
2004-07-26,3726.10010,3726.10010,3712.19995,3712.19995
2004-07-27,3709.30005,3709.30005,3709.30005,3709.30005
2004-07-28,3741.19995,3741.19995,3698.89990,3698.89990
2004-07-29,3708.69995,3708.69995,3708.69995,3708.69995
2004-07-30,3709.69995,3709.69995,3709.69995,3709.69995
2004-08-02,3712.39990,3712.39990,3712.39990,3712.39990
2004-08-03,3677.60010,3677.60010,3677.60010,3677.60010
2004-08-04,3698.80005,3698.80005,3698.80005,3698.80005
2004-08-05,3691.30005,3691.30005,3691.30005,3691.30005
2004-08-06,3684.69995,3688.80005,3684.69995,3688.80005
2004-08-09,3698.30005,3698.30005,3698.30005,3698.30005
2004-08-10,3692.5,3692.5,3692.5,3692.5
2004-08-11,3693.30005,3693.30005,3693.30005,3693.30005
2004-08-12,3695.19995,3695.19995,3695.19995,3695.19995
2004-08-13,3705.39990,3705.39990,3693.69995,3693.69995
2004-08-16,3695.10010,3695.10010,3695.10010,3695.10010
2004-08-17,3707.60010,3707.60010,3707.60010,3707.60010
2004-08-18,3705.60010,3705.60010,3705.60010,3705.60010
2004-08-19,3706.39990,3706.39990,3706.39990,3706.39990
2004-08-20,3701.39990,3701.39990,3701.39990,3701.39990
2004-08-23,3707.19995,3707.19995,3707.19995,3707.19995
2004-08-24,3741.39990,3741.39990,3705,3705
2004-08-25,3701.5,3701.5,3701.5,3701.5
2004-08-26,3698.5,3698.5,3698.5,3698.5
2004-08-27,3704.19995,3704.19995,3704.19995,3704.19995
2004-08-30,3697.39990,3697.39990,3697.39990,3697.39990
2004-08-31,3701.10010,3701.10010,3701.10010,3701.10010
2004-09-01,3700.69995,3700.69995,3700.69995,3700.69995
2004-09-02,3700.30005,3700.30005,3700.30005,3700.30005
2004-09-03,3699.89990,3699.89990,3699.89990,3699.89990
2004-09-06,3735.5,3735.5,3699.80005,3699.80005
2004-09-07,3701,3701,3697.30005,3697.30005
2004-09-08,3707.30005,3708.10010,3703.30005,3703.30005
2004-09-09,3701.89990,3701.89990,3701.89990,3701.89990
2004-09-10,3700,3700,3700,3700
2004-09-13,3709.30005,3709.30005,3709.30005,3709.30005
2004-09-14,3701.80005,3701.80005,3701.80005,3701.80005
2004-09-15,3711.10010,3711.10010,3711.10010,3711.10010
2004-09-16,3737.60010,3737.60010,3710,3710
2004-09-17,3705,3716.10010,3705,3716.10010
2004-09-20,3708.30005,3708.30005,3708.30005,3708.30005
2004-09-21,3713.39990,3713.39990,3713.39990,3713.39990
2004-09-22,3696,3696,3696,3696
2004-09-23,3707.69995,3707.69995,3707.69995,3707.69995
2004-09-24,3706.69995,3706.69995,3706.69995,3706.69995
2004-09-27,3711.30005,3711.30005,3711.30005,3711.30005
2004-09-28,3699.19995,3702,3699.19995,3702
2004-09-29,3699.30005,3699.30005,3699.30005,3699.30005
2004-09-30,3693,3707,3693,3707
2004-10-01,3683.89990,3706,3683.89990,3706
2004-10-04,3715.89990,3715.89990,3715.89990,3715.89990
2004-10-05,3706.19995,3706.19995,3706.19995,3706.19995
2004-10-06,3695.5,3710.39990,3695.5,3710.39990
2004-10-07,3712.89990,3712.89990,3712.89990,3712.89990
2004-10-08,3700.80005,3700.80005,3700.80005,3700.80005
2004-10-11,3712.60010,3712.60010,3712.60010,3712.60010
2004-10-12,3708.89990,3708.89990,3705.30005,3705.30005
2004-10-13,3706.80005,3710.60010,3706.80005,3710.60010
2004-10-14,3707.19995,3707.19995,3707.19995,3707.19995
2004-10-15,3708,3708,3708,3708
2004-10-18,3715,3715,3715,3715
2004-10-19,3709.19995,3709.19995,3709.19995,3709.19995
2004-10-20,3714.30005,3714.30005,3714.30005,3714.30005
2004-10-21,3716.10010,3716.10010,3716.10010,3716.10010
2004-10-22,3715.69995,3715.69995,3712.19995,3712.19995
2004-10-25,3713.60010,3713.60010,3713.60010,3713.60010
2004-10-26,3712.30005,3713,3712.30005,3713
2004-10-27,3715.60010,3715.60010,3715.60010,3715.60010
2004-10-29,3718.60010,3718.60010,3697.30005,3710.69995
2004-11-01,3701.60010,3716.80005,3701.60010,3716.80005
2004-11-02,3719.10010,3719.10010,3710.5,3710.5
2004-11-03,3715.69995,3719.5,3715.69995,3719.5
2004-11-04,3708.39990,3708.39990,3708.39990,3708.39990
2004-11-05,3714.69995,3714.69995,3714.69995,3714.69995
2004-11-08,3714.19995,3714.19995,3714.19995,3714.19995
2004-11-09,3711.89990,3711.89990,3711.89990,3711.89990
2004-11-10,3711.69995,3711.69995,3711.69995,3711.69995
