datetime,open,high,low,close
2004-08-26,407.84891,407.89960,406.38339,406.53448
2004-08-27,406.064758,409.66589,405.57932,409.61475
2004-08-30,410.12689,410.17819,407.79819,408.32285
2004-08-31,407.24124,407.52802,403.68240,403.79840
2004-09-01,403.76520,404.64529,403.48380,403.63275
2004-09-02,403.66586,404.91171,403.48380,404.096893
2004-09-03,404.17990,408.20419,404.013885,407.88275
2004-09-06,408.11960,408.20419,407.29181,407.76440
2004-09-07,407.59549,407.73059,406.18210,406.24921
2004-09-08,406.82031,408.71289,403.61621,403.79840
2004-09-09,403.69901,404.57870,402.75711,402.80655
2004-09-10,401.49164,402.85599,400.038788,401.24606
2004-09-13,400.93539,402.23019,400.88641,401.16425
2004-09-14,401.16425,402.26309,400.52740,401.47525
2004-09-15,401.98370,405.11179,401.50800,404.87845
2004-09-16,404.82846,405.71310,403.48380,403.83151
2004-09-17,403.63275,404.47900,402.65820,403.68246
2004-09-20,404.21310,405.54590,403.98071,404.030487
2004-09-21,404.030487,404.11349,398.70959,398.79041
2004-09-22,399.30829,402.16440,399.097687,401.033447
2004-09-23,400.88635,401.11520,399.097687,400.91904
2004-09-24,400.47849,401.44250,398.96829,400.73944
2004-09-27,400.54364,401.44250,399.68130,400.18524
2004-09-28,400.34811,400.39700,398.70959,399.081543
2004-09-29,399.27591,399.77881,398.83890,398.88739
2004-09-30,399.21109,399.38931,395.47250,395.63150
2004-10-01,395.99771,397.13251,395.94989,396.25284
2004-10-04,398.11270,401.31149,397.48550,400.41324
2004-10-05,400.98441,401.049805,399.032990,399.61639
2004-10-06,399.63260,401.082489,399.22729,400.36441
2004-10-07,400.33185,400.56000,399.74631,400.49481
2004-10-08,399.55151,399.61639,396.077393,396.47641
2004-10-11,396.60425,397.58179,396.30069,397.11649
2004-10-12,397.98389,400.20151,397.93561,399.049164
2004-10-13,399.56769,402.000091553,398.38669,398.43509
2004-10-14,398.16104,398.41901,396.71619,397.18060
2004-10-15,396.92426,397.19659,394.047089,394.53687
2004-10-18,394.094452,394.61600,392.85141,393.76321
2004-10-19,394.75851,394.90109,392.85141,393.16534
2004-10-20,393.30676,393.60571,389.61569,390.74524
2004-10-21,390.90045,390.94699,389.49231,389.97086
2004-10-22,389.95541,390.26480,387.83429,387.89545
2004-10-25,385.61514,385.70581,383.89990,384.13971
2004-10-26,383.61554,386.22061,383.57071,385.28296
2004-10-27,385.61514,387.31519,384.049805,386.99524
2004-10-28,386.78229,387.89539,385.58490,386.038757
2004-10-29,386.023590,386.79749,384.34979,384.40991
2004-11-01,387,387,387,387
2004-11-02,386,386.20001,386,386
2004-11-03,387.5,387.5,387.25,387.25
2004-11-04,385,385.20001,385,385.20001
2004-11-05,384.5,384.5,384.5,384.5
2004-11-08,381,381.20001,381,381.20001
2004-11-09,379.75,379.79999,379.75,379.75
2004-11-10,380.89999,381,380.89999,380.89999
2004-11-11,380.79999,380.79999,380.79999,380.79999
2004-11-12,381.5,381.5,381.5,381.5
2004-11-15,379.22437,380.83890,378.61151,379.92719
2004-11-16,380.5,380.5,380,380.20001
2004-11-17,379.10001,379.10001,379,379
2004-11-18,377.75,377.95001,377.75,377.95001
2004-11-19,378.75,378.85001,378.5,378.85001
2004-11-22,376.75,376.75,376.75,376.75
2004-11-23,376.25,376.29999,376.25,376.29999
2004-11-24,375.75,375.75,375.75,375.75
2004-11-25,373.24011,373.29669,370.76480,370.80670
2004-11-26,372,372,372,372
2004-11-29,371,371.10001,371,371.10001
2004-11-30,370.25,370.29999,370.25,370.29999
2004-12-01,370.20001,370.20001,370,370
2004-12-02,369.75,369.89999,369.75,369.89999
2004-12-03,369.85001,370,369.85001,370
2004-12-06,368,368,368,368
2004-12-07,366.25,366.25,366.25,366.25
2004-12-08,366.25,366.25,366.25,366.25
2004-12-09,369.75,369.75,369.75,369.75
2004-12-10,371,371,371,371
2004-12-13,372,372,371.89999,371.89999
2004-12-14,372,372,370,370
2004-12-15,370,370.049988,370,370.049988
2004-12-16,366.25,366.39999,366.25,366.39999
2004-12-17,368.5,368.75,368.5,368.75
2004-12-20,370.25,370.25,370,370
2004-12-21,367,367,367,367
2004-12-22,368.10001,368.10001,368,368
2004-12-23,367.5,367.5,367.5,367.5
2004-12-24,364.74481,364.79889,363.26349,363.41110
2004-12-27,363,363,363,363
2004-12-28,361.25,361.25,361.25,361.25
2004-12-29,361.25,361.25,361.20001,361.25
2004-12-30,362,362,362,362
2004-12-31,361.19656,361.98050,360.31030,361.94061
2005-01-03,361.89999,361.89999,361.89999,361.89999
2005-01-04,361.79999,361.95001,361.79999,361.95001
2005-01-05,362,362,361.89999,361.89999
2005-01-06,370.25,370.25,370.20001,370.25
2005-01-07,372.5,372.5,372.20001,372.20001
2005-01-10,374.75,374.75,374.70001,374.75
2005-01-11,375,375,375,375
2005-01-12,374,374.10001,374,374.10001
2005-01-13,370.5,370.54999,370.5,370.54999
2005-01-14,371.5,371.5,371.25,371.29999
2005-01-17,372.75,372.79999,372.75,372.79999
2005-01-18,374.79999,374.85001,374.79999,374.85001
2005-01-19,375,375,375,375
2005-01-20,376.5,376.5,376.39999,376.39999
2005-01-21,378.75,378.75,378.75,378.75
2005-01-24,378.25,378.25,378.20001,378.20001
2005-01-25,377,377.20001,377,377
2005-01-26,378,378,378,378
2005-01-27,376.75,376.75,376.70001,376.75
2005-01-28,377,377.25,377,377.25
2005-01-31,377.5,377.5,377.25,377.25
2005-02-01,377,377,377,377
2005-02-02,377,377.25,377,377
2005-02-03,377,377,377,377
2005-02-04,378.5,378.5,378.5,378.5
2005-02-07,379,379,379,379
2005-02-08,382,382.25,382,382.25
2005-02-09,384,384,384,384
2005-02-10,384,384,384,384
2005-02-11,381.5,384.29999,381.5,381.5
2005-02-14,380.32370,380.36780,378.78641,379.13666
2005-02-15,381.5,381.5,378.75,378.75
2005-02-16,378.75,378.79999,378.75,378.79999
2005-02-17,378.89999,378.89999,378.75,378.75
2005-02-18,376.5,376.5,376.25,376.25
2005-02-21,376.39999,376.39999,376.39999,376.39999
2005-02-22,376.25,376.25,376.25,376.25
2005-02-23,372.5,372.5,372.5,372.5
2005-02-24,372.5,372.5,372.5,372.5
2005-02-25,372.5,372.5,372.5,372.5
2005-02-28,372.75,372.75,372.70001,372.75
2005-03-01,370.5,370.5,370,370
2005-03-02,373,373,373,373
2005-03-03,375,375,375,375
2005-03-04,375,375,375,375
2005-03-07,371.92801,373.013702,371.63300,372.30795
2005-03-08,371.87177,372.33609,368.59799,368.69464
2005-03-09,368.80524,368.84671,366.75690,367.34576
2005-03-10,366.48370,367.057892,365.77530,366.63394
2005-03-11,366.38821,366.86630,365.20511,365.57144
2005-03-14,366.020203,368.62561,365.96570,367.97769
2005-03-15,368.17044,369.81711,367.0032043,369.76154
2005-03-16,369.53940,369.59491,366.29269,366.71591
2005-03-17,374.5,374.5,374.5,374.5
2005-03-18,374.5,374.5,368,368
2005-03-21,368,370.25,368,369.79999
2005-03-22,369.79999,371.5,369.79999,371.29999
2005-03-23,371.25,372.25,371.25,372.25
2005-03-24,372.25,375.25,372.25,375
2005-03-25,375,377.5,375,375
2005-03-28,377.5,378.60001,377.5,378.25
2005-03-29,378.25,380.25,378.25,380.20001
2005-03-30,380.20001,380.20001,379.75,379.75
2005-03-31,379.75,379.75,379.25,379.25
2005-04-01,379.25,379.25,378.5,378.5
2005-04-04,378.5,379.29999,378.5,379.25
2005-04-05,379.25,380.25,379.25,379.89999
2005-04-06,379.89999,381.14999,379.89999,381
2005-04-07,381,382.54999,381,382.54999
2005-04-08,382.54999,382.54999,381,381.10001
2005-04-11,381.10001,382.25,381.10001,382.25
2005-04-12,382.25,382.25,379,379
2005-04-13,379,381.10001,379,381
2005-04-14,381,381.25,381,381.25
2005-04-15,381.25,383.5,381.25,383.25
2005-04-18,383.25,383.25,380,380
2005-04-19,380,380,377.75,377.85001
2005-04-20,377.85001,377.85001,376.75,377.25
2005-04-21,377.25,377.25,376.5,376.75
2005-04-22,376.75,376.75,375,375
2005-04-25,375,376.20001,375,376.049988
2005-04-26,376.049988,378.25,376.049988,378
2005-04-27,378,378.64999,378,378.54999
2005-04-28,378.54999,379.25,378.54999,379
2005-04-29,379,380.25,379,380.25
2005-05-02,381,381.10001,381,381
2005-05-03,381,382.5,381,382.20001
2005-05-04,382.20001,382.20001,381.20001,381.20001
2005-05-05,381.20001,381.20001,378,378.10001
2005-05-06,378.10001,379.25,378.10001,379.25
2005-05-09,379.25,381.10001,379.25,381.10001
2005-05-10,381.10001,381.60001,381.10001,381.5
2005-05-11,381.5,381.5,381,381.10001
2005-05-12,381.10001,383,381.10001,383
2005-05-13,383,384.25,383,384.20001
2005-05-16,384.20001,387.25,384.20001,387.20001
2005-05-17,387.20001,387.60001,387.20001,387.25
2005-05-18,387.25,387.54999,387.25,387.25
2005-05-19,387,387.54999,387,387.54999
2005-05-20,387.54999,388.5,387.54999,388.20001
2005-05-23,388.20001,390.25,388.20001,390
2005-05-24,390,390,389.25,389.25
2005-05-25,389.25,389.5,389.20001,389.20001
2005-05-26,389.20001,389.60001,389.20001,389.5
2005-05-27,389.5,391.25,389.5,391
2005-05-30,391,391,391,391
2005-05-31,391,393.5,391,393.5
2005-06-01,393.5,395.75,393.5,395.5
2005-06-02,395.5,397.25,395.5,397
2005-06-03,397,399,397,398.5
2005-06-06,398.5,399.75,398.5,399.5
2005-06-07,399.5,399.60001,399,399.25
2005-06-08,399.25,399.25,399,399.25
2005-06-09,399.25,399.25,398,398.20001
2005-06-10,398.20001,401.5,398.20001,401.20001
2005-06-13,401.20001,404.79999,401.20001,404.70001
2005-06-14,404.70001,407.25,404.70001,407.20001
2005-06-15,407.20001,408,407.20001,407.79999
2005-06-16,407.79999,407.79999,405,405
2005-06-17,405,406.25,405,406
2005-06-20,406,406,402,402.25
2005-06-21,402.25,402.25,402.25,402.25
2005-06-22,402.25,402.25,401.25,401.25
2005-06-23,401.25,403.75,401.25,403.75
2005-06-24,403.75,405.5,403.75,405
2005-06-27,405,405.5,405,405.20001
2005-06-28,405.20001,405.20001,404.75,404.75
2005-06-29,404.75,405.049988,404.75,405.049988
2005-06-30,405.049988,405.54999,405,405.25
2005-07-01,405.25,405.25,404,404
2005-07-04,404,404,404,404
2005-07-05,404,409.5,404,409.5
2005-07-06,409.5,411.25,409.5,411.049988
2005-07-07,411.049988,411.049988,410,410
2005-07-08,410,410.25,410,410.049988
2005-07-11,410.049988,410.049988,409,409.25
2005-07-12,409.25,409.25,404.75,404.75
2005-07-13,404.75,404.75,401,401.049988
2005-07-14,401.049988,403.25,401.049988,403.25
2005-07-15,403.25,404.25,403.25,404.25
2005-07-18,404.25,404.25,403.75,404.25
2005-07-19,404.25,405.25,404.25,405
2005-07-20,405,408.049988,405,408
2005-07-21,408,408,407,407.25
2005-07-22,407.25,407.25,403.5,403.5
2005-07-25,403.5,403.5,403.5,403.5
2005-07-26,403.5,403.5,403.5,403.5
2005-07-27,403.5,403.5,403.5,403.5
2005-07-28,403.5,403.5,403.5,403.5
2005-07-29,403.5,403.5,403.5,403.5
2005-08-01,403.5,403.5,403,403.25
2005-08-02,403.25,403.25,401,401
2005-08-03,401.20001,401.60001,401.20001,401.5
2005-08-04,401.5,401.5,398.70001,398.70001
2005-08-05,398.70001,398.70001,396,396.25
2005-08-08,396.25,398.25,396.25,398.25
2005-08-09,398.25,398.25,395.5,395.54999
2005-08-10,395.54999,397.25,395.54999,397.25
2005-08-11,397.25,397.25,395.5,395.5
2005-08-12,395.5,395.5,394.5,395.5
2005-08-15,395.5,395.79999,395.5,395.75
2005-08-16,395.75,395.75,395,395.20001
2005-08-17,395.20001,398.25,395.20001,398
2005-08-18,398,398,397.25,397.25
2005-08-19,397.70001,402.25,397.70001,402.25
2005-08-22,402,404.25,402,404.20001
2005-08-23,404.20001,404.20001,400.75,400.75
2005-08-24,400.75,402.25,400.75,402.25
2005-08-25,402.25,402.25,400,400
2005-08-26,400,400,400,400
2005-08-29,400,400,397,397
2005-08-30,397,397,397,397
2005-08-31,397,401.25,397,400
2005-09-01,400,400,400,400
2005-09-02,399,399,399,399
2005-09-05,399,399,399,399
2005-09-06,399,399,392,392
2005-09-07,392,393.25,392,393.25
2005-09-08,393.25,394.049988,393.049988,394
2005-09-09,394,395.25,394,395.25
2005-09-12,395.25,395.25,395.25,395.25
2005-09-13,395.25,398.25,395.25,398.25
2005-09-14,398.25,398.54999,398,398.54999
2005-09-15,398.54999,398.54999,398,398
2005-09-16,398,400,398,400
2005-09-19,400,401.049988,400,401
2005-09-20,401,404,401,404
2005-09-21,403.73209,403.78180,402.16440,402.77356
2005-09-22,404,404,400,400.049988
2005-09-23,400.049988,403.25,400.049988,403.25
2005-09-26,403.25,406.75,403.25,405.75
2005-09-27,405.75,406.75,405.75,406.70001
2005-09-28,406.70001,408.25,406.70001,408.20001
2005-09-29,408.20001,408.54999,408.20001,408.54999
2005-09-30,408.54999,408.54999,408,408
2005-10-03,408,408,407.5,407.54999
2005-10-04,407.54999,407.54999,407.54999,407.54999
2005-10-05,407.54999,411.25,407.54999,411.25
2005-10-06,411.25,411.25,410,411.25
2005-10-07,411.25,411.25,404,404
2005-10-10,404,404,404,404
2005-10-11,404,407.25,404,407.25
2005-10-12,407.25,408.25,407.25,408
2005-10-13,408,408.25,408,408
2005-10-14,408,410.049988,408,410
2005-10-17,410,410,407,407.25
2005-10-18,407.25,407.25,407,407
2005-10-19,407,410.049988,407,410
2005-10-20,410,410,409,409.10001
2005-10-21,409.10001,409.10001,409,409
2005-10-24,409,409,408,408.25
2005-10-25,408.25,409,408.25,409
2005-10-26,409,409,404,404.25
2005-10-27,404.25,405.25,404.25,405.25
2005-10-28,405.25,405.25,404,404.29999
2005-10-31,404.29999,404.5,404.29999,404.5
2005-11-01,404.5,408,404.5,408
2005-11-02,408,408.54999,408,408.54999
2005-11-03,408.54999,408.54999,408.5,408.5
2005-11-04,408.5,408.54999,405.25,408.5
2005-11-07,408.5,413.54999,408.5,413.5
2005-11-08,413.5,415.25,413.5,415.25
2005-11-09,415.25,417.25,415.25,417.20001
2005-11-10,417.20001,417.25,417.20001,417.25
2005-11-11,417.25,417.25,417.25,417.25
2005-11-14,417.25,418.25,417.25,418.25
2005-11-15,418.25,418.5,418.20001,418.20001
2005-11-16,418.20001,420,418.20001,420
2005-11-17,420,420.25,420,420
2005-11-18,420,420,418.20001,418.25
2005-11-21,418.25,419.25,418.25,419.25
2005-11-22,419.25,419.25,417.70001,417.70001
2005-11-23,417.70001,418.25,417.70001,418.20001
2005-11-24,418.20001,418.20001,418.20001,418.20001
2005-11-25,418.20001,418.20001,416.5,416.5
2005-11-28,416.5,418,416.5,417.95001
2005-11-29,417.95001,417.95001,416,416.25
2005-11-30,416.25,417.049988,416.25,417
2005-12-01,417,417,416,416
2005-12-02,416,418.54999,416,418.5
2005-12-05,418.5,419,418.5,419
2005-12-06,419,419,417,417
2005-12-07,417,417,416,416.20001
2005-12-08,416.20001,418.25,416.20001,418
2005-12-09,418,418,415,415.25
2005-12-12,415.25,415.25,413.39999,413.39999
2005-12-13,413.39999,413.39999,410,410.25
2005-12-14,410.25,410.25,410,410.25
2005-12-15,410.25,410.25,407,407
2005-12-16,407,409,407,409
2005-12-19,409.20001,409.20001,408,408.25
2005-12-20,408.25,409,408.25,409
2005-12-21,409,409,409,409
2005-12-22,409,414.60001,409,414.60001
2005-12-23,414.60001,414.60001,414,414
2005-12-26,414,414,414,414
2005-12-27,414,414,413,413
2005-12-28,413,413.5,413,413.5
2005-12-29,413.5,413.5,412,412
2005-12-30,412,414,412,414
2006-01-02,414,414,414,414
2006-01-03,414,415.25,414,414.75
2006-01-04,414.75,414.75,408.70001,408.70001
2006-01-05,408.70001,408.70001,405,405
2006-01-06,405,405.25,405,405
2006-01-09,405,405,404.5,404.70001
2006-01-10,404.70001,406.25,404.70001,406.25
2006-01-11,406.25,406.25,406.25,406.25
2006-01-12,406.25,406.25,405,405.25
2006-01-13,405.25,406.5,405.25,406
2006-01-16,406,406,406,406
2006-01-17,406,406,404.75,404.75
2006-01-18,404.75,406,404.75,406
2006-01-19,406,406,405.45001,405.5
2006-01-20,405.5,405.5,405.25,405.25
2006-01-23,405.25,405.25,405,405.25
2006-01-24,405.25,405.25,401.5,401.5
2006-01-25,401.5,402.25,401.5,402.20001
2006-01-26,402.20001,402.20001,400.25,400.29999
2006-01-27,400.29999,400.5,400.29999,400.5
2006-01-30,400.5,402.5,400.5,402.5
2006-01-31,402.5,404,402.25,404
2006-02-01,404,404.25,404,404.20001
2006-02-02,404.20001,405.54999,404.20001,405.5
2006-02-03,405.5,405.54999,405.5,405.54999
2006-02-06,405.54999,407,405.54999,406.75
2006-02-07,406.75,406.75,406.75,406.75
2006-02-08,406.75,409.25,406.75,409.20001
2006-02-09,409.20001,409.75,409.20001,409.5
2006-02-10,409.5,410,409.5,410
2006-02-13,410.25,412,410.25,412
2006-02-14,412,412.20001,412,412.20001
2006-02-15,412.20001,413.25,412.20001,413.25
2006-02-16,413.25,413.25,412.20001,412.20001
2006-02-17,412.20001,412.25,412.20001,412.25
2006-02-20,412.25,412.25,410,410
2006-02-21,410,410,410,410
2006-02-22,410,410,410,410
2006-02-23,410,410,410,410
2006-02-24,410,410,410,410
2006-02-27,410,410,410,410
2006-02-28,410,410,410,410
2006-03-01,410,410,410,410
2006-03-02,410,411,410,411
2006-03-03,411,411,409,409.25
2006-03-06,409.25,411,408,408.25
2006-03-07,408.25,408.25,408,408
2006-03-08,408,411.5,408,411.25
2006-03-09,411.25,411.5,411.20001,411.20001
2006-03-10,411.20001,411.5,411.20001,411.5
