datetime,open,high,low,close
2003-12-01,1197.30005,1203.5,1195,1198.40002
2003-12-02,1198.099976,1198.5,1186.19995,1195
2003-12-03,1195,1198.40002,1192.5,1192.5
2003-12-04,1192.59998,1197.90002,1174.80005,1190.099976
2003-12-05,1189.40002,1193.80005,1178.59998,1184.69995
2003-12-08,1185.90002,1187.80005,1173,1185.59998
2003-12-09,1185.80005,1188.099976,1172.099976,1182.69995
2003-12-10,1182.5,1186.40002,1172.30005,1176.40002
2003-12-11,1176.30005,1189.69995,1168.80005,1169.90002
2003-12-12,1169.59998,1185.59998,1169.30005,1173.19995
2003-12-15,1194.19995,1194.80005,1169.099976,1179.90002
2003-12-16,1179.90002,1190.19995,1176.40002,1179.80005
2003-12-17,1180.19995,1190.30005,1175.59998,1187
2003-12-18,1187.099976,1189.5,1177.40002,1183.80005
2003-12-19,1183.90002,1194,1178.19995,1192.80005
2003-12-22,1195.5,1196.19995,1180.40002,1195.5
2003-12-23,1195.5,1197.5,1168.099976,1195.40002
2003-12-24,1195.19995,1201.30005,1194.69995,1200.5
2003-12-25,1199.69995,1201,1197.19995,1199.30005
2003-12-26,1199.40002,1201.19995,1197.30005,1200.69995
2003-12-29,1200.5,1200.90002,1184.90002,1186.099976
2003-12-30,1185.90002,1198.30005,1184.30005,1194.80005
2003-12-31,1194.90002,1198.30005,1189.90002,1189.90002
2004-01-01,1191.5,1192.59998,1181.5,1181.59998
2004-01-02,1181.69995,1195.80005,1180.40002,1195.80005
2004-01-05,1190.40002,1193.80005,1178.59998,1178.90002
2004-01-06,1179,1189.69995,1172.69995,1189.40002
2004-01-07,1189.30005,1191.5,1173.30005,1176.80005
2004-01-08,1177.19995,1183.19995,1169.099976,1171
2004-01-09,1170.90002,1186,1157.69995,1181.30005
2004-01-12,1182.19995,1183.90002,1161.69995,1168.80005
2004-01-13,1168.5,1181.30005,1166.19995,1175.30005
2004-01-14,1175.69995,1195.099976,1156,1175.19995
2004-01-15,1175.5,1186.90002,1172.5,1174.5
2004-01-16,1174.40002,1189.90002,1173.19995,1186.69995
2004-01-19,1187.59998,1189.59998,1171.90002,1187.5
2004-01-20,1187.69995,1188.90002,1174.80005,1176.69995
2004-01-21,1177.19995,1189.40002,1175.099976,1184.19995
2004-01-22,1184.30005,1189.90002,1174.5,1187.69995
2004-01-23,1187.69995,1188.80005,1171.40002,1175.19995
2004-01-26,1187.099976,1188.099976,1167.59998,1174.5
2004-01-27,1174.59998,1179.59998,1162.80005,1167.80005
2004-01-28,1168,1178.30005,1157.19995,1176.40002
