datetime,open,high,low,close
1995-04-24,62.5,63.099998,62.5,63.099998
1995-04-25,63,63.30000,63,63.30000
1995-04-26,62.65000,63.35000,62.65000,63.35000
1995-04-27,62.60000,63.064999,62.60000,63.064999
1995-04-28,62.75,63.064999,62.75,63.064999
1995-05-01,62.75,63.064999,62.75,63.064999
1995-05-02,62.75,63.064999,62.75,63.064999
1995-05-03,62.95000,63.80000,62.95000,63.80000
1995-05-04,63.30000,63.80000,63.30000,63.80000
1995-05-05,63.30000,63.80000,63.30000,63.80000
1995-05-08,63.30000,63.80000,63.30000,63.80000
1995-05-09,63.30000,63.80000,63.30000,63.80000
1995-05-10,63.30000,63.80000,63.30000,63.80000
1995-05-11,63.30000,63.80000,63.30000,63.80000
1995-05-12,63.30000,63.80000,63.30000,63.80000
1995-05-15,63.30000,63.80000,63.30000,63.80000
1995-05-16,63.30000,63.80000,63.30000,63.80000
1995-05-17,63.40000,63.90000,63,63.5
1995-05-18,63,63.5,63,63.5
1995-05-19,63.19000,63.50500,63.19000,63.50500
1995-05-22,63.5,63.85000,63.5,63.85000
1995-05-23,63.5,63.85000,63.5,63.85000
1995-05-24,63.5,63.85000,63.5,63.85000
1995-05-25,63.30000,63.5,63.30000,63.5
1995-05-26,63.32000,63.63500,63.32000,63.63500
1995-05-29,63.20000,63.95000,63.20000,63.95000
1995-05-30,63.30000,64.050003,63.30000,64.050003
1995-05-31,63.70000,64.050003,63.70000,64.050003
1995-06-01,63.20000,64.15000,63.20000,64.15000
1995-06-02,63.30000,64.375,63.30000,63.77500
1995-06-05,63.90000,64.5,63.20000,63.80000
1995-06-06,63.25,63.82500,63.25,63.82500
1995-06-07,63.90000,64.15000,63.90000,64.15000
1995-06-08,63.90000,64.15000,63.90000,64.15000
1995-06-09,63.90000,64.15000,63.90000,64.15000
1995-06-12,63.35000,63.85000,63.35000,63.85000
1995-06-13,63.35000,63.85000,63.35000,63.85000
1995-06-14,63.35000,63.85000,63.35000,63.85000
1995-06-15,63.70000,64.20000,63.70000,64.20000
1995-06-16,63.5,63.95000,63.5,63.95000
1995-06-19,63.60000,63.92000,63.60000,63.92000
1995-06-20,63.55000,64.050003,63.5,64
1995-06-21,63.5,63.82500,63.45000,63.77500
1995-06-22,63.90000,64.25,63.90000,64.25
1995-06-23,63.30000,64.17500,63.30000,64.125
1995-06-26,63.30000,63.60000,63.30000,63.60000
1995-06-27,63.40000,63.60000,63.40000,63.60000
1995-06-28,63.30000,63.61000,63.30000,63.60000
1995-06-29,63.30000,63.52500,63.30000,63.52500
1995-06-30,63.25,63.54500,63.20000,63.47500
1995-07-03,63.27000,63.82000,63.20000,63.48000
1995-07-04,63.15000,63.40000,63.099998,63.35000
1995-07-05,63.14000,63.45000,63.099998,63.37000
1995-07-06,63.15000,63.39000,63,63.26000
1995-07-07,62.90000,63.25,62.80000,63.099998
1995-07-10,62.80000,63.099998,62.80000,63.099998
1995-07-11,62.85000,63.075001,62.85000,63.075001
1995-07-12,62.85000,63.075001,62.85000,63.075001
1995-07-13,62.85000,63.075001,62.85000,63.075001
1995-07-14,62.5,63.15000,62.5,63.15000
1995-07-17,62.40000,62.65000,62.40000,62.65000
1995-07-18,62.45000,62.66000,62.43000,62.64000
1995-07-19,62.35000,62.50500,62.35000,62.50500
1995-07-20,62.33000,62.77500,62.30000,62.77500
1995-07-21,62.15000,62.36000,62.13000,62.34000
1995-07-24,62.13000,62.34000,62.13000,62.34000
1995-07-25,62.13000,62.34000,62.13000,62.34000
1995-07-26,61.80000,62.15000,61.80000,62.15000
1995-07-27,60.85000,61.30000,60.5,60.95000
1995-07-28,58,59.90000,58,59.55000
1995-07-31,59.25,59.375,59.25,59.375
1995-08-01,59.25,59.375,59.25,59.375
1995-08-02,56,57.049999,56,56.75
1995-08-03,55.70000,56.20000,55.5,56
1995-08-04,54.5,55.099998,54.20000,54.80000
1995-08-07,54.20000,54.80000,54.20000,54.80000
1995-08-08,54,54.5,54,54.5
1995-08-09,54.20000,55.60000,54.20000,55.60000
1995-08-10,54.20000,55.60000,54.20000,55.60000
1995-08-11,54.20000,55.60000,54.20000,55.60000
1995-08-14,54.20000,55.60000,54.20000,55.60000
1995-08-15,58.5,58.75,58.5,58.75
1995-08-16,58.5,58.75,57.80000,58.049999
1995-08-17,55.5,56,55.5,56
1995-08-18,57,57.5,57,57.5
1995-08-21,58.5,58.80000,58.5,58.80000
1995-08-22,59,59.20000,58.90000,59.099998
1995-08-23,58.80000,59.049999,58.80000,59.049999
1995-08-24,57.5,58.15000,57.5,58.15000
1995-08-25,57.80000,58.15000,57.80000,58.15000
1995-08-28,57.80000,58.15000,57.80000,58.15000
1995-08-29,58,58.95000,58,58.95000
1995-08-30,58,58.95000,58,58.95000
1995-08-31,58,58.95000,58,58.95000
1995-09-01,59.40000,59.75,59.40000,59.75
1995-09-04,59.40000,59.75,59.40000,59.75
1995-09-05,59.70000,59.90000,59.70000,59.90000
1995-09-06,59.75,59.92500,59.75,59.92500
1995-09-07,59.75,59.92500,59.75,59.92500
1995-09-08,60.12000,60.31000,60.12000,60.31000
1995-09-11,60.15000,60.32500,60.15000,60.32500
1995-09-12,60.40000,60.52500,60.15000,60.27500
1995-09-13,60.30000,60.45000,60.30000,60.45000
1995-09-14,60.40000,60.55500,60.40000,60.55500
1995-09-15,60.55000,60.70000,60.55000,60.70000
1995-09-18,60.80000,60.95000,60.80000,60.95000
1995-09-19,60.80000,60.95000,60.80000,60.95000
1995-09-20,60.75,60.90000,60.70000,60.85000
1995-09-21,60.70000,60.85000,60.70000,60.85000
1995-09-22,60.70000,60.85000,60.70000,60.85000
1995-09-25,60.20000,60.35000,60.20000,60.35000
1995-09-26,60.20000,60.35000,60.20000,60.35000
1995-09-27,60.20000,60.35000,60.20000,60.35000
1995-09-28,61,61.30000,60.90000,61.20000
1995-09-29,60.90000,61.20000,60.90000,61.20000
1995-10-02,61.30000,61.60000,61.30000,61.60000
1995-10-03,61.30000,61.60000,61.30000,61.60000
1995-10-04,61,61.35000,61,61.35000
1995-10-05,61.23000,61.36500,61.23000,61.36500
1995-10-06,61.23000,61.36500,61.23000,61.36500
1995-10-09,61.5,61.70000,61.5,61.70000
1995-10-10,61.5,61.70000,61.5,61.70000
1995-10-11,61.5,61.70000,61.5,61.70000
1995-10-12,61.5,61.60000,61.5,61.60000
1995-10-13,61.5,61.60000,61.5,61.60000
1995-10-16,61.60000,62.15000,61.60000,62.15000
1995-10-17,61.80000,62.375,61.80000,62.375
1995-10-18,62.099998,62.22500,62.099998,62.22500
1995-10-20,61.80000,62.30000,61.80000,62.30000
1995-10-23,62.20000,62.30000,62.20000,62.30000
1995-10-24,62.20000,62.30000,62.20000,62.30000
1995-10-25,62.20000,62.30000,62.20000,62.30000
1995-10-26,62.099998,62.17500,62.099998,62.17500
1995-10-27,62.15000,62.25,62.15000,62.25
1995-10-30,62.45000,62.60000,62.30000,62.60000
1995-10-31,62.85000,63,62.60000,62.95000
1995-11-01,62.95000,63.075001,62.95000,63.075001
1995-11-02,63.20000,63.40000,63.20000,63.40000
1995-11-03,63.5,63.75,63.5,63.75
1995-11-06,63.5,63.75,63.5,63.75
1995-11-07,63.25,63.40000,63.25,63.40000
1995-11-08,63.25,63.40000,63.25,63.40000
1995-11-09,63.40000,63.52500,63.40000,63.52500
1995-11-10,63.5,63.75,63.5,63.75
1995-11-13,63.45000,63.47500,63.40000,63.47500
1995-11-14,63.55000,63.625,63.55000,63.625
1995-11-15,63.55000,63.625,63.55000,63.625
1995-11-16,63.60000,63.70000,63.55000,63.65000
1995-11-17,63.60000,63.80000,63.60000,63.80000
1995-11-20,63.66000,63.70500,63.66000,63.70500
1995-11-21,63.80000,63.90000,63.80000,63.90000
1995-11-22,63.20000,63.82500,63.20000,63.74500
1995-11-23,63.60000,63.85000,63.60000,63.85000
1995-11-24,63.72000,63.94500,63.70000,63.82500
1995-11-27,63.85000,64.065002,63.85000,64.065002
1995-11-28,63.87000,64.050003,63.87000,64.050003
1995-11-29,63.90000,64,63.90000,64
1995-11-30,64.099998,64.12000,63.65000,64.080002
1995-12-01,63.90000,64.21000,63.65000,64.029999
1995-12-04,63.85000,64.17500,63.85000,64.17500
1995-12-05,63.95000,64.22000,63.95000,64.22000
1995-12-06,64,64.20000,64,64.050003
1995-12-07,64.040001,64.15500,64.040001,64.13500
1995-12-08,64.050003,64.18500,64.050003,64.18500
1995-12-11,63.96000,64.059998,63.82000,64.050003
1995-12-12,63.98000,64.029999,63.81000,63.86000
1995-12-13,63.85000,64.035004,63.84000,64.035004
1995-12-14,63.80000,64,63.80000,64
1995-12-15,64,64.15000,63.85000,64.050003
1995-12-18,63.80000,64.050003,63.78000,63.88000
1995-12-19,63.85000,64,63.74000,64
1995-12-20,63.80000,63.95000,63.73000,63.95000
1995-12-21,63.75,63.91500,63.72000,63.91500
1995-12-22,63.65000,64.18000,63.65000,64.18000
1995-12-25,63.75,63.99000,63.75,63.88000
1995-12-26,63.82000,63.92000,63.79000,63.90000
1995-12-27,63.80000,63.83500,63.77000,63.82500
1995-12-28,63.76000,63.77000,63.76000,63.77000
1995-12-29,63.75,63.86000,63.72000,63.76000
1996-01-02,63.72000,63.76000,63.72000,63.76000
1996-01-03,63.99000,64.080002,63.95000,64.080002
1996-01-04,64.050003,64.125,63.90000,64.125
1996-01-05,64.059998,64.36000,63.95000,64.34000
1996-01-08,64.20000,64.31500,64.12000,64.18500
1996-01-09,64.20000,64.40000,64.20000,64.40000
1996-01-10,64.35000,64.40000,64.35000,64.40000
1996-01-11,64.42000,64.47000,64.42000,64.47000
1996-01-12,64.42000,64.47000,64.42000,64.47000
1996-01-15,64.42000,64.5,64.42000,64.5
1996-01-16,64.5,64.55000,64.5,64.55000
1996-01-17,64.45000,64.63000,64.45000,64.63000
1996-01-18,64.58000,64.72500,64.5,64.625
1996-01-19,64.77000,64.84000,64.75,64.84000
1996-01-22,64.85000,65.040001,64.65000,65.010002
1996-01-23,64.89000,65.17000,64.89000,65.17000
1996-01-24,64.90000,65.25,64.90000,65.25
1996-01-25,65.099998,65.18000,64.95000,65.17000
1996-01-26,65.080002,65.15000,65.080002,65.15000
1996-01-29,65.089996,65.25,65.070000,65.25
1996-01-30,65.25,65.35500,65.24000,65.35500
1996-01-31,65.29000,65.52000,65.20000,65.5
1996-02-01,65.39000,65.59000,65.15000,65.59000
1996-02-02,65.35000,65.60000,65.20000,65.5
1996-02-05,65.52000,65.61500,65.45000,65.55500
1996-02-06,65.58000,65.64500,65.40000,65.63500
1996-02-07,65.55000,65.62000,65.20000,65.5
1996-02-08,65.20000,65.77500,65.15000,65.23500
1996-02-09,65.099998,65.41000,65.099998,65.36000
1996-02-12,65.30000,65.48500,65.30000,65.43500
1996-02-13,65.40000,65.53000,65.30000,65.5
1996-02-14,65.47000,65.50500,65.35000,65.38500
1996-02-15,65.20000,65.31000,65.14000,65.19000
1996-02-16,65.20000,65.42500,65.20000,65.36500
1996-02-19,65.30000,65.46000,65.27000,65.40000
1996-02-20,65.43000,65.48000,65.30000,65.46000
1996-02-21,65.44000,65.53000,65.39000,65.53000
1996-02-22,65.43000,65.53500,65.37000,65.48500
1996-02-23,65.42000,65.53000,65.30000,65.36000
1996-02-26,65.39000,65.43500,65.30000,65.42500
1996-02-27,65.28000,65.40500,65.27000,65.40500
1996-02-28,65.23000,65.41500,65.23000,65.36500
1996-02-29,65.33000,65.43500,65.25,65.42500
1996-03-01,65.30000,65.41000,65.30000,65.39000
1996-03-04,65.42000,65.46000,65.31000,65.43000
1996-03-05,65.30000,65.39500,65.30000,65.39500
1996-03-06,65.30000,65.41000,65.28000,65.34000
1996-03-07,65.28000,65.32500,65.20000,65.28500
1996-03-08,65.25,65.28500,65.25,65.28500
1996-03-11,65.20000,65.29000,65.059998,65.16000
1996-03-12,65.089996,65.16000,64.80000,64.90000
1996-03-13,64.85000,64.96000,64.83000,64.91000
1996-03-14,64.83000,65.17000,64.83000,65.11000
1996-03-15,65.30000,65.49000,64.87000,65.43000
1996-03-18,65.35000,65.39000,64.95000,65.14000
1996-03-19,64.98000,65.099998,64.90000,65
